WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2150272,ASSET-00056,Corrective,CONTROLLER-FAULT,217,1122,000150000053
WO-2150273,ASSET-00056,Preventive,,0,,000150000053
WO-2150274,ASSET-00057,Corrective,BEARING-FAILURE,219,426,000150000054
WO-2150275,ASSET-00057,Preventive,,0,,000150000054
WO-2150276,ASSET-00057,Corrective,CONTROLLER-FAULT,128,1281,000150000054
WO-2150277,ASSET-00057,Corrective,SENSOR-FAULT,186,644,000150000054
WO-2150278,ASSET-00057,Preventive,,0,,000150000054
WO-2150279,ASSET-00058,Preventive,,0,,000150000055
WO-2150280,ASSET-00058,Preventive,,0,,000150000055
WO-2150281,ASSET-00058,Corrective,CONTROLLER-FAULT,190,640,000150000055
WO-2150282,ASSET-00058,Preventive,,0,,000150000055
WO-2150283,ASSET-00058,Corrective,CONTROLLER-FAULT,240,1992,000150000055
WO-2150284,ASSET-00059,Preventive,,0,,000150000056
WO-2150285,ASSET-00059,Emergency,CONTROLLER-FAULT,206,1086,000150000056
WO-2150286,ASSET-00059,Preventive,,0,,000150000056
WO-2150287,ASSET-00059,Preventive,,0,,000150000056
WO-2150288,ASSET-00060,Corrective,PNEUMATIC-LEAK,233,1605,000150000057
WO-2150289,ASSET-00060,Corrective,BEARING-FAILURE,55,1363,000150000057
WO-2150290,ASSET-00060,Preventive,,0,,000150000057
WO-2150291,ASSET-00060,Preventive,,0,,000150000057
WO-2150292,ASSET-00060,Corrective,PNEUMATIC-LEAK,223,1984,000150000057
WO-2150293,ASSET-00060,Preventive,,0,,000150000057
WO-2150294,ASSET-00061,Corrective,CONTROLLER-FAULT,73,1007,000150000058
WO-2150295,ASSET-00061,Preventive,,0,,000150000058
WO-2150296,ASSET-00061,Preventive,,0,,000150000058
WO-2150297,ASSET-00061,Preventive,,0,,000150000058
WO-2150298,ASSET-00062,Preventive,,0,,000150000059
WO-2150299,ASSET-00062,Preventive,,0,,000150000059
WO-2150300,ASSET-00062,Preventive,,0,,000150000059
WO-2150301,ASSET-00062,Preventive,,0,,000150000059
WO-2150302,ASSET-00062,Corrective,DIE-WEAR,179,866,000150000059
WO-2150303,ASSET-00062,Emergency,BELT-FAILURE,493,1364,000150000059
WO-2150304,ASSET-00062,Corrective,SPINDLE-SEIZURE,194,494,000150000059
WO-2150305,ASSET-00063,Preventive,,0,,000150000060
WO-2150306,ASSET-00063,Corrective,SENSOR-FAULT,84,1849,000150000060
WO-2150307,ASSET-00063,Preventive,,0,,000150000060
WO-2150308,ASSET-00063,Emergency,DIE-WEAR,141,1529,000150000060
WO-2150309,ASSET-00064,Corrective,CONTROLLER-FAULT,232,1162,000150000061
WO-2150310,ASSET-00064,Corrective,CONTROLLER-FAULT,125,315,000150000061
WO-2150311,ASSET-00064,Preventive,,0,,000150000061
WO-2150312,ASSET-00064,Corrective,CALIBRATION-DRIFT,177,950,000150000061
WO-2150313,ASSET-00065,Preventive,,0,,
WO-2150314,ASSET-00066,Corrective,PNEUMATIC-LEAK,97,1649,000150000062
WO-2150315,ASSET-00066,Preventive,,0,,000150000062
WO-2150316,ASSET-00066,Emergency,BELT-FAILURE,537,1550,000150000062
WO-2150317,ASSET-00067,Preventive,,0,,000150000063
WO-2150318,ASSET-00067,Corrective,SPINDLE-SEIZURE,138,490,000150000063
WO-2150319,ASSET-00067,Preventive,,0,,000150000063
WO-2150320,ASSET-00068,Preventive,,0,,000150000064
WO-2150321,ASSET-00068,Preventive,,0,,000150000064
WO-2150322,ASSET-00068,Preventive,,0,,000150000064
WO-2150323,ASSET-00069,Preventive,,0,,000150000065
WO-2150324,ASSET-00069,Corrective,BEARING-FAILURE,182,726,000150000065
WO-2150325,ASSET-00069,Corrective,SPINDLE-SEIZURE,127,1062,000150000065
WO-2150326,ASSET-00069,Emergency,DIE-WEAR,142,1688,000150000065
WO-2150327,ASSET-00069,Preventive,,0,,000150000065
WO-2150328,ASSET-00069,Preventive,,0,,000150000065
WO-2150329,ASSET-00069,Preventive,,0,,000150000065
WO-2150330,ASSET-00069,Preventive,,0,,000150000065
WO-2150331,ASSET-00069,Corrective,BELT-FAILURE,98,319,000150000065
WO-2150332,ASSET-00069,Preventive,,0,,000150000065
WO-2150333,ASSET-00069,Emergency,MOTOR-BURNOUT,115,1600,000150000065
WO-2150334,ASSET-00069,Preventive,,0,,000150000065
WO-2150335,ASSET-00070,Corrective,SPINDLE-SEIZURE,128,1104,000150000066
WO-2150336,ASSET-00070,Corrective,SENSOR-FAULT,92,448,000150000066
WO-2150337,ASSET-00070,Preventive,,0,,000150000066
WO-2150338,ASSET-00070,Corrective,DIE-WEAR,86,1208,000150000066
WO-2150339,ASSET-00070,Preventive,,0,,000150000066
WO-2150340,ASSET-00071,Corrective,CALIBRATION-DRIFT,237,377,000150000067
WO-2150341,ASSET-00071,Corrective,CALIBRATION-DRIFT,80,1916,000150000067
WO-2150342,ASSET-00071,Preventive,,0,,000150000067
WO-2150343,ASSET-00071,Preventive,,0,,000150000067
WO-2150344,ASSET-00071,Corrective,CALIBRATION-DRIFT,204,941,000150000067
WO-2150345,ASSET-00071,Corrective,MOTOR-BURNOUT,193,809,000150000067
WO-2150346,ASSET-00072,Corrective,SENSOR-FAULT,157,244,000150000068
WO-2150347,ASSET-00072,Preventive,,0,,000150000068
WO-2150348,ASSET-00072,Preventive,,0,,000150000068
WO-2150349,ASSET-00073,Emergency,BEARING-FAILURE,318,1046,000150000069
WO-2150350,ASSET-00073,Emergency,PNEUMATIC-LEAK,103,1775,000150000069
WO-2150351,ASSET-00073,Corrective,DIE-WEAR,39,772,000150000069
WO-2150352,ASSET-00073,Preventive,,0,,000150000069
WO-2150353,ASSET-00073,Preventive,,0,,000150000069
WO-2150354,ASSET-00073,Preventive,,0,,000150000069
WO-2150355,ASSET-00074,Preventive,,0,,000150000070
WO-2150356,ASSET-00074,Corrective,BEARING-FAILURE,90,789,000150000070
WO-2150357,ASSET-00074,Preventive,,0,,000150000070
WO-2150358,ASSET-00074,Corrective,BEARING-FAILURE,118,1701,000150000070
WO-2150359,ASSET-00074,Corrective,HYDRAULIC-LEAK,169,1586,000150000070
WO-2150360,ASSET-00075,Preventive,,0,,000150000071
WO-2150361,ASSET-00075,Preventive,,0,,000150000071
WO-2150362,ASSET-00076,Corrective,CALIBRATION-DRIFT,215,531,000150000072
WO-2150363,ASSET-00076,Corrective,SENSOR-FAULT,79,1360,000150000072
WO-2150364,ASSET-00076,Preventive,,0,,000150000072
WO-2150365,ASSET-00076,Preventive,,0,,000150000072
WO-2150366,ASSET-00076,Corrective,SENSOR-FAULT,109,975,000150000072
WO-2150367,ASSET-00076,Emergency,SPINDLE-SEIZURE,562,952,000150000072
WO-2150368,ASSET-00077,Corrective,CONTROLLER-FAULT,231,1476,000150000073
WO-2150369,ASSET-00077,Corrective,BELT-FAILURE,219,1077,000150000073
WO-2150370,ASSET-00077,Preventive,,0,,000150000073
WO-2150371,ASSET-00077,Preventive,,0,,000150000073
WO-2150372,ASSET-00077,Preventive,,0,,000150000073
WO-2150373,ASSET-00077,Preventive,,0,,000150000073
WO-2150374,ASSET-00077,Preventive,,0,,000150000073
WO-2150375,ASSET-00077,Preventive,,0,,000150000073
WO-2150376,ASSET-00078,Corrective,HYDRAULIC-LEAK,203,500,000150000074
WO-2150377,ASSET-00078,Preventive,,0,,000150000074
WO-2150378,ASSET-00078,Emergency,HYDRAULIC-LEAK,589,1524,000150000074
WO-2150379,ASSET-00078,Preventive,,0,,000150000074
WO-2150380,ASSET-00078,Preventive,,0,,000150000074
WO-2150381,ASSET-00078,Corrective,SPINDLE-SEIZURE,95,1410,000150000074
WO-2150382,ASSET-00079,Preventive,,0,,000150000075
WO-2150383,ASSET-00079,Corrective,PNEUMATIC-LEAK,160,1409,000150000075
WO-2150384,ASSET-00079,Preventive,,0,,000150000075
WO-2150385,ASSET-00079,Preventive,,0,,000150000075
WO-2150386,ASSET-00080,Preventive,,0,,000150000076
WO-2150387,ASSET-00080,Preventive,,0,,000150000076
WO-2150388,ASSET-00080,Corrective,BELT-FAILURE,93,306,000150000076
WO-2150389,ASSET-00080,Preventive,,0,,000150000076
WO-2150390,ASSET-00080,Preventive,,0,,000150000076
WO-2150391,ASSET-00080,Preventive,,0,,000150000076
WO-2150392,ASSET-00080,Preventive,,0,,000150000076
WO-2150393,ASSET-00081,Preventive,,0,,000150000077
WO-2150394,ASSET-00081,Corrective,DIE-WEAR,109,1028,000150000077
WO-2150395,ASSET-00081,Preventive,,0,,000150000077
WO-2150396,ASSET-00082,Preventive,,0,,000150000078
WO-2150397,ASSET-00082,Emergency,BELT-FAILURE,92,1782,000150000078
WO-2150398,ASSET-00082,Preventive,,0,,000150000078
