PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-864325,D-16-4,350,Seating & Interior Plant PL,Assembly Plant IN
MAT-272437,E-10-1,1373,Seating & Interior Plant PL,Assembly Plant IN
MAT-679932,E-08-4,485,Seating & Interior Plant PL,Assembly Plant IN
MAT-437104,A-07-1,2447,Seating & Interior Plant PL,Assembly Plant IN
MAT-117225,D-14-2,1479,Seating & Interior Plant PL,Assembly Plant IN
MAT-362467,B-09-4,3241,Seating & Interior Plant PL,Assembly Plant IN
MAT-921898,F-29-1,2987,Seating & Interior Plant PL,Assembly Plant IN
MAT-953631,D-20-3,941,Seating & Interior Plant PL,Assembly Plant IN
MAT-178817,A-08-3,3254,Seating & Interior Plant PL,Assembly Plant IN
MAT-117843,G-12-3,4048,Seating & Interior Plant PL,Assembly Plant IN
MAT-642820,D-27-4,3472,Seating & Interior Plant PL,Assembly Plant IN
MAT-281474,D-29-2,2004,Seating & Interior Plant PL,Assembly Plant IN
MAT-978155,H-13-5,1617,Seating & Interior Plant PL,Assembly Plant IN
MAT-316456,A-13-5,666,Seating & Interior Plant PL,Assembly Plant IN
MAT-311226,E-16-4,3232,Seating & Interior Plant PL,Assembly Plant IN
MAT-577678,C-15-4,685,Seating & Interior Plant PL,Assembly Plant IN
MAT-267138,G-18-3,1479,Seating & Interior Plant PL,Assembly Plant IN
MAT-582156,C-11-2,3856,Seating & Interior Plant PL,Assembly Plant IN
MAT-119676,A-08-2,3415,Seating & Interior Plant PL,Assembly Plant IN
MAT-517000,C-18-4,580,Seating & Interior Plant PL,Assembly Plant IN
MAT-770927,C-14-2,3064,Seating & Interior Plant PL,Assembly Plant IN
MAT-572395,G-15-3,1245,Seating & Interior Plant PL,Assembly Plant IN
MAT-742926,F-07-4,2592,Seating & Interior Plant PL,Assembly Plant IN
MAT-147433,F-04-1,3484,Seating & Interior Plant PL,Assembly Plant IN
MAT-750784,D-20-5,3382,Seating & Interior Plant PL,Assembly Plant IN
MAT-106366,E-20-1,1343,Seating & Interior Plant PL,Assembly Plant IN
MAT-797035,H-10-2,2210,Seating & Interior Plant PL,Assembly Plant IN
MAT-781369,C-22-4,4283,Seating & Interior Plant PL,Assembly Plant IN
MAT-304518,E-23-1,2844,Seating & Interior Plant PL,Assembly Plant IN
MAT-206088,H-25-4,2211,Seating & Interior Plant PL,Assembly Plant IN
MAT-682401,D-27-3,2849,Seating & Interior Plant PL,Assembly Plant IN
MAT-654917,B-10-1,4071,Seating & Interior Plant PL,Assembly Plant IN
MAT-401135,C-22-3,4605,Seating & Interior Plant PL,Assembly Plant IN
MAT-833654,E-07-4,1672,Seating & Interior Plant PL,Assembly Plant IN
MAT-449971,F-02-5,4783,Seating & Interior Plant PL,Assembly Plant IN
MAT-144836,C-09-3,2160,Seating & Interior Plant PL,Assembly Plant IN
MAT-775339,A-18-3,425,Seating & Interior Plant PL,Assembly Plant IN
MAT-815818,C-03-5,2772,Seating & Interior Plant PL,Assembly Plant IN
MAT-799147,E-03-1,1449,Seating & Interior Plant PL,Assembly Plant IN
MAT-890615,G-03-5,3942,Seating & Interior Plant PL,Assembly Plant IN
MAT-885310,H-09-2,2874,Seating & Interior Plant PL,Assembly Plant IN
MAT-261017,F-23-4,3388,Seating & Interior Plant PL,Assembly Plant IN
MAT-169253,A-25-1,3740,Seating & Interior Plant PL,Assembly Plant IN
MAT-122004,H-06-3,2326,Seating & Interior Plant PL,Assembly Plant IN
MAT-366250,C-01-4,2492,Seating & Interior Plant PL,Assembly Plant IN
MAT-689013,F-01-2,62,Seating & Interior Plant PL,Assembly Plant IN
MAT-561309,F-17-5,2172,Seating & Interior Plant PL,Assembly Plant IN
MAT-929666,C-21-3,1171,Seating & Interior Plant PL,Assembly Plant IN
MAT-188891,C-14-3,1550,Seating & Interior Plant PL,Assembly Plant IN
MAT-252246,D-02-3,1079,Seating & Interior Plant PL,Assembly Plant IN
MAT-852230,B-09-2,4493,Seating & Interior Plant PL,Assembly Plant IN
MAT-761697,E-17-5,1199,Seating & Interior Plant PL,Assembly Plant IN
MAT-249074,F-28-5,2223,Seating & Interior Plant PL,Assembly Plant IN
MAT-156927,C-28-4,2837,Seating & Interior Plant PL,Assembly Plant IN
MAT-248446,A-21-3,1022,Seating & Interior Plant PL,Assembly Plant IN
MAT-933030,G-27-5,4318,Seating & Interior Plant PL,Assembly Plant IN
MAT-718490,F-18-1,2009,Seating & Interior Plant PL,Assembly Plant IN
MAT-488572,E-13-1,2705,Seating & Interior Plant PL,Assembly Plant IN
MAT-488023,G-17-2,2718,Seating & Interior Plant PL,Assembly Plant IN
MAT-429669,D-01-3,301,Seating & Interior Plant PL,Assembly Plant IN
MAT-554093,G-12-1,1570,Seating & Interior Plant PL,Assembly Plant IN
MAT-386892,C-26-3,2612,Seating & Interior Plant PL,Assembly Plant IN
MAT-951351,D-08-2,3889,Seating & Interior Plant PL,Assembly Plant IN
MAT-177679,H-28-1,1598,Seating & Interior Plant PL,Assembly Plant IN
MAT-478899,H-29-3,1152,Seating & Interior Plant PL,Assembly Plant IN
MAT-254677,H-18-4,905,Seating & Interior Plant PL,Assembly Plant IN
MAT-128387,C-16-5,607,Seating & Interior Plant PL,Assembly Plant IN
MAT-613616,C-29-4,2905,Seating & Interior Plant PL,Assembly Plant IN
MAT-747759,C-28-2,1646,Seating & Interior Plant PL,Assembly Plant IN
MAT-518165,G-03-2,2650,Seating & Interior Plant PL,Assembly Plant IN
MAT-150584,F-10-1,2079,Seating & Interior Plant PL,Assembly Plant IN
MAT-117129,H-28-1,1343,Seating & Interior Plant PL,Assembly Plant IN
MAT-910990,F-21-2,1704,Seating & Interior Plant PL,Assembly Plant IN
MAT-726846,D-29-3,542,Seating & Interior Plant PL,Assembly Plant IN
MAT-728606,C-07-2,312,Seating & Interior Plant PL,Assembly Plant IN
MAT-708374,H-19-4,4866,Seating & Interior Plant PL,Assembly Plant IN
MAT-756307,G-10-2,4046,Seating & Interior Plant PL,Assembly Plant IN
MAT-181384,D-24-3,131,Seating & Interior Plant PL,Assembly Plant IN
MAT-592248,H-09-4,3433,Seating & Interior Plant PL,Assembly Plant IN
MAT-225696,F-03-4,1361,Seating & Interior Plant PL,Assembly Plant IN
MAT-906702,E-21-4,2790,Seating & Interior Plant PL,Assembly Plant IN
MAT-429660,B-17-5,2724,Seating & Interior Plant PL,Assembly Plant IN
MAT-667380,F-14-3,2459,Seating & Interior Plant PL,Assembly Plant IN
MAT-752688,C-18-4,1238,Seating & Interior Plant PL,Assembly Plant IN
MAT-146769,E-06-3,758,Seating & Interior Plant PL,Assembly Plant IN
MAT-306712,G-02-5,554,Seating & Interior Plant PL,Assembly Plant IN
MAT-427564,C-18-2,3745,Seating & Interior Plant PL,Assembly Plant IN
MAT-436223,G-08-1,560,Seating & Interior Plant PL,Assembly Plant IN
MAT-669723,E-03-4,3648,Seating & Interior Plant PL,Assembly Plant IN
MAT-210669,D-21-3,1697,Seating & Interior Plant PL,Assembly Plant IN
MAT-525397,B-18-1,4822,Seating & Interior Plant PL,Assembly Plant IN
MAT-518490,H-03-3,3577,Seating & Interior Plant PL,Assembly Plant IN
MAT-563979,B-04-3,2997,Seating & Interior Plant PL,Assembly Plant IN
MAT-722384,D-27-4,4811,Seating & Interior Plant PL,Assembly Plant IN
MAT-971207,H-24-2,1945,Seating & Interior Plant PL,Assembly Plant IN
MAT-791867,D-10-4,1375,Seating & Interior Plant PL,Assembly Plant IN
MAT-336872,F-28-5,3255,Seating & Interior Plant PL,Assembly Plant IN
MAT-982906,H-08-5,3676,Seating & Interior Plant PL,Assembly Plant IN
MAT-499868,A-26-5,1255,Seating & Interior Plant PL,Assembly Plant IN
MAT-549437,F-07-4,3489,Seating & Interior Plant PL,Assembly Plant IN
MAT-767352,A-12-2,3976,Seating & Interior Plant PL,Assembly Plant IN
MAT-166560,E-13-5,232,Seating & Interior Plant PL,Assembly Plant IN
MAT-197766,D-14-5,1717,Seating & Interior Plant PL,Assembly Plant IN
MAT-256461,G-06-1,1940,Seating & Interior Plant PL,Assembly Plant IN
MAT-145419,C-06-3,3999,Seating & Interior Plant PL,Assembly Plant IN
MAT-250076,G-01-3,3125,Seating & Interior Plant PL,Assembly Plant IN
MAT-488627,C-24-2,3315,Seating & Interior Plant PL,Assembly Plant IN
MAT-743179,D-14-1,3817,Seating & Interior Plant PL,Assembly Plant IN
MAT-824399,E-17-1,538,Seating & Interior Plant PL,Assembly Plant IN
MAT-991904,C-02-2,2620,Seating & Interior Plant PL,Assembly Plant IN
MAT-498645,H-07-3,678,Seating & Interior Plant PL,Assembly Plant IN
MAT-430612,B-05-3,3747,Seating & Interior Plant PL,Assembly Plant IN
MAT-397595,B-18-5,2054,Seating & Interior Plant PL,Assembly Plant IN
MAT-763279,B-29-1,3086,Seating & Interior Plant PL,Assembly Plant IN
MAT-419424,C-16-1,3015,Seating & Interior Plant PL,Assembly Plant IN
MAT-412543,C-18-3,3451,Seating & Interior Plant PL,Assembly Plant IN
MAT-553270,E-15-4,1493,Seating & Interior Plant PL,Assembly Plant IN
MAT-813614,A-16-5,2832,Seating & Interior Plant PL,Assembly Plant IN
MAT-210742,F-19-2,3899,Seating & Interior Plant PL,Assembly Plant IN
MAT-395944,H-25-1,3277,Seating & Interior Plant PL,Assembly Plant IN
MAT-917993,E-02-2,4914,Seating & Interior Plant PL,Assembly Plant IN
MAT-393882,D-03-3,1236,Seating & Interior Plant PL,Assembly Plant IN
MAT-900555,H-02-3,3566,Seating & Interior Plant PL,Assembly Plant IN
MAT-506086,A-24-3,4265,Seating & Interior Plant PL,Assembly Plant IN
MAT-279808,C-11-2,835,Seating & Interior Plant PL,Assembly Plant IN
MAT-202384,E-13-2,4567,Seating & Interior Plant PL,Assembly Plant IN
MAT-976213,D-01-5,1088,Seating & Interior Plant PL,Assembly Plant IN
MAT-149297,A-06-2,1909,Seating & Interior Plant PL,Assembly Plant IN
MAT-947346,C-18-1,171,Seating & Interior Plant PL,Assembly Plant IN
MAT-982826,D-14-2,4426,Seating & Interior Plant PL,Assembly Plant IN
MAT-513610,H-28-2,2190,Seating & Interior Plant PL,Assembly Plant IN
MAT-611669,F-06-3,137,Seating & Interior Plant PL,Assembly Plant IN
MAT-166806,D-22-4,3105,Seating & Interior Plant PL,Assembly Plant IN
MAT-221812,B-03-4,2408,Seating & Interior Plant PL,Assembly Plant IN
MAT-143502,G-07-4,2027,Seating & Interior Plant PL,Assembly Plant IN
MAT-775818,H-07-2,4319,Seating & Interior Plant PL,Assembly Plant IN
MAT-788701,D-18-4,3681,Seating & Interior Plant PL,Assembly Plant IN
MAT-920743,D-14-2,479,Seating & Interior Plant PL,Assembly Plant IN
MAT-524966,G-05-3,1633,Seating & Interior Plant PL,Assembly Plant IN
MAT-459497,E-21-3,405,Seating & Interior Plant PL,Assembly Plant IN
MAT-660922,C-24-3,3104,Seating & Interior Plant PL,Assembly Plant IN
MAT-348121,F-21-1,3759,Seating & Interior Plant PL,Assembly Plant IN
MAT-498505,D-12-5,3659,Seating & Interior Plant PL,Assembly Plant IN
MAT-320093,A-22-5,3488,Seating & Interior Plant PL,Assembly Plant IN
MAT-742027,E-20-2,2800,Seating & Interior Plant PL,Assembly Plant IN
MAT-942911,F-11-3,847,Seating & Interior Plant PL,Assembly Plant IN
MAT-435300,E-26-2,2757,Seating & Interior Plant PL,Assembly Plant IN
MAT-869749,B-05-1,1297,Seating & Interior Plant PL,Assembly Plant IN
MAT-695135,C-24-4,3792,Seating & Interior Plant PL,Assembly Plant IN
MAT-660017,B-26-2,1258,Seating & Interior Plant PL,Assembly Plant IN
MAT-429203,A-10-3,541,Seating & Interior Plant PL,Assembly Plant IN
MAT-596263,H-25-5,824,Seating & Interior Plant PL,Assembly Plant IN
MAT-223666,D-13-1,3125,Seating & Interior Plant PL,Assembly Plant IN
MAT-660294,B-21-4,4400,Seating & Interior Plant PL,Assembly Plant IN
MAT-858095,G-26-5,2940,Seating & Interior Plant PL,Assembly Plant IN
MAT-151155,G-28-3,3247,Seating & Interior Plant PL,Assembly Plant IN
MAT-925285,F-24-5,4178,Seating & Interior Plant PL,Assembly Plant IN
MAT-667500,G-21-2,3002,Seating & Interior Plant PL,Assembly Plant IN
MAT-589735,F-26-3,2234,Seating & Interior Plant PL,Assembly Plant IN
MAT-549535,F-02-4,1512,Seating & Interior Plant PL,Assembly Plant IN
MAT-171022,F-09-1,2734,Seating & Interior Plant PL,Assembly Plant IN
MAT-402982,A-02-4,1380,Seating & Interior Plant PL,Assembly Plant IN
MAT-407308,B-22-3,647,Seating & Interior Plant PL,Assembly Plant IN
MAT-651178,D-11-1,2754,Seating & Interior Plant PL,Assembly Plant IN
MAT-929563,E-05-1,55,Seating & Interior Plant PL,Assembly Plant IN
MAT-304389,A-25-4,3585,Seating & Interior Plant PL,Assembly Plant IN
MAT-649859,H-11-2,1577,Seating & Interior Plant PL,Assembly Plant IN
MAT-231073,B-18-1,2163,Seating & Interior Plant PL,Assembly Plant IN
MAT-985457,B-23-2,3301,Seating & Interior Plant PL,Assembly Plant IN
MAT-160043,B-15-4,1416,Seating & Interior Plant PL,Assembly Plant IN
MAT-423949,G-19-1,3828,Seating & Interior Plant PL,Assembly Plant IN
MAT-328800,E-15-4,2019,Seating & Interior Plant PL,Assembly Plant IN
MAT-608758,H-29-3,3759,Seating & Interior Plant PL,Assembly Plant IN
MAT-168326,C-20-2,1457,Seating & Interior Plant PL,Assembly Plant IN
MAT-454328,G-19-2,385,Seating & Interior Plant PL,Assembly Plant IN
MAT-351641,D-10-3,4226,Seating & Interior Plant PL,Assembly Plant IN
MAT-336316,D-19-2,2226,Seating & Interior Plant PL,Assembly Plant IN
MAT-505842,F-23-3,2178,Seating & Interior Plant PL,Assembly Plant IN
MAT-639210,D-27-5,4468,Seating & Interior Plant PL,Assembly Plant IN
MAT-341013,A-24-1,1794,Seating & Interior Plant PL,Assembly Plant IN
MAT-497611,H-25-4,3901,Seating & Interior Plant PL,Assembly Plant IN
MAT-216754,H-12-5,1280,Seating & Interior Plant PL,Assembly Plant IN
MAT-579422,E-14-3,1265,Seating & Interior Plant PL,Assembly Plant IN
