Period,Plant_Code,Volume,AvailableHours,LeadTimeDays
2021-W10,PL-001,5711,2351,39
2021-W11,PL-001,5456,1938,34
2021-W12,PL-001,5166,2164,16
2021-W13,PL-001,5937,1583,12
2021-W14,PL-001,3231,1363,18
2021-W15,PL-001,2030,2397,34
2021-W16,PL-001,4969,2223,29
2021-W17,PL-001,2195,1486,30
2021-W18,PL-001,5845,2097,28
2021-W19,PL-001,4037,2446,15
2021-W20,PL-001,4176,1241,6
2021-W21,PL-001,2551,1508,60
2021-W22,PL-001,1126,2244,42
2021-W23,PL-001,5115,1467,41
2021-W24,PL-001,3691,2052,9
2021-W25,PL-001,1042,1278,21
2021-W26,PL-001,1446,2245,44
2021-W27,PL-001,5139,2191,44
2021-W28,PL-001,1962,1692,57
2021-W29,PL-001,2733,2272,18
2021-W30,PL-001,4176,1965,24
2021-W31,PL-001,2532,1356,22
2021-W32,PL-001,4704,1573,41
2021-W33,PL-001,3995,2345,54
2021-W34,PL-001,5276,1387,38
2021-W35,PL-001,4683,2305,51
2021-W36,PL-001,5688,1622,33
2021-W37,PL-001,4570,1517,33
2021-W38,PL-001,3784,2313,16
2021-W39,PL-001,4947,1776,55
2021-W40,PL-001,5151,2277,7
2021-W41,PL-001,2604,1794,46
2021-W42,PL-001,2477,1798,44
2021-W43,PL-001,4306,1823,5
2021-W44,PL-001,4075,2154,25
2021-W45,PL-001,2627,2082,12
2021-W46,PL-001,4956,2120,17
2021-W47,PL-001,5096,1999,33
2021-W48,PL-001,2013,1449,43
2021-W49,PL-001,2500,1988,10
2021-W50,PL-001,2682,2048,34
2021-W51,PL-001,5348,2315,51
2021-W52,PL-001,4788,2393,36
2022-W01,PL-001,1362,1514,33
2022-W02,PL-001,4519,2290,52
2022-W03,PL-001,5382,2082,44
2022-W04,PL-001,5225,1730,28
2022-W05,PL-001,2910,2290,49
2022-W06,PL-001,4954,2239,20
2022-W07,PL-001,3924,1895,36
2022-W08,PL-001,2805,1533,13
2022-W09,PL-001,2377,1807,5
2022-W10,PL-001,3140,1457,8
2022-W11,PL-001,1685,1371,17
2022-W12,PL-001,3725,1684,26
2022-W13,PL-001,2485,1617,38
2022-W14,PL-001,3425,2446,6
2022-W15,PL-001,3501,2426,46
2022-W16,PL-001,1532,1715,52
2022-W17,PL-001,5498,1843,52
2022-W18,PL-001,3844,1754,59
2022-W19,PL-001,1376,2483,16
2022-W20,PL-001,2615,1229,60
2022-W21,PL-001,4810,1434,7
2022-W22,PL-001,1083,1765,13
2022-W23,PL-001,2756,1315,49
2022-W24,PL-001,2165,1394,43
2022-W25,PL-001,2372,1865,5
2022-W26,PL-001,3382,2355,21
2022-W27,PL-001,4895,2120,47
2022-W28,PL-001,2320,1836,40
2022-W29,PL-001,3904,1228,41
2022-W30,PL-001,1422,1741,60
2022-W31,PL-001,3206,2413,56
2022-W32,PL-001,1769,1644,41
2022-W33,PL-001,5388,1244,51
2022-W34,PL-001,4820,1490,6
2022-W35,PL-001,4683,2129,40
2022-W36,PL-001,5694,1286,39
2022-W37,PL-001,5222,1271,48
2022-W38,PL-001,2505,2282,41
2022-W39,PL-001,5897,1486,43
2022-W40,PL-001,1294,1848,59
2022-W41,PL-001,3071,2335,18
2022-W42,PL-001,1260,1460,16
2022-W43,PL-001,2800,2044,34
2022-W44,PL-001,4970,2448,6
2022-W45,PL-001,5727,2449,20
2022-W46,PL-001,4711,1762,20
2022-W47,PL-001,2836,1597,26
2022-W48,PL-001,3577,1649,47
2022-W49,PL-001,5013,1982,16
2022-W50,PL-001,4260,1595,53
2022-W51,PL-001,2518,1931,35
2022-W52,PL-001,3675,1831,48
2023-W01,PL-001,4926,1969,6
2023-W02,PL-001,2835,2340,32
2023-W03,PL-001,5723,1722,54
2023-W04,PL-001,4056,2064,29
2023-W05,PL-001,5619,2077,37
2023-W06,PL-001,4275,1770,20
2023-W07,PL-001,4110,1540,48
2023-W08,PL-001,2143,1904,21
2023-W09,PL-001,5247,2446,8
2023-W10,PL-001,3672,1851,40
2023-W11,PL-001,1078,1354,21
2023-W12,PL-001,5842,1978,7
2023-W13,PL-001,1587,1411,32
2023-W14,PL-001,1819,1390,19
2023-W15,PL-001,2442,2186,8
2023-W16,PL-001,1348,1990,59
2023-W17,PL-001,1910,2160,47
2023-W18,PL-001,1662,1314,13
2020-W02,PL-002,5398,2245,31
2020-W03,PL-002,4899,1626,44
2020-W04,PL-002,1067,2395,60
2020-W05,PL-002,4583,1704,14
2020-W06,PL-002,3109,1295,7
2020-W07,PL-002,1589,2230,10
2020-W08,PL-002,2503,2244,31
2020-W09,PL-002,4543,1883,53
2020-W10,PL-002,3353,1821,54
2020-W11,PL-002,3263,1803,35
2020-W12,PL-002,1810,2003,18
2020-W13,PL-002,1384,1599,6
2020-W14,PL-002,4105,1660,11
2020-W15,PL-002,4040,1205,7
2020-W16,PL-002,3465,1622,6
2020-W17,PL-002,4994,2116,45
2020-W18,PL-002,3590,2026,55
2020-W19,PL-002,4382,1296,50
2020-W20,PL-002,4127,2397,23
2020-W21,PL-002,3173,1496,21
2020-W22,PL-002,1416,1209,24
2020-W23,PL-002,4167,2480,49
2020-W24,PL-002,2340,1894,40
2020-W25,PL-002,4012,2161,57
2020-W26,PL-002,3383,1563,12
2020-W27,PL-002,4586,1924,13
2020-W28,PL-002,5661,1361,45
2020-W29,PL-002,5905,2164,29
2020-W30,PL-002,1367,1332,42
2020-W31,PL-002,4983,1529,24
2020-W32,PL-002,2236,1854,16
2020-W33,PL-002,4008,2049,43
2020-W34,PL-002,5084,2409,26
2020-W35,PL-002,3113,1443,14
2020-W36,PL-002,4992,1213,26
2020-W37,PL-002,5572,1782,35
2020-W38,PL-002,5268,1464,47
2020-W39,PL-002,4355,2423,6
2020-W40,PL-002,4553,2210,26
2020-W41,PL-002,4925,1360,21
2020-W42,PL-002,3317,2225,37
2020-W43,PL-002,4277,1443,51
2020-W44,PL-002,4427,2070,49
2020-W45,PL-002,1929,2108,14
2020-W46,PL-002,5592,2171,10
2020-W47,PL-002,1944,1535,53
2020-W48,PL-002,5864,1798,25
2020-W49,PL-002,2136,1922,41
2020-W50,PL-002,3764,2441,58
2020-W51,PL-002,2853,1412,26
2020-W52,PL-002,4867,2485,47
2020-W53,PL-002,4269,2190,12
2021-W01,PL-002,2475,1476,48
2021-W02,PL-002,2251,1393,51
2021-W03,PL-002,4609,1408,21
2021-W04,PL-002,5386,1975,37
2021-W05,PL-002,5997,2349,19
2021-W06,PL-002,5253,1477,42
2021-W07,PL-002,4625,2247,38
2021-W08,PL-002,2820,1624,24
2021-W09,PL-002,1967,2240,23
2021-W10,PL-002,1933,2440,31
2021-W11,PL-002,3865,2281,11
2021-W12,PL-002,3457,2164,5
2021-W13,PL-002,5864,1295,55
2021-W14,PL-002,3122,1202,40
2021-W15,PL-002,2044,1806,5
2021-W16,PL-002,4498,1605,50
2021-W17,PL-002,1899,1518,14
2021-W18,PL-002,1559,2178,46
2021-W19,PL-002,1929,1414,38
2021-W20,PL-002,3546,1891,8
2021-W21,PL-002,2709,1467,25
2021-W22,PL-002,2705,1765,10
2021-W23,PL-002,4588,1699,26
2021-W24,PL-002,1288,1423,26
2021-W25,PL-002,4563,1441,45
2021-W26,PL-002,3452,2336,19
2021-W27,PL-002,3126,2092,59
2021-W28,PL-002,5249,1340,43
2021-W29,PL-002,2979,2290,24
2021-W30,PL-002,3944,2137,9
2021-W31,PL-002,1236,1257,46
2021-W32,PL-002,5488,2063,42
2021-W33,PL-002,2530,1468,46
2021-W34,PL-002,3638,2174,59
2021-W35,PL-002,4154,2293,32
2021-W36,PL-002,2296,1416,25
2021-W37,PL-002,1578,1612,48
2021-W38,PL-002,1156,2342,38
2021-W39,PL-002,2389,1435,42
2021-W40,PL-002,5555,1353,43
2021-W41,PL-002,4056,2061,31
2021-W42,PL-002,5701,1560,26
2021-W43,PL-002,1817,1656,20
2021-W44,PL-002,1599,2156,56
2021-W45,PL-002,1486,2380,41
2021-W46,PL-002,4471,1445,41
2021-W47,PL-002,5021,1779,46
2021-W48,PL-002,4863,1809,14
2021-W49,PL-002,1783,2059,44
2021-W50,PL-002,2921,1496,9
2021-W51,PL-002,3469,1289,14
2021-W52,PL-002,4228,2288,58
2022-W01,PL-002,2833,1434,39
2022-W02,PL-002,2688,1991,31
2022-W03,PL-002,4993,1210,13
2022-W04,PL-002,2040,1807,9
2022-W05,PL-002,2044,2174,27
2022-W06,PL-002,3464,1405,56
2022-W07,PL-002,4799,1200,53
2022-W08,PL-002,3500,1867,11
2022-W09,PL-002,5218,2330,57
2022-W10,PL-002,5539,1574,11
2022-W11,PL-002,5137,1319,60
2022-W12,PL-002,1439,1583,59
2022-W13,PL-002,5275,2333,59
2022-W14,PL-002,2514,1440,36
2022-W15,PL-002,1955,1360,25
2022-W16,PL-002,1465,1469,25
2022-W17,PL-002,4002,1915,46
2022-W18,PL-002,2788,2476,40
2022-W19,PL-002,3727,1424,53
2022-W20,PL-002,5515,1846,40
2022-W21,PL-002,5103,1217,7
2022-W22,PL-002,5072,2410,30
2022-W23,PL-002,5812,1894,10
2022-W24,PL-002,4773,2311,28
2022-W25,PL-002,1740,2274,36
2022-W26,PL-002,4272,1346,11
2022-W27,PL-002,2458,1843,13
2022-W28,PL-002,3794,1231,21
2022-W29,PL-002,3288,1779,28
2022-W30,PL-002,4176,1503,50
2022-W31,PL-002,4781,1786,43
2022-W32,PL-002,2380,2416,33
2022-W33,PL-002,4075,1604,58
2022-W34,PL-002,3809,1305,9
2022-W35,PL-002,3822,2349,45
2022-W36,PL-002,2789,1218,6
2022-W37,PL-002,1716,1889,42
2022-W38,PL-002,4940,2030,59
2022-W39,PL-002,3198,1200,13
2022-W40,PL-002,2000,2426,50
2022-W41,PL-002,2405,1808,39
2022-W42,PL-002,2546,1206,17
2022-W43,PL-002,3190,1629,21
2022-W44,PL-002,3012,1276,56
2022-W45,PL-002,2111,2365,47
2022-W46,PL-002,5039,1323,18
2022-W47,PL-002,4633,1604,57
2022-W48,PL-002,1121,1332,35
2022-W49,PL-002,2962,2452,60
2022-W50,PL-002,4964,2208,26
2022-W51,PL-002,4569,2362,55
2022-W52,PL-002,4526,1631,11
2023-W01,PL-002,2701,1581,27
2023-W02,PL-002,4083,1878,22
2023-W03,PL-002,1487,2198,23
2023-W04,PL-002,1571,2315,47
2023-W05,PL-002,2045,2427,37
2023-W06,PL-002,5569,1605,48
2023-W07,PL-002,1734,1992,52
2023-W08,PL-002,5165,2459,21
2023-W09,PL-002,1520,2184,57
2023-W10,PL-002,2182,2357,25
2020-W02,PL-003,3169,2270,25
2020-W03,PL-003,4692,1689,26
2020-W04,PL-003,4465,1900,29
2020-W05,PL-003,2865,1602,17
2020-W06,PL-003,5643,2195,24
2020-W07,PL-003,4611,1334,37
2020-W08,PL-003,4758,1541,16
2020-W09,PL-003,2216,1233,55
2020-W10,PL-003,3259,1420,54
2020-W11,PL-003,5443,1953,51
2020-W12,PL-003,1377,1741,5
2020-W13,PL-003,3885,2322,57
2020-W14,PL-003,4067,2365,31
2020-W15,PL-003,1191,2130,7
2020-W16,PL-003,5394,1270,42
2020-W17,PL-003,1385,2342,48
2020-W18,PL-003,5963,2352,20
2020-W19,PL-003,4500,1720,56
2020-W20,PL-003,3330,1588,51
2020-W21,PL-003,5561,1302,55
2020-W22,PL-003,3851,2172,12
2020-W23,PL-003,2549,2414,8
2020-W24,PL-003,4374,2248,59
2020-W25,PL-003,1233,1304,16
2020-W26,PL-003,1896,1925,48
2020-W27,PL-003,4854,2142,34
2020-W28,PL-003,5556,1902,7
2020-W29,PL-003,2072,1409,47
2020-W30,PL-003,1402,1304,47
2020-W31,PL-003,3122,1887,23
2020-W32,PL-003,5465,1749,6
2020-W33,PL-003,5337,1533,31
2020-W34,PL-003,1791,2007,9
2020-W35,PL-003,5366,1628,7
2020-W36,PL-003,1711,2445,8
2020-W37,PL-003,1996,1885,20
2020-W38,PL-003,2917,1523,54
2020-W39,PL-003,1987,2372,42
2020-W40,PL-003,1324,1973,19
2020-W41,PL-003,1332,1700,23
2020-W42,PL-003,1667,2365,35
2020-W43,PL-003,4784,2371,12
2020-W44,PL-003,2745,1952,54
2020-W45,PL-003,4590,1732,13
2020-W46,PL-003,4053,1621,51
2020-W47,PL-003,1119,2087,13
2020-W48,PL-003,4674,2207,46
2020-W49,PL-003,2382,1659,39
2020-W50,PL-003,5480,1493,56
2020-W51,PL-003,5597,2484,47
2020-W52,PL-003,5129,2243,17
2020-W53,PL-003,3577,2289,55
2021-W01,PL-003,2370,2311,30
2021-W02,PL-003,3457,2238,33
2021-W03,PL-003,5391,2377,30
2021-W04,PL-003,2962,1880,37
2021-W05,PL-003,5056,2155,43
2021-W06,PL-003,5306,2351,21
2021-W07,PL-003,1514,2461,50
2021-W08,PL-003,4904,2152,54
2021-W09,PL-003,1579,1872,39
2021-W10,PL-003,1129,1219,28
2021-W11,PL-003,4346,1526,34
2021-W12,PL-003,3221,1496,57
2021-W13,PL-003,3977,2383,49
2021-W14,PL-003,2443,2275,55
2021-W15,PL-003,5119,1914,21
2021-W16,PL-003,2899,2374,23
2021-W17,PL-003,1361,2175,51
2021-W18,PL-003,1019,1912,35
2021-W19,PL-003,3268,1239,10
2021-W20,PL-003,3745,1914,49
2021-W21,PL-003,3629,2012,46
2021-W22,PL-003,2888,2011,46
2021-W23,PL-003,2439,2000,42
2021-W24,PL-003,1843,1540,34
2021-W25,PL-003,4032,2267,43
2021-W26,PL-003,4224,2462,29
2021-W27,PL-003,5329,1750,8
2021-W28,PL-003,4285,1840,36
2021-W29,PL-003,1721,2203,14
2021-W30,PL-003,1246,2491,9
2021-W31,PL-003,1334,1219,32
2021-W32,PL-003,4694,2317,26
2021-W33,PL-003,2413,2194,34
2021-W34,PL-003,4174,1459,43
2021-W35,PL-003,5575,2107,20
2021-W36,PL-003,3085,2293,59
2021-W37,PL-003,1166,1275,33
2021-W38,PL-003,2549,1848,23
2021-W39,PL-003,4518,2413,30
2021-W40,PL-003,2297,1492,42
2021-W41,PL-003,1351,1907,38
2021-W42,PL-003,1702,1456,10
2021-W43,PL-003,5523,1370,59
2021-W44,PL-003,3509,1499,20
2021-W45,PL-003,4490,1293,37
2021-W46,PL-003,5982,1597,44
2021-W47,PL-003,5081,1518,13
2021-W48,PL-003,4118,1221,31
2021-W49,PL-003,5730,1969,55
2021-W50,PL-003,2703,1364,17
2021-W51,PL-003,5742,2259,30
2021-W52,PL-003,5198,2090,25
2022-W01,PL-003,5678,2113,39
2022-W02,PL-003,4650,1459,36
2022-W03,PL-003,3671,1549,38
2022-W04,PL-003,5704,2133,22
2022-W05,PL-003,2069,1736,31
2022-W06,PL-003,3394,1441,42
2022-W07,PL-003,2135,1352,37
2022-W08,PL-003,4401,2192,52
2022-W09,PL-003,2568,1656,52
2022-W10,PL-003,5806,1210,58
2022-W11,PL-003,3516,1232,57
2022-W12,PL-003,1456,1251,55
2022-W13,PL-003,3190,2031,43
2022-W14,PL-003,3859,1318,48
2022-W15,PL-003,1402,1208,30
2022-W16,PL-003,2705,2427,36
2022-W17,PL-003,4633,2189,38
2022-W18,PL-003,4938,1975,47
2022-W19,PL-003,1995,2430,49
2022-W20,PL-003,3958,1907,41
2022-W21,PL-003,2462,1629,48
2022-W22,PL-003,2589,1902,44
2022-W23,PL-003,5552,2433,29
2022-W24,PL-003,2345,1359,16
2022-W25,PL-003,4303,1869,9
2022-W26,PL-003,4713,2040,6
2022-W27,PL-003,3688,1829,26
2022-W28,PL-003,3131,2188,45
2022-W29,PL-003,5913,2264,35
2022-W30,PL-003,1231,1269,42
2022-W31,PL-003,2161,1415,35
2022-W32,PL-003,2572,1825,45
2022-W33,PL-003,5156,1662,8
2022-W34,PL-003,3123,2033,54
2022-W35,PL-003,4752,1471,50
2022-W36,PL-003,3614,1484,39
2022-W37,PL-003,1708,1661,28
2022-W38,PL-003,3197,1805,10
2022-W39,PL-003,1483,1223,48
2022-W40,PL-003,4109,1736,50
2022-W41,PL-003,5319,1263,36
2022-W42,PL-003,4148,1290,13
2022-W43,PL-003,2796,1436,35
2022-W44,PL-003,1032,2371,22
2022-W45,PL-003,3765,1515,24
2022-W46,PL-003,4548,1676,42
2022-W47,PL-003,3552,2036,40
2022-W48,PL-003,2172,1654,26
2022-W49,PL-003,3843,2418,32
2022-W50,PL-003,2766,2211,35
2022-W51,PL-003,4122,1475,41
2022-W52,PL-003,3392,1316,25
2023-W01,PL-003,3797,1788,55
2023-W02,PL-003,4534,1770,7
2023-W03,PL-003,3509,1561,34
2023-W04,PL-003,2311,1924,40
2023-W05,PL-003,2217,2014,32
2023-W06,PL-003,2538,1661,25
2023-W07,PL-003,1364,1956,31
2023-W08,PL-003,2405,1414,36
2023-W09,PL-003,2534,1316,27
2023-W10,PL-003,2810,1595,28
2023-W11,PL-003,2090,1588,37
2023-W12,PL-003,1134,1224,38
2023-W13,PL-003,1114,2201,9
2023-W14,PL-003,5087,2412,53
2023-W15,PL-003,3859,1242,57
2023-W16,PL-003,5655,2189,26
2023-W17,PL-003,5032,2051,57
2023-W18,PL-003,1221,1398,58
2023-W19,PL-003,5224,1571,44
2023-W20,PL-003,1823,1623,12
2020-W02,PL-004,5398,2174,10
2020-W03,PL-004,4933,1216,40
2020-W04,PL-004,3396,1528,18
2020-W05,PL-004,1925,2069,30
2020-W06,PL-004,4964,2224,37
2020-W07,PL-004,4472,2153,44
2020-W08,PL-004,2502,1852,17
2020-W09,PL-004,5838,1289,37
2020-W10,PL-004,3116,1931,20
2020-W11,PL-004,2817,2086,39
2020-W12,PL-004,5996,1936,13
2020-W13,PL-004,3552,1304,45
2020-W14,PL-004,5055,1697,52
2020-W15,PL-004,4228,1885,7
2020-W16,PL-004,4291,2444,41
2020-W17,PL-004,3861,1953,21
2020-W18,PL-004,3537,1967,37
2020-W19,PL-004,4818,2079,34
2020-W20,PL-004,4980,1393,51
2020-W21,PL-004,2148,1638,50
2020-W22,PL-004,2001,1680,16
2020-W23,PL-004,5127,2168,41
2020-W24,PL-004,4631,1217,38
2020-W25,PL-004,3874,2095,52
2020-W26,PL-004,1935,2331,13
2020-W27,PL-004,5109,1470,48
2020-W28,PL-004,1016,1702,55
2020-W29,PL-004,2606,2173,18
2020-W30,PL-004,5233,2371,13
2020-W31,PL-004,3972,1606,26
2020-W32,PL-004,4618,2222,28
2020-W33,PL-004,2596,2479,7
2020-W34,PL-004,3035,2190,33
2020-W35,PL-004,2666,2490,49
2020-W36,PL-004,1157,2171,42
2020-W37,PL-004,1908,1354,36
2020-W38,PL-004,1890,2475,19
2020-W39,PL-004,2292,2393,43
2020-W40,PL-004,4123,2121,7
2020-W41,PL-004,5910,1970,9
2020-W42,PL-004,4650,1688,14
2020-W43,PL-004,2356,2216,51
2020-W44,PL-004,4990,2153,24
2020-W45,PL-004,5570,2169,27
2020-W46,PL-004,1615,1862,35
2020-W47,PL-004,3183,1221,51
2020-W48,PL-004,2326,1523,41
2020-W49,PL-004,1567,2318,15
2020-W50,PL-004,1772,1496,44
2020-W51,PL-004,1719,1965,53
2020-W52,PL-004,4333,1284,8
2020-W53,PL-004,2832,2479,44
2021-W01,PL-004,2716,2140,54
2021-W02,PL-004,4185,2083,59
2021-W03,PL-004,4858,1742,50
2021-W04,PL-004,1531,1387,28
2021-W05,PL-004,1347,1917,54
2021-W06,PL-004,2562,2409,49
2021-W07,PL-004,3202,1900,36
2021-W08,PL-004,5624,2326,53
2021-W09,PL-004,1373,1624,11
2021-W10,PL-004,4792,2460,6
2021-W11,PL-004,2359,2354,36
2021-W12,PL-004,4849,1262,8
2021-W13,PL-004,1397,2229,17
2021-W14,PL-004,2259,1391,18
2021-W15,PL-004,4732,1617,54
2021-W16,PL-004,2136,2314,39
2021-W17,PL-004,4808,2016,41
2021-W18,PL-004,4436,2285,38
2021-W19,PL-004,1584,1330,12
2021-W20,PL-004,2820,1257,58
2021-W21,PL-004,3140,1966,7
2021-W22,PL-004,1790,2380,43
2021-W23,PL-004,1555,1302,50
2021-W24,PL-004,2983,2056,43
2021-W25,PL-004,5281,2122,12
2021-W26,PL-004,1809,1607,11
2021-W27,PL-004,2227,2059,27
2021-W28,PL-004,1701,2327,32
2021-W29,PL-004,5902,1537,57
2021-W30,PL-004,2766,2403,50
2021-W31,PL-004,3132,2382,33
2021-W32,PL-004,1020,1549,35
2021-W33,PL-004,5672,1792,13
2021-W34,PL-004,4500,2456,35
2021-W35,PL-004,4592,1810,59
2021-W36,PL-004,1945,1524,44
2021-W37,PL-004,3573,2259,42
2021-W38,PL-004,3001,1895,35
2021-W39,PL-004,4197,1362,45
2021-W40,PL-004,1104,2072,35
2021-W41,PL-004,1566,2258,40
2021-W42,PL-004,1029,1531,44
2021-W43,PL-004,5401,1877,18
2021-W44,PL-004,4045,1901,33
2021-W45,PL-004,2828,2025,34
2021-W46,PL-004,5322,2210,60
2021-W47,PL-004,4017,2487,30
2021-W48,PL-004,3401,1745,10
2021-W49,PL-004,1291,2003,24
2021-W50,PL-004,3355,1871,7
2021-W51,PL-004,4398,1318,28
2021-W52,PL-004,3292,2101,38
2022-W01,PL-004,5636,1660,6
2022-W02,PL-004,1519,2203,24
2022-W03,PL-004,1066,2220,38
2022-W04,PL-004,5231,1853,21
2022-W05,PL-004,5006,2132,42
2022-W06,PL-004,2773,2122,21
2022-W07,PL-004,3759,1479,45
2022-W08,PL-004,3199,1390,41
2022-W09,PL-004,5079,1875,35
2022-W10,PL-004,2757,1300,36
2022-W11,PL-004,2632,1330,55
2022-W12,PL-004,1737,1250,44
2022-W13,PL-004,4038,2008,8
2022-W14,PL-004,1561,1647,23
2022-W15,PL-004,3976,2041,55
2022-W16,PL-004,3930,1233,25
2022-W17,PL-004,2709,1459,52
2022-W18,PL-004,4739,2424,52
2022-W19,PL-004,3327,1310,43
2022-W20,PL-004,3171,1902,59
2022-W21,PL-004,1930,1495,57
2022-W22,PL-004,3010,2009,8
2022-W23,PL-004,1359,2078,56
2022-W24,PL-004,4308,2124,9
2022-W25,PL-004,4460,2228,39
2022-W26,PL-004,4714,1615,31
2022-W27,PL-004,1141,1534,44
2022-W28,PL-004,1817,1825,13
2022-W29,PL-004,1866,1855,5
2022-W30,PL-004,1232,1447,18
2022-W31,PL-004,5402,1771,54
2022-W32,PL-004,5809,1604,52
2022-W33,PL-004,3091,2388,33
2022-W34,PL-004,5485,2485,55
2022-W35,PL-004,2369,1826,47
2022-W36,PL-004,1079,2446,48
2022-W37,PL-004,3667,1242,19
2022-W38,PL-004,2075,1789,21
2022-W39,PL-004,4944,2040,8
2022-W40,PL-004,2585,1260,38
2022-W41,PL-004,1488,1626,21
2022-W42,PL-004,4939,1479,41
2022-W43,PL-004,2386,1942,48
2022-W44,PL-004,1583,2418,43
2022-W45,PL-004,1022,1249,5
2022-W46,PL-004,1019,2032,24
2022-W47,PL-004,2916,1559,49
2022-W48,PL-004,4288,1874,60
2022-W49,PL-004,3664,2073,11
2022-W50,PL-004,4634,2185,27
2022-W51,PL-004,2161,2495,27
2022-W52,PL-004,4263,1549,59
2023-W01,PL-004,1160,2224,11
2023-W02,PL-004,2797,2322,19
2023-W03,PL-004,3157,1277,40
2023-W04,PL-004,5783,1723,47
2023-W05,PL-004,4339,2042,43
2023-W06,PL-004,3153,1301,34
2023-W07,PL-004,3720,2233,34
2023-W08,PL-004,2837,1577,24
2023-W09,PL-004,1230,1886,44
2023-W10,PL-004,4267,1778,56
2023-W11,PL-004,2174,2189,11
2023-W12,PL-004,1583,1994,17
2023-W13,PL-004,2626,2297,27
2023-W14,PL-004,1621,2415,29
2023-W15,PL-004,3520,1908,13
2023-W16,PL-004,2770,1234,56
2023-W17,PL-004,4703,2029,33
2023-W18,PL-004,3470,2166,31
2023-W19,PL-004,5167,1514,33
2023-W20,PL-004,1994,1856,19
2023-W21,PL-004,4901,1603,50
2020-W02,PL-005,6102,2066,37
2020-W03,PL-005,6542,1800,37
2020-W04,PL-005,5872,1282,26
2020-W05,PL-005,6558,1736,24
2020-W06,PL-005,2323,1688,18
2020-W07,PL-005,3859,2072,26
2020-W08,PL-005,4594,1166,20
2020-W09,PL-005,4288,1117,40
2020-W10,PL-005,1942,2014,58
2020-W11,PL-005,7790,2087,28
2020-W12,PL-005,2315,1636,5
2020-W13,PL-005,4876,1077,40
2020-W14,PL-005,6847,1034,52
2020-W15,PL-005,6480,1447,50
2020-W16,PL-005,4177,1476,26
2020-W17,PL-005,1942,2173,48
2020-W18,PL-005,4807,1875,54
2020-W19,PL-005,6427,1994,27
2020-W20,PL-005,1684,1605,23
2020-W21,PL-005,5915,1367,12
2020-W22,PL-005,7273,1276,11
2020-W23,PL-005,2066,2091,38
2020-W24,PL-005,3611,2042,54
2020-W25,PL-005,2751,2164,22
2020-W26,PL-005,5527,1170,26
2020-W27,PL-005,4547,1667,14
2020-W28,PL-005,6313,1762,11
2020-W29,PL-005,2129,1961,27
2020-W30,PL-005,5367,1510,15
2020-W31,PL-005,3225,2197,51
2020-W32,PL-005,2047,1237,53
2020-W33,PL-005,7691,1470,25
2020-W34,PL-005,1708,1537,54
2020-W35,PL-005,7606,1617,21
2020-W36,PL-005,2922,2048,48
2020-W37,PL-005,4479,1091,53
2020-W38,PL-005,6850,1092,25
2020-W39,PL-005,2695,2159,57
2020-W40,PL-005,1120,1210,42
2020-W41,PL-005,2319,1073,21
