NCR_ID,PartNumber,DefectCode,DetectedAtStation,Disposition,PPM_Rate,EightD_Status
NCR-CN-00037,MER-LOW-VOLTAGE-BATT-0023,PAINT-BLISTER,BAT-S02,Rework,45,Open-D4
NCR-CN-00038,MER-BODY-SHELL-0003,PAINT-BLISTER,BAT-S02,Rework,437,Closed
NCR-CN-00039,MER-WHEELS-0014,ASSY-WRONG-PART,BAT-S03,Rework,448,Closed
NCR-CN-00040,MER-BUMPER-REAR-0007,PAINT-RUNS,BAT-S01,Scrap,348,Closed
NCR-CN-00041,MER-DC-DC-CONVERTER-0036,ASSY-MISSING-FASTENER,BAT-S03,Rework,448,Closed
NCR-CN-00042,MER-HOOD-0005,SURFACE-SCRATCH,BAT-S02,Rework,188,Open-D7
NCR-CN-00043,MER-DC-DC-CONVERTER-0036,WELD-POROSITY,BAT-S04,Rework,37,Open-D6
NCR-CN-00044,MER-ROTOR-0032,PAINT-ORANGE-PEEL,BAT-S04,Rework,272,Open-D4
NCR-CN-00045,MER-BUMPER-FRONT-0006,DIM-OUT-OF-TOLERANCE,BAT-S03,Scrap,120,Closed
NCR-CN-00046,MER-BRAKE-SYSTEM-0012,DIM-OUT-OF-TOLERANCE,BAT-S01,Rework,265,Closed
NCR-CN-00047,MER-BUMPER-FRONT-0006,SEAL-LEAK,BAT-S04,Rework,218,Open-D4
NCR-CN-00048,MER-INFOTAINMENT-UNI-0025,ELEC-SHORT-CIRCUIT,BAT-S03,Use-As-Is,317,Closed
NCR-CN-00049,MER-BODY-SHELL-0003,ELEC-OPEN-CIRCUIT,BAT-S02,Scrap,488,Open-D6
NCR-CN-00050,MER-BUMPER-REAR-0007,WELD-MISALIGN,BAT-S03,Scrap,344,Closed
NCR-CN-00051,MER-BATTERY-CELL-MOD-0027,WELD-POROSITY,BAT-S02,Rework,194,Open-D5
NCR-CN-00052,MER-DOOR-PANELS-0019,WELD-UNDERCUT,BAT-S01,Scrap,331,Open-D3
NCR-CN-00053,MER-HEADLINER-0020,DIM-GAP-FLUSH,BAT-S01,Rework,140,Closed
NCR-CN-00054,MER-LOW-VOLTAGE-BATT-0023,SEAL-LEAK,BAT-S03,Rework,194,Closed
NCR-CN-00055,MER-BATTERY-HOUSING-0029,ASSY-MISSING-FASTENER,BAT-S01,Rework,102,Closed
NCR-CN-00056,MER-DOORS-0004,WELD-POROSITY,BAT-S03,Rework,441,Closed
NCR-CN-00057,MER-LIGHTING-SYSTEM-0024,WELD-MISALIGN,BAT-S04,Use-As-Is,212,Open-D3
NCR-CN-00058,MER-VEH-EV-0001,DIM-GAP-FLUSH,BAT-S01,Rework,83,Closed
NCR-CN-00059,MER-ONBOARD-CHARGER-0037,WELD-POROSITY,BAT-S02,Rework,496,Closed
NCR-CN-00060,MER-STEERING-SYSTEM-0013,DIM-GAP-FLUSH,BAT-S04,Rework,305,Closed
NCR-CN-00061,MER-STEERING-SYSTEM-0013,PAINT-BLISTER,BAT-S04,Scrap,252,Open-D4
NCR-CN-00062,MER-MOTOR-HOUSING-0033,ELEC-OPEN-CIRCUIT,BAT-S01,Use-As-Is,176,Closed
NCR-CN-00063,MER-HEADLINER-0020,DIM-GAP-FLUSH,BAT-S03,Rework,155,Open-D3
NCR-CN-00064,MER-BUMPER-FRONT-0006,ELEC-OPEN-CIRCUIT,BAT-S03,Rework,100,Open-D3
NCR-CN-00065,MER-FENDERS-0008,ASSY-MISSING-FASTENER,BAT-S01,Use-As-Is,479,Closed
NCR-CN-00066,MER-CHARGING-CABLE-0040,ASSY-CROSS-THREAD,BAT-S01,Rework,432,Open-D8
NCR-CN-00067,MER-CHARGING-CABLE-0040,WELD-UNDERCUT,BAT-S03,Rework,223,Open-D3
NCR-CN-00068,MER-BODY-SHELL-0003,SURFACE-SCRATCH,BAT-S02,Scrap,357,Open-D6
NCR-CN-00069,MER-DOOR-PANELS-0019,WELD-MISALIGN,BAT-S03,Rework,221,Open-D5
NCR-CN-00070,MER-FRONT-SUSPENSION-0010,WELD-POROSITY,BAT-S04,Rework,285,Open-D8
NCR-CN-00071,MER-STEERING-SYSTEM-0013,ASSY-WRONG-PART,BAT-S02,Use-As-Is,360,Closed
NCR-CN-00072,MER-WHEELS-0014,ELEC-SHORT-CIRCUIT,BAT-S02,Rework,188,Open-D3
NCR-CN-00073,MER-HEADLINER-0020,DIM-OUT-OF-TOLERANCE,BAT-S02,Scrap,61,Open-D4
NCR-CN-00074,MER-ROTOR-0032,DIM-OUT-OF-TOLERANCE,BAT-S04,Scrap,285,Closed
NCR-CN-00075,MER-DC-DC-CONVERTER-0036,SEAL-LEAK,BAT-S01,Rework,312,Closed
NCR-CN-00076,MER-VEH-EV-0001,MATERIAL-CONTAMINATION,BAT-S02,Rework,282,Closed
NCR-CN-00077,MER-FRONT-SUSPENSION-0010,ASSY-WRONG-PART,BAT-S02,Scrap,458,Open-D8
NCR-CN-00078,MER-WHEELS-0014,SURFACE-SCRATCH,BAT-S03,Rework,326,Closed
NCR-CN-00079,MER-STATOR-0031,DIM-OUT-OF-TOLERANCE,BAT-S04,Rework,375,Open-D1
NCR-CN-00080,MER-DASHBOARD-0017,ELEC-CONNECTOR-MISMATE,BAT-S01,Scrap,363,Open-D3
NCR-CN-00081,MER-VEH-EV-0001,PAINT-ORANGE-PEEL,BAT-S02,Use-As-Is,237,Closed
NCR-CN-00082,MER-INVERTER-0035,PAINT-RUNS,BAT-S01,Scrap,31,Closed
NCR-CN-00083,MER-STATOR-0031,MATERIAL-CONTAMINATION,BAT-S04,Rework,250,Open-D6
NCR-CN-00084,MER-BRAKE-SYSTEM-0012,WELD-UNDERCUT,BAT-S02,Rework,32,Closed
NCR-CN-00085,MER-BRAKE-SYSTEM-0012,WELD-POROSITY,BAT-S01,Rework,468,Open-D5
NCR-CN-00086,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,BAT-S02,Scrap,484,Closed
NCR-CN-00087,MER-ROTOR-0032,SURFACE-SCRATCH,BAT-S01,Scrap,243,Closed
NCR-CN-00088,MER-BUMPER-FRONT-0006,WELD-UNDERCUT,BAT-S04,Scrap,104,Closed
NCR-CN-00089,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,BAT-S02,Rework,256,Open-D7
NCR-CN-00090,MER-STATOR-0031,SURFACE-SCRATCH,BAT-S02,Scrap,288,Closed
NCR-CN-00091,MER-LOW-VOLTAGE-BATT-0023,ELEC-OPEN-CIRCUIT,BAT-S02,Rework,313,Closed
NCR-CN-00092,MER-CHARGE-PORT-0039,SURFACE-SCRATCH,BAT-S03,Scrap,264,Closed
NCR-CN-00093,MER-BATTERY-MANAGEME-0028,ELEC-OPEN-CIRCUIT,BAT-S01,Use-As-Is,216,Open-D1
NCR-CN-00094,MER-BATTERY-HOUSING-0029,SURFACE-SCRATCH,BAT-S03,Rework,88,Closed
NCR-CN-00095,MER-DC-DC-CONVERTER-0036,SURFACE-SCRATCH,BAT-S03,Rework,165,Open-D3
NCR-CN-00096,MER-STEERING-SYSTEM-0013,SURFACE-SCRATCH,BAT-S02,Rework,467,Closed
NCR-CN-00097,MER-LIGHTING-SYSTEM-0024,ELEC-CONNECTOR-MISMATE,BAT-S01,Rework,468,Closed
NCR-CN-00098,MER-DOORS-0004,SURFACE-SCRATCH,BAT-S01,Use-As-Is,169,Open-D7
NCR-CN-00099,MER-FENDERS-0008,DIM-GAP-FLUSH,BAT-S03,Scrap,84,Closed
NCR-CN-00100,MER-DC-DC-CONVERTER-0036,SEAL-LEAK,BAT-S03,Rework,192,Open-D7
NCR-CN-00101,MER-BATTERY-CELL-MOD-0027,SEAL-LEAK,BAT-S01,Rework,201,Open-D3
NCR-CN-00102,MER-ONBOARD-CHARGER-0037,MATERIAL-CONTAMINATION,BAT-S02,Scrap,211,Closed
NCR-CN-00103,MER-BATTERY-CELL-MOD-0027,ELEC-CONNECTOR-MISMATE,BAT-S03,Rework,294,Open-D5
NCR-CN-00104,MER-ONBOARD-CHARGER-0037,ASSY-WRONG-PART,BAT-S01,Rework,379,Closed
NCR-CN-00105,MER-BATTERY-MANAGEME-0028,PAINT-BLISTER,BAT-S03,Rework,323,Open-D8
NCR-CN-00106,MER-STATOR-0031,ASSY-WRONG-PART,BAT-S02,Rework,183,Closed
NCR-CN-00107,MER-WIRING-HARNESS-0022,WELD-UNDERCUT,BAT-S04,Rework,338,Closed
NCR-CN-00108,MER-HEADLINER-0020,WELD-MISALIGN,BAT-S04,Rework,498,Open-D8
NCR-CN-00109,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,BAT-S01,Rework,175,Closed
NCR-CN-00110,MER-CENTER-CONSOLE-0018,WELD-POROSITY,BAT-S02,Use-As-Is,33,Open-D2
NCR-CN-00111,MER-BUMPER-FRONT-0006,WELD-POROSITY,BAT-S01,Rework,370,Open-D7
NCR-CN-00112,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,BAT-S02,Use-As-Is,496,Closed
NCR-CN-00113,MER-HOOD-0005,PAINT-ORANGE-PEEL,BAT-S02,Rework,351,Closed
NCR-CN-00114,MER-VEH-EV-0001,PAINT-RUNS,BAT-S03,Use-As-Is,322,Closed
NCR-CN-00115,MER-DC-DC-CONVERTER-0036,PAINT-BLISTER,BAT-S02,Scrap,147,Open-D2
NCR-CN-00116,MER-WHEELS-0014,SURFACE-SCRATCH,BAT-S02,Rework,132,Open-D6
NCR-CN-00117,MER-DOORS-0004,ELEC-SHORT-CIRCUIT,BAT-S02,Rework,95,Closed
NCR-CN-00118,MER-REAR-SUSPENSION-0011,ELEC-CONNECTOR-MISMATE,BAT-S03,Rework,170,Closed
NCR-CN-00119,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,BAT-S03,Rework,271,Closed
NCR-CN-00120,MER-HOOD-0005,WELD-UNDERCUT,BAT-S02,Rework,131,Open-D8
NCR-CN-00121,MER-LIGHTING-SYSTEM-0024,DIM-GAP-FLUSH,BAT-S02,Scrap,28,Open-D4
NCR-CN-00122,MER-REAR-SUSPENSION-0011,ELEC-OPEN-CIRCUIT,BAT-S01,Rework,179,Closed
NCR-CN-00123,MER-DOOR-PANELS-0019,ASSY-WRONG-PART,BAT-S01,Use-As-Is,302,Open-D4
NCR-CN-00124,MER-REAR-SUSPENSION-0011,PAINT-RUNS,BAT-S02,Scrap,71,Open-D6
NCR-CN-00125,MER-LOW-VOLTAGE-BATT-0023,DIM-GAP-FLUSH,BAT-S02,Use-As-Is,471,Closed
NCR-CN-00126,MER-BUMPER-FRONT-0006,ASSY-CROSS-THREAD,BAT-S01,Rework,77,Open-D1
NCR-CN-00127,MER-ROTOR-0032,PAINT-BLISTER,BAT-S03,Rework,55,Closed
NCR-CN-00128,MER-BRAKE-SYSTEM-0012,SEAL-LEAK,BAT-S01,Scrap,484,Open-D1
NCR-CN-00129,MER-BODY-SHELL-0003,PAINT-ORANGE-PEEL,BAT-S01,Rework,386,Closed
NCR-CN-00130,MER-BODY-SHELL-0003,DIM-OUT-OF-TOLERANCE,BAT-S02,Rework,307,Closed
NCR-CN-00131,MER-LOW-VOLTAGE-BATT-0023,DIM-GAP-FLUSH,BAT-S02,Scrap,206,Open-D3
NCR-CN-00132,MER-LOW-VOLTAGE-BATT-0023,ASSY-CROSS-THREAD,BAT-S04,Rework,49,Closed
NCR-CN-00133,MER-ROTOR-0032,ASSY-WRONG-PART,BAT-S02,Rework,376,Closed
NCR-CN-00134,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,BAT-S03,Rework,372,Open-D2
NCR-CN-00135,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,BAT-S03,Rework,305,Closed
NCR-CN-00136,MER-BRAKE-SYSTEM-0012,ASSY-CROSS-THREAD,BAT-S02,Scrap,374,Closed
NCR-CN-00137,MER-CHARGE-PORT-0039,WELD-POROSITY,BAT-S03,Rework,408,Closed
NCR-CN-00138,MER-BATTERY-HOUSING-0029,WELD-MISALIGN,BAT-S03,Rework,30,Open-D4
NCR-CN-00139,MER-MOTOR-HOUSING-0033,WELD-UNDERCUT,BAT-S02,Scrap,349,Open-D3
NCR-CN-00140,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,BAT-S03,Rework,60,Closed
NCR-CN-00141,MER-VEH-EV-0001,WELD-UNDERCUT,BAT-S02,Use-As-Is,286,Closed
NCR-CN-00142,MER-DOORS-0004,SEAL-LEAK,BAT-S04,Scrap,95,Closed
NCR-CN-00143,MER-DASHBOARD-0017,DIM-GAP-FLUSH,BAT-S01,Use-As-Is,314,Open-D5
NCR-CN-00144,MER-INFOTAINMENT-UNI-0025,ELEC-CONNECTOR-MISMATE,BAT-S04,Rework,449,Open-D7
NCR-CN-00145,MER-CHARGING-CABLE-0040,PAINT-ORANGE-PEEL,BAT-S02,Rework,275,Closed
NCR-CN-00146,MER-BODY-SHELL-0003,DIM-OUT-OF-TOLERANCE,BAT-S01,Scrap,235,Closed
NCR-CN-00147,MER-HOOD-0005,PAINT-RUNS,BAT-S02,Scrap,377,Open-D6
NCR-CN-00148,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,BAT-S01,Rework,271,Closed
NCR-CN-00149,MER-LOW-VOLTAGE-BATT-0023,PAINT-BLISTER,BAT-S04,Rework,122,Open-D4
NCR-CN-00150,MER-HEADLINER-0020,WELD-UNDERCUT,BAT-S04,Rework,103,Closed
NCR-CN-00151,MER-INFOTAINMENT-UNI-0025,MATERIAL-CONTAMINATION,BAT-S04,Rework,387,Closed
NCR-CN-00152,MER-INFOTAINMENT-UNI-0025,ASSY-WRONG-PART,BAT-S02,Use-As-Is,27,Closed
NCR-CN-00153,MER-CHARGING-CABLE-0040,WELD-MISALIGN,BAT-S01,Rework,140,Closed
NCR-CN-00154,MER-REAR-SUSPENSION-0011,SEAL-LEAK,BAT-S02,Rework,393,Open-D3
NCR-CN-00155,MER-CHARGE-PORT-0039,SURFACE-SCRATCH,BAT-S02,Rework,330,Open-D5
NCR-CN-00156,MER-DOOR-PANELS-0019,WELD-POROSITY,BAT-S03,Rework,284,Closed
NCR-CN-00157,MER-HEADLINER-0020,WELD-POROSITY,BAT-S03,Rework,347,Closed
NCR-CN-00158,MER-REAR-SUSPENSION-0011,PAINT-RUNS,BAT-S02,Rework,361,Open-D8
NCR-CN-00159,MER-DOOR-PANELS-0019,ASSY-WRONG-PART,BAT-S01,Scrap,104,Closed
NCR-CN-00160,MER-BUMPER-FRONT-0006,PAINT-RUNS,BAT-S02,Scrap,140,Closed
NCR-CN-00161,MER-INFOTAINMENT-UNI-0025,SURFACE-SCRATCH,BAT-S02,Rework,219,Closed
NCR-CN-00162,MER-LOW-VOLTAGE-BATT-0023,SURFACE-SCRATCH,BAT-S02,Rework,33,Open-D3
