Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1014,S03,20.133,21.438,18.88,2.03
K1014,S03,20.235,21.438,18.88,2.03
K1014,S03,20.412,21.438,18.88,2.03
K1015,S03,44.526,46.274,42.261,1.71
K1015,S03,44.156,46.274,42.261,1.71
K1015,S03,44.374,46.274,42.261,1.71
K1015,S03,44.411,46.274,42.261,1.71
K1015,S03,44.331,46.274,42.261,1.71
K1016,S01,48.516,50.147,47.117,1.69
K1016,S01,48.153,50.147,47.117,1.69
K1016,S01,48.743,50.147,47.117,1.69
K1016,S01,49.011,50.147,47.117,1.69
K1017,S01,198.3,199.256,197.642,1.06
K1017,S01,198.922,199.256,197.642,1.06
K1018,S01,139.195,140.076,138.951,0.76
K1018,S01,139.811,140.076,138.951,0.76
K1019,S02,164.332,167.074,160.903,1.95
K1019,S02,163.802,167.074,160.903,1.95
K1019,S02,163.415,167.074,160.903,1.95
K1019,S02,163.429,167.074,160.903,1.95
K1019,S02,164.135,167.074,160.903,1.95
K1020,S02,175.787,179.92,170.153,1.72
K1020,S02,174.572,179.92,170.153,1.72
K1021,S02,153.557,155.487,150.106,1.26
K1021,S02,153.385,155.487,150.106,1.26
K1021,S02,152.77,155.487,150.106,1.26
K1022,S01,62.283,65.216,61.882,0.89
K1022,S01,64.219,65.216,61.882,0.89
K1023,S01,22.082,24.289,19.622,0.77
K1023,S01,22.115,24.289,19.622,0.77
K1023,S01,21.765,24.289,19.622,0.77
K1023,S01,22.336,24.289,19.622,0.77
K1024,S01,83.927,84.869,83.685,1.38
K1024,S01,84.349,84.869,83.685,1.38
K1024,S01,84.232,84.869,83.685,1.38
K1024,S01,84.392,84.869,83.685,1.38
K1024,S01,84.368,84.869,83.685,1.38
K1025,S02,128.514,130.927,126.084,1.34
K1025,S02,129.402,130.927,126.084,1.34
K1026,S01,200.185,201.978,196.925,0.84
K1026,S01,197.491,201.978,196.925,0.84
K1027,S01,175.261,179.678,170.903,0.84
K1027,S01,173.516,179.678,170.903,0.84
K1027,S01,175.809,179.678,170.903,0.84
K1028,S01,95.925,97.379,93.192,1.02
K1028,S01,95.325,97.379,93.192,1.02
K1029,S02,19.032,19.747,17.553,1.84
K1029,S02,18.979,19.747,17.553,1.84
K1029,S02,18.738,19.747,17.553,1.84
K1030,S02,53.449,56.798,49.895,1.83
K1030,S02,53.002,56.798,49.895,1.83
K1030,S02,53.097,56.798,49.895,1.83
K1031,S02,150.468,154.901,146.479,1.31
K1031,S02,152.591,154.901,146.479,1.31
K1032,S03,157.52,161.992,153.625,2.14
K1032,S03,157.582,161.992,153.625,2.14
K1032,S03,159.119,161.992,153.625,2.14
K1032,S03,157.617,161.992,153.625,2.14
K1033,S01,138.129,139.871,135.878,2.07
K1033,S01,137.635,139.871,135.878,2.07
K1033,S01,137.432,139.871,135.878,2.07
K1034,S02,136.007,140.945,131.038,0.62
K1034,S02,132.284,140.945,131.038,0.62
K1034,S02,137.418,140.945,131.038,0.62
K1034,S02,134.708,140.945,131.038,0.62
K1035,S02,111.625,114.285,109.486,1.81
K1035,S02,111.545,114.285,109.486,1.81
K1035,S02,111.762,114.285,109.486,1.81
K1035,S02,112.007,114.285,109.486,1.81
K1035,S02,111.603,114.285,109.486,1.81
K1036,S02,106.757,108.161,105.8,1.92
K1036,S02,106.628,108.161,105.8,1.92
K1036,S02,106.972,108.161,105.8,1.92
K1036,S02,107.088,108.161,105.8,1.92
K1036,S02,107.194,108.161,105.8,1.92
K1037,S03,48.26,50.839,43.623,1.75
K1037,S03,47.679,50.839,43.623,1.75
K1037,S03,46.684,50.839,43.623,1.75
K1037,S03,47.853,50.839,43.623,1.75
K1038,S01,46.533,49.407,41.386,1.58
K1038,S01,44.884,49.407,41.386,1.58
K1038,S01,44.514,49.407,41.386,1.58
K1038,S01,45.239,49.407,41.386,1.58
K1039,S01,193.519,198.985,190.432,0.62
K1039,S01,197.84,198.985,190.432,0.62
K1040,S02,23.333,24.514,21.856,2.05
K1040,S02,22.852,24.514,21.856,2.05
K1040,S02,22.842,24.514,21.856,2.05
K1040,S02,22.794,24.514,21.856,2.05
K1040,S02,23.381,24.514,21.856,2.05
K1041,S02,112.676,116.259,108.93,1.92
K1041,S02,112.18,116.259,108.93,1.92
K1041,S02,112.434,116.259,108.93,1.92
K1041,S02,113.038,116.259,108.93,1.92
K1041,S02,113.03,116.259,108.93,1.92
K1042,S02,184.592,186.091,180.566,0.74
K1042,S02,183.892,186.091,180.566,0.74
K1042,S02,182.676,186.091,180.566,0.74
K1043,S03,191.298,192.622,188.57,1.31
K1043,S03,190.915,192.622,188.57,1.31
K1043,S03,189.457,192.622,188.57,1.31
K1044,S03,191.931,195.508,188.136,1.87
K1044,S03,191.204,195.508,188.136,1.87
K1044,S03,191.93,195.508,188.136,1.87
K1044,S03,192.43,195.508,188.136,1.87
K1044,S03,191.407,195.508,188.136,1.87
K1045,S01,92.942,96.579,87.519,1.16
K1045,S01,93.99,96.579,87.519,1.16
K1045,S01,90.295,96.579,87.519,1.16
K1045,S01,92.403,96.579,87.519,1.16
K1045,S01,91.39,96.579,87.519,1.16
K1046,S02,42.35,49.321,39.603,1.02
K1046,S02,41.907,49.321,39.603,1.02
K1046,S02,44.185,49.321,39.603,1.02
K1046,S02,44.272,49.321,39.603,1.02
K1046,S02,43.491,49.321,39.603,1.02
K1047,S02,135.755,137.506,133.689,1.62
K1047,S02,135.585,137.506,133.689,1.62
K1047,S02,134.771,137.506,133.689,1.62
K1047,S02,135.344,137.506,133.689,1.62
K1047,S02,135.469,137.506,133.689,1.62
K1048,S02,165.661,170.53,164.422,1.06
K1048,S02,167.094,170.53,164.422,1.06
K1048,S02,169.083,170.53,164.422,1.06
K1049,S01,27.051,28.273,25.427,1.49
K1049,S01,26.337,28.273,25.427,1.49
K1049,S01,26.774,28.273,25.427,1.49
K1049,S01,26.378,28.273,25.427,1.49
K1050,S01,108.433,109.977,107.113,1.64
K1050,S01,108.887,109.977,107.113,1.64
K1051,S01,107.293,110.881,105.848,0.66
K1051,S01,108.515,110.881,105.848,0.66
K1051,S01,109.78,110.881,105.848,0.66
K1051,S01,107.799,110.881,105.848,0.66
K1052,S02,147.199,150.776,144.617,0.95
K1052,S02,146.724,150.776,144.617,0.95
K1052,S02,148.384,150.776,144.617,0.95
K1052,S02,148.204,150.776,144.617,0.95
K1053,S02,76.837,80.269,72.909,1.82
K1053,S02,76.506,80.269,72.909,1.82
K1053,S02,76.893,80.269,72.909,1.82
K1053,S02,75.57,80.269,72.909,1.82
K1054,S01,108.407,109.5,107.498,1.96
K1054,S01,108.63,109.5,107.498,1.96
K1054,S01,108.381,109.5,107.498,1.96
K1055,S01,30.756,33.937,24.808,1.19
K1055,S01,28.491,33.937,24.808,1.19
K1055,S01,27.637,33.937,24.808,1.19
K1055,S01,29.84,33.937,24.808,1.19
K1056,S01,40.858,46.176,38.032,1.51
K1056,S01,42.172,46.176,38.032,1.51
K1056,S01,41.958,46.176,38.032,1.51
K1057,S02,67.204,68.457,65.004,0.86
K1057,S02,67.098,68.457,65.004,0.86
K1057,S02,66.247,68.457,65.004,0.86
K1057,S02,66.433,68.457,65.004,0.86
K1057,S02,67.03,68.457,65.004,0.86
K1058,S02,98.806,101.813,96.424,2.15
K1058,S02,98.539,101.813,96.424,2.15
K1058,S02,99.447,101.813,96.424,2.15
K1059,S02,29.939,32.896,25.969,1.35
K1059,S02,28.57,32.896,25.969,1.35
K1059,S02,30.404,32.896,25.969,1.35
K1060,S03,79.607,84.455,75.698,1.11
K1060,S03,82.087,84.455,75.698,1.11
K1060,S03,79.255,84.455,75.698,1.11
K1060,S03,79.66,84.455,75.698,1.11
K1061,S03,166.836,167.36,162.507,0.93
K1061,S03,164.177,167.36,162.507,0.93
K1062,S03,40.265,44.394,36.294,1.75
K1062,S03,40.35,44.394,36.294,1.75
K1062,S03,40.633,44.394,36.294,1.75
K1062,S03,39.377,44.394,36.294,1.75
K1063,S01,39.047,39.625,38.198,1.83
K1063,S01,39.165,39.625,38.198,1.83
K1063,S01,38.9,39.625,38.198,1.83
K1064,S01,34.482,37.755,30.557,1.15
K1064,S01,34.844,37.755,30.557,1.15
K1064,S01,33.658,37.755,30.557,1.15
K1064,S01,37.463,37.755,30.557,1.15
K1065,S02,166.81,169.567,160.065,0.8
K1065,S02,162.174,169.567,160.065,0.8
K1065,S02,164.215,169.567,160.065,0.8
K1065,S02,165.326,169.567,160.065,0.8
K1066,S02,186.921,190.592,183.311,1.8
K1066,S02,187.502,190.592,183.311,1.8
K1066,S02,188.431,190.592,183.311,1.8
K1067,S03,142.075,147.437,138.128,0.75
K1067,S03,144.293,147.437,138.128,0.75
K1068,S04,163.943,164.755,163.265,1.11
K1068,S04,163.922,164.755,163.265,1.11
K1068,S04,164.053,164.755,163.265,1.11
K1069,S04,84.662,86.514,78.071,0.68
K1069,S04,82.453,86.514,78.071,0.68
K1069,S04,82.244,86.514,78.071,0.68
K1069,S04,79.023,86.514,78.071,0.68
K1070,S04,25.678,25.959,21.928,0.65
K1070,S04,25.204,25.959,21.928,0.65
K1070,S04,24.184,25.959,21.928,0.65
K1070,S04,25.978,25.959,21.928,0.65
K1071,S01,121.878,126.383,117.177,2.13
K1071,S01,120.738,126.383,117.177,2.13
K1071,S01,121.084,126.383,117.177,2.13
K1071,S01,122.499,126.383,117.177,2.13
K1072,S02,56.708,58.66,54.704,2.1
K1072,S02,56.198,58.66,54.704,2.1
K1072,S02,56.686,58.66,54.704,2.1
K1073,S02,66.654,67.647,65.253,1.49
K1073,S02,66.901,67.647,65.253,1.49
K1073,S02,66.27,67.647,65.253,1.49
K1073,S02,66.461,67.647,65.253,1.49
K1073,S02,66.361,67.647,65.253,1.49
K1074,S03,23.572,25.255,21.956,1.65
K1074,S03,23.749,25.255,21.956,1.65
K1074,S03,23.464,25.255,21.956,1.65
K1075,S03,114.219,118.736,109.474,1.33
K1075,S03,115.333,118.736,109.474,1.33
K1075,S03,114.718,118.736,109.474,1.33
K1075,S03,115.613,118.736,109.474,1.33
K1075,S03,113.943,118.736,109.474,1.33
K1076,S03,173.595,176.71,167.14,1.38
K1076,S03,172.048,176.71,167.14,1.38
K1077,S04,118.225,120.615,114.938,1.4
K1077,S04,119.189,120.615,114.938,1.4
K1077,S04,117.216,120.615,114.938,1.4
K1078,S04,88.105,89.103,86.406,0.86
K1078,S04,87.899,89.103,86.406,0.86
K1079,S01,117.002,118.592,116.531,0.62
K1079,S01,116.992,118.592,116.531,0.62
K1079,S01,117.173,118.592,116.531,0.62
K1079,S01,117.878,118.592,116.531,0.62
K1079,S01,117.831,118.592,116.531,0.62
K1080,S01,182.256,186.958,180.993,0.96
K1080,S01,182.873,186.958,180.993,0.96
K1080,S01,184.121,186.958,180.993,0.96
K1080,S01,183.439,186.958,180.993,0.96
K1080,S01,184.493,186.958,180.993,0.96
K1081,S02,41.595,46.572,39.539,1.67
K1081,S02,43.105,46.572,39.539,1.67
K1082,S02,190.557,196.069,186.842,2.0
K1082,S02,192.259,196.069,186.842,2.0
K1082,S02,191.82,196.069,186.842,2.0
K1082,S02,191.872,196.069,186.842,2.0
K1082,S02,192.138,196.069,186.842,2.0
K1083,S03,112.365,116.097,109.828,1.61
K1083,S03,113.07,116.097,109.828,1.61
K1083,S03,113.739,116.097,109.828,1.61
K1084,S01,183.377,189.021,180.143,1.55
K1084,S01,186.055,189.021,180.143,1.55
K1084,S01,186.881,189.021,180.143,1.55
K1084,S01,184.897,189.021,180.143,1.55
K1084,S01,183.869,189.021,180.143,1.55
K1085,S02,55.646,57.108,53.381,2.04
K1085,S02,55.171,57.108,53.381,2.04
K1085,S02,55.743,57.108,53.381,2.04
K1086,S01,103.121,105.666,101.402,1.94
K1086,S01,103.426,105.666,101.402,1.94
K1086,S01,103.385,105.666,101.402,1.94
K1086,S01,103.66,105.666,101.402,1.94
K1087,S02,143.214,145.798,139.996,0.85
K1087,S02,143.142,145.798,139.996,0.85
K1087,S02,144.639,145.798,139.996,0.85
K1087,S02,143.243,145.798,139.996,0.85
K1088,S03,103.412,105.604,100.921,2.2
K1088,S03,103.772,105.604,100.921,2.2
K1089,S03,24.573,27.707,22.18,2.01
K1089,S03,25.225,27.707,22.18,2.01
K1090,S03,174.871,179.446,171.169,0.93
K1090,S03,174.656,179.446,171.169,0.93
K1090,S03,174.655,179.446,171.169,0.93
K1090,S03,175.5,179.446,171.169,0.93
K1090,S03,176.915,179.446,171.169,0.93
K1091,S01,146.751,151.97,142.422,1.51
K1091,S01,148.111,151.97,142.422,1.51
K1091,S01,145.339,151.97,142.422,1.51
K1091,S01,145.106,151.97,142.422,1.51
K1091,S01,146.936,151.97,142.422,1.51
K1092,S01,126.569,132.07,122.481,2.02
K1092,S01,127.65,132.07,122.481,2.02
K1092,S01,127.12,132.07,122.481,2.02
K1093,S02,171.561,172.731,169.778,0.66
K1093,S02,170.748,172.731,169.778,0.66
K1093,S02,171.979,172.731,169.778,0.66
K1093,S02,170.903,172.731,169.778,0.66
K1094,S02,84.792,89.947,80.984,0.75
K1094,S02,83.724,89.947,80.984,0.75
K1094,S02,87.966,89.947,80.984,0.75
K1095,S01,134.812,136.268,133.28,0.78
K1095,S01,134.036,136.268,133.28,0.78
K1095,S01,133.852,136.268,133.28,0.78
K1095,S01,135.263,136.268,133.28,0.78
K1095,S01,135.78,136.268,133.28,0.78
K1096,S01,77.495,78.179,76.854,1.3
K1096,S01,77.503,78.179,76.854,1.3
K1096,S01,77.673,78.179,76.854,1.3
K1096,S01,77.632,78.179,76.854,1.3
K1097,S01,153.469,155.15,151.965,1.91
K1097,S01,153.278,155.15,151.965,1.91
K1097,S01,153.755,155.15,151.965,1.91
K1097,S01,153.364,155.15,151.965,1.91
K1097,S01,153.602,155.15,151.965,1.91
K1098,S02,157.772,160.877,155.099,1.86
K1098,S02,157.667,160.877,155.099,1.86
K1098,S02,158.613,160.877,155.099,1.86
K1099,S02,186.609,188.162,183.892,1.86
K1099,S02,185.867,188.162,183.892,1.86
K1099,S02,186.414,188.162,183.892,1.86
K1100,S02,28.936,32.062,25.84,0.84
K1100,S02,32.332,32.062,25.84,0.84
K1100,S02,26.986,32.062,25.84,0.84
K1101,S03,37.623,40.623,32.935,2.04
K1101,S03,37.259,40.623,32.935,2.04
K1101,S03,37.162,40.623,32.935,2.04
K1101,S03,37.115,40.623,32.935,2.04
K1101,S03,37.167,40.623,32.935,2.04
K1102,S04,75.426,78.561,71.43,1.91
K1102,S04,75.276,78.561,71.43,1.91
K1102,S04,74.625,78.561,71.43,1.91
K1102,S04,75.719,78.561,71.43,1.91
K1103,S01,101.044,102.92,98.975,1.57
K1103,S01,100.735,102.92,98.975,1.57
K1103,S01,101.068,102.92,98.975,1.57
K1104,S01,66.112,70.976,62.379,2.13
K1104,S01,67.538,70.976,62.379,2.13
K1104,S01,66.105,70.976,62.379,2.13
K1104,S01,66.583,70.976,62.379,2.13
K1104,S01,67.339,70.976,62.379,2.13
K1105,S02,120.314,125.283,116.026,1.42
K1105,S02,119.374,125.283,116.026,1.42
K1105,S02,118.612,125.283,116.026,1.42
K1106,S02,89.236,91.331,85.58,1.81
K1106,S02,88.223,91.331,85.58,1.81
K1106,S02,88.534,91.331,85.58,1.81
K1107,S03,80.027,81.636,78.2,1.78
K1107,S03,79.805,81.636,78.2,1.78
K1107,S03,79.814,81.636,78.2,1.78
K1108,S03,158.68,163.681,155.323,1.21
K1108,S03,160.275,163.681,155.323,1.21
K1108,S03,158.611,163.681,155.323,1.21
K1108,S03,161.243,163.681,155.323,1.21
K1108,S03,159.079,163.681,155.323,1.21
K1109,S04,91.697,97.285,88.494,1.88
K1109,S04,93.387,97.285,88.494,1.88
K1109,S04,92.433,97.285,88.494,1.88
K1110,S01,48.398,49.875,43.861,0.73
K1110,S01,46.575,49.875,43.861,0.73
K1110,S01,49.438,49.875,43.861,0.73
K1110,S01,47.149,49.875,43.861,0.73
K1111,S01,17.457,17.621,16.41,0.93
K1111,S01,16.938,17.621,16.41,0.93
K1111,S01,17.006,17.621,16.41,0.93
K1112,S02,32.807,37.229,28.627,1.08
K1112,S02,33.588,37.229,28.627,1.08
K1112,S02,33.058,37.229,28.627,1.08
K1113,S02,143.759,148.51,140.523,1.74
K1113,S02,146.538,148.51,140.523,1.74
K1114,S03,113.702,118.057,108.114,1.73
K1114,S03,111.569,118.057,108.114,1.73
K1114,S03,112.996,118.057,108.114,1.73
K1114,S03,112.876,118.057,108.114,1.73
K1114,S03,113.616,118.057,108.114,1.73
K1115,S03,166.151,169.57,161.82,1.39
K1115,S03,165.836,169.57,161.82,1.39
K1115,S03,165.022,169.57,161.82,1.39
K1116,S04,130.869,134.473,126.855,1.26
K1116,S04,131.672,134.473,126.855,1.26
K1116,S04,130.352,134.473,126.855,1.26
K1117,S04,109.292,113.303,108.122,1.86
K1117,S04,111.154,113.303,108.122,1.86
K1117,S04,110.618,113.303,108.122,1.86
K1118,S01,132.014,135.58,129.613,1.06
K1118,S01,133.034,135.58,129.613,1.06
K1119,S02,29.975,30.992,28.413,1.72
K1119,S02,30.426,30.992,28.413,1.72
K1119,S02,29.522,30.992,28.413,1.72
K1119,S02,29.76,30.992,28.413,1.72
K1120,S02,39.907,40.682,39.477,1.04
K1120,S02,39.895,40.682,39.477,1.04
K1120,S02,40.294,40.682,39.477,1.04
K1120,S02,39.997,40.682,39.477,1.04
K1121,S02,145.512,152.073,143.078,1.34
K1121,S02,146.657,152.073,143.078,1.34
K1121,S02,149.426,152.073,143.078,1.34
K1122,S03,184.703,186.195,183.276,0.76
K1122,S03,184.205,186.195,183.276,0.76
K1122,S03,183.994,186.195,183.276,0.76
K1122,S03,185.397,186.195,183.276,0.76
K1123,S03,159.366,162.598,155.158,1.4
K1123,S03,159.781,162.598,155.158,1.4
K1123,S03,159.756,162.598,155.158,1.4
K1123,S03,158.717,162.598,155.158,1.4
K1123,S03,159.76,162.598,155.158,1.4
K1124,S04,81.864,83.531,75.241,0.92
K1124,S04,78.197,83.531,75.241,0.92
K1125,S01,59.959,63.594,56.193,1.24
K1125,S01,61.19,63.594,56.193,1.24
K1125,S01,60.184,63.594,56.193,1.24
K1126,S02,170.36,175.181,167.296,2.17
K1126,S02,170.687,175.181,167.296,2.17
K1127,S02,179.264,182.432,175.264,1.92
K1127,S02,178.706,182.432,175.264,1.92
K1127,S02,178.749,182.432,175.264,1.92
K1127,S02,179.2,182.432,175.264,1.92
K1128,S02,158.768,160.211,156.813,1.72
K1128,S02,159.189,160.211,156.813,1.72
K1128,S02,158.67,160.211,156.813,1.72
K1128,S02,158.294,160.211,156.813,1.72
K1129,S03,129.329,130.584,127.577,1.89
K1129,S03,129.093,130.584,127.577,1.89
K1129,S03,128.794,130.584,127.577,1.89
K1129,S03,129.183,130.584,127.577,1.89
K1130,S01,144.795,147.888,143.004,0.81
K1130,S01,145.088,147.888,143.004,0.81
K1130,S01,145.018,147.888,143.004,0.81
K1131,S02,33.673,35.964,31.618,1.93
K1131,S02,34.279,35.964,31.618,1.93
K1131,S02,33.611,35.964,31.618,1.93
K1131,S02,33.632,35.964,31.618,1.93
K1131,S02,33.232,35.964,31.618,1.93
K1132,S02,108.376,111.955,106.098,1.83
K1132,S02,108.797,111.955,106.098,1.83
K1132,S02,108.91,111.955,106.098,1.83
K1132,S02,109.566,111.955,106.098,1.83
K1132,S02,109.189,111.955,106.098,1.83
K1133,S03,102.863,105.503,100.352,1.28
K1133,S03,103.416,105.503,100.352,1.28
K1133,S03,102.393,105.503,100.352,1.28
K1134,S01,67.069,67.638,62.144,0.6
K1134,S01,66.207,67.638,62.144,0.6
K1134,S01,62.517,67.638,62.144,0.6
K1134,S01,65.11,67.638,62.144,0.6
K1135,S02,21.41,23.004,17.783,0.9
K1135,S02,20.721,23.004,17.783,0.9
K1135,S02,21.128,23.004,17.783,0.9
K1135,S02,20.362,23.004,17.783,0.9
K1136,S03,74.284,76.108,72.837,1.61
K1136,S03,74.282,76.108,72.837,1.61
K1136,S03,74.382,76.108,72.837,1.61
K1136,S03,74.391,76.108,72.837,1.61
K1137,S03,136.887,138.046,134.203,1.17
K1137,S03,134.999,138.046,134.203,1.17
K1138,S03,198.926,199.699,198.269,1.65
K1138,S03,199.115,199.699,198.269,1.65
K1139,S04,185.431,187.862,180.578,1.22
K1139,S04,183.764,187.862,180.578,1.22
K1139,S04,186.498,187.862,180.578,1.22
K1140,S01,16.368,16.7,9.6,0.9
K1140,S01,14.906,16.7,9.6,0.9
K1140,S01,10.84,16.7,9.6,0.9
K1141,S01,84.787,86.125,83.253,0.93
K1141,S01,85.004,86.125,83.253,0.93
K1141,S01,84.211,86.125,83.253,0.93
K1141,S01,84.169,86.125,83.253,0.93
K1141,S01,84.0,86.125,83.253,0.93
K1142,S02,152.566,157.866,148.247,2.12
K1142,S02,152.632,157.866,148.247,2.12
K1142,S02,153.281,157.866,148.247,2.12
K1143,S03,22.299,23.717,21.302,1.71
K1143,S03,22.601,23.717,21.302,1.71
K1143,S03,22.654,23.717,21.302,1.71
K1144,S04,162.286,162.772,161.554,1.13
K1144,S04,162.32,162.772,161.554,1.13
K1144,S04,161.848,162.772,161.554,1.13
K1145,S04,58.159,63.117,54.131,2.07
K1145,S04,57.902,63.117,54.131,2.07
K1145,S04,59.221,63.117,54.131,2.07
K1145,S04,58.913,63.117,54.131,2.07
K1145,S04,59.83,63.117,54.131,2.07
K1146,S01,188.153,190.642,183.233,0.8
K1146,S01,187.481,190.642,183.233,0.8
K1146,S01,187.985,190.642,183.233,0.8
K1146,S01,189.523,190.642,183.233,0.8
K1147,S02,32.582,36.793,28.931,2.09
K1147,S02,32.352,36.793,28.931,2.09
K1147,S02,32.637,36.793,28.931,2.09
K1147,S02,33.447,36.793,28.931,2.09
K1148,S02,116.606,120.95,114.109,1.19
K1148,S02,117.692,120.95,114.109,1.19
K1148,S02,116.464,120.95,114.109,1.19
K1149,S02,130.67,133.231,128.489,0.99
K1149,S02,130.605,133.231,128.489,0.99
K1149,S02,130.64,133.231,128.489,0.99
K1149,S02,130.781,133.231,128.489,0.99
K1149,S02,131.515,133.231,128.489,0.99
K1150,S03,196.005,201.567,192.03,1.22
K1150,S03,196.907,201.567,192.03,1.22
K1150,S03,198.057,201.567,192.03,1.22
K1150,S03,196.027,201.567,192.03,1.22
K1151,S03,159.581,166.813,157.518,0.76
K1151,S03,160.131,166.813,157.518,0.76
K1152,S03,124.15,126.37,123.208,1.91
K1152,S03,124.677,126.37,123.208,1.91
K1152,S03,124.575,126.37,123.208,1.91
K1153,S04,181.622,182.988,179.019,2.0
K1153,S04,181.032,182.988,179.019,2.0
K1153,S04,181.297,182.988,179.019,2.0
K1153,S04,180.43,182.988,179.019,2.0
K1153,S04,181.419,182.988,179.019,2.0
K1154,S04,71.555,75.236,68.666,1.48
K1154,S04,71.958,75.236,68.666,1.48
K1155,S04,197.148,197.705,196.632,0.82
K1155,S04,196.76,197.705,196.632,0.82
K1155,S04,197.514,197.705,196.632,0.82
K1155,S04,196.634,197.705,196.632,0.82
K1156,S01,47.949,52.746,43.845,0.96
K1156,S01,47.835,52.746,43.845,0.96
K1156,S01,46.916,52.746,43.845,0.96
K1156,S01,50.863,52.746,43.845,0.96
K1157,S01,143.999,148.197,138.571,1.52
K1157,S01,144.897,148.197,138.571,1.52
K1158,S02,56.887,58.833,53.977,1.64
K1158,S02,56.315,58.833,53.977,1.64
K1158,S02,57.025,58.833,53.977,1.64
K1158,S02,56.707,58.833,53.977,1.64
K1159,S02,161.217,162.374,159.785,2.17
K1159,S02,160.877,162.374,159.785,2.17
K1159,S02,160.893,162.374,159.785,2.17
K1159,S02,161.283,162.374,159.785,2.17
K1160,S01,84.58,87.407,82.317,1.05
K1160,S01,84.376,87.407,82.317,1.05
K1160,S01,85.07,87.407,82.317,1.05
K1161,S01,187.077,190.504,182.529,1.21
K1161,S01,188.095,190.504,182.529,1.21
K1162,S01,101.271,103.86,98.694,1.96
K1162,S01,100.69,103.86,98.694,1.96
K1163,S02,140.773,142.382,137.543,1.96
K1163,S02,139.851,142.382,137.543,1.96
K1164,S02,12.212,16.097,10.328,0.97
K1164,S02,13.516,16.097,10.328,0.97
K1164,S02,13.071,16.097,10.328,0.97
K1165,S02,27.228,28.635,25.063,1.47
K1165,S02,27.294,28.635,25.063,1.47
K1165,S02,27.074,28.635,25.063,1.47
K1165,S02,27.17,28.635,25.063,1.47
K1166,S01,129.255,129.861,128.451,1.81
K1166,S01,129.132,129.861,128.451,1.81
K1166,S01,129.241,129.861,128.451,1.81
K1167,S02,140.722,141.332,140.01,0.74
K1167,S02,140.41,141.332,140.01,0.74
K1167,S02,140.424,141.332,140.01,0.74
K1167,S02,140.986,141.332,140.01,0.74
K1167,S02,140.751,141.332,140.01,0.74
K1168,S01,144.284,148.623,140.122,1.31
K1168,S01,144.115,148.623,140.122,1.31
K1168,S01,144.874,148.623,140.122,1.31
K1169,S01,32.452,35.053,29.541,1.83
K1169,S01,32.195,35.053,29.541,1.83
K1170,S02,50.292,54.62,45.799,1.65
K1170,S02,50.475,54.62,45.799,1.65
K1171,S02,109.866,113.863,106.324,1.53
K1171,S02,110.425,113.863,106.324,1.53
K1171,S02,110.694,113.863,106.324,1.53
K1171,S02,111.43,113.863,106.324,1.53
K1171,S02,110.945,113.863,106.324,1.53
