Line_No,Process_ID,Local_Process_Desc,WC_ID,Station_No,Linked_Asset_ID,Product_Ref,Material_Ref
L21,PR-0005,Pressure Decay Test,WU117,S01,000040000111,,
L21,PR-0048,Grinding - Trunk Lid,WU118,S02,000040000112,,
L21,PR-0001,Bead Application,WU119,S02,000040000113,,
L21,PR-0085,Deflashing - Brake Caliper,WU120,S02,000040000114,,
L21,PR-0001,Bead Application,WU121,S03,000040000115,,
L21,PR-0069,Inspection - Roof Rail,WU122,S04,000040000116,,
L21,PR-0035,Seal Application - Transmission Housing,WU123,S04,000040000117,,
L21,PR-0001,Bead Application,WU124,S04,000040000118,,
L22,PR-0001,Bead Application,WU125,S01,000040000119,,
L22,PR-0008,Clear Coat Spray,WU126,S01,000040000120,,
L22,PR-0003,Torque Fastening,WU127,S01,000040000121,,
L22,PR-0092,Drilling - Fender Panel,WU128,S02,000040000122,,
L22,PR-0002,RSW Operation,WU129,S02,000040000123,,
L22,PR-0007,Colour Coat Application,WU130,S03,000040000124,,
L22,PR-0003,Torque Fastening,WU131,S03,000040000125,,
L23,PR-0001,Bead Application,WU132,S01,000040000126,,
L23,PR-0003,Torque Fastening,WU133,S01,000040000127,,
L23,PR-0088,Roof Rail Drilling,WU134,S01,000040000128,,
L23,PR-0038,Body Panel Alignment,WU135,S02,000040000129,,
L23,PR-0121,Fastening - Fuel Rail,WU136,S02,000040000130,,
L23,PR-0006,Cathodic Dip Coating,WU137,S02,000040000131,,
L23,PR-0002,RSW Operation,WU138,S03,,,
L24,PR-0001,Bead Application,WU139,S01,000040000132,,
L24,PR-0010,Cable Routing,WU140,S01,,,
L24,PR-0001,Bead Application,WU141,S02,000040000133,,
L24,PR-0001,Bead Application,WU142,S03,000040000134,,
L24,PR-0020,Crimp Termination,WU143,S03,000040000135,,
L24,PR-0001,Bead Application,WU144,S04,000040000136,,
L24,PR-0015,Motor Coil Winding,WU145,S04,000040000137,,
L24,PR-0016,Sheet Metal Forming,WU146,S04,000040000138,,
L25,PR-0040,Shaping - Glass Panel,WU147,S01,000040000139,,
L25,PR-0005,Pressure Decay Test,WU148,S01,000040000140,,
L25,PR-0035,Seal Application - Transmission Housing,WU149,S01,000040000141,,
L25,PR-0005,Pressure Decay Test,WU150,S02,000040000142,,
L25,PR-0001,Bead Application,WU151,S02,000040000143,,
L25,PR-0003,Torque Fastening,WU152,S03,000040000144,,
L25,PR-0001,Bead Application,WU153,S03,000040000145,,
L25,PR-0009,Cell Stack Assembly,WU154,S03,000040000146,,
L25,PR-0044,Cutting Operation - Wheel Hub,WU155,S04,000040000147,,
L25,PR-0057,Deflashing - Transmission Housing,WU156,S04,000040000148,,
L26,PR-0002,RSW Operation,WU157,S01,000040000149,,
L26,PR-0001,Bead Application,WU158,S01,000040000150,,
L26,PR-0002,RSW Operation,WU159,S02,000040000151,,
L26,PR-0182,Securing - Roof Rail,WU160,S03,000040000152,,
L26,PR-0004,Camera Inspection,WU161,S04,000040000153,,
L27,PR-0007,Colour Coat Application,WU162,S01,000040000154,,
L27,PR-0001,Bead Application,WU163,S01,000040000155,,
L27,PR-0058,Moulding - Transmission Housing,WU164,S02,000040000156,,
L27,PR-0008,Clear Coat Spray,WU165,S02,000040000157,,
L28,PR-0001,Bead Application,WU166,S01,000040000158,,
L28,PR-0009,Cell Stack Assembly,WU167,S01,000040000159,,
L28,PR-0037,Inspection - Glass Panel,WU168,S02,000040000160,,
L28,PR-0009,Cell Stack Assembly,WU169,S02,,,
L29,PR-0167,Deflashing - Wire Harness,WU170,S01,000040000161,,
L29,PR-0094,Grinding - Chassis Frame,WU171,S01,000040000162,,
L29,PR-0012,Chassis Sealing,WU172,S02,000040000163,,
L29,PR-0141,Securing - Suspension Arm,WU173,S02,000040000164,,
L30,PR-0066,Radiator Core Machining,WU174,S01,000040000165,,
L30,PR-0005,Pressure Decay Test,WU175,S01,000040000166,,
L30,PR-0052,Fitting - Engine Block,WU176,S02,000040000167,,
L30,PR-0011,End-of-Line Test,WU177,S02,000040000168,,
L30,PR-0013,Door Fitment,WU178,S02,000040000169,,
L30,PR-0012,Chassis Sealing,WU179,S03,000040000170,,
L31,PR-0063,Grinding - Body Panel,WU180,S01,000040000171,,
L31,PR-0124,Inspection - Dashboard Assembly,WU181,S01,000040000172,,
L31,PR-0004,Camera Inspection,WU182,S02,,,
L31,PR-0024,PCBA Operation,WU183,S03,000040000173,,
L31,PR-0023,Interior Fitting,WU184,S03,000040000174,,
L31,PR-0103,Dispensing - Fuel Rail,WU185,S03,,,
L32,PR-0008,Clear Coat Spray,WU186,S01,000040000175,,
L32,PR-0002,RSW Operation,WU187,S02,000040000176,,
L32,PR-0002,RSW Operation,WU188,S02,000040000177,,
L32,PR-0001,Bead Application,WU189,S02,000040000178,,
L33,PR-0001,Bead Application,WU190,S01,000040000179,,
L33,PR-0003,Torque Fastening,WU191,S01,000040000180,,
L33,PR-0001,Bead Application,WU192,S01,000040000181,,
L33,PR-0094,Grinding - Chassis Frame,WU193,S02,000040000182,,
L33,PR-0005,Pressure Decay Test,WU194,S02,000040000183,,
L33,PR-0005,Pressure Decay Test,WU195,S02,,,
L33,PR-0048,Grinding - Trunk Lid,WU196,S03,000040000184,,
L33,PR-0003,Torque Fastening,WU197,S03,000040000185,,
L33,PR-0038,Body Panel Alignment,WU198,S03,000040000186,,
L33,PR-0071,Alignment - Seat Frame,WU199,S04,,,
L33,PR-0005,Pressure Decay Test,WU200,S04,,,
L34,PR-0009,Cell Stack Assembly,WU201,S01,000040000187,,
L34,PR-0004,Camera Inspection,WU202,S02,000040000188,,
L34,PR-0007,Colour Coat Application,WU203,S02,000040000189,,
L34,PR-0017,Blank Cutting,WU204,S03,000040000190,,
L34,PR-0004,Camera Inspection,WU205,S03,000040000191,,
L34,PR-0009,Cell Stack Assembly,WU206,S04,000040000192,,
L34,PR-0010,Cable Routing,WU207,S04,000040000193,,
L34,PR-0001,Bead Application,WU208,S04,000040000194,,
L35,PR-0001,Bead Application,WU209,S01,000040000195,,
L35,PR-0014,Toe & Camber Setting,WU210,S01,,,
L35,PR-0001,Bead Application,WU211,S02,000040000196,,
L35,PR-0035,Seal Application - Transmission Housing,WU212,S02,000040000197,,
L35,PR-0115,Packing - Glass Panel,WU213,S03,000040000198,,
L35,PR-0047,Sealing - Engine Block,WU214,S04,000040000199,,
L35,PR-0004,Camera Inspection,WU215,S04,000040000200,,
L35,PR-0008,Clear Coat Spray,WU216,S04,000040000201,,
L36,PR-0026,Cam Assembly,WU217,S01,,,
L36,PR-0031,Press Forming - Transmission Housing,WU218,S01,000040000202,,
L36,PR-0176,Dashboard Assembly Coating,WU219,S02,000040000203,,
L36,PR-0010,Cable Routing,WU220,S02,000040000204,,
L36,PR-0002,RSW Operation,WU221,S02,000040000205,,
L36,PR-0005,Pressure Decay Test,WU222,S03,000040000206,,
L36,PR-0127,Welding - Rear Axle,WU223,S03,000040000207,,
L37,PR-0023,Interior Fitting,WU224,S01,,,
L37,PR-0090,Testing - Wire Harness,WU225,S02,000040000208,,
L38,PR-0040,Shaping - Glass Panel,WU226,S01,000040000209,,
L38,PR-0164,Trunk Lid Cutting,WU227,S02,000040000210,,
L38,PR-0011,End-of-Line Test,WU228,S03,,,
L38,PR-0149,Battery Module Molding,WU229,S03,000040000211,,
L38,PR-0103,Dispensing - Fuel Rail,WU230,S04,000040000212,,
L38,PR-0080,Sealing - Dashboard Assembly,WU231,S04,,,
L38,PR-0140,Machining - Seat Frame,WU232,S04,000040000213,,
L39,PR-0012,Chassis Sealing,WU233,S01,000040000214,,
L39,PR-0044,Cutting Operation - Wheel Hub,WU234,S01,000040000215,,
L39,PR-0015,Motor Coil Winding,WU235,S01,000040000216,,
L39,PR-0054,Verification - Chassis Frame,WU236,S02,000040000217,,
L39,PR-0050,QC Review - Steering Column,WU237,S02,000040000218,,
L39,PR-0048,Grinding - Trunk Lid,WU238,S02,000040000219,,
L39,PR-0007,Colour Coat Application,WU239,S03,000040000220,,
L40,PR-0061,Trimming Operation - Suspension Arm,WU240,S01,000040000221,,
L40,PR-0097,Press Forming - Rear Axle,WU241,S01,000040000222,,
L40,PR-0024,PCBA Operation,WU242,S02,000040000223,,
L40,PR-0008,Clear Coat Spray,WU243,S02,000040000224,,
L40,PR-0085,Deflashing - Brake Caliper,WU244,S03,000040000225,,
L40,PR-0055,Engine Block Calibration,WU245,S04,000040000226,,
L40,PR-0009,Cell Stack Assembly,WU246,S04,000040000227,,
L41,PR-0017,Blank Cutting,WU247,S01,000040000228,,
L41,PR-0032,Testing - Fuel Rail,WU248,S01,000040000229,,
L41,PR-0032,Testing - Fuel Rail,WU249,S02,000040000230,,
L41,PR-0003,Torque Fastening,WU250,S03,000040000231,,
L41,PR-0003,Torque Fastening,WU251,S03,000040000232,,
L41,PR-0103,Dispensing - Fuel Rail,WU252,S04,000040000233,,
L41,PR-0138,Center Console Coating,WU253,S04,000040000234,,
L41,PR-0006,Cathodic Dip Coating,WU254,S04,000040000235,,
L42,PR-0120,Packing - Rear Axle,WU255,S01,000040000236,,
L42,PR-0009,Cell Stack Assembly,WU256,S02,000040000237,,
L42,PR-0001,Bead Application,WU257,S02,000040000238,,
L42,PR-0042,Assembly - Wire Harness,WU258,S02,000040000239,,
L42,PR-0001,Bead Application,WU259,S03,000040000240,,
L42,PR-0001,Bead Application,WU260,S03,000040000241,,
L42,PR-0142,Body Panel Fastening,WU261,S03,000040000242,,
L42,PR-0012,Chassis Sealing,WU262,S04,000040000243,,
L43,PR-0003,Torque Fastening,WU263,S01,000040000244,,
L43,PR-0009,Cell Stack Assembly,WU264,S01,000040000245,,
L43,PR-0017,Blank Cutting,WU265,S02,000040000246,,
L43,PR-0024,PCBA Operation,WU266,S02,000040000247,,
L43,PR-0004,Camera Inspection,WU267,S03,000040000248,,
L43,PR-0005,Pressure Decay Test,WU268,S03,000040000249,,
L43,PR-0014,Toe & Camber Setting,WU269,S04,,,
L43,PR-0022,Cover Stitching,WU270,S04,000040000250,,
L43,PR-0126,Assembly - Rear Axle,WU271,S04,000040000251,,
