PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-906152,B-05-5,613,Battery & eDrive Plant CN,Assembly Plant CN
MAT-885602,C-22-2,3034,Battery & eDrive Plant CN,Assembly Plant CN
MAT-284689,A-22-4,3200,Battery & eDrive Plant CN,Assembly Plant CN
MAT-897677,F-18-1,1549,Battery & eDrive Plant CN,Assembly Plant CN
MAT-753897,D-06-3,1796,Battery & eDrive Plant CN,Assembly Plant CN
MAT-516368,E-19-4,3484,Battery & eDrive Plant CN,Assembly Plant CN
MAT-998034,G-22-4,1094,Battery & eDrive Plant CN,Assembly Plant CN
MAT-728521,A-21-5,1995,Battery & eDrive Plant CN,Assembly Plant CN
MAT-487613,H-06-5,1723,Battery & eDrive Plant CN,Assembly Plant CN
MAT-910596,A-15-4,2500,Battery & eDrive Plant CN,Assembly Plant CN
MAT-178845,D-24-5,2910,Battery & eDrive Plant CN,Assembly Plant CN
MAT-453999,A-09-4,1204,Battery & eDrive Plant CN,Assembly Plant CN
MAT-620339,E-03-1,3588,Battery & eDrive Plant CN,Assembly Plant CN
MAT-770942,G-20-1,402,Battery & eDrive Plant CN,Assembly Plant CN
MAT-964000,D-15-5,4088,Battery & eDrive Plant CN,Assembly Plant CN
MAT-120710,E-20-5,602,Battery & eDrive Plant CN,Assembly Plant CN
MAT-549689,F-03-3,993,Battery & eDrive Plant CN,Assembly Plant CN
MAT-564067,B-15-5,4121,Battery & eDrive Plant CN,Assembly Plant CN
MAT-314661,A-01-4,3635,Battery & eDrive Plant CN,Assembly Plant CN
MAT-331443,G-05-2,1967,Battery & eDrive Plant CN,Assembly Plant CN
MAT-974471,A-29-3,1844,Battery & eDrive Plant CN,Assembly Plant CN
MAT-827097,E-22-1,3758,Battery & eDrive Plant CN,Assembly Plant CN
MAT-505672,B-17-4,3031,Battery & eDrive Plant CN,Assembly Plant CN
MAT-513152,F-21-3,4690,Battery & eDrive Plant CN,Assembly Plant CN
MAT-874935,H-05-3,4195,Battery & eDrive Plant CN,Assembly Plant CN
MAT-623202,D-18-3,435,Battery & eDrive Plant CN,Assembly Plant CN
MAT-706549,F-29-4,356,Battery & eDrive Plant CN,Assembly Plant CN
MAT-556568,C-09-5,618,Battery & eDrive Plant CN,Assembly Plant CN
MAT-247401,E-01-3,1683,Battery & eDrive Plant CN,Assembly Plant CN
MAT-436236,H-23-2,2617,Battery & eDrive Plant CN,Assembly Plant CN
MAT-723937,G-06-3,1247,Battery & eDrive Plant CN,Assembly Plant CN
MAT-917072,B-29-5,3465,Battery & eDrive Plant CN,Assembly Plant CN
MAT-761951,F-26-1,3088,Battery & eDrive Plant CN,Assembly Plant CN
MAT-150397,E-20-2,3124,Battery & eDrive Plant CN,Assembly Plant CN
MAT-120445,F-17-2,2059,Battery & eDrive Plant CN,Assembly Plant CN
MAT-401881,H-11-5,1307,Battery & eDrive Plant CN,Assembly Plant CN
MAT-457358,E-04-2,2793,Battery & eDrive Plant CN,Assembly Plant CN
MAT-377786,C-25-3,1131,Battery & eDrive Plant CN,Assembly Plant CN
MAT-585578,A-13-4,791,Battery & eDrive Plant CN,Assembly Plant CN
MAT-667009,B-29-1,2994,Battery & eDrive Plant CN,Assembly Plant CN
MAT-511198,C-16-3,3730,Battery & eDrive Plant CN,Assembly Plant CN
MAT-306937,A-04-1,2907,Battery & eDrive Plant CN,Assembly Plant CN
MAT-569022,D-16-4,3025,Battery & eDrive Plant CN,Assembly Plant CN
MAT-138141,C-28-4,2623,Battery & eDrive Plant CN,Assembly Plant CN
MAT-916349,G-27-1,1369,Battery & eDrive Plant CN,Assembly Plant CN
MAT-619461,F-13-5,4949,Battery & eDrive Plant CN,Assembly Plant CN
MAT-527429,F-05-3,563,Battery & eDrive Plant CN,Assembly Plant CN
MAT-776890,F-20-1,1793,Battery & eDrive Plant CN,Assembly Plant CN
MAT-913241,A-10-2,2282,Battery & eDrive Plant CN,Assembly Plant CN
MAT-808753,G-18-2,1678,Battery & eDrive Plant CN,Assembly Plant CN
MAT-264211,E-03-3,2022,Battery & eDrive Plant CN,Assembly Plant CN
MAT-146489,D-13-4,1732,Battery & eDrive Plant CN,Assembly Plant CN
MAT-976185,A-25-5,1041,Battery & eDrive Plant CN,Assembly Plant CN
MAT-663978,D-10-5,2942,Battery & eDrive Plant CN,Assembly Plant CN
MAT-834804,D-02-5,3958,Battery & eDrive Plant CN,Assembly Plant CN
MAT-343861,G-14-1,3603,Battery & eDrive Plant CN,Assembly Plant CN
MAT-616109,C-18-3,4626,Battery & eDrive Plant CN,Assembly Plant CN
MAT-527399,E-14-1,3835,Battery & eDrive Plant CN,Assembly Plant CN
MAT-875798,C-07-5,4192,Battery & eDrive Plant CN,Assembly Plant CN
MAT-387773,H-06-5,3921,Battery & eDrive Plant CN,Assembly Plant CN
MAT-137442,E-17-3,2318,Battery & eDrive Plant CN,Assembly Plant CN
MAT-421592,F-08-1,1450,Battery & eDrive Plant CN,Assembly Plant CN
MAT-848423,B-15-3,2201,Battery & eDrive Plant CN,Assembly Plant CN
MAT-612585,C-26-2,4351,Battery & eDrive Plant CN,Assembly Plant CN
MAT-283687,B-18-4,3935,Battery & eDrive Plant CN,Assembly Plant CN
MAT-674096,G-10-2,4048,Battery & eDrive Plant CN,Assembly Plant CN
MAT-529812,B-15-1,3106,Battery & eDrive Plant CN,Assembly Plant CN
MAT-796904,C-12-4,1723,Battery & eDrive Plant CN,Assembly Plant CN
MAT-850951,E-28-3,3246,Battery & eDrive Plant CN,Assembly Plant CN
MAT-302125,B-13-1,921,Battery & eDrive Plant CN,Assembly Plant CN
MAT-955885,A-05-1,4654,Battery & eDrive Plant CN,Assembly Plant CN
MAT-621586,A-07-2,4131,Battery & eDrive Plant CN,Assembly Plant CN
MAT-920879,C-21-3,4217,Battery & eDrive Plant CN,Assembly Plant CN
MAT-925791,G-18-1,113,Battery & eDrive Plant CN,Assembly Plant CN
MAT-213837,E-28-4,198,Battery & eDrive Plant CN,Assembly Plant CN
MAT-557261,H-10-5,1353,Battery & eDrive Plant CN,Assembly Plant CN
MAT-319581,A-27-5,4827,Battery & eDrive Plant CN,Assembly Plant CN
MAT-314521,D-06-3,1567,Battery & eDrive Plant CN,Assembly Plant CN
MAT-458262,H-02-4,4523,Battery & eDrive Plant CN,Assembly Plant CN
MAT-497312,D-01-2,1402,Battery & eDrive Plant CN,Assembly Plant CN
MAT-562589,H-19-1,1248,Battery & eDrive Plant CN,Assembly Plant CN
MAT-328554,E-19-1,3876,Battery & eDrive Plant CN,Assembly Plant CN
MAT-393707,C-09-1,1870,Battery & eDrive Plant CN,Assembly Plant CN
MAT-588284,H-24-3,1728,Battery & eDrive Plant CN,Assembly Plant CN
MAT-188035,H-01-3,1134,Battery & eDrive Plant CN,Assembly Plant CN
MAT-150938,F-18-4,161,Battery & eDrive Plant CN,Assembly Plant CN
MAT-550480,F-23-3,4578,Battery & eDrive Plant CN,Assembly Plant CN
MAT-844728,D-02-2,2320,Battery & eDrive Plant CN,Assembly Plant CN
MAT-591956,F-23-4,2932,Battery & eDrive Plant CN,Assembly Plant CN
MAT-905870,C-18-3,2895,Battery & eDrive Plant CN,Assembly Plant CN
MAT-508940,F-13-3,4253,Battery & eDrive Plant CN,Assembly Plant CN
MAT-636683,A-20-1,4051,Battery & eDrive Plant CN,Assembly Plant CN
MAT-203322,G-26-5,2861,Battery & eDrive Plant CN,Assembly Plant CN
MAT-182711,F-25-5,2177,Battery & eDrive Plant CN,Assembly Plant CN
MAT-142539,H-02-3,2544,Battery & eDrive Plant CN,Assembly Plant CN
MAT-318235,D-02-1,3282,Battery & eDrive Plant CN,Assembly Plant CN
MAT-390668,A-16-2,705,Battery & eDrive Plant CN,Assembly Plant CN
MAT-276181,D-15-4,2328,Battery & eDrive Plant CN,Assembly Plant CN
MAT-286685,C-17-5,494,Battery & eDrive Plant CN,Assembly Plant CN
MAT-410486,B-29-5,2358,Battery & eDrive Plant CN,Assembly Plant CN
