WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2160084,ASSET-00018,Emergency,HYDRAULIC-LEAK,404,1613,000160000017
WO-2160085,ASSET-00019,Preventive,,0,,
WO-2160086,ASSET-00019,Preventive,,0,,
WO-2160087,ASSET-00019,Preventive,,0,,
WO-2160088,ASSET-00019,Emergency,CALIBRATION-DRIFT,553,1250,
WO-2160089,ASSET-00019,Corrective,DIE-WEAR,74,1865,
WO-2160090,ASSET-00019,Corrective,BELT-FAILURE,215,1622,
WO-2160091,ASSET-00019,Corrective,CONTROLLER-FAULT,141,1964,
WO-2160092,ASSET-00019,Preventive,,0,,
WO-2160093,ASSET-00020,Preventive,,0,,000160000018
WO-2160094,ASSET-00020,Preventive,,0,,000160000018
WO-2160095,ASSET-00020,Preventive,,0,,000160000018
WO-2160096,ASSET-00020,Corrective,SENSOR-FAULT,73,206,000160000018
WO-2160097,ASSET-00020,Emergency,BEARING-FAILURE,147,332,000160000018
WO-2160098,ASSET-00020,Preventive,,0,,000160000018
WO-2160099,ASSET-00020,Corrective,SPINDLE-SEIZURE,59,1565,000160000018
WO-2160100,ASSET-00021,Corrective,BELT-FAILURE,135,939,000160000019
WO-2160101,ASSET-00021,Preventive,,0,,000160000019
WO-2160102,ASSET-00021,Corrective,MOTOR-BURNOUT,72,1446,000160000019
WO-2160103,ASSET-00021,Corrective,BELT-FAILURE,171,741,000160000019
WO-2160104,ASSET-00021,Preventive,,0,,000160000019
WO-2160105,ASSET-00021,Corrective,PNEUMATIC-LEAK,127,1617,000160000019
WO-2160106,ASSET-00022,Preventive,,0,,000160000020
WO-2160107,ASSET-00022,Preventive,,0,,000160000020
WO-2160108,ASSET-00022,Preventive,,0,,000160000020
WO-2160109,ASSET-00022,Emergency,BEARING-FAILURE,364,1709,000160000020
WO-2160110,ASSET-00022,Corrective,MOTOR-BURNOUT,106,814,000160000020
WO-2160111,ASSET-00023,Preventive,,0,,000160000021
WO-2160112,ASSET-00023,Emergency,SENSOR-FAULT,153,1465,000160000021
WO-2160113,ASSET-00023,Preventive,,0,,000160000021
WO-2160114,ASSET-00023,Corrective,CALIBRATION-DRIFT,94,618,000160000021
WO-2160115,ASSET-00023,Preventive,,0,,000160000021
WO-2160116,ASSET-00024,Preventive,,0,,000160000022
WO-2160117,ASSET-00024,Corrective,PNEUMATIC-LEAK,100,1342,000160000022
WO-2160118,ASSET-00025,Preventive,,0,,000160000023
WO-2160119,ASSET-00025,Emergency,BEARING-FAILURE,146,1326,000160000023
WO-2160120,ASSET-00025,Corrective,DIE-WEAR,164,1089,000160000023
WO-2160121,ASSET-00026,Preventive,,0,,000160000024
WO-2160122,ASSET-00026,Corrective,MOTOR-BURNOUT,103,1717,000160000024
WO-2160123,ASSET-00026,Preventive,,0,,000160000024
WO-2160124,ASSET-00026,Preventive,,0,,000160000024
WO-2160125,ASSET-00026,Preventive,,0,,000160000024
WO-2160126,ASSET-00026,Preventive,,0,,000160000024
WO-2160127,ASSET-00026,Corrective,PNEUMATIC-LEAK,166,466,000160000024
WO-2160128,ASSET-00027,Corrective,MOTOR-BURNOUT,195,595,000160000025
WO-2160129,ASSET-00027,Preventive,,0,,000160000025
WO-2160130,ASSET-00027,Preventive,,0,,000160000025
WO-2160131,ASSET-00027,Preventive,,0,,000160000025
WO-2160132,ASSET-00027,Preventive,,0,,000160000025
WO-2160133,ASSET-00027,Preventive,,0,,000160000025
WO-2160134,ASSET-00027,Corrective,SENSOR-FAULT,51,1420,000160000025
WO-2160135,ASSET-00027,Preventive,,0,,000160000025
WO-2160136,ASSET-00027,Preventive,,0,,000160000025
WO-2160137,ASSET-00027,Preventive,,0,,000160000025
WO-2160138,ASSET-00028,Preventive,,0,,000160000026
WO-2160139,ASSET-00028,Corrective,SPINDLE-SEIZURE,145,1942,000160000026
WO-2160140,ASSET-00028,Preventive,,0,,000160000026
WO-2160141,ASSET-00028,Preventive,,0,,000160000026
WO-2160142,ASSET-00029,Preventive,,0,,000160000027
WO-2160143,ASSET-00029,Emergency,HYDRAULIC-LEAK,468,1957,000160000027
WO-2160144,ASSET-00029,Preventive,,0,,000160000027
WO-2160145,ASSET-00029,Corrective,SENSOR-FAULT,170,1435,000160000027
WO-2160146,ASSET-00029,Corrective,HYDRAULIC-LEAK,68,404,000160000027
WO-2160147,ASSET-00030,Corrective,MOTOR-BURNOUT,226,1358,000160000028
WO-2160148,ASSET-00030,Corrective,BELT-FAILURE,57,1652,000160000028
WO-2160149,ASSET-00031,Emergency,BEARING-FAILURE,435,1269,000160000029
WO-2160150,ASSET-00031,Corrective,PNEUMATIC-LEAK,30,566,000160000029
WO-2160151,ASSET-00031,Corrective,BELT-FAILURE,129,1584,000160000029
WO-2160152,ASSET-00031,Preventive,,0,,000160000029
WO-2160153,ASSET-00031,Preventive,,0,,000160000029
WO-2160154,ASSET-00032,Corrective,DIE-WEAR,146,1298,000160000030
WO-2160155,ASSET-00032,Preventive,,0,,000160000030
WO-2160156,ASSET-00032,Preventive,,0,,000160000030
WO-2160157,ASSET-00032,Preventive,,0,,000160000030
WO-2160158,ASSET-00032,Preventive,,0,,000160000030
WO-2160159,ASSET-00032,Preventive,,0,,000160000030
WO-2160160,ASSET-00032,Preventive,,0,,000160000030
WO-2160161,ASSET-00032,Corrective,BELT-FAILURE,210,575,000160000030
WO-2160162,ASSET-00033,Corrective,HYDRAULIC-LEAK,207,1299,000160000031
WO-2160163,ASSET-00033,Preventive,,0,,000160000031
WO-2160164,ASSET-00033,Corrective,PNEUMATIC-LEAK,174,233,000160000031
WO-2160165,ASSET-00033,Preventive,,0,,000160000031
WO-2160166,ASSET-00033,Corrective,PNEUMATIC-LEAK,130,666,000160000031
WO-2160167,ASSET-00034,Preventive,,0,,000160000032
WO-2160168,ASSET-00034,Preventive,,0,,000160000032
WO-2160169,ASSET-00034,Preventive,,0,,000160000032
WO-2160170,ASSET-00034,Preventive,,0,,000160000032
WO-2160171,ASSET-00034,Corrective,CALIBRATION-DRIFT,170,557,000160000032
WO-2160172,ASSET-00034,Corrective,HYDRAULIC-LEAK,39,312,000160000032
WO-2160173,ASSET-00034,Corrective,CONTROLLER-FAULT,67,1907,000160000032
WO-2160174,ASSET-00034,Emergency,PNEUMATIC-LEAK,395,845,000160000032
WO-2160175,ASSET-00035,Preventive,,0,,000160000033
WO-2160176,ASSET-00035,Corrective,SENSOR-FAULT,39,1367,000160000033
WO-2160177,ASSET-00035,Preventive,,0,,000160000033
WO-2160178,ASSET-00035,Preventive,,0,,000160000033
WO-2160179,ASSET-00035,Preventive,,0,,000160000033
WO-2160180,ASSET-00035,Corrective,SENSOR-FAULT,240,1143,000160000033
WO-2160181,ASSET-00035,Preventive,,0,,000160000033
WO-2160182,ASSET-00035,Corrective,DIE-WEAR,38,969,000160000033
WO-2160183,ASSET-00035,Corrective,CONTROLLER-FAULT,98,1115,000160000033
WO-2160184,ASSET-00035,Preventive,,0,,000160000033
WO-2160185,ASSET-00036,Preventive,,0,,000160000034
WO-2160186,ASSET-00036,Corrective,MOTOR-BURNOUT,123,468,000160000034
WO-2160187,ASSET-00036,Preventive,,0,,000160000034
WO-2160188,ASSET-00036,Corrective,HYDRAULIC-LEAK,185,858,000160000034
WO-2160189,ASSET-00036,Preventive,,0,,000160000034
WO-2160190,ASSET-00036,Preventive,,0,,000160000034
WO-2160191,ASSET-00036,Corrective,HYDRAULIC-LEAK,106,1337,000160000034
WO-2160192,ASSET-00037,Preventive,,0,,000160000035
WO-2160193,ASSET-00037,Preventive,,0,,000160000035
WO-2160194,ASSET-00037,Corrective,CALIBRATION-DRIFT,182,1949,000160000035
WO-2160195,ASSET-00037,Preventive,,0,,000160000035
WO-2160196,ASSET-00038,Preventive,,0,,000160000036
WO-2160197,ASSET-00038,Corrective,BELT-FAILURE,215,1328,000160000036
WO-2160198,ASSET-00038,Corrective,BELT-FAILURE,203,1241,000160000036
WO-2160199,ASSET-00038,Preventive,,0,,000160000036
WO-2160200,ASSET-00038,Emergency,BEARING-FAILURE,158,1201,000160000036
WO-2160201,ASSET-00038,Corrective,HYDRAULIC-LEAK,208,1497,000160000036
WO-2160202,ASSET-00038,Preventive,,0,,000160000036
WO-2160203,ASSET-00038,Corrective,CONTROLLER-FAULT,87,725,000160000036
WO-2160204,ASSET-00039,Emergency,MOTOR-BURNOUT,155,1640,000160000037
WO-2160205,ASSET-00039,Preventive,,0,,000160000037
WO-2160206,ASSET-00039,Corrective,SENSOR-FAULT,107,349,000160000037
WO-2160207,ASSET-00039,Preventive,,0,,000160000037
WO-2160208,ASSET-00039,Corrective,PNEUMATIC-LEAK,219,744,000160000037
WO-2160209,ASSET-00040,Preventive,,0,,000160000038
WO-2160210,ASSET-00040,Preventive,,0,,000160000038
WO-2160211,ASSET-00040,Corrective,HYDRAULIC-LEAK,58,370,000160000038
WO-2160212,ASSET-00040,Corrective,BEARING-FAILURE,213,1115,000160000038
WO-2160213,ASSET-00041,Preventive,,0,,
WO-2160214,ASSET-00041,Preventive,,0,,
WO-2160215,ASSET-00041,Preventive,,0,,
WO-2160216,ASSET-00041,Emergency,BEARING-FAILURE,374,1481,
WO-2160217,ASSET-00042,Preventive,,0,,
WO-2160218,ASSET-00042,Corrective,SPINDLE-SEIZURE,137,484,
WO-2160219,ASSET-00042,Preventive,,0,,
WO-2160220,ASSET-00043,Corrective,SENSOR-FAULT,185,357,000160000039
WO-2160221,ASSET-00043,Corrective,PNEUMATIC-LEAK,159,1082,000160000039
WO-2160222,ASSET-00043,Preventive,,0,,000160000039
WO-2160223,ASSET-00043,Preventive,,0,,000160000039
WO-2160224,ASSET-00044,Preventive,,0,,000160000040
WO-2160225,ASSET-00044,Preventive,,0,,000160000040
WO-2160226,ASSET-00044,Preventive,,0,,000160000040
WO-2160227,ASSET-00044,Preventive,,0,,000160000040
WO-2160228,ASSET-00045,Preventive,,0,,000160000041
WO-2160229,ASSET-00045,Emergency,HYDRAULIC-LEAK,115,838,000160000041
WO-2160230,ASSET-00045,Preventive,,0,,000160000041
WO-2160231,ASSET-00045,Corrective,CONTROLLER-FAULT,76,500,000160000041
WO-2160232,ASSET-00045,Preventive,,0,,000160000041
WO-2160233,ASSET-00045,Corrective,SPINDLE-SEIZURE,198,1491,000160000041
WO-2160234,ASSET-00046,Preventive,,0,,000160000042
WO-2160235,ASSET-00046,Preventive,,0,,000160000042
WO-2160236,ASSET-00046,Preventive,,0,,000160000042
WO-2160237,ASSET-00046,Corrective,BEARING-FAILURE,219,1577,000160000042
WO-2160238,ASSET-00046,Corrective,HYDRAULIC-LEAK,66,974,000160000042
WO-2160239,ASSET-00046,Corrective,CALIBRATION-DRIFT,224,1116,000160000042
WO-2160240,ASSET-00046,Preventive,,0,,000160000042
WO-2160241,ASSET-00046,Preventive,,0,,000160000042
WO-2160242,ASSET-00046,Preventive,,0,,000160000042
WO-2160243,ASSET-00047,Preventive,,0,,000160000043
WO-2160244,ASSET-00048,Corrective,PNEUMATIC-LEAK,74,1355,000160000044
WO-2160245,ASSET-00048,Preventive,,0,,000160000044
WO-2160246,ASSET-00048,Corrective,SPINDLE-SEIZURE,86,1611,000160000044
WO-2160247,ASSET-00048,Emergency,DIE-WEAR,327,907,000160000044
WO-2160248,ASSET-00048,Corrective,HYDRAULIC-LEAK,71,792,000160000044
WO-2160249,ASSET-00048,Preventive,,0,,000160000044
WO-2160250,ASSET-00048,Corrective,PNEUMATIC-LEAK,90,846,000160000044
WO-2160251,ASSET-00048,Emergency,BELT-FAILURE,395,1545,000160000044
WO-2160252,ASSET-00049,Emergency,HYDRAULIC-LEAK,435,1612,000160000045
WO-2160253,ASSET-00049,Corrective,PNEUMATIC-LEAK,208,1417,000160000045
WO-2160254,ASSET-00049,Emergency,PNEUMATIC-LEAK,243,587,000160000045
WO-2160255,ASSET-00050,Preventive,,0,,000160000046
WO-2160256,ASSET-00050,Preventive,,0,,000160000046
WO-2160257,ASSET-00050,Preventive,,0,,000160000046
WO-2160258,ASSET-00050,Corrective,DIE-WEAR,128,969,000160000046
WO-2160259,ASSET-00050,Corrective,SPINDLE-SEIZURE,84,1445,000160000046
WO-2160260,ASSET-00050,Preventive,,0,,000160000046
WO-2160261,ASSET-00051,Preventive,,0,,000160000047
WO-2160262,ASSET-00051,Emergency,CALIBRATION-DRIFT,290,1054,000160000047
WO-2160263,ASSET-00051,Corrective,PNEUMATIC-LEAK,237,1018,000160000047
WO-2160264,ASSET-00051,Preventive,,0,,000160000047
WO-2160265,ASSET-00052,Corrective,SENSOR-FAULT,68,1238,000160000048
WO-2160266,ASSET-00052,Corrective,PNEUMATIC-LEAK,197,1612,000160000048
WO-2160267,ASSET-00052,Preventive,,0,,000160000048
WO-2160268,ASSET-00052,Corrective,BEARING-FAILURE,150,1857,000160000048
WO-2160269,ASSET-00052,Preventive,,0,,000160000048
WO-2160270,ASSET-00053,Preventive,,0,,000160000049
WO-2160271,ASSET-00053,Preventive,,0,,000160000049
WO-2160272,ASSET-00053,Corrective,CALIBRATION-DRIFT,108,752,000160000049
WO-2160273,ASSET-00053,Preventive,,0,,000160000049
WO-2160274,ASSET-00053,Preventive,,0,,000160000049
WO-2160275,ASSET-00053,Preventive,,0,,000160000049
WO-2160276,ASSET-00054,Preventive,,0,,000160000050
WO-2160277,ASSET-00054,Corrective,HYDRAULIC-LEAK,45,1903,000160000050
WO-2160278,ASSET-00054,Preventive,,0,,000160000050
WO-2160279,ASSET-00055,Corrective,DIE-WEAR,194,237,000160000051
WO-2160280,ASSET-00055,Preventive,,0,,000160000051
WO-2160281,ASSET-00055,Corrective,BEARING-FAILURE,50,1157,000160000051
WO-2160282,ASSET-00055,Preventive,,0,,000160000051
WO-2160283,ASSET-00055,Corrective,BEARING-FAILURE,58,1033,000160000051
WO-2160284,ASSET-00055,Preventive,,0,,000160000051
WO-2160285,ASSET-00056,Preventive,,0,,
WO-2160286,ASSET-00056,Corrective,PNEUMATIC-LEAK,176,609,
WO-2160287,ASSET-00056,Preventive,,0,,
WO-2160288,ASSET-00057,Preventive,,0,,000160000052
WO-2160289,ASSET-00057,Corrective,SENSOR-FAULT,130,1768,000160000052
WO-2160290,ASSET-00057,Preventive,,0,,000160000052
WO-2160291,ASSET-00057,Preventive,,0,,000160000052
WO-2160292,ASSET-00057,Preventive,,0,,000160000052
WO-2160293,ASSET-00058,Corrective,SENSOR-FAULT,129,800,000160000053
WO-2160294,ASSET-00058,Corrective,HYDRAULIC-LEAK,145,1287,000160000053
WO-2160295,ASSET-00058,Corrective,SENSOR-FAULT,234,476,000160000053
WO-2160296,ASSET-00059,Corrective,DIE-WEAR,74,1675,
WO-2160297,ASSET-00059,Preventive,,0,,
WO-2160298,ASSET-00059,Corrective,DIE-WEAR,170,1612,
WO-2160299,ASSET-00059,Preventive,,0,,
WO-2160300,ASSET-00059,Emergency,CALIBRATION-DRIFT,239,382,
WO-2160301,ASSET-00059,Preventive,,0,,
WO-2160302,ASSET-00059,Preventive,,0,,
WO-2160303,ASSET-00059,Preventive,,0,,
WO-2160304,ASSET-00059,Corrective,BEARING-FAILURE,79,1884,
WO-2160305,ASSET-00060,Corrective,MOTOR-BURNOUT,234,686,000160000054
WO-2160306,ASSET-00060,Emergency,MOTOR-BURNOUT,130,1336,000160000054
WO-2160307,ASSET-00060,Preventive,,0,,000160000054
WO-2160308,ASSET-00060,Emergency,CALIBRATION-DRIFT,105,921,000160000054
WO-2160309,ASSET-00060,Preventive,,0,,000160000054
WO-2160310,ASSET-00060,Preventive,,0,,000160000054
WO-2160311,ASSET-00060,Preventive,,0,,000160000054
WO-2160312,ASSET-00060,Corrective,MOTOR-BURNOUT,107,796,000160000054
WO-2160313,ASSET-00060,Preventive,,0,,000160000054
WO-2160314,ASSET-00060,Preventive,,0,,000160000054
WO-2160315,ASSET-00061,Preventive,,0,,
WO-2160316,ASSET-00061,Preventive,,0,,
WO-2160317,ASSET-00061,Preventive,,0,,
WO-2160318,ASSET-00061,Preventive,,0,,
WO-2160319,ASSET-00061,Preventive,,0,,
WO-2160320,ASSET-00061,Preventive,,0,,
WO-2160321,ASSET-00062,Corrective,BEARING-FAILURE,228,342,000160000055
WO-2160322,ASSET-00062,Preventive,,0,,000160000055
WO-2160323,ASSET-00062,Preventive,,0,,000160000055
WO-2160324,ASSET-00062,Preventive,,0,,000160000055
WO-2160325,ASSET-00062,Corrective,MOTOR-BURNOUT,189,1269,000160000055
WO-2160326,ASSET-00063,Corrective,SPINDLE-SEIZURE,235,428,
WO-2160327,ASSET-00063,Preventive,,0,,
WO-2160328,ASSET-00063,Preventive,,0,,
WO-2160329,ASSET-00063,Corrective,PNEUMATIC-LEAK,39,754,
WO-2160330,ASSET-00064,Corrective,CONTROLLER-FAULT,193,1231,000160000056
WO-2160331,ASSET-00064,Corrective,CALIBRATION-DRIFT,38,360,000160000056
WO-2160332,ASSET-00064,Preventive,,0,,000160000056
WO-2160333,ASSET-00064,Emergency,CONTROLLER-FAULT,322,981,000160000056
WO-2160334,ASSET-00065,Preventive,,0,,
WO-2160335,ASSET-00065,Preventive,,0,,
WO-2160336,ASSET-00065,Preventive,,0,,
WO-2160337,ASSET-00066,Emergency,DIE-WEAR,114,1502,000160000057
WO-2160338,ASSET-00066,Preventive,,0,,000160000057
WO-2160339,ASSET-00066,Corrective,BEARING-FAILURE,95,1691,000160000057
WO-2160340,ASSET-00066,Corrective,BEARING-FAILURE,199,1808,000160000057
WO-2160341,ASSET-00066,Preventive,,0,,000160000057
WO-2160342,ASSET-00066,Preventive,,0,,000160000057
WO-2160343,ASSET-00067,Preventive,,0,,000160000058
WO-2160344,ASSET-00067,Preventive,,0,,000160000058
WO-2160345,ASSET-00067,Preventive,,0,,000160000058
WO-2160346,ASSET-00067,Emergency,BELT-FAILURE,527,1230,000160000058
WO-2160347,ASSET-00067,Preventive,,0,,000160000058
WO-2160348,ASSET-00067,Preventive,,0,,000160000058
WO-2160349,ASSET-00068,Preventive,,0,,000160000059
WO-2160350,ASSET-00068,Corrective,CALIBRATION-DRIFT,62,1030,000160000059
WO-2160351,ASSET-00069,Preventive,,0,,000160000060
WO-2160352,ASSET-00069,Preventive,,0,,000160000060
WO-2160353,ASSET-00069,Preventive,,0,,000160000060
WO-2160354,ASSET-00069,Corrective,CONTROLLER-FAULT,160,1437,000160000060
WO-2160355,ASSET-00069,Preventive,,0,,000160000060
WO-2160356,ASSET-00069,Corrective,BEARING-FAILURE,110,321,000160000060
WO-2160357,ASSET-00070,Corrective,MOTOR-BURNOUT,80,892,000160000061
WO-2160358,ASSET-00070,Preventive,,0,,000160000061
WO-2160359,ASSET-00070,Preventive,,0,,000160000061
WO-2160360,ASSET-00070,Preventive,,0,,000160000061
WO-2160361,ASSET-00070,Preventive,,0,,000160000061
WO-2160362,ASSET-00070,Corrective,BEARING-FAILURE,155,475,000160000061
WO-2160363,ASSET-00070,Preventive,,0,,000160000061
WO-2160364,ASSET-00070,Preventive,,0,,000160000061
WO-2160365,ASSET-00070,Preventive,,0,,000160000061
WO-2160366,ASSET-00070,Corrective,PNEUMATIC-LEAK,109,1802,000160000061
WO-2160367,ASSET-00070,Preventive,,0,,000160000061
WO-2160368,ASSET-00071,Emergency,PNEUMATIC-LEAK,130,560,000160000062
WO-2160369,ASSET-00072,Corrective,SPINDLE-SEIZURE,197,1443,000160000063
WO-2160370,ASSET-00072,Corrective,SPINDLE-SEIZURE,185,1829,000160000063
WO-2160371,ASSET-00072,Preventive,,0,,000160000063
WO-2160372,ASSET-00072,Corrective,CALIBRATION-DRIFT,65,455,000160000063
WO-2160373,ASSET-00072,Preventive,,0,,000160000063
WO-2160374,ASSET-00072,Corrective,MOTOR-BURNOUT,177,207,000160000063
WO-2160375,ASSET-00073,Emergency,SPINDLE-SEIZURE,457,1650,000160000064
WO-2160376,ASSET-00073,Preventive,,0,,000160000064
WO-2160377,ASSET-00073,Preventive,,0,,000160000064
WO-2160378,ASSET-00073,Corrective,SPINDLE-SEIZURE,84,1199,000160000064
WO-2160379,ASSET-00073,Emergency,DIE-WEAR,581,1352,000160000064
WO-2160380,ASSET-00074,Preventive,,0,,
WO-2160381,ASSET-00074,Preventive,,0,,
WO-2160382,ASSET-00074,Emergency,BEARING-FAILURE,287,266,
WO-2160383,ASSET-00074,Corrective,SENSOR-FAULT,96,755,
WO-2160384,ASSET-00074,Preventive,,0,,
WO-2160385,ASSET-00075,Corrective,SENSOR-FAULT,235,983,000160000065
WO-2160386,ASSET-00075,Preventive,,0,,000160000065
WO-2160387,ASSET-00076,Preventive,,0,,000160000066
WO-2160388,ASSET-00076,Preventive,,0,,000160000066
WO-2160389,ASSET-00076,Preventive,,0,,000160000066
WO-2160390,ASSET-00076,Preventive,,0,,000160000066
WO-2160391,ASSET-00076,Corrective,CALIBRATION-DRIFT,88,959,000160000066
WO-2160392,ASSET-00076,Preventive,,0,,000160000066
WO-2160393,ASSET-00077,Emergency,HYDRAULIC-LEAK,69,1607,
WO-2160394,ASSET-00077,Preventive,,0,,
WO-2160395,ASSET-00077,Preventive,,0,,
WO-2160396,ASSET-00077,Preventive,,0,,
WO-2160397,ASSET-00077,Preventive,,0,,
WO-2160398,ASSET-00077,Corrective,HYDRAULIC-LEAK,57,393,
WO-2160399,ASSET-00078,Corrective,HYDRAULIC-LEAK,168,984,000160000067
WO-2160400,ASSET-00078,Preventive,,0,,000160000067
WO-2160401,ASSET-00078,Preventive,,0,,000160000067
WO-2160402,ASSET-00078,Corrective,PNEUMATIC-LEAK,223,1841,000160000067
WO-2160403,ASSET-00078,Preventive,,0,,000160000067
WO-2160404,ASSET-00078,Preventive,,0,,000160000067
WO-2160405,ASSET-00078,Emergency,CALIBRATION-DRIFT,251,1643,000160000067
WO-2160406,ASSET-00079,Preventive,,0,,000160000068
WO-2160407,ASSET-00079,Corrective,MOTOR-BURNOUT,49,494,000160000068
WO-2160408,ASSET-00079,Corrective,BEARING-FAILURE,177,247,000160000068
WO-2160409,ASSET-00079,Preventive,,0,,000160000068
WO-2160410,ASSET-00079,Preventive,,0,,000160000068
