NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-US-00032,MER-BODY-SHELL-0003,WELD-MISALIGN,ASY-S01,Scrap,368
NCR-US-00033,MER-FUEL-PUMP-0037,WELD-POROSITY,ASY-S03,Rework,21
NCR-US-00034,MER-GEAR-SET-0034,ASSY-WRONG-PART,ASY-S01,Scrap,106
NCR-US-00035,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,ASY-S02,Scrap,310
NCR-US-00036,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,177
NCR-US-00037,MER-CYLINDER-HEAD-0028,PAINT-BLISTER,ASY-S01,Scrap,321
NCR-US-00038,MER-INFOTAINMENT-UNI-0025,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,162
NCR-US-00039,MER-VEH-SUV-0001,WELD-POROSITY,ASY-S01,Rework,415
NCR-US-00040,MER-HOOD-0005,ASSY-WRONG-PART,ASY-S03,Use-As-Is,233
NCR-US-00041,MER-LIGHTING-SYSTEM-0024,ELEC-OPEN-CIRCUIT,ASY-S03,Scrap,169
NCR-US-00042,MER-DOOR-PANELS-0019,SURFACE-SCRATCH,ASY-S01,Rework,88
NCR-US-00043,MER-VEH-COMPACT-0001,ASSY-WRONG-PART,ASY-S01,Rework,192
NCR-US-00044,MER-WHEELS-0014,PAINT-BLISTER,ASY-S04,Rework,482
NCR-US-00045,MER-BUMPER-REAR-0007,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,453
NCR-US-00046,MER-CATALYTIC-CONVER-0040,ASSY-CROSS-THREAD,ASY-S03,Rework,297
NCR-US-00047,MER-PISTONS-0030,WELD-UNDERCUT,ASY-S01,Use-As-Is,361
NCR-US-00048,MER-MUFFLER-0041,ELEC-CONNECTOR-MISMATE,ASY-S03,Rework,294
NCR-US-00049,MER-PISTONS-0030,PAINT-RUNS,ASY-S03,Scrap,381
NCR-US-00050,MER-SEATS-0016,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,416
NCR-US-00051,MER-STEERING-SYSTEM-0013,SEAL-LEAK,ASY-S01,Rework,130
NCR-US-00052,MER-GEARBOX-HOUSING-0032,PAINT-ORANGE-PEEL,ASY-S02,Use-As-Is,192
NCR-US-00053,MER-VEH-COMPACT-0001,PAINT-BLISTER,ASY-S02,Rework,34
NCR-US-00054,MER-BODY-SHELL-0003,SURFACE-SCRATCH,ASY-S01,Rework,60
NCR-US-00055,MER-FUEL-PUMP-0037,WELD-UNDERCUT,ASY-S04,Rework,171
NCR-US-00056,MER-FENDERS-0008,ASSY-WRONG-PART,ASY-S02,Scrap,142
NCR-US-00057,MER-BUMPER-FRONT-0006,SURFACE-SCRATCH,ASY-S03,Use-As-Is,404
NCR-US-00058,MER-WHEELS-0014,PAINT-RUNS,ASY-S02,Scrap,349
NCR-US-00059,MER-BODY-SHELL-0003,WELD-UNDERCUT,ASY-S01,Rework,23
NCR-US-00060,MER-CATALYTIC-CONVER-0040,ASSY-CROSS-THREAD,ASY-S01,Rework,310
NCR-US-00061,MER-DOOR-PANELS-0019,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,468
NCR-US-00062,MER-CENTER-CONSOLE-0018,DIM-GAP-FLUSH,ASY-S02,Rework,381
NCR-US-00063,MER-FENDERS-0008,SEAL-LEAK,ASY-S02,Scrap,115
NCR-US-00064,MER-LIGHTING-SYSTEM-0024,SEAL-LEAK,ASY-S02,Rework,475
NCR-US-00065,MER-FENDERS-0008,ASSY-CROSS-THREAD,ASY-S02,Use-As-Is,372
NCR-US-00066,MER-EXHAUST-PIPE-0042,WELD-POROSITY,ASY-S03,Scrap,321
NCR-US-00067,MER-PISTONS-0030,ELEC-OPEN-CIRCUIT,ASY-S03,Use-As-Is,284
NCR-US-00068,MER-BODY-SHELL-0003,SEAL-LEAK,ASY-S03,Use-As-Is,328
NCR-US-00069,MER-INFOTAINMENT-UNI-0025,ELEC-OPEN-CIRCUIT,ASY-S04,Rework,335
NCR-US-00070,MER-WHEELS-0014,PAINT-ORANGE-PEEL,ASY-S01,Scrap,278
NCR-US-00071,MER-BRAKE-SYSTEM-0012,PAINT-RUNS,ASY-S02,Rework,482
NCR-US-00072,MER-VEH-COMPACT-0001,DIM-GAP-FLUSH,ASY-S02,Scrap,367
NCR-US-00073,MER-BUMPER-REAR-0007,SEAL-LEAK,ASY-S02,Rework,37
NCR-US-00074,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,ASY-S02,Use-As-Is,167
NCR-US-00075,MER-DASHBOARD-0017,ELEC-SHORT-CIRCUIT,ASY-S01,Scrap,163
NCR-US-00076,MER-CYLINDER-BLOCK-0027,WELD-UNDERCUT,ASY-S02,Rework,469
NCR-US-00077,MER-INFOTAINMENT-UNI-0025,ASSY-MISSING-FASTENER,ASY-S04,Use-As-Is,41
NCR-US-00078,MER-DOORS-0004,WELD-UNDERCUT,ASY-S01,Rework,387
NCR-US-00079,MER-FUEL-PUMP-0037,DIM-GAP-FLUSH,ASY-S03,Rework,422
NCR-US-00080,MER-BUMPER-REAR-0007,WELD-MISALIGN,ASY-S01,Use-As-Is,409
NCR-US-00081,MER-FUEL-TANK-0036,ASSY-MISSING-FASTENER,ASY-S01,Rework,238
NCR-US-00082,MER-WIRING-HARNESS-0022,SURFACE-SCRATCH,ASY-S02,Rework,250
NCR-US-00083,MER-HOOD-0005,PAINT-RUNS,ASY-S01,Rework,486
NCR-US-00084,MER-FENDERS-0008,DIM-GAP-FLUSH,ASY-S02,Scrap,334
NCR-US-00085,MER-HEADLINER-0020,ELEC-OPEN-CIRCUIT,ASY-S01,Rework,21
NCR-US-00086,MER-EXHAUST-PIPE-0042,ELEC-SHORT-CIRCUIT,ASY-S01,Scrap,50
NCR-US-00087,MER-WIRING-HARNESS-0022,DIM-GAP-FLUSH,ASY-S02,Scrap,379
NCR-US-00088,MER-WHEELS-0014,MATERIAL-CONTAMINATION,ASY-S01,Scrap,440
NCR-US-00089,MER-INFOTAINMENT-UNI-0025,ASSY-WRONG-PART,ASY-S02,Use-As-Is,89
NCR-US-00090,MER-BUMPER-REAR-0007,WELD-UNDERCUT,ASY-S03,Rework,441
NCR-US-00091,MER-CYLINDER-BLOCK-0027,DIM-GAP-FLUSH,ASY-S03,Use-As-Is,435
NCR-US-00092,MER-FUEL-TANK-0036,ELEC-SHORT-CIRCUIT,ASY-S02,Rework,85
NCR-US-00093,MER-WIRING-HARNESS-0022,ASSY-CROSS-THREAD,ASY-S03,Scrap,498
NCR-US-00094,MER-GEAR-SET-0034,SEAL-LEAK,ASY-S03,Rework,200
NCR-US-00095,MER-HEADLINER-0020,SEAL-LEAK,ASY-S02,Scrap,413
NCR-US-00096,MER-CENTER-CONSOLE-0018,ASSY-WRONG-PART,ASY-S02,Rework,476
NCR-US-00097,MER-DOORS-0004,PAINT-RUNS,ASY-S01,Rework,78
NCR-US-00098,MER-DOORS-0004,PAINT-BLISTER,ASY-S01,Rework,36
NCR-US-00099,MER-WIRING-HARNESS-0022,WELD-POROSITY,ASY-S02,Scrap,38
NCR-US-00100,MER-DOOR-PANELS-0019,MATERIAL-CONTAMINATION,ASY-S02,Rework,117
NCR-US-00101,MER-CRANKSHAFT-0029,WELD-UNDERCUT,ASY-S01,Scrap,399
NCR-US-00102,MER-GEAR-SET-0034,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,362
NCR-US-00103,MER-BUMPER-REAR-0007,SEAL-LEAK,ASY-S01,Rework,294
NCR-US-00104,MER-BUMPER-FRONT-0006,DIM-OUT-OF-TOLERANCE,ASY-S02,Rework,239
NCR-US-00105,MER-BUMPER-REAR-0007,DIM-OUT-OF-TOLERANCE,ASY-S01,Rework,377
NCR-US-00106,MER-WHEELS-0014,PAINT-RUNS,ASY-S02,Scrap,323
NCR-US-00107,MER-DOORS-0004,SURFACE-SCRATCH,ASY-S03,Rework,322
NCR-US-00108,MER-FUEL-TANK-0036,SURFACE-SCRATCH,ASY-S01,Rework,344
NCR-US-00109,MER-DASHBOARD-0017,DIM-GAP-FLUSH,ASY-S02,Scrap,249
NCR-US-00110,MER-FUEL-PUMP-0037,ELEC-SHORT-CIRCUIT,ASY-S02,Rework,187
NCR-US-00111,MER-DASHBOARD-0017,ASSY-MISSING-FASTENER,ASY-S02,Rework,152
NCR-US-00112,MER-HEADLINER-0020,ASSY-WRONG-PART,ASY-S01,Use-As-Is,39
NCR-US-00113,MER-STEERING-SYSTEM-0013,WELD-MISALIGN,ASY-S01,Scrap,185
NCR-US-00114,MER-WHEELS-0014,WELD-POROSITY,ASY-S01,Scrap,175
NCR-US-00115,MER-WHEELS-0014,DIM-OUT-OF-TOLERANCE,ASY-S02,Use-As-Is,210
NCR-US-00116,MER-WHEELS-0014,ELEC-OPEN-CIRCUIT,ASY-S03,Rework,69
NCR-US-00117,MER-FUEL-PUMP-0037,DIM-GAP-FLUSH,ASY-S03,Scrap,44
NCR-US-00118,MER-BUMPER-FRONT-0006,ASSY-MISSING-FASTENER,ASY-S01,Scrap,236
NCR-US-00119,MER-GEAR-SET-0034,ELEC-SHORT-CIRCUIT,ASY-S03,Rework,140
NCR-US-00120,MER-CENTER-CONSOLE-0018,PAINT-ORANGE-PEEL,ASY-S01,Rework,380
NCR-US-00121,MER-HOOD-0005,DIM-GAP-FLUSH,ASY-S02,Use-As-Is,353
NCR-US-00122,MER-GEARBOX-HOUSING-0032,ELEC-CONNECTOR-MISMATE,ASY-S01,Rework,453
NCR-US-00123,MER-CRANKSHAFT-0029,ELEC-OPEN-CIRCUIT,ASY-S02,Rework,112
NCR-US-00124,MER-BUMPER-REAR-0007,SURFACE-SCRATCH,ASY-S02,Rework,483
NCR-US-00125,MER-CRANKSHAFT-0029,DIM-GAP-FLUSH,ASY-S03,Rework,292
NCR-US-00126,MER-CYLINDER-HEAD-0028,ASSY-CROSS-THREAD,ASY-S02,Rework,497
NCR-US-00127,MER-WIRING-HARNESS-0022,ELEC-CONNECTOR-MISMATE,ASY-S03,Rework,376
NCR-US-00128,MER-GEARBOX-HOUSING-0032,PAINT-ORANGE-PEEL,ASY-S03,Scrap,141
NCR-US-00129,MER-STEERING-SYSTEM-0013,ASSY-CROSS-THREAD,ASY-S02,Rework,234
NCR-US-00130,MER-BODY-SHELL-0003,PAINT-RUNS,ASY-S03,Rework,72
NCR-US-00131,MER-BUMPER-FRONT-0006,DIM-GAP-FLUSH,ASY-S02,Rework,280
NCR-US-00132,MER-REAR-SUSPENSION-0011,PAINT-BLISTER,ASY-S01,Scrap,133
NCR-US-00133,MER-EXHAUST-PIPE-0042,SEAL-LEAK,ASY-S01,Rework,129
NCR-US-00134,MER-CYLINDER-HEAD-0028,PAINT-ORANGE-PEEL,ASY-S03,Rework,335
NCR-US-00135,MER-REAR-SUSPENSION-0011,WELD-UNDERCUT,ASY-S01,Rework,34
NCR-US-00136,MER-EXHAUST-PIPE-0042,PAINT-ORANGE-PEEL,ASY-S01,Rework,308
NCR-US-00137,MER-FENDERS-0008,WELD-MISALIGN,ASY-S01,Scrap,426
NCR-US-00138,MER-VEH-COMPACT-0001,ELEC-CONNECTOR-MISMATE,ASY-S02,Rework,329
NCR-US-00139,MER-WHEELS-0014,WELD-POROSITY,ASY-S01,Use-As-Is,125
NCR-US-00140,MER-SEATS-0016,ELEC-SHORT-CIRCUIT,ASY-S01,Rework,275
NCR-US-00141,MER-WIRING-HARNESS-0022,ASSY-MISSING-FASTENER,ASY-S03,Rework,466
NCR-US-00142,MER-WIRING-HARNESS-0022,PAINT-RUNS,ASY-S01,Use-As-Is,206
NCR-US-00143,MER-CENTER-CONSOLE-0018,WELD-UNDERCUT,ASY-S03,Rework,302
