OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2050066,ASSET-00012,Preventive,0,,000050000011
WO-2050067,ASSET-00012,Preventive,0,,000050000011
WO-2050068,ASSET-00012,Corrective,33,1094,000050000011
WO-2050069,ASSET-00012,Preventive,0,,000050000011
WO-2050070,ASSET-00013,Corrective,187,1160,000050000012
WO-2050071,ASSET-00013,Preventive,0,,000050000012
WO-2050072,ASSET-00013,Corrective,103,1029,000050000012
WO-2050073,ASSET-00013,Preventive,0,,000050000012
WO-2050074,ASSET-00014,Corrective,223,319,000050000013
WO-2050075,ASSET-00014,Preventive,0,,000050000013
WO-2050076,ASSET-00014,Preventive,0,,000050000013
WO-2050077,ASSET-00014,Preventive,0,,000050000013
WO-2050078,ASSET-00014,Preventive,0,,000050000013
WO-2050079,ASSET-00015,Corrective,85,581,000050000014
WO-2050080,ASSET-00015,Corrective,105,362,000050000014
WO-2050081,ASSET-00015,Corrective,154,1168,000050000014
WO-2050082,ASSET-00015,Preventive,0,,000050000014
WO-2050083,ASSET-00015,Corrective,96,1391,000050000014
WO-2050084,ASSET-00016,Preventive,0,,
WO-2050085,ASSET-00017,Preventive,0,,000050000015
WO-2050086,ASSET-00017,Corrective,96,1708,000050000015
WO-2050087,ASSET-00017,Corrective,193,809,000050000015
WO-2050088,ASSET-00017,Preventive,0,,000050000015
WO-2050089,ASSET-00017,Preventive,0,,000050000015
WO-2050090,ASSET-00018,Preventive,0,,000050000016
WO-2050091,ASSET-00018,Corrective,52,1403,000050000016
WO-2050092,ASSET-00018,Corrective,203,1321,000050000016
WO-2050093,ASSET-00018,Corrective,212,1371,000050000016
WO-2050094,ASSET-00018,Corrective,50,1021,000050000016
WO-2050095,ASSET-00018,Preventive,0,,000050000016
WO-2050096,ASSET-00018,Preventive,0,,000050000016
WO-2050097,ASSET-00019,Preventive,0,,
WO-2050098,ASSET-00019,Corrective,52,1308,
WO-2050099,ASSET-00019,Corrective,147,1793,
WO-2050100,ASSET-00019,Preventive,0,,
WO-2050101,ASSET-00019,Preventive,0,,
WO-2050102,ASSET-00020,Preventive,0,,000050000017
WO-2050103,ASSET-00020,Preventive,0,,000050000017
WO-2050104,ASSET-00020,Preventive,0,,000050000017
WO-2050105,ASSET-00020,Preventive,0,,000050000017
WO-2050106,ASSET-00020,Preventive,0,,000050000017
WO-2050107,ASSET-00020,Preventive,0,,000050000017
WO-2050108,ASSET-00020,Corrective,98,1298,000050000017
WO-2050109,ASSET-00021,Emergency,367,672,000050000018
WO-2050110,ASSET-00021,Corrective,147,710,000050000018
WO-2050111,ASSET-00021,Preventive,0,,000050000018
WO-2050112,ASSET-00021,Emergency,81,961,000050000018
WO-2050113,ASSET-00021,Corrective,44,1485,000050000018
WO-2050114,ASSET-00021,Emergency,218,1260,000050000018
WO-2050115,ASSET-00022,Preventive,0,,000050000019
WO-2050116,ASSET-00022,Preventive,0,,000050000019
WO-2050117,ASSET-00022,Preventive,0,,000050000019
WO-2050118,ASSET-00022,Emergency,474,1694,000050000019
WO-2050119,ASSET-00023,Corrective,69,1729,000050000020
WO-2050120,ASSET-00023,Corrective,238,1535,000050000020
WO-2050121,ASSET-00023,Corrective,127,1337,000050000020
WO-2050122,ASSET-00023,Preventive,0,,000050000020
WO-2050123,ASSET-00023,Corrective,109,1260,000050000020
WO-2050124,ASSET-00023,Preventive,0,,000050000020
WO-2050125,ASSET-00024,Preventive,0,,000050000021
WO-2050126,ASSET-00024,Preventive,0,,000050000021
WO-2050127,ASSET-00024,Corrective,88,837,000050000021
WO-2050128,ASSET-00024,Corrective,217,624,000050000021
WO-2050129,ASSET-00024,Preventive,0,,000050000021
WO-2050130,ASSET-00024,Preventive,0,,000050000021
WO-2050131,ASSET-00025,Preventive,0,,000050000023
WO-2050132,ASSET-00025,Preventive,0,,000050000023
WO-2050133,ASSET-00025,Preventive,0,,000050000023
WO-2050134,ASSET-00025,Preventive,0,,000050000023
WO-2050135,ASSET-00026,Preventive,0,,000050000024
WO-2050136,ASSET-00026,Preventive,0,,000050000024
WO-2050137,ASSET-00026,Corrective,147,1195,000050000024
WO-2050138,ASSET-00026,Corrective,173,1817,000050000024
WO-2050139,ASSET-00026,Corrective,44,315,000050000024
WO-2050140,ASSET-00026,Preventive,0,,000050000024
WO-2050141,ASSET-00027,Corrective,211,993,000050000025
WO-2050142,ASSET-00027,Preventive,0,,000050000025
WO-2050143,ASSET-00027,Corrective,181,259,000050000025
WO-2050144,ASSET-00027,Corrective,77,604,000050000025
WO-2050145,ASSET-00027,Preventive,0,,000050000025
WO-2050146,ASSET-00027,Preventive,0,,000050000025
WO-2050147,ASSET-00027,Emergency,344,1651,000050000025
WO-2050148,ASSET-00027,Preventive,0,,000050000025
WO-2050149,ASSET-00028,Preventive,0,,000050000026
WO-2050150,ASSET-00028,Emergency,121,1289,000050000026
WO-2050151,ASSET-00028,Corrective,62,201,000050000026
WO-2050152,ASSET-00028,Emergency,140,596,000050000026
WO-2050153,ASSET-00029,Corrective,54,1887,000050000027
WO-2050154,ASSET-00029,Corrective,31,624,000050000027
WO-2050155,ASSET-00029,Preventive,0,,000050000027
WO-2050156,ASSET-00030,Corrective,195,1083,000050000028
WO-2050157,ASSET-00030,Preventive,0,,000050000028
WO-2050158,ASSET-00030,Preventive,0,,000050000028
WO-2050159,ASSET-00030,Preventive,0,,000050000028
WO-2050160,ASSET-00031,Corrective,102,543,000050000029
WO-2050161,ASSET-00031,Preventive,0,,000050000029
WO-2050162,ASSET-00031,Corrective,39,937,000050000029
WO-2050163,ASSET-00031,Corrective,211,1581,000050000029
WO-2050164,ASSET-00032,Preventive,0,,000050000030
WO-2050165,ASSET-00032,Preventive,0,,000050000030
WO-2050166,ASSET-00032,Preventive,0,,000050000030
WO-2050167,ASSET-00032,Corrective,98,1991,000050000030
WO-2050168,ASSET-00032,Preventive,0,,000050000030
WO-2050169,ASSET-00032,Corrective,136,1243,000050000030
WO-2050170,ASSET-00032,Preventive,0,,000050000030
WO-2050171,ASSET-00033,Preventive,0,,000050000031
WO-2050172,ASSET-00033,Preventive,0,,000050000031
WO-2050173,ASSET-00033,Corrective,36,1526,000050000031
WO-2050174,ASSET-00033,Preventive,0,,000050000031
WO-2050175,ASSET-00033,Emergency,158,967,000050000031
WO-2050176,ASSET-00034,Corrective,84,1442,000050000032
WO-2050177,ASSET-00034,Emergency,334,1835,000050000032
WO-2050178,ASSET-00035,Preventive,0,,000050000033
WO-2050179,ASSET-00035,Preventive,0,,000050000033
WO-2050180,ASSET-00035,Emergency,109,834,000050000033
WO-2050181,ASSET-00035,Emergency,184,572,000050000033
WO-2050182,ASSET-00035,Corrective,38,365,000050000033
WO-2050183,ASSET-00036,Preventive,0,,000050000034
WO-2050184,ASSET-00036,Preventive,0,,000050000034
WO-2050185,ASSET-00036,Corrective,179,1201,000050000034
WO-2050186,ASSET-00036,Preventive,0,,000050000034
WO-2050187,ASSET-00037,Corrective,63,565,000050000035
WO-2050188,ASSET-00037,Preventive,0,,000050000035
WO-2050189,ASSET-00037,Preventive,0,,000050000035
WO-2050190,ASSET-00037,Preventive,0,,000050000035
WO-2050191,ASSET-00038,Preventive,0,,000050000036
WO-2050192,ASSET-00038,Preventive,0,,000050000036
WO-2050193,ASSET-00038,Preventive,0,,000050000036
WO-2050194,ASSET-00038,Corrective,96,1098,000050000036
WO-2050195,ASSET-00038,Preventive,0,,000050000036
WO-2050196,ASSET-00038,Preventive,0,,000050000036
WO-2050197,ASSET-00039,Corrective,232,1192,000050000037
WO-2050198,ASSET-00039,Emergency,566,519,000050000037
WO-2050199,ASSET-00039,Preventive,0,,000050000037
WO-2050200,ASSET-00039,Preventive,0,,000050000037
WO-2050201,ASSET-00040,Preventive,0,,000050000038
WO-2050202,ASSET-00040,Preventive,0,,000050000038
WO-2050203,ASSET-00040,Corrective,107,853,000050000038
WO-2050204,ASSET-00040,Preventive,0,,000050000038
WO-2050205,ASSET-00040,Preventive,0,,000050000038
WO-2050206,ASSET-00041,Preventive,0,,000050000040
WO-2050207,ASSET-00041,Preventive,0,,000050000040
WO-2050208,ASSET-00041,Corrective,30,1677,000050000040
WO-2050209,ASSET-00041,Corrective,189,719,000050000040
WO-2050210,ASSET-00042,Corrective,50,671,000050000041
WO-2050211,ASSET-00042,Emergency,379,651,000050000041
WO-2050212,ASSET-00042,Preventive,0,,000050000041
WO-2050213,ASSET-00042,Emergency,299,1440,000050000041
WO-2050214,ASSET-00042,Corrective,196,1449,000050000041
WO-2050215,ASSET-00043,Preventive,0,,000050000042
WO-2050216,ASSET-00043,Preventive,0,,000050000042
WO-2050217,ASSET-00043,Preventive,0,,000050000042
WO-2050218,ASSET-00043,Emergency,95,1236,000050000042
WO-2050219,ASSET-00043,Corrective,220,753,000050000042
WO-2050220,ASSET-00043,Emergency,208,1745,000050000042
WO-2050221,ASSET-00044,Corrective,106,450,
WO-2050222,ASSET-00044,Corrective,223,545,
WO-2050223,ASSET-00044,Emergency,309,1476,
WO-2050224,ASSET-00044,Emergency,558,439,
WO-2050225,ASSET-00044,Corrective,77,1328,
WO-2050226,ASSET-00044,Corrective,125,1959,
WO-2050227,ASSET-00044,Corrective,44,361,
WO-2050228,ASSET-00045,Emergency,342,1541,000050000043
WO-2050229,ASSET-00045,Corrective,101,430,000050000043
WO-2050230,ASSET-00045,Preventive,0,,000050000043
WO-2050231,ASSET-00046,Preventive,0,,000050000044
WO-2050232,ASSET-00046,Corrective,163,269,000050000044
WO-2050233,ASSET-00046,Preventive,0,,000050000044
WO-2050234,ASSET-00046,Preventive,0,,000050000044
WO-2050235,ASSET-00046,Emergency,554,1183,000050000044
WO-2050236,ASSET-00047,Corrective,110,251,000050000045
WO-2050237,ASSET-00047,Corrective,49,857,000050000045
WO-2050238,ASSET-00047,Preventive,0,,000050000045
WO-2050239,ASSET-00047,Preventive,0,,000050000045
WO-2050240,ASSET-00047,Preventive,0,,000050000045
WO-2050241,ASSET-00048,Preventive,0,,000050000046
WO-2050242,ASSET-00048,Corrective,133,1353,000050000046
WO-2050243,ASSET-00048,Preventive,0,,000050000046
WO-2050244,ASSET-00049,Corrective,54,1064,000050000048
WO-2050245,ASSET-00049,Preventive,0,,000050000048
WO-2050246,ASSET-00049,Corrective,57,1071,000050000048
WO-2050247,ASSET-00049,Corrective,74,549,000050000048
WO-2050248,ASSET-00049,Preventive,0,,000050000048
WO-2050249,ASSET-00049,Preventive,0,,000050000048
WO-2050250,ASSET-00049,Preventive,0,,000050000048
WO-2050251,ASSET-00049,Preventive,0,,000050000048
WO-2050252,ASSET-00050,Corrective,116,1709,
WO-2050253,ASSET-00050,Preventive,0,,
WO-2050254,ASSET-00050,Corrective,238,1369,
WO-2050255,ASSET-00050,Preventive,0,,
WO-2050256,ASSET-00050,Preventive,0,,
WO-2050257,ASSET-00050,Preventive,0,,
WO-2050258,ASSET-00051,Preventive,0,,000050000049
WO-2050259,ASSET-00051,Preventive,0,,000050000049
WO-2050260,ASSET-00051,Preventive,0,,000050000049
WO-2050261,ASSET-00051,Preventive,0,,000050000049
WO-2050262,ASSET-00051,Corrective,62,1651,000050000049
WO-2050263,ASSET-00052,Preventive,0,,000050000050
WO-2050264,ASSET-00052,Corrective,51,1146,000050000050
WO-2050265,ASSET-00052,Corrective,79,1256,000050000050
WO-2050266,ASSET-00052,Corrective,197,450,000050000050
WO-2050267,ASSET-00052,Preventive,0,,000050000050
WO-2050268,ASSET-00052,Emergency,67,1370,000050000050
WO-2050269,ASSET-00052,Corrective,39,856,000050000050
WO-2050270,ASSET-00053,Preventive,0,,000050000051
WO-2050271,ASSET-00053,Preventive,0,,000050000051
WO-2050272,ASSET-00053,Corrective,56,1053,000050000051
WO-2050273,ASSET-00053,Preventive,0,,000050000051
WO-2050274,ASSET-00054,Preventive,0,,000050000052
WO-2050275,ASSET-00054,Preventive,0,,000050000052
WO-2050276,ASSET-00054,Corrective,74,753,000050000052
WO-2050277,ASSET-00055,Preventive,0,,000050000053
WO-2050278,ASSET-00055,Preventive,0,,000050000053
WO-2050279,ASSET-00055,Preventive,0,,000050000053
WO-2050280,ASSET-00055,Preventive,0,,000050000053
WO-2050281,ASSET-00055,Corrective,224,377,000050000053
WO-2050282,ASSET-00055,Preventive,0,,000050000053
WO-2050283,ASSET-00055,Corrective,193,829,000050000053
WO-2050284,ASSET-00056,Corrective,229,335,000050000054
WO-2050285,ASSET-00057,Preventive,0,,000050000055
WO-2050286,ASSET-00057,Corrective,153,240,000050000055
WO-2050287,ASSET-00058,Preventive,0,,000050000056
WO-2050288,ASSET-00058,Preventive,0,,000050000056
WO-2050289,ASSET-00058,Preventive,0,,000050000056
WO-2050290,ASSET-00058,Corrective,53,919,000050000056
WO-2050291,ASSET-00058,Corrective,227,662,000050000056
WO-2050292,ASSET-00058,Corrective,161,1096,000050000056
WO-2050293,ASSET-00058,Preventive,0,,000050000056
WO-2050294,ASSET-00058,Preventive,0,,000050000056
WO-2050295,ASSET-00059,Preventive,0,,000050000057
WO-2050296,ASSET-00059,Corrective,221,1933,000050000057
WO-2050297,ASSET-00059,Preventive,0,,000050000057
WO-2050298,ASSET-00059,Corrective,118,375,000050000057
WO-2050299,ASSET-00060,Emergency,356,207,
WO-2050300,ASSET-00060,Preventive,0,,
WO-2050301,ASSET-00060,Corrective,210,1701,
WO-2050302,ASSET-00060,Preventive,0,,
WO-2050303,ASSET-00060,Emergency,471,1263,
WO-2050304,ASSET-00060,Corrective,69,1766,
WO-2050305,ASSET-00060,Corrective,74,1736,
WO-2050306,ASSET-00061,Preventive,0,,000050000058
WO-2050307,ASSET-00061,Emergency,235,306,000050000058
WO-2050308,ASSET-00061,Corrective,158,760,000050000058
WO-2050309,ASSET-00061,Preventive,0,,000050000058
WO-2050310,ASSET-00061,Preventive,0,,000050000058
WO-2050311,ASSET-00062,Corrective,70,1124,000050000059
WO-2050312,ASSET-00062,Preventive,0,,000050000059
WO-2050313,ASSET-00062,Emergency,151,1118,000050000059
WO-2050314,ASSET-00063,Preventive,0,,000050000060
WO-2050315,ASSET-00063,Emergency,500,1598,000050000060
WO-2050316,ASSET-00063,Corrective,37,627,000050000060
WO-2050317,ASSET-00063,Preventive,0,,000050000060
WO-2050318,ASSET-00063,Corrective,145,944,000050000060
WO-2050319,ASSET-00063,Preventive,0,,000050000060
WO-2050320,ASSET-00064,Preventive,0,,000050000061
WO-2050321,ASSET-00064,Preventive,0,,000050000061
WO-2050322,ASSET-00064,Corrective,92,877,000050000061
WO-2050323,ASSET-00064,Preventive,0,,000050000061
WO-2050324,ASSET-00064,Preventive,0,,000050000061
WO-2050325,ASSET-00064,Corrective,52,489,000050000061
WO-2050326,ASSET-00064,Corrective,143,964,000050000061
WO-2050327,ASSET-00065,Preventive,0,,000050000062
WO-2050328,ASSET-00065,Emergency,177,1026,000050000062
WO-2050329,ASSET-00065,Preventive,0,,000050000062
WO-2050330,ASSET-00065,Preventive,0,,000050000062
WO-2050331,ASSET-00065,Corrective,153,1377,000050000062
WO-2050332,ASSET-00066,Preventive,0,,
WO-2050333,ASSET-00066,Preventive,0,,
WO-2050334,ASSET-00066,Preventive,0,,
WO-2050335,ASSET-00066,Corrective,43,1573,
WO-2050336,ASSET-00066,Emergency,582,624,
WO-2050337,ASSET-00067,Emergency,134,1218,
WO-2050338,ASSET-00067,Corrective,172,1339,
WO-2050339,ASSET-00067,Emergency,476,1072,
WO-2050340,ASSET-00067,Preventive,0,,
WO-2050341,ASSET-00067,Preventive,0,,
WO-2050342,ASSET-00067,Preventive,0,,
WO-2050343,ASSET-00067,Corrective,70,466,
WO-2050344,ASSET-00067,Preventive,0,,
WO-2050345,ASSET-00067,Preventive,0,,
WO-2050346,ASSET-00067,Preventive,0,,
WO-2050347,ASSET-00067,Preventive,0,,
WO-2050348,ASSET-00068,Corrective,117,431,000050000063
WO-2050349,ASSET-00068,Corrective,135,1114,000050000063
WO-2050350,ASSET-00068,Preventive,0,,000050000063
WO-2050351,ASSET-00068,Preventive,0,,000050000063
WO-2050352,ASSET-00068,Corrective,110,1155,000050000063
WO-2050353,ASSET-00069,Preventive,0,,000050000064
WO-2050354,ASSET-00069,Preventive,0,,000050000064
WO-2050355,ASSET-00069,Preventive,0,,000050000064
WO-2050356,ASSET-00069,Corrective,40,665,000050000064
WO-2050357,ASSET-00069,Corrective,184,1617,000050000064
WO-2050358,ASSET-00070,Corrective,36,301,000050000065
WO-2050359,ASSET-00070,Preventive,0,,000050000065
WO-2050360,ASSET-00070,Corrective,45,803,000050000065
WO-2050361,ASSET-00070,Preventive,0,,000050000065
WO-2050362,ASSET-00070,Corrective,69,1539,000050000065
WO-2050363,ASSET-00070,Preventive,0,,000050000065
WO-2050364,ASSET-00071,Preventive,0,,000050000066
WO-2050365,ASSET-00071,Preventive,0,,000050000066
WO-2050366,ASSET-00071,Preventive,0,,000050000066
WO-2050367,ASSET-00071,Preventive,0,,000050000066
WO-2050368,ASSET-00071,Preventive,0,,000050000066
WO-2050369,ASSET-00072,Preventive,0,,000050000067
WO-2050370,ASSET-00072,Corrective,150,919,000050000067
WO-2050371,ASSET-00072,Preventive,0,,000050000067
WO-2050372,ASSET-00073,Preventive,0,,000050000068
WO-2050373,ASSET-00073,Corrective,42,1813,000050000068
WO-2050374,ASSET-00073,Emergency,104,1275,000050000068
WO-2050375,ASSET-00073,Corrective,56,966,000050000068
WO-2050376,ASSET-00073,Emergency,295,351,000050000068
WO-2050377,ASSET-00073,Corrective,114,483,000050000068
WO-2050378,ASSET-00073,Preventive,0,,000050000068
WO-2050379,ASSET-00073,Corrective,35,957,000050000068
WO-2050380,ASSET-00074,Emergency,148,1135,000050000069
WO-2050381,ASSET-00074,Preventive,0,,000050000069
WO-2050382,ASSET-00074,Preventive,0,,000050000069
WO-2050383,ASSET-00074,Corrective,167,233,000050000069
WO-2050384,ASSET-00074,Corrective,129,1583,000050000069
WO-2050385,ASSET-00075,Corrective,77,1750,000050000070
WO-2050386,ASSET-00075,Emergency,272,1474,000050000070
WO-2050387,ASSET-00075,Preventive,0,,000050000070
WO-2050388,ASSET-00075,Corrective,127,1431,000050000070
WO-2050389,ASSET-00076,Corrective,143,1112,000050000071
WO-2050390,ASSET-00076,Preventive,0,,000050000071
WO-2050391,ASSET-00076,Preventive,0,,000050000071
WO-2050392,ASSET-00076,Preventive,0,,000050000071
WO-2050393,ASSET-00076,Preventive,0,,000050000071
WO-2050394,ASSET-00076,Corrective,33,1158,000050000071
WO-2050395,ASSET-00077,Preventive,0,,
WO-2050396,ASSET-00077,Preventive,0,,
WO-2050397,ASSET-00077,Corrective,188,1659,
WO-2050398,ASSET-00077,Preventive,0,,
WO-2050399,ASSET-00077,Preventive,0,,
WO-2050400,ASSET-00078,Emergency,543,1337,
WO-2050401,ASSET-00078,Preventive,0,,
WO-2050402,ASSET-00078,Preventive,0,,
WO-2050403,ASSET-00078,Corrective,163,422,
WO-2050404,ASSET-00078,Preventive,0,,
WO-2050405,ASSET-00078,Preventive,0,,
WO-2050406,ASSET-00078,Emergency,522,1484,
WO-2050407,ASSET-00078,Preventive,0,,
WO-2050408,ASSET-00078,Preventive,0,,
WO-2050409,ASSET-00079,Preventive,0,,000050000072
WO-2050410,ASSET-00079,Corrective,87,303,000050000072
WO-2050411,ASSET-00079,Preventive,0,,000050000072
WO-2050412,ASSET-00079,Preventive,0,,000050000072
WO-2050413,ASSET-00080,Preventive,0,,
WO-2050414,ASSET-00080,Corrective,95,763,
WO-2050415,ASSET-00080,Preventive,0,,
WO-2050416,ASSET-00080,Preventive,0,,
WO-2050417,ASSET-00080,Preventive,0,,
WO-2050418,ASSET-00081,Emergency,198,267,
WO-2050419,ASSET-00081,Preventive,0,,
WO-2050420,ASSET-00081,Preventive,0,,
WO-2050421,ASSET-00082,Preventive,0,,000050000073
WO-2050422,ASSET-00082,Corrective,163,247,000050000073
WO-2050423,ASSET-00082,Emergency,501,1541,000050000073
WO-2050424,ASSET-00083,Preventive,0,,000050000074
WO-2050425,ASSET-00083,Emergency,491,1876,000050000074
WO-2050426,ASSET-00083,Corrective,78,1955,000050000074
WO-2050427,ASSET-00083,Corrective,157,1515,000050000074
WO-2050428,ASSET-00083,Preventive,0,,000050000074
WO-2050429,ASSET-00084,Corrective,50,1940,000050000075
WO-2050430,ASSET-00084,Emergency,199,825,000050000075
WO-2050431,ASSET-00084,Corrective,216,825,000050000075
WO-2050432,ASSET-00085,Preventive,0,,000050000076
WO-2050433,ASSET-00085,Corrective,220,660,000050000076
WO-2050434,ASSET-00085,Preventive,0,,000050000076
WO-2050435,ASSET-00086,Corrective,215,1657,000050000077
WO-2050436,ASSET-00086,Preventive,0,,000050000077
WO-2050437,ASSET-00086,Corrective,44,601,000050000077
WO-2050438,ASSET-00086,Emergency,171,740,000050000077
WO-2050439,ASSET-00086,Corrective,146,1220,000050000077
WO-2050440,ASSET-00086,Preventive,0,,000050000077
WO-2050441,ASSET-00086,Preventive,0,,000050000077
WO-2050442,ASSET-00086,Preventive,0,,000050000077
WO-2050443,ASSET-00087,Preventive,0,,000050000078
WO-2050444,ASSET-00087,Preventive,0,,000050000078
WO-2050445,ASSET-00087,Preventive,0,,000050000078
WO-2050446,ASSET-00087,Corrective,216,227,000050000078
WO-2050447,ASSET-00087,Preventive,0,,000050000078
WO-2050448,ASSET-00087,Corrective,181,1864,000050000078
WO-2050449,ASSET-00087,Preventive,0,,000050000078
WO-2050450,ASSET-00088,Corrective,32,1641,
WO-2050451,ASSET-00088,Corrective,230,548,
WO-2050452,ASSET-00088,Corrective,120,572,
WO-2050453,ASSET-00088,Preventive,0,,
WO-2050454,ASSET-00089,Preventive,0,,000050000079
WO-2050455,ASSET-00089,Preventive,0,,000050000079
WO-2050456,ASSET-00089,Corrective,239,1489,000050000079
WO-2050457,ASSET-00089,Preventive,0,,000050000079
WO-2050458,ASSET-00090,Preventive,0,,000050000080
WO-2050459,ASSET-00090,Preventive,0,,000050000080
WO-2050460,ASSET-00090,Corrective,234,1043,000050000080
WO-2050461,ASSET-00090,Preventive,0,,000050000080
WO-2050462,ASSET-00090,Preventive,0,,000050000080
WO-2050463,ASSET-00090,Emergency,325,1168,000050000080
WO-2050464,ASSET-00090,Preventive,0,,000050000080
WO-2050465,ASSET-00090,Preventive,0,,000050000080
WO-2050466,ASSET-00090,Corrective,208,1278,000050000080
WO-2050467,ASSET-00091,Preventive,0,,000050000081
WO-2050468,ASSET-00091,Preventive,0,,000050000081
WO-2050469,ASSET-00091,Preventive,0,,000050000081
WO-2050470,ASSET-00091,Corrective,70,1206,000050000081
WO-2050471,ASSET-00091,Preventive,0,,000050000081
WO-2050472,ASSET-00092,Corrective,240,332,
WO-2050473,ASSET-00092,Corrective,204,443,
WO-2050474,ASSET-00092,Preventive,0,,
WO-2050475,ASSET-00092,Preventive,0,,
WO-2050476,ASSET-00093,Corrective,233,245,000050000082
WO-2050477,ASSET-00093,Corrective,85,1878,000050000082
WO-2050478,ASSET-00093,Corrective,85,1321,000050000082
WO-2050479,ASSET-00093,Corrective,231,1894,000050000082
WO-2050480,ASSET-00094,Corrective,88,1361,000050000083
WO-2050481,ASSET-00094,Corrective,162,782,000050000083
WO-2050482,ASSET-00094,Emergency,526,1293,000050000083
WO-2050483,ASSET-00094,Preventive,0,,000050000083
WO-2050484,ASSET-00094,Preventive,0,,000050000083
WO-2050485,ASSET-00094,Preventive,0,,000050000083
WO-2050486,ASSET-00095,Preventive,0,,000050000084
WO-2050487,ASSET-00095,Corrective,168,964,000050000084
WO-2050488,ASSET-00096,Preventive,0,,000050000085
WO-2050489,ASSET-00096,Preventive,0,,000050000085
WO-2050490,ASSET-00096,Corrective,39,461,000050000085
WO-2050491,ASSET-00096,Preventive,0,,000050000085
WO-2050492,ASSET-00096,Emergency,473,347,000050000085
WO-2050493,ASSET-00097,Preventive,0,,000050000086
WO-2050494,ASSET-00097,Corrective,70,201,000050000086
WO-2050495,ASSET-00098,Preventive,0,,000050000087
WO-2050496,ASSET-00098,Preventive,0,,000050000087
