Werk,Anlagennummer,Anlagenbezeichnung,Kostenstelle,Anschaffungswert,Hersteller
P1060,000070000057,Paint Application Robot,CC-4875,293673.86,Eisenmann SE
P1060,000070000058,Adhesive Dispensing Unit,CC-4875,74469.14,ABB Robotics
P1060,000070000059,Vision Inspection Station,CC-4875,51197.84,Yaskawa Motoman
P1060,000070000060,Ultrasonic Welding Station,CC-4873,78467.52,FANUC
P1060,000070000061,Overhead Gantry Loader,CC-4875,165546.41,KUKA AG
P1060,000070000062,Paint Application Robot,CC-4876,203774.79,KUKA
P1060,000070000063,Coil Winding Machine,CC-4873,159320.99,MILLER ELECTRIC
P1060,000070000064,Vision Inspection Station,CC-4876,48961.62,Miller Electric
P1060,000070000065,Overhead Gantry Loader,CC-4876,107521.28,ABB
P1060,000070000066,Vision Inspection Station,CC-4876,67977.76,FANUC Corporation
P1060,000070000067,Palletizing Robot,CC-4875,114664.90,Rockwell Automation
P1060,000070000068,Dimensional Measurement Arm,CC-4874,74361.26,ABB
P1060,000070000069,CNC Machining Center,CC-4875,449970.41,ABB Robotics
P1060,000070000070,Hydraulic Press,,156645.21,Rockwell
P1060,000070000071,Wheel Alignment Rig,CC-4875,78414.48,Rockwell Automation
P1060,000070000072,Riveting Station,CC-4874,62669.05,KUKA AG
P1060,000070000073,Automated Guided Vehicle,CC-4876,41112.94,HEXAGON AB
P1060,000070000074,Leak Test Station,CC-4875,44711.52,KUKA AG
P1060,000070000075,Dimensional Measurement Arm,CC-4873,144260.54,SCHULER GROUP
P1060,000070000076,Wheel Alignment Rig,CC-4875,53049.63,Lincoln Electric
P1060,000070000077,Conveyor System,CC-4876,140218.66,KUKA AG
P1060,000070000078,Coil Winding Machine,CC-4873,148496.78,Yaskawa Motoman
P1060,000070000079,Automated Guided Vehicle,CC-4876,46935.32,Comau
P1060,000070000080,Conveyor System,CC-4873,73591.82,ABB Robotics
P1060,000070000081,Riveting Station,CC-4875,59699.83,Haas Automation
P1060,000070000082,Battery Pack Assembly Cell,,231182.34,Mazak Corporation
P1060,000070000083,Vision Inspection Station,CC-4876,46191.19,ABB ROBOTICS
P1060,000070000084,Automated Guided Vehicle,CC-4874,81295.99,DMG MORI
P1060,000070000085,Wheel Alignment Rig,CC-4875,35142.14,kuka ag
P1060,000070000086,Induction Heating Unit,CC-4874,52109.34,ABB Robotics
P1060,000070000087,Coil Winding Machine,CC-4874,199513.89,Yaskawa Motoman
P1060,000070000088,Final Functional Test Bench,CC-4874,193827.42,ABB Robotics
P1060,000070000089,Stamping Press,CC-4876,1149491.44,KUKA AG
P1060,000070000090,Torque Application Unit,CC-4874,35142.30,KUKA AG
P1060,000070000091,Induction Heating Unit,CC-4876,85057.10,Carl Zeiss Industrial Metrology
P1060,000070000092,Ultrasonic Welding Station,CC-4874,72865.69,Mazak
P1060,000070000093,Adhesive Dispensing Unit,CC-4876,61403.81,dmg mori
P1060,000070000094,Injection Molding Machine,CC-4875,449349.78,Bosch
P1060,000070000095,Injection Molding Machine,CC-4874,156331.68,Miller Electric
P1060,000070000096,Robotic Welding Cell,CC-4875,139653.86,COMAU
P1060,000070000097,Palletizing Robot,CC-4873,154315.93,KUKA AG
P1060,000070000098,Robotic Welding Cell,CC-4876,269103.05,ABB Robotics
P1060,000070000099,Stamping Press,CC-4875,892655.87,Hexagon AB
P1060,000070000100,Torque Application Unit,CC-4875,33827.38,fanuc corporation
P1060,000070000101,Induction Heating Unit,CC-4875,41870.79,Mazak
P1060,000070000102,CNC Machining Center,CC-4874,446563.59,KUKA
P1060,000070000103,Automated Guided Vehicle,CC-4873,40566.31,KUKA
P1060,000070000104,Palletizing Robot,CC-4874,83972.97,Lincoln Electric
P1060,000070000105,Dimensional Measurement Arm,CC-4874,91373.96,Yaskawa Motoman
P1060,000070000106,Dimensional Measurement Arm,CC-4875,89903.49,Yaskawa Motoman
P1060,000070000107,Overhead Gantry Loader,CC-4873,89516.54,KUKA
P1060,000070000108,Robotic Welding Cell,CC-4873,121245.57,Haas Automation
P1060,000070000109,Conveyor System,,119486.90,ABB Robotics
P1060,000070000110,Conveyor System,CC-4874,148472.16,atlas copco
P1060,000070000111,Hydraulic Press,CC-4873,240406.54,ABB Robotics
P1060,000070000112,Injection Molding Machine,CC-4875,422240.24,Dematic
P1060,000070000113,Hydraulic Press,CC-4873,306249.49,SCHNEIDER ELECTRIC
P1060,000070000114,Palletizing Robot,CC-4875,149563.61,Fanuc Corporation
P1060,000070000115,Wheel Alignment Rig,CC-4873,52084.13,bosch rexroth
P1060,000070000116,Assembly Torque Wrench Station,CC-4875,23861.55,KUKA AG
P1060,000070000117,Coil Winding Machine,CC-4874,86129.50,Carl Zeiss Industrial Metrology
P1060,000070000118,Leak Test Station,CC-4873,28363.02,Durr AG
P1060,000070000119,Laser Welding Cell,CC-4876,276816.26,ABB Robotics
P1060,000070000120,Dimensional Measurement Arm,CC-4876,148492.12,DMG MORI
P1060,000070000121,Screw Fastening Station,CC-4874,13764.99,KUKA AG
P1060,000070000122,Screw Fastening Station,CC-4875,17901.57,KUKA AG
P1060,000070000123,Overhead Gantry Loader,CC-4875,104486.67,KUKA
P1060,000070000124,CNC Machining Center,CC-4873,260786.25,Mazak Corporation
P1060,000070000125,Coil Winding Machine,CC-4876,132451.60,KUKA
P1060,000070000126,,CC-4875,106873.64,FANUC Corporation
P1060,000070000127,Coil Winding Machine,CC-4875,83339.81,ABB Robotics
P1060,000070000128,CNC Machining Center,CC-4876,201658.54,Dmg Mori
P1060,000070000129,Vision Inspection Station,CC-4875,69346.59,AIDA Engineering
P1060,000070000130,Laser Welding Cell,,351272.75,Hexagon AB
P1060,000070000131,Wheel Alignment Rig,CC-4876,57683.61,Bosch
P1060,000070000132,Injection Molding Machine,CC-4876,267617.67,Carl Zeiss Industrial Metrology
P1060,000070000133,Overhead Gantry Loader,CC-4873,85418.04,DMG
P1060,000070000134,Automated Guided Vehicle,CC-4875,66263.49,Abb Robotics
P1060,000070000135,Automated Guided Vehicle,CC-4874,81868.36,ABB
P1060,000070000136,Paint Application Robot,CC-4875,254271.30,Haas Automation
P1060,000070000137,,CC-4875,88185.88,Kuka Ag
P1060,000070000138,Induction Heating Unit,CC-4875,60223.32,Lincoln Electric
P1060,000070000139,Ultrasonic Welding Station,CC-4873,73838.39,ABB Robotics
P1060,000070000140,Dimensional Measurement Arm,CC-4875,77870.54,ABB
P1060,000070000141,Screw Fastening Station,CC-4876,23022.38,KUKA AG
P1060,000070000142,Laser Welding Cell,CC-4873,320471.12,KUKA AG
P1060,000070000143,CNC Machining Center,CC-4873,200125.69,Dematic
P1060,000070000144,Wheel Alignment Rig,CC-4874,84343.26,FANUC Corporation
P1060,000070000145,Assembly Torque Wrench Station,CC-4874,25404.36,Yaskawa
P1060,000070000146,,CC-4873,186259.72,ABB
P1060,000070000147,Assembly Torque Wrench Station,CC-4873,26565.41,Comau
P1060,000070000148,Paint Application Robot,CC-4875,288649.11,Yaskawa Motoman
P1060,000070000149,Riveting Station,CC-4873,38105.30,Lincoln
P1060,000070000150,Adhesive Dispensing Unit,CC-4876,38988.83,Miller Electric
P1060,000070000151,Leak Test Station,CC-4875,42618.37,FANUC Corporation
P1060,000070000152,Overhead Gantry Loader,CC-4875,92399.72,ABB Robotics
P1060,000070000153,Induction Heating Unit,CC-4873,60467.45,ABB ROBOTICS
P1060,000070000154,Robotic Welding Cell,CC-4873,150614.98,FANUC Corporation
P1060,000070000155,Stamping Press,CC-4875,866438.97,Atlas Copco
P1060,000070000156,Final Functional Test Bench,CC-4876,119724.57,DMG MORI
P1060,000070000157,Hydraulic Press,CC-4873,222059.98,Atlas Copco
P1060,000070000158,Ultrasonic Welding Station,CC-4873,60441.69,Rockwell Automation
P1060,000070000159,Stamping Press,CC-4875,449136.83,abb robotics
P1060,000070000160,Overhead Gantry Loader,CC-4876,122223.52,rockwell automation
P1060,000070000161,,CC-4875,67340.54,rockwell automation
P1060,000070000162,Assembly Torque Wrench Station,CC-4874,13744.90,Mazak Corporation
P1060,000070000163,CNC Machining Center,CC-4874,348174.95,Haas Automation
P1060,000070000164,CNC Machining Center,CC-4873,330872.21,Miller Electric
P1060,000070000165,CNC Machining Center,CC-4875,344043.91,DMG MORI
P1060,000070000166,Torque Application Unit,CC-4873,33704.97,Lincoln
P1060,000070000167,Induction Heating Unit,CC-4875,76101.70,Mazak Corporation
P1060,000070000168,Hydraulic Press,CC-4876,263719.88,KUKA AG
P1060,000070000169,Overhead Gantry Loader,CC-4875,113347.54,Siemens
P1060,000070000170,Laser Welding Cell,CC-4874,223843.49,Haas Automation
P1060,000070000171,Robotic Welding Cell,CC-4874,184283.45,FANUC
P1060,000070000172,Stamping Press,CC-4876,1160492.45,KUKA
P1060,000070000173,Overhead Gantry Loader,CC-4874,102665.67,ABB Robotics
P1060,000070000174,Induction Heating Unit,CC-4876,62713.76,Comau
P1060,000070000175,Induction Heating Unit,CC-4873,36193.20,carl zeiss industrial metrology
P1060,000070000176,Leak Test Station,CC-4875,33935.85,Kuka Ag
P1060,000070000177,Robotic Welding Cell,CC-4873,257904.60,FANUC
P1060,000070000178,CNC Machining Center,CC-4873,369861.90,Ingersoll Rand
P1060,000070000179,Assembly Torque Wrench Station,CC-4873,18390.99,DMG MORI
P1060,000070000180,Wheel Alignment Rig,CC-4873,32588.51,FANUC
P1060,000070000181,Screw Fastening Station,CC-4875,19446.23,KUKA
P1060,000070000182,Vision Inspection Station,CC-4875,80214.29,ABB ROBOTICS
P1060,000070000183,Battery Pack Assembly Cell,CC-4875,279967.09,Haas Automation
P1060,000070000184,Battery Pack Assembly Cell,CC-4874,518923.97,KUKA AG
P1060,000070000185,Torque Application Unit,CC-4874,35574.99,Schneider Electric
P1060,000070000186,Riveting Station,CC-4873,26746.90,Yaskawa Motoman
P1060,000070000187,Coil Winding Machine,CC-4874,197342.04,KUKA AG
P1060,000070000188,Hydraulic Press,CC-4876,132586.75,KUKA
P1060,000070000189,Injection Molding Machine,CC-4873,375538.85,Fives Group
P1060,000070000190,Assembly Torque Wrench Station,CC-4874,20533.59,Mazak
P1060,000070000191,Hydraulic Press,CC-4876,170883.88,Haas Automation
P1060,000070000192,Wheel Alignment Rig,CC-4874,36920.68,ABB Robotics
P1060,000070000193,Overhead Gantry Loader,,94508.63,KUKA AG
P1060,000070000194,,CC-4876,24607.78,KUKA AG
P1060,000070000195,Induction Heating Unit,CC-4875,58888.34,Rockwell
P1060,000070000196,CNC Machining Center,CC-4873,284750.39,ABB Robotics
P1060,000070000197,Final Functional Test Bench,CC-4875,82562.66,Atlas Copco
P1060,000070000198,Vision Inspection Station,CC-4874,73259.63,FANUC
P1060,000070000199,CNC Machining Center,CC-4875,214181.24,miller electric
P1060,000070000200,Overhead Gantry Loader,CC-4873,100203.81,Abb Robotics
P1060,000070000201,Torque Application Unit,CC-4874,24899.72,Kuka Ag
P1060,000070000202,Screw Fastening Station,CC-4874,23837.11,Miller
P1060,000070000203,CNC Machining Center,CC-4876,242957.28,Schneider Electric
P1060,000070000204,Stamping Press,CC-4876,729958.63,KUKA AG
P1060,000070000205,Robotic Welding Cell,CC-4876,275249.55,ABB Robotics
P1060,000070000206,Assembly Torque Wrench Station,CC-4874,32148.80,Lincoln Electric
P1060,000070000207,Screw Fastening Station,CC-4873,24443.56,Bosch
P1060,000070000208,Ultrasonic Welding Station,CC-4874,49431.86,Schuler Group
P1060,000070000209,Ultrasonic Welding Station,CC-4876,69692.19,Schuler Group
P1060,000070000210,Wheel Alignment Rig,CC-4873,65856.37,abb robotics
P1060,000070000211,Ultrasonic Welding Station,CC-4876,70247.44,AIDA Engineering
P1060,000070000212,Ultrasonic Welding Station,CC-4873,37408.74,Eisenmann SE
P1060,000070000213,Adhesive Dispensing Unit,CC-4873,76042.55,ABB Robotics
P1060,000070000214,Torque Application Unit,CC-4875,22777.90,Haas
P1060,000070000215,CNC Machining Center,CC-4873,308970.32,Rockwell Automation
P1060,000070000216,Riveting Station,CC-4874,28481.85,Yaskawa Motoman
P1060,000070000217,Final Functional Test Bench,CC-4876,142898.96,KUKA AG
P1060,000070000218,Coil Winding Machine,CC-4874,128558.21,DMG MORI
P1060,000070000219,Assembly Torque Wrench Station,CC-4874,16688.32,ABB Robotics
P1060,000070000220,Conveyor System,CC-4875,94452.44,Bosch Rexroth
P1060,000070000221,Riveting Station,CC-4876,42368.06,ABB Robotics
P1060,000070000222,Adhesive Dispensing Unit,CC-4874,59382.18,AIDA Engineering
P1060,000070000223,Adhesive Dispensing Unit,CC-4876,52061.86,KUKA
P1060,000070000224,Vision Inspection Station,CC-4874,28890.41,Eisenmann SE
P1060,000070000225,Battery Pack Assembly Cell,CC-4876,582012.53,FANUC Corporation
P1060,000070000226,Induction Heating Unit,CC-4874,83412.70,Kuka Ag
P1060,000070000227,Assembly Torque Wrench Station,CC-4873,27086.25,Atlas
P1060,000070000228,Conveyor System,CC-4875,60822.83,Lincoln Electric
P1060,000070000229,Injection Molding Machine,CC-4873,469781.89,Atlas Copco
P1060,000070000230,Vision Inspection Station,CC-4873,38798.78,Ingersoll Rand
P1060,000070000231,Wheel Alignment Rig,CC-4876,36462.91,SCHULER GROUP
P1060,000070000232,Overhead Gantry Loader,CC-4874,112246.50,Mazak Corporation
P1060,000070000233,Automated Guided Vehicle,CC-4876,117832.99,KUKA
P1060,000070000234,Battery Pack Assembly Cell,CC-4876,339006.84,KUKA AG
P1060,000070000235,,CC-4875,334874.88,Hexagon AB
P1060,000070000236,Coil Winding Machine,CC-4875,163669.81,Schneider Electric
P1060,000070000237,Paint Application Robot,CC-4874,206803.10,KUKA AG
P1060,000070000238,Hydraulic Press,CC-4873,251153.80,KUKA
P1060,000070000239,Final Functional Test Bench,CC-4876,141694.71,DMG MORI
P1060,000070000240,Wheel Alignment Rig,CC-4876,83654.99,KUKA
P1060,000070000241,Palletizing Robot,CC-4873,144275.75,Ingersoll Rand
P1060,000070000242,Conveyor System,CC-4876,103532.40,KUKA
P1060,000070000243,Ultrasonic Welding Station,CC-4875,72087.98,ABB Robotics
P1060,000070000244,,CC-4874,581317.68,Hexagon
P1060,000070000245,,CC-4875,41873.71,KUKA AG
P1060,000070000246,Torque Application Unit,CC-4873,24842.66,ABB Robotics
P1060,000070000247,Battery Pack Assembly Cell,CC-4874,246519.35,DMG MORI
P1060,000070000248,Laser Welding Cell,CC-4873,218173.89,Fanuc Corporation
P1060,000070000249,Laser Welding Cell,CC-4875,393176.48,Hexagon AB
P1060,000070000250,Ultrasonic Welding Station,CC-4873,32141.10,Mazak Corporation
P1060,000070000251,Torque Application Unit,CC-4875,34535.17,DMG MORI
P1060,000070000252,,CC-4874,65168.62,DMG MORI
P1060,000070000253,Battery Pack Assembly Cell,CC-4875,240339.06,Siemens AG
P1060,000070000254,Wheel Alignment Rig,CC-4876,89297.86,ABB Robotics
P1060,000070000255,Stamping Press,CC-4873,721530.03,KUKA
P1060,000070000256,Battery Pack Assembly Cell,CC-4873,372490.72,ABB Robotics
P1060,000070000257,Final Functional Test Bench,CC-4874,166646.68,Haas Automation
P1060,000070000258,Coil Winding Machine,CC-4873,163620.87,Yaskawa Motoman
P1060,000070000259,Injection Molding Machine,CC-4875,368199.82,KUKA AG
P1060,000070000260,Robotic Welding Cell,CC-4876,215095.59,Dmg Mori
P1060,000070000261,Final Functional Test Bench,CC-4876,94093.09,Kuka Ag
P1060,000070000262,Assembly Torque Wrench Station,CC-4873,29693.88,Mazak Corporation
P1060,000070000263,Battery Pack Assembly Cell,,458184.20,Bosch Rexroth
P1060,000070000264,CNC Machining Center,CC-4875,350610.90,Yaskawa Motoman
P1060,000070000265,Paint Application Robot,CC-4873,320378.50,Abb Robotics
P1060,000070000266,Riveting Station,,38582.58,KUKA AG
P1060,000070000267,Overhead Gantry Loader,CC-4874,169966.32,KUKA AG
P1060,000070000268,CNC Machining Center,CC-4876,313373.88,DMG MORI
P1060,000070000269,Final Functional Test Bench,,135583.94,Bosch Rexroth
P1060,000070000270,Robotic Welding Cell,CC-4875,180307.86,KUKA AG
P1060,000070000271,Overhead Gantry Loader,CC-4874,149601.04,Yaskawa Motoman
P1060,000070000272,Vision Inspection Station,CC-4875,64276.84,miller electric
P1060,000070000273,Ultrasonic Welding Station,CC-4875,51883.28,ABB Robotics
P1060,000070000274,Riveting Station,CC-4876,33097.53,Mazak
P1060,000070000275,Induction Heating Unit,CC-4875,75080.44,Kuka Ag
P1060,000070000276,CNC Machining Center,CC-4874,212369.82,FANUC Corporation
P1060,000070000277,CNC Machining Center,CC-4875,430616.64,Yaskawa
P1060,000070000278,Assembly Torque Wrench Station,CC-4875,19145.19,KUKA AG
P1060,000070000279,Wheel Alignment Rig,CC-4873,61678.80,Dematic
P1060,000070000280,Conveyor System,CC-4875,72022.97,schuler group
P1060,000070000281,Torque Application Unit,CC-4876,15918.09,KUKA
P1060,000070000282,Laser Welding Cell,CC-4874,282284.77,Comau
P1060,000070000283,Laser Welding Cell,CC-4874,233653.22,KUKA AG
P1060,000070000284,Stamping Press,CC-4876,786270.26,KUKA AG
P1060,000070000285,Dimensional Measurement Arm,,56207.84,Kuka Ag
P1060,000070000286,Final Functional Test Bench,CC-4874,104226.64,fanuc corporation
P1060,000070000287,CNC Machining Center,CC-4876,310409.56,Hexagon AB
P1060,000070000288,Dimensional Measurement Arm,CC-4876,74040.90,Yaskawa
P1060,000070000289,Vision Inspection Station,CC-4873,76145.33,Dematic
P1060,000070000290,Adhesive Dispensing Unit,CC-4873,39982.71,KUKA
P1060,000070000291,Vision Inspection Station,CC-4875,61226.95,Atlas Copco
P1060,000070000292,Paint Application Robot,CC-4875,282746.67,KUKA
P1060,000070000293,Adhesive Dispensing Unit,CC-4873,81322.60,haas automation
P1060,000070000294,CNC Machining Center,CC-4873,327153.84,Ingersoll
P1060,000070000295,Paint Application Robot,CC-4873,188856.06,Haas Automation
P1060,000070000296,Battery Pack Assembly Cell,CC-4874,266463.17,Haas Automation
P1060,000070000297,Ultrasonic Welding Station,CC-4873,39506.51,FANUC Corporation
P1060,000070000298,Induction Heating Unit,CC-4875,72437.90,mazak corporation
P1060,000070000299,Assembly Torque Wrench Station,CC-4875,25823.87,KUKA AG
P1060,000070000300,Automated Guided Vehicle,CC-4873,51839.37,Mazak Corporation
P1060,000070000301,Robotic Welding Cell,CC-4874,148450.44,ABB Robotics
P1060,000070000302,Injection Molding Machine,CC-4873,255849.38,Rockwell Automation
P1060,000070000303,Palletizing Robot,CC-4875,141103.58,DMG MORI
P1060,000070000304,Hydraulic Press,CC-4874,348193.03,Miller
P1060,000070000305,Robotic Welding Cell,CC-4874,190224.39,Comau
P1060,000070000306,Adhesive Dispensing Unit,CC-4876,85607.88,KUKA AG
P1060,000070000307,Leak Test Station,CC-4875,63929.32,kuka ag
P1060,000070000308,Laser Welding Cell,CC-4874,377316.28,AIDA Engineering
P1060,000070000309,Vision Inspection Station,CC-4875,89185.16,FANUC Corporation
P1060,000070000310,Vision Inspection Station,CC-4876,27184.98,Bosch Rexroth
P1060,000070000311,Ultrasonic Welding Station,CC-4876,46411.69,KUKA AG
P1060,000070000312,,CC-4875,43825.15,FANUC
P1060,000070000313,Screw Fastening Station,CC-4873,24132.26,DMG MORI
P1060,000070000314,Vision Inspection Station,CC-4874,44378.07,Schuler Group
P1060,000070000315,Paint Application Robot,CC-4875,308313.18,KUKA AG
P1060,000070000316,Laser Welding Cell,CC-4875,297651.72,Siemens AG
P1060,000070000317,,CC-4874,392504.21,ABB Robotics
P1060,000070000318,Stamping Press,,544632.37,ABB Robotics
P1060,000070000319,Vision Inspection Station,CC-4874,59340.73,Yaskawa Motoman
P1060,000070000320,Conveyor System,CC-4874,115293.77,abb robotics
P1060,000070000321,Hydraulic Press,CC-4876,392862.28,KUKA AG
P1060,000070000322,Torque Application Unit,CC-4874,19275.13,Haas Automation
P1060,000070000323,Riveting Station,CC-4874,57719.14,KUKA AG
P1060,000070000324,Ultrasonic Welding Station,CC-4876,29010.54,KUKA
P1060,000070000325,Assembly Torque Wrench Station,CC-4876,33379.32,Comau
P1060,000070000326,Torque Application Unit,CC-4875,21720.13,KUKA
P1060,000070000327,Assembly Torque Wrench Station,CC-4874,23887.51,KUKA AG
P1060,000070000328,Final Functional Test Bench,CC-4875,81884.18,KUKA AG
P1060,000070000329,Wheel Alignment Rig,CC-4875,30411.44,mazak corporation
P1060,000070000330,Riveting Station,CC-4873,35776.22,KUKA AG
P1060,000070000331,Stamping Press,CC-4873,552306.02,Kuka Ag
P1060,000070000332,Screw Fastening Station,CC-4876,27663.03,KUKA AG
P1060,000070000333,Induction Heating Unit,CC-4873,65057.15,COMAU
P1060,000070000334,Hydraulic Press,CC-4873,287399.19,Schuler
P1060,000070000335,Wheel Alignment Rig,CC-4876,88404.95,Lincoln
P1060,000070000336,Wheel Alignment Rig,CC-4876,60691.44,ABB ROBOTICS
P1060,000070000337,Hydraulic Press,CC-4874,132189.66,Mazak Corporation
P1060,000070000338,Final Functional Test Bench,CC-4874,115336.34,KUKA
P1060,000070000339,Stamping Press,CC-4874,480807.93,Yaskawa Motoman
P1060,000070000340,Hydraulic Press,CC-4875,184768.93,Eisenmann
P1060,000070000341,Stamping Press,CC-4875,1151062.98,siemens ag
P1060,000070000342,Automated Guided Vehicle,CC-4875,50532.83,Dmg Mori
P1060,000070000343,Ultrasonic Welding Station,CC-4875,40875.34,KUKA AG
P1060,000070000344,Ultrasonic Welding Station,CC-4875,56405.47,KUKA AG
P1060,000070000345,Coil Winding Machine,CC-4874,86354.90,KUKA
P1060,000070000346,Riveting Station,CC-4875,48067.58,Mazak Corporation
P1060,000070000347,Wheel Alignment Rig,CC-4875,42908.47,KUKA
P1060,000070000348,Coil Winding Machine,CC-4874,211614.42,Mazak Corporation
P1060,000070000349,Coil Winding Machine,CC-4876,165328.50,KUKA AG
P1060,000070000350,Paint Application Robot,CC-4874,318513.45,KUKA AG
P1060,000070000351,Stamping Press,CC-4875,620727.93,FANUC
P1060,000070000352,Coil Winding Machine,CC-4875,157413.11,Dematic
P1060,000070000353,Palletizing Robot,,86263.82,HEXAGON AB
P1060,000070000354,Leak Test Station,CC-4873,54342.05,ABB Robotics
P1060,000070000355,Dimensional Measurement Arm,CC-4875,135777.39,KUKA
P1060,000070000356,Dimensional Measurement Arm,CC-4876,134867.62,Mazak Corporation
P1060,000070000357,Wheel Alignment Rig,CC-4875,88970.21,Yaskawa Motoman
P1060,000070000358,Torque Application Unit,CC-4874,38248.88,DMG MORI
P1060,000070000359,Laser Welding Cell,CC-4873,202984.48,KUKA AG
P1060,000070000360,Assembly Torque Wrench Station,CC-4876,11726.57,KUKA
P1060,000070000361,Injection Molding Machine,CC-4876,411845.17,Mazak Corporation
P1060,000070000362,Torque Application Unit,CC-4874,30424.30,Yaskawa Motoman
P1060,000070000363,Coil Winding Machine,CC-4875,207944.73,ABB
P1060,000070000364,Vision Inspection Station,CC-4873,63418.72,KUKA AG
P1060,000070000365,,CC-4873,307142.47,KUKA AG
P1060,000070000366,Vision Inspection Station,CC-4875,43138.74,Rockwell Automation
P1060,000070000367,CNC Machining Center,CC-4875,373742.35,Yaskawa Motoman
P1060,000070000368,Leak Test Station,CC-4876,23732.36,ABB Robotics
P1060,000070000369,Battery Pack Assembly Cell,CC-4875,292097.71,Lincoln Electric
P1060,000070000370,Wheel Alignment Rig,CC-4873,41665.45,KUKA AG
P1060,000070000371,Paint Application Robot,CC-4876,170857.46,KUKA AG
P1060,000070000372,Automated Guided Vehicle,CC-4876,52540.49,KUKA
