Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1031,S01,178.069,180.782,171.713,1.1
K1032,S02,89.603,90.365,89.092,0.62
K1032,S02,89.757,90.365,89.092,0.62
K1033,S02,18.367,20.774,14.333,1.95
K1033,S02,17.591,20.774,14.333,1.95
K1033,S02,18.607,20.774,14.333,1.95
K1033,S02,17.519,20.774,14.333,1.95
K1034,S02,88.846,90.511,87.845,1.93
K1034,S02,89.382,90.511,87.845,1.93
K1035,S01,150.313,153.706,148.149,1.82
K1035,S01,150.333,153.706,148.149,1.82
K1036,S02,149.457,153.307,143.529,1.13
K1036,S02,147.633,153.307,143.529,1.13
K1036,S02,147.662,153.307,143.529,1.13
K1036,S02,148.685,153.307,143.529,1.13
K1036,S02,148.177,153.307,143.529,1.13
K1037,S03,65.329,70.916,62.703,0.87
K1037,S03,66.281,70.916,62.703,0.87
K1037,S03,67.604,70.916,62.703,0.87
K1038,S04,97.563,102.186,92.582,1.22
K1038,S04,95.893,102.186,92.582,1.22
K1038,S04,97.945,102.186,92.582,1.22
K1038,S04,98.187,102.186,92.582,1.22
K1039,S04,173.143,173.931,172.642,2.0
K1039,S04,173.293,173.931,172.642,2.0
K1039,S04,173.336,173.931,172.642,2.0
K1039,S04,173.119,173.931,172.642,2.0
K1039,S04,173.4,173.931,172.642,2.0
K1040,S01,133.308,134.031,132.642,2.04
K1040,S01,133.322,134.031,132.642,2.04
K1040,S01,133.432,134.031,132.642,2.04
K1040,S01,133.2,134.031,132.642,2.04
K1040,S01,133.445,134.031,132.642,2.04
K1041,S01,159.889,165.112,156.719,1.79
K1041,S01,160.543,165.112,156.719,1.79
K1041,S01,161.04,165.112,156.719,1.79
K1041,S01,159.975,165.112,156.719,1.79
K1042,S02,124.21,128.262,120.979,1.95
K1042,S02,123.974,128.262,120.979,1.95
K1043,S03,56.222,58.083,54.03,1.25
K1043,S03,56.116,58.083,54.03,1.25
K1043,S03,56.801,58.083,54.03,1.25
K1043,S03,55.994,58.083,54.03,1.25
K1043,S03,57.023,58.083,54.03,1.25
K1044,S04,134.637,135.658,127.085,0.67
K1044,S04,131.534,135.658,127.085,0.67
K1044,S04,126.734,135.658,127.085,0.67
K1044,S04,135.279,135.658,127.085,0.67
K1045,S04,82.016,83.232,80.766,1.3
K1045,S04,82.339,83.232,80.766,1.3
K1045,S04,81.716,83.232,80.766,1.3
K1045,S04,82.189,83.232,80.766,1.3
K1046,S04,152.998,157.786,149.19,1.55
K1046,S04,153.565,157.786,149.19,1.55
K1046,S04,153.295,157.786,149.19,1.55
K1047,S01,155.586,159.647,153.234,1.02
K1047,S01,154.393,159.647,153.234,1.02
K1048,S02,79.183,82.512,76.921,0.65
K1048,S02,81.278,82.512,76.921,0.65
K1048,S02,80.428,82.512,76.921,0.65
K1049,S01,196.063,197.339,193.795,1.59
K1049,S01,195.57,197.339,193.795,1.59
K1049,S01,194.957,197.339,193.795,1.59
K1049,S01,195.719,197.339,193.795,1.59
K1050,S01,24.196,25.906,22.79,2.08
K1050,S01,24.379,25.906,22.79,2.08
K1050,S01,24.024,25.906,22.79,2.08
K1051,S02,130.515,135.17,126.971,1.64
K1051,S02,130.546,135.17,126.971,1.64
K1051,S02,130.4,135.17,126.971,1.64
K1052,S02,116.277,118.103,112.851,0.85
K1052,S02,116.296,118.103,112.851,0.85
K1052,S02,115.242,118.103,112.851,0.85
K1053,S01,154.008,155.532,151.608,1.97
K1053,S01,153.396,155.532,151.608,1.97
K1053,S01,153.6,155.532,151.608,1.97
K1054,S01,114.513,116.854,111.91,1.7
K1054,S01,114.152,116.854,111.91,1.7
K1054,S01,114.365,116.854,111.91,1.7
K1054,S01,113.8,116.854,111.91,1.7
K1055,S01,131.272,133.713,128.497,1.44
K1055,S01,130.425,133.713,128.497,1.44
K1055,S01,130.945,133.713,128.497,1.44
K1056,S02,185.054,188.666,181.639,1.47
K1056,S02,185.492,188.666,181.639,1.47
K1056,S02,184.646,188.666,181.639,1.47
K1056,S02,184.139,188.666,181.639,1.47
K1057,S02,148.297,149.504,147.197,1.81
K1057,S02,148.421,149.504,147.197,1.81
K1058,S03,171.043,172.516,169.177,1.4
K1058,S03,170.196,172.516,169.177,1.4
K1058,S03,170.704,172.516,169.177,1.4
K1059,S01,136.47,138.449,134.849,2.05
K1059,S01,136.646,138.449,134.849,2.05
K1059,S01,136.67,138.449,134.849,2.05
K1059,S01,136.278,138.449,134.849,2.05
K1060,S01,22.536,27.339,17.446,2.0
K1060,S01,21.175,27.339,17.446,2.0
K1061,S02,127.749,131.876,123.754,0.79
K1061,S02,129.226,131.876,123.754,0.79
K1061,S02,127.809,131.876,123.754,0.79
K1061,S02,127.229,131.876,123.754,0.79
K1061,S02,127.027,131.876,123.754,0.79
K1062,S03,184.245,185.792,181.26,0.92
K1062,S03,185.11,185.792,181.26,0.92
K1063,S03,193.008,194.503,188.599,1.22
K1063,S03,191.695,194.503,188.599,1.22
K1063,S03,191.086,194.503,188.599,1.22
K1063,S03,191.23,194.503,188.599,1.22
K1064,S01,113.348,115.559,109.697,1.45
K1064,S01,112.772,115.559,109.697,1.45
K1064,S01,112.786,115.559,109.697,1.45
K1064,S01,111.803,115.559,109.697,1.45
K1064,S01,112.077,115.559,109.697,1.45
K1065,S01,196.652,200.352,190.529,1.44
K1065,S01,194.789,200.352,190.529,1.44
K1065,S01,195.468,200.352,190.529,1.44
K1065,S01,192.191,200.352,190.529,1.44
K1065,S01,195.871,200.352,190.529,1.44
K1066,S01,143.108,147.667,137.988,0.89
K1066,S01,145.285,147.667,137.988,0.89
K1066,S01,141.597,147.667,137.988,0.89
K1066,S01,142.439,147.667,137.988,0.89
K1067,S02,153.811,159.118,151.183,0.64
K1067,S02,156.392,159.118,151.183,0.64
K1067,S02,155.142,159.118,151.183,0.64
K1068,S02,166.308,171.117,162.156,1.36
K1068,S02,167.008,171.117,162.156,1.36
K1068,S02,167.791,171.117,162.156,1.36
K1068,S02,165.705,171.117,162.156,1.36
K1069,S03,127.215,131.481,124.031,1.13
K1069,S03,128.213,131.481,124.031,1.13
K1069,S03,129.257,131.481,124.031,1.13
K1069,S03,128.84,131.481,124.031,1.13
K1070,S03,193.79,197.66,189.763,2.16
K1070,S03,194.243,197.66,189.763,2.16
K1070,S03,193.437,197.66,189.763,2.16
K1070,S03,193.569,197.66,189.763,2.16
K1071,S03,151.745,156.789,148.604,0.6
K1071,S03,151.373,156.789,148.604,0.6
K1071,S03,150.006,156.789,148.604,0.6
K1072,S04,113.636,114.348,112.711,1.55
K1072,S04,113.511,114.348,112.711,1.55
K1072,S04,114.059,114.348,112.711,1.55
K1073,S04,174.839,176.764,171.215,1.25
K1073,S04,173.303,176.764,171.215,1.25
K1073,S04,174.743,176.764,171.215,1.25
K1074,S04,62.583,65.445,60.883,0.99
K1074,S04,62.063,65.445,60.883,0.99
K1074,S04,62.216,65.445,60.883,0.99
K1074,S04,61.847,65.445,60.883,0.99
K1075,S01,105.63,108.192,104.314,1.3
K1075,S01,105.561,108.192,104.314,1.3
K1075,S01,106.398,108.192,104.314,1.3
K1076,S01,143.559,148.03,142.829,0.77
K1076,S01,142.974,148.03,142.829,0.77
K1077,S01,159.747,163.885,157.41,1.01
K1077,S01,160.24,163.885,157.41,1.01
K1078,S02,127.525,129.742,125.968,1.54
K1078,S02,127.995,129.742,125.968,1.54
K1078,S02,127.851,129.742,125.968,1.54
K1078,S02,127.834,129.742,125.968,1.54
K1078,S02,127.514,129.742,125.968,1.54
K1079,S03,94.439,98.298,91.044,1.35
K1079,S03,94.465,98.298,91.044,1.35
K1080,S03,182.805,186.799,179.82,0.64
K1080,S03,184.013,186.799,179.82,0.64
K1080,S03,184.285,186.799,179.82,0.64
K1080,S03,183.255,186.799,179.82,0.64
K1080,S03,182.935,186.799,179.82,0.64
K1081,S03,168.749,172.523,163.273,1.35
K1081,S03,168.103,172.523,163.273,1.35
K1081,S03,167.732,172.523,163.273,1.35
K1081,S03,167.977,172.523,163.273,1.35
K1082,S01,10.224,12.707,8.675,1.39
K1082,S01,10.605,12.707,8.675,1.39
K1082,S01,9.822,12.707,8.675,1.39
K1083,S01,181.426,188.204,180.802,0.66
K1083,S01,180.82,188.204,180.802,0.66
K1084,S01,107.666,109.017,104.081,1.24
K1084,S01,107.344,109.017,104.081,1.24
K1084,S01,106.331,109.017,104.081,1.24
K1085,S02,114.621,115.786,113.589,2.1
K1085,S02,114.771,115.786,113.589,2.1
K1086,S01,68.393,71.168,64.009,1.28
K1086,S01,68.918,71.168,64.009,1.28
K1086,S01,66.735,71.168,64.009,1.28
K1087,S01,147.466,149.729,144.946,1.06
K1087,S01,146.344,149.729,144.946,1.06
K1087,S01,147.2,149.729,144.946,1.06
K1088,S02,68.195,72.208,63.223,1.95
K1088,S02,68.85,72.208,63.223,1.95
K1088,S02,66.739,72.208,63.223,1.95
K1088,S02,67.851,72.208,63.223,1.95
K1088,S02,67.295,72.208,63.223,1.95
K1089,S02,45.168,47.861,43.29,1.83
K1089,S02,45.156,47.861,43.29,1.83
K1089,S02,45.487,47.861,43.29,1.83
K1089,S02,45.406,47.861,43.29,1.83
K1090,S02,92.177,94.148,87.117,1.77
K1090,S02,90.4,94.148,87.117,1.77
K1090,S02,91.091,94.148,87.117,1.77
K1091,S03,189.802,191.518,187.085,2.19
K1091,S03,189.469,191.518,187.085,2.19
K1091,S03,189.17,191.518,187.085,2.19
K1091,S03,189.762,191.518,187.085,2.19
K1091,S03,188.756,191.518,187.085,2.19
K1092,S03,138.793,141.489,136.295,1.83
K1092,S03,138.42,141.489,136.295,1.83
K1092,S03,138.403,141.489,136.295,1.83
K1093,S04,71.31,72.987,70.218,1.93
K1093,S04,71.138,72.987,70.218,1.93
K1093,S04,71.612,72.987,70.218,1.93
K1094,S01,196.007,200.143,191.048,1.97
K1094,S01,195.52,200.143,191.048,1.97
K1094,S01,196.048,200.143,191.048,1.97
K1094,S01,195.23,200.143,191.048,1.97
K1094,S01,195.598,200.143,191.048,1.97
K1095,S01,169.699,173.383,166.055,1.81
K1095,S01,170.292,173.383,166.055,1.81
K1095,S01,169.533,173.383,166.055,1.81
K1095,S01,169.88,173.383,166.055,1.81
K1096,S02,151.643,154.486,150.923,1.1
K1096,S02,152.097,154.486,150.923,1.1
K1096,S02,152.29,154.486,150.923,1.1
K1096,S02,152.447,154.486,150.923,1.1
K1097,S01,156.067,158.844,153.966,1.75
K1097,S01,156.761,158.844,153.966,1.75
K1097,S01,156.145,158.844,153.966,1.75
K1098,S02,158.375,162.216,156.662,1.19
K1098,S02,160.351,162.216,156.662,1.19
K1098,S02,158.431,162.216,156.662,1.19
K1098,S02,159.775,162.216,156.662,1.19
K1098,S02,161.164,162.216,156.662,1.19
K1099,S02,46.296,48.555,43.729,1.84
K1099,S02,46.069,48.555,43.729,1.84
K1099,S02,45.921,48.555,43.729,1.84
K1099,S02,45.923,48.555,43.729,1.84
K1099,S02,45.863,48.555,43.729,1.84
K1100,S02,82.823,84.548,81.045,1.88
K1100,S02,83.276,84.548,81.045,1.88
K1100,S02,83.0,84.548,81.045,1.88
K1101,S03,180.198,184.15,174.85,2.04
K1101,S03,179.178,184.15,174.85,2.04
K1101,S03,178.253,184.15,174.85,2.04
K1101,S03,180.503,184.15,174.85,2.04
K1101,S03,180.352,184.15,174.85,2.04
K1102,S04,148.125,149.706,146.713,2.2
K1102,S04,148.445,149.706,146.713,2.2
K1103,S01,24.384,27.256,20.541,1.6
K1103,S01,24.32,27.256,20.541,1.6
K1104,S02,70.482,72.811,67.402,2.0
K1104,S02,69.709,72.811,67.402,2.0
K1105,S02,161.095,165.22,156.75,1.58
K1105,S02,162.811,165.22,156.75,1.58
K1106,S03,151.182,154.104,147.515,1.81
K1106,S03,150.184,154.104,147.515,1.81
K1107,S04,159.261,162.528,156.408,1.0
K1107,S04,159.419,162.528,156.408,1.0
K1108,S04,195.035,200.868,191.434,0.76
K1108,S04,196.405,200.868,191.434,0.76
K1108,S04,196.029,200.868,191.434,0.76
K1108,S04,197.305,200.868,191.434,0.76
K1109,S01,58.615,62.287,56.434,1.48
K1109,S01,59.517,62.287,56.434,1.48
K1109,S01,58.298,62.287,56.434,1.48
K1109,S01,58.969,62.287,56.434,1.48
K1110,S01,146.639,148.247,144.289,2.11
K1110,S01,146.144,148.247,144.289,2.11
K1110,S01,145.953,148.247,144.289,2.11
K1111,S02,15.837,18.065,13.56,2.04
K1111,S02,16.042,18.065,13.56,2.04
K1111,S02,15.46,18.065,13.56,2.04
K1111,S02,15.717,18.065,13.56,2.04
K1111,S02,15.85,18.065,13.56,2.04
K1112,S03,108.056,109.158,104.326,0.73
K1112,S03,107.82,109.158,104.326,0.73
K1112,S03,107.881,109.158,104.326,0.73
K1112,S03,106.322,109.158,104.326,0.73
K1113,S03,56.439,57.739,52.869,0.87
K1113,S03,56.034,57.739,52.869,0.87
K1113,S03,55.622,57.739,52.869,0.87
K1113,S03,53.982,57.739,52.869,0.87
K1113,S03,55.474,57.739,52.869,0.87
K1114,S01,190.537,192.067,187.363,1.34
K1114,S01,189.684,192.067,187.363,1.34
K1114,S01,189.697,192.067,187.363,1.34
K1115,S01,151.899,154.613,150.907,0.66
K1115,S01,153.734,154.613,150.907,0.66
K1115,S01,152.996,154.613,150.907,0.66
K1115,S01,152.211,154.613,150.907,0.66
K1115,S01,152.48,154.613,150.907,0.66
K1116,S01,193.896,198.503,190.438,1.2
K1116,S01,193.709,198.503,190.438,1.2
K1116,S01,194.794,198.503,190.438,1.2
K1117,S02,98.259,99.078,97.214,1.72
K1117,S02,98.05,99.078,97.214,1.72
K1117,S02,98.047,99.078,97.214,1.72
K1117,S02,97.905,99.078,97.214,1.72
K1118,S02,110.247,112.512,108.656,2.1
K1118,S02,110.898,112.512,108.656,2.1
K1118,S02,110.125,112.512,108.656,2.1
K1119,S01,87.824,91.357,83.474,1.6
K1119,S01,88.664,91.357,83.474,1.6
K1119,S01,87.43,91.357,83.474,1.6
K1119,S01,87.812,91.357,83.474,1.6
K1119,S01,87.142,91.357,83.474,1.6
K1120,S01,109.28,114.504,105.137,1.96
K1120,S01,110.833,114.504,105.137,1.96
K1120,S01,108.913,114.504,105.137,1.96
K1121,S02,70.872,74.583,65.165,2.02
K1121,S02,70.179,74.583,65.165,2.02
K1121,S02,69.309,74.583,65.165,2.02
K1122,S02,53.758,57.447,50.31,1.9
K1122,S02,53.801,57.447,50.31,1.9
K1122,S02,53.357,57.447,50.31,1.9
K1122,S02,55.454,57.447,50.31,1.9
K1122,S02,54.826,57.447,50.31,1.9
K1123,S03,92.578,93.925,91.619,1.88
K1123,S03,92.659,93.925,91.619,1.88
K1123,S03,92.318,93.925,91.619,1.88
K1124,S04,95.512,97.168,93.617,2.12
K1124,S04,95.326,97.168,93.617,2.12
K1124,S04,94.996,97.168,93.617,2.12
K1124,S04,95.606,97.168,93.617,2.12
K1125,S04,117.786,123.855,114.11,1.81
K1125,S04,118.617,123.855,114.11,1.81
K1125,S04,117.768,123.855,114.11,1.81
K1125,S04,118.841,123.855,114.11,1.81
K1125,S04,118.943,123.855,114.11,1.81
K1126,S04,75.054,80.404,71.154,0.9
K1126,S04,75.523,80.404,71.154,0.9
K1127,S01,184.605,186.598,181.05,1.86
K1127,S01,184.059,186.598,181.05,1.86
K1127,S01,183.799,186.598,181.05,1.86
K1128,S01,102.626,105.844,99.074,1.7
K1128,S01,103.453,105.844,99.074,1.7
K1129,S02,198.965,201.903,196.45,1.08
K1129,S02,197.627,201.903,196.45,1.08
K1130,S02,182.469,183.559,181.032,1.71
K1130,S02,182.042,183.559,181.032,1.71
K1131,S02,159.76,164.174,155.113,1.19
K1131,S02,160.132,164.174,155.113,1.19
K1131,S02,158.961,164.174,155.113,1.19
K1131,S02,161.41,164.174,155.113,1.19
K1132,S03,116.945,118.642,115.544,1.1
K1132,S03,116.787,118.642,115.544,1.1
K1133,S04,160.265,167.69,158.033,0.8
K1133,S04,161.007,167.69,158.033,0.8
K1133,S04,158.541,167.69,158.033,0.8
K1133,S04,166.055,167.69,158.033,0.8
K1134,S04,85.198,86.842,84.595,1.48
K1134,S04,85.773,86.842,84.595,1.48
K1134,S04,85.859,86.842,84.595,1.48
K1135,S04,118.447,119.394,118.155,1.71
K1135,S04,118.705,119.394,118.155,1.71
K1136,S01,198.895,203.075,193.889,1.78
K1136,S01,198.813,203.075,193.889,1.78
K1137,S01,107.105,109.508,105.834,1.25
K1137,S01,107.824,109.508,105.834,1.25
K1137,S01,107.948,109.508,105.834,1.25
K1137,S01,107.716,109.508,105.834,1.25
K1137,S01,108.203,109.508,105.834,1.25
K1138,S02,28.501,29.423,27.308,1.06
K1138,S02,29.07,29.423,27.308,1.06
K1139,S02,147.7,150.291,144.147,2.06
K1139,S02,147.903,150.291,144.147,2.06
K1139,S02,147.88,150.291,144.147,2.06
K1139,S02,148.277,150.291,144.147,2.06
K1140,S03,148.531,149.72,146.589,2.02
K1140,S03,148.17,149.72,146.589,2.02
K1140,S03,148.262,149.72,146.589,2.02
K1140,S03,148.142,149.72,146.589,2.02
K1140,S03,147.948,149.72,146.589,2.02
K1141,S04,79.412,83.561,74.983,2.05
K1141,S04,78.747,83.561,74.983,2.05
K1141,S04,78.524,83.561,74.983,2.05
K1142,S04,169.445,170.318,162.123,0.78
K1142,S04,166.44,170.318,162.123,0.78
K1142,S04,164.489,170.318,162.123,0.78
K1142,S04,166.038,170.318,162.123,0.78
K1143,S01,155.505,155.909,154.205,1.28
K1143,S01,155.116,155.909,154.205,1.28
K1144,S02,116.336,117.465,115.347,1.64
K1144,S02,116.478,117.465,115.347,1.64
K1144,S02,116.506,117.465,115.347,1.64
K1144,S02,116.809,117.465,115.347,1.64
K1145,S02,120.937,125.251,116.952,0.92
K1145,S02,120.636,125.251,116.952,0.92
K1145,S02,120.463,125.251,116.952,0.92
K1145,S02,120.017,125.251,116.952,0.92
K1146,S01,52.083,55.938,48.859,2.1
K1146,S01,52.052,55.938,48.859,2.1
K1146,S01,53.119,55.938,48.859,2.1
K1146,S01,52.436,55.938,48.859,2.1
K1146,S01,52.786,55.938,48.859,2.1
K1147,S01,13.282,15.037,12.121,2.07
K1147,S01,13.376,15.037,12.121,2.07
K1148,S02,118.51,120.152,115.034,1.88
K1148,S02,117.357,120.152,115.034,1.88
K1149,S02,126.447,128.496,123.197,1.05
K1149,S02,126.098,128.496,123.197,1.05
K1150,S03,172.664,175.721,168.838,1.64
K1150,S03,173.764,175.721,168.838,1.64
K1150,S03,172.561,175.721,168.838,1.64
K1150,S03,171.836,175.721,168.838,1.64
K1151,S03,95.026,95.772,94.447,1.33
K1151,S03,94.981,95.772,94.447,1.33
K1151,S03,95.093,95.772,94.447,1.33
K1151,S03,95.018,95.772,94.447,1.33
K1152,S03,172.526,174.185,168.342,1.89
K1152,S03,170.283,174.185,168.342,1.89
K1153,S01,186.787,188.237,185.597,1.35
K1153,S01,187.021,188.237,185.597,1.35
K1153,S01,186.362,188.237,185.597,1.35
K1154,S01,145.086,150.497,143.479,0.82
K1154,S01,148.684,150.497,143.479,0.82
K1155,S02,143.596,147.753,140.681,1.64
K1155,S02,144.731,147.753,140.681,1.64
K1155,S02,143.116,147.753,140.681,1.64
K1156,S02,187.833,188.817,186.867,1.32
K1156,S02,187.781,188.817,186.867,1.32
K1156,S02,187.946,188.817,186.867,1.32
K1156,S02,188.085,188.817,186.867,1.32
K1156,S02,187.988,188.817,186.867,1.32
K1157,S03,117.037,125.097,115.371,0.89
K1157,S03,119.071,125.097,115.371,0.89
K1157,S03,120.081,125.097,115.371,0.89
K1158,S01,86.874,87.5,85.757,1.04
K1158,S01,86.74,87.5,85.757,1.04
K1159,S01,188.345,189.364,187.345,1.95
K1159,S01,188.434,189.364,187.345,1.95
K1159,S01,188.273,189.364,187.345,1.95
K1160,S02,159.904,165.513,158.777,0.7
K1160,S02,163.654,165.513,158.777,0.7
K1160,S02,161.541,165.513,158.777,0.7
K1161,S01,189.3,193.131,186.807,1.46
K1161,S01,189.953,193.131,186.807,1.46
K1161,S01,188.945,193.131,186.807,1.46
K1161,S01,189.922,193.131,186.807,1.46
K1161,S01,190.049,193.131,186.807,1.46
K1162,S02,110.719,112.951,108.037,1.87
K1162,S02,110.367,112.951,108.037,1.87
K1162,S02,110.194,112.951,108.037,1.87
K1163,S02,107.341,110.411,101.071,1.27
K1163,S02,106.632,110.411,101.071,1.27
K1163,S02,106.07,110.411,101.071,1.27
K1163,S02,106.469,110.411,101.071,1.27
K1164,S02,122.314,126.498,120.992,0.84
K1164,S02,123.641,126.498,120.992,0.84
K1164,S02,124.691,126.498,120.992,0.84
K1164,S02,124.748,126.498,120.992,0.84
K1164,S02,123.495,126.498,120.992,0.84
K1165,S03,23.768,27.109,18.761,1.96
K1165,S03,23.972,27.109,18.761,1.96
K1165,S03,22.024,27.109,18.761,1.96
K1165,S03,22.844,27.109,18.761,1.96
K1165,S03,24.059,27.109,18.761,1.96
K1166,S03,152.047,154.603,145.571,0.73
K1166,S03,148.022,154.603,145.571,0.73
K1166,S03,152.395,154.603,145.571,0.73
K1166,S03,147.216,154.603,145.571,0.73
K1167,S04,36.224,37.241,34.425,1.56
K1167,S04,35.489,37.241,34.425,1.56
K1168,S04,190.313,191.287,188.366,1.05
K1168,S04,189.692,191.287,188.366,1.05
K1168,S04,189.681,191.287,188.366,1.05
K1168,S04,189.738,191.287,188.366,1.05
K1169,S04,9.303,14.685,5.535,1.99
K1169,S04,10.147,14.685,5.535,1.99
K1169,S04,9.824,14.685,5.535,1.99
K1169,S04,11.469,14.685,5.535,1.99
K1169,S04,8.907,14.685,5.535,1.99
K1170,S01,163.662,167.802,160.045,1.97
K1170,S01,164.091,167.802,160.045,1.97
K1171,S01,188.811,191.937,186.007,2.1
K1171,S01,188.679,191.937,186.007,2.1
K1171,S01,188.875,191.937,186.007,2.1
K1171,S01,188.877,191.937,186.007,2.1
K1172,S01,101.957,103.905,97.062,1.47
K1172,S01,99.733,103.905,97.062,1.47
K1172,S01,100.049,103.905,97.062,1.47
K1172,S01,101.051,103.905,97.062,1.47
K1172,S01,100.199,103.905,97.062,1.47
K1173,S02,20.188,22.797,16.169,1.59
K1173,S02,20.789,22.797,16.169,1.59
K1173,S02,19.066,22.797,16.169,1.59
K1173,S02,18.357,22.797,16.169,1.59
K1173,S02,18.817,22.797,16.169,1.59
K1174,S02,78.605,83.574,73.608,1.64
K1174,S02,78.236,83.574,73.608,1.64
K1174,S02,79.75,83.574,73.608,1.64
K1174,S02,77.698,83.574,73.608,1.64
K1174,S02,80.535,83.574,73.608,1.64
K1175,S03,103.317,105.281,100.932,2.18
