Site_ID,Asset_Tag,Equipment_Description,CostCtr,Book_Value_USD,OEM_Name
P1090,000100000094,Leak Test Station,CC-4410,55623.61,abb robotics
P1090,000100000095,Injection Molding Machine,CC-4410,172361.98,KUKA AG
P1090,000100000096,Hydraulic Press,CC-4412,241287.08,Atlas
P1090,000100000097,Leak Test Station,CC-4412,31569.17,ABB
P1090,000100000098,Riveting Station,CC-4412,32339.51,KUKA AG
P1090,000100000099,,CC-4412,132952.31,ABB Robotics
P1090,000100000100,Adhesive Dispensing Unit,CC-4411,54413.50,Fives Group
P1090,000100000101,Battery Pack Assembly Cell,CC-4410,351554.70,FANUC
P1090,000100000102,Conveyor System,CC-4410,53676.19,DMG MORI
P1090,000100000103,Automated Guided Vehicle,CC-4412,59926.46,FANUC Corporation
P1090,000100000104,Robotic Welding Cell,,130818.00,Atlas Copco
P1090,000100000105,Injection Molding Machine,,363839.16,KUKA
P1090,000100000106,Screw Fastening Station,CC-4409,30464.71,AIDA Engineering
P1090,000100000107,Conveyor System,CC-4412,87463.41,KUKA AG
P1090,000100000108,Induction Heating Unit,CC-4410,44493.98,Schuler
P1090,000100000109,Laser Welding Cell,CC-4412,275896.17,DMG MORI
P1090,000100000110,Riveting Station,CC-4411,43142.87,KUKA AG
P1090,000100000111,Ultrasonic Welding Station,CC-4412,26167.38,KUKA AG
P1090,000100000112,Induction Heating Unit,CC-4411,32337.03,KUKA AG
P1090,000100000113,Injection Molding Machine,CC-4410,309636.84,Kuka Ag
P1090,000100000114,Injection Molding Machine,CC-4412,421284.31,KUKA AG
P1090,000100000115,Automated Guided Vehicle,CC-4411,101984.53,AIDA Engineering
P1090,000100000116,Palletizing Robot,CC-4409,120930.77,Bosch Rexroth
P1090,000100000117,Adhesive Dispensing Unit,CC-4410,36931.84,KUKA AG
P1090,000100000118,Battery Pack Assembly Cell,CC-4409,319702.92,Atlas Copco
P1090,000100000119,Ultrasonic Welding Station,CC-4411,51906.18,ABB
P1090,000100000120,Overhead Gantry Loader,CC-4412,172908.52,DMG MORI
P1090,000100000121,Assembly Torque Wrench Station,CC-4412,16315.90,ABB Robotics
P1090,000100000122,Vision Inspection Station,CC-4410,26985.70,Haas Automation
P1090,000100000123,,CC-4409,253728.34,KUKA AG
P1090,000100000124,Dimensional Measurement Arm,CC-4411,112000.81,DMG MORI
P1090,000100000125,Wheel Alignment Rig,CC-4409,39039.36,KUKA AG
P1090,000100000126,Overhead Gantry Loader,CC-4409,87391.87,FANUC Corporation
P1090,000100000127,Leak Test Station,,32623.39,KUKA
P1090,000100000128,Final Functional Test Bench,CC-4410,94587.76,Lincoln
P1090,000100000129,Leak Test Station,CC-4409,52569.57,dmg mori
P1090,000100000130,Dimensional Measurement Arm,CC-4411,64983.70,Yaskawa Motoman
P1090,000100000131,Battery Pack Assembly Cell,CC-4412,526977.45,FANUC Corporation
P1090,000100000132,Paint Application Robot,CC-4410,291819.96,KUKA AG
P1090,000100000133,Induction Heating Unit,CC-4411,49904.26,FANUC
P1090,000100000134,Coil Winding Machine,CC-4409,219578.31,Miller Electric
P1090,000100000135,Induction Heating Unit,CC-4410,59569.64,FANUC
P1090,000100000136,Riveting Station,CC-4410,46833.56,bosch rexroth
P1090,000100000137,Overhead Gantry Loader,,92785.12,Schneider Electric
P1090,000100000138,Adhesive Dispensing Unit,CC-4411,57589.37,Eisenmann SE
P1090,000100000139,Palletizing Robot,CC-4410,95262.21,Dematic
P1090,000100000140,Robotic Welding Cell,CC-4411,203050.60,ABB Robotics
P1090,000100000141,CNC Machining Center,CC-4412,404668.30,KUKA
P1090,000100000142,Automated Guided Vehicle,CC-4409,53674.60,DMG MORI
P1090,000100000143,Final Functional Test Bench,CC-4410,122678.30,Yaskawa Motoman
P1090,000100000144,Ultrasonic Welding Station,CC-4412,56000.69,ABB Robotics
P1090,000100000145,Wheel Alignment Rig,CC-4410,80693.16,ABB
P1090,000100000146,,CC-4409,109837.20,Comau
P1090,000100000147,Riveting Station,CC-4410,66296.27,AIDA Engineering
P1090,000100000148,Conveyor System,CC-4410,98624.38,kuka ag
P1090,000100000149,Ultrasonic Welding Station,CC-4409,30991.37,KUKA AG
P1090,000100000150,Battery Pack Assembly Cell,CC-4411,414657.00,KUKA
P1090,000100000151,Ultrasonic Welding Station,CC-4409,43890.95,Eisenmann SE
P1090,000100000152,Automated Guided Vehicle,CC-4410,90028.28,FANUC Corporation
P1090,000100000153,Wheel Alignment Rig,CC-4412,80967.43,ABB Robotics
P1090,000100000154,Assembly Torque Wrench Station,CC-4412,33979.08,FANUC Corporation
P1090,000100000155,Ultrasonic Welding Station,CC-4411,75753.31,Lincoln Electric
P1090,000100000156,Torque Application Unit,CC-4409,36701.02,Atlas Copco
P1090,000100000157,Screw Fastening Station,CC-4412,29751.30,KUKA
P1090,000100000158,Vision Inspection Station,CC-4409,81418.34,Schneider Electric
P1090,000100000159,Ultrasonic Welding Station,CC-4409,41608.10,KUKA AG
P1090,000100000160,Torque Application Unit,CC-4409,28213.40,Mazak Corporation
P1090,000100000161,Ultrasonic Welding Station,CC-4410,76596.05,ABB
P1090,000100000162,Torque Application Unit,CC-4410,17473.50,Kuka Ag
P1090,000100000163,Leak Test Station,CC-4411,34123.84,KUKA AG
P1090,000100000164,Laser Welding Cell,CC-4409,276484.75,KUKA
P1090,000100000165,Torque Application Unit,CC-4410,31631.01,AIDA Engineering
P1090,000100000166,Dimensional Measurement Arm,CC-4410,115452.20,KUKA AG
P1090,000100000167,Adhesive Dispensing Unit,CC-4412,86487.89,ABB Robotics
P1090,000100000168,Stamping Press,CC-4411,523101.13,ABB
P1090,000100000169,Screw Fastening Station,CC-4409,26217.94,KUKA
P1090,000100000170,Ultrasonic Welding Station,CC-4410,40855.24,ABB Robotics
P1090,000100000171,Wheel Alignment Rig,CC-4410,86725.28,Yaskawa Motoman
P1090,000100000172,Automated Guided Vehicle,CC-4411,56794.30,Bosch Rexroth
P1090,000100000173,Battery Pack Assembly Cell,CC-4410,555851.36,ABB Robotics
P1090,000100000174,Conveyor System,CC-4412,86632.14,Fives
P1090,000100000175,Assembly Torque Wrench Station,CC-4410,18898.38,abb robotics
P1090,000100000176,Automated Guided Vehicle,CC-4412,68868.79,Haas Automation
P1090,000100000177,Conveyor System,CC-4409,58419.30,Yaskawa Motoman
P1090,000100000178,Conveyor System,CC-4412,118235.42,kuka ag
P1090,000100000179,Induction Heating Unit,CC-4411,58963.17,Yaskawa Motoman
P1090,000100000180,Injection Molding Machine,CC-4409,257184.80,Schuler
P1090,000100000181,Conveyor System,CC-4409,142582.32,Lincoln Electric
P1090,000100000182,Screw Fastening Station,CC-4410,34425.73,Comau
P1090,000100000183,Injection Molding Machine,CC-4411,206757.56,MILLER ELECTRIC
P1090,000100000184,Robotic Welding Cell,CC-4412,248484.98,FANUC
P1090,000100000185,Stamping Press,CC-4409,458510.39,Mazak Corporation
P1090,000100000186,Riveting Station,CC-4409,60685.90,Kuka Ag
P1090,000100000187,Assembly Torque Wrench Station,CC-4411,10967.35,DMG MORI
P1090,000100000188,Adhesive Dispensing Unit,CC-4410,30189.24,ABB Robotics
P1090,000100000189,Riveting Station,CC-4409,65633.13,Bosch Rexroth
P1090,000100000190,Battery Pack Assembly Cell,CC-4409,507051.04,Yaskawa Motoman
P1090,000100000191,Conveyor System,CC-4410,147177.63,DMG
P1090,000100000192,Riveting Station,CC-4411,63183.15,KUKA AG
P1090,000100000193,Screw Fastening Station,CC-4411,26104.81,DMG MORI
P1090,000100000194,Adhesive Dispensing Unit,CC-4410,81872.45,Haas Automation
P1090,000100000195,Assembly Torque Wrench Station,CC-4412,13818.58,KUKA
P1090,000100000196,Final Functional Test Bench,CC-4410,92947.15,Schuler
P1090,000100000197,Robotic Welding Cell,CC-4411,164369.80,FANUC Corporation
P1090,000100000198,Leak Test Station,CC-4411,29270.27,ABB
P1090,000100000199,Induction Heating Unit,CC-4410,88976.25,Miller Electric
P1090,000100000200,Automated Guided Vehicle,CC-4412,45749.62,Lincoln
P1090,000100000201,,CC-4410,77452.26,Durr AG
P1090,000100000202,Coil Winding Machine,CC-4411,116982.13,Haas
P1090,000100000203,Paint Application Robot,CC-4412,309331.96,FANUC Corporation
P1090,000100000204,Hydraulic Press,CC-4410,112117.13,FANUC Corporation
P1090,000100000205,Coil Winding Machine,CC-4410,217197.29,Aida Engineering
P1090,000100000206,CNC Machining Center,CC-4412,439392.64,KUKA AG
P1090,000100000207,Paint Application Robot,CC-4410,188814.89,abb robotics
P1090,000100000208,Wheel Alignment Rig,CC-4410,31744.22,Yaskawa Motoman
P1090,000100000209,Wheel Alignment Rig,CC-4412,60440.93,ABB
P1090,000100000210,Battery Pack Assembly Cell,CC-4412,496720.86,FANUC CORPORATION
P1090,000100000211,Dimensional Measurement Arm,CC-4410,122386.10,Ingersoll Rand
P1090,000100000212,Final Functional Test Bench,CC-4411,101670.27,Atlas Copco
P1090,000100000213,Final Functional Test Bench,CC-4409,113936.74,Bosch Rexroth
P1090,000100000214,Paint Application Robot,CC-4411,189785.28,ABB Robotics
P1090,000100000215,Battery Pack Assembly Cell,CC-4410,412792.76,Dmg Mori
P1090,000100000216,Automated Guided Vehicle,CC-4412,86375.97,KUKA AG
P1090,000100000217,Paint Application Robot,CC-4410,166866.87,Miller Electric
P1090,000100000218,Paint Application Robot,CC-4412,258094.81,KUKA AG
P1090,000100000219,Laser Welding Cell,CC-4412,235190.00,ABB Robotics
P1090,000100000220,Dimensional Measurement Arm,CC-4409,92966.28,Miller Electric
P1090,000100000221,Battery Pack Assembly Cell,CC-4410,249660.07,Yaskawa Motoman
P1090,000100000222,Palletizing Robot,,99214.40,Dematic
P1090,000100000223,Hydraulic Press,CC-4411,167704.71,ABB
P1090,000100000224,Ultrasonic Welding Station,CC-4409,52028.99,KUKA
P1090,000100000225,Robotic Welding Cell,CC-4410,173225.34,Yaskawa Motoman
P1090,000100000226,Torque Application Unit,CC-4412,26617.55,FANUC Corporation
P1090,000100000227,Riveting Station,CC-4409,63621.84,Yaskawa
P1090,000100000228,Robotic Welding Cell,CC-4409,156709.45,FANUC Corporation
P1090,000100000229,Torque Application Unit,CC-4411,40620.44,Haas
P1090,000100000230,Hydraulic Press,CC-4409,250293.54,KUKA
P1090,000100000231,Hydraulic Press,CC-4409,344270.39,KUKA AG
P1090,000100000232,Adhesive Dispensing Unit,CC-4409,54936.04,Atlas Copco
P1090,000100000233,Palletizing Robot,CC-4412,80808.99,Ingersoll Rand
P1090,000100000234,Leak Test Station,,28680.34,Lincoln Electric
P1090,000100000235,Laser Welding Cell,CC-4411,257026.44,DMG MORI
P1090,000100000236,Final Functional Test Bench,CC-4410,133177.41,KUKA AG
P1090,000100000237,Laser Welding Cell,CC-4411,360719.07,Yaskawa Motoman
P1090,000100000238,Riveting Station,CC-4412,47923.99,ABB Robotics
P1090,000100000239,Induction Heating Unit,CC-4409,65909.41,KUKA AG
P1090,000100000240,Robotic Welding Cell,CC-4410,198636.90,FANUC Corporation
P1090,000100000241,Coil Winding Machine,CC-4412,212134.56,LINCOLN ELECTRIC
P1090,000100000242,Overhead Gantry Loader,CC-4409,70099.94,KUKA
P1090,000100000243,Palletizing Robot,CC-4409,178064.69,Atlas Copco
P1090,000100000244,Assembly Torque Wrench Station,CC-4410,25821.14,Rockwell Automation
P1090,000100000245,Conveyor System,CC-4411,134071.53,KUKA
P1090,000100000246,Palletizing Robot,,102687.27,Eisenmann SE
P1090,000100000247,Torque Application Unit,CC-4411,33937.57,Bosch Rexroth
P1090,000100000248,Palletizing Robot,CC-4412,125664.86,ABB Robotics
P1090,000100000249,Robotic Welding Cell,CC-4412,225819.53,Lincoln Electric
P1090,000100000250,Riveting Station,CC-4412,69984.28,FANUC Corporation
P1090,000100000251,Battery Pack Assembly Cell,CC-4412,231399.87,Schneider Electric
P1090,000100000252,Leak Test Station,CC-4412,47386.85,FANUC Corporation
P1090,000100000253,Leak Test Station,CC-4410,29490.38,FANUC Corporation
