WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2120043,ASSET-00008,Preventive,,0,,000120000007
WO-2120044,ASSET-00008,Preventive,,0,,000120000007
WO-2120045,ASSET-00008,Preventive,,0,,000120000007
WO-2120046,ASSET-00008,Preventive,,0,,000120000007
WO-2120047,ASSET-00008,Corrective,DIE-WEAR,121,1450,000120000007
WO-2120048,ASSET-00009,Preventive,,0,,000120000008
WO-2120049,ASSET-00009,Corrective,BEARING-FAILURE,101,328,000120000008
WO-2120050,ASSET-00009,Corrective,CALIBRATION-DRIFT,81,524,000120000008
WO-2120051,ASSET-00009,Corrective,CALIBRATION-DRIFT,104,1436,000120000008
WO-2120052,ASSET-00010,Emergency,DIE-WEAR,562,933,000120000009
WO-2120053,ASSET-00010,Preventive,,0,,000120000009
WO-2120054,ASSET-00010,Preventive,,0,,000120000009
WO-2120055,ASSET-00010,Preventive,,0,,000120000009
WO-2120056,ASSET-00010,Emergency,DIE-WEAR,95,472,000120000009
WO-2120057,ASSET-00011,Corrective,CONTROLLER-FAULT,122,419,000120000010
WO-2120058,ASSET-00011,Preventive,,0,,000120000010
WO-2120059,ASSET-00011,Corrective,BEARING-FAILURE,228,542,000120000010
WO-2120060,ASSET-00011,Preventive,,0,,000120000010
WO-2120061,ASSET-00011,Corrective,DIE-WEAR,175,1364,000120000010
WO-2120062,ASSET-00011,Preventive,,0,,000120000010
WO-2120063,ASSET-00011,Preventive,,0,,000120000010
WO-2120064,ASSET-00011,Preventive,,0,,000120000010
WO-2120065,ASSET-00011,Preventive,,0,,000120000010
WO-2120066,ASSET-00012,Preventive,,0,,000120000011
WO-2120067,ASSET-00012,Preventive,,0,,000120000011
WO-2120068,ASSET-00013,Corrective,CONTROLLER-FAULT,114,550,000120000012
WO-2120069,ASSET-00013,Preventive,,0,,000120000012
WO-2120070,ASSET-00013,Corrective,PNEUMATIC-LEAK,149,206,000120000012
WO-2120071,ASSET-00014,Preventive,,0,,000120000013
WO-2120072,ASSET-00014,Preventive,,0,,000120000013
WO-2120073,ASSET-00014,Corrective,MOTOR-BURNOUT,69,1042,000120000013
WO-2120074,ASSET-00015,Preventive,,0,,000120000014
WO-2120075,ASSET-00015,Corrective,SENSOR-FAULT,173,722,000120000014
WO-2120076,ASSET-00015,Preventive,,0,,000120000014
WO-2120077,ASSET-00016,Corrective,HYDRAULIC-LEAK,155,204,000120000015
WO-2120078,ASSET-00016,Corrective,SENSOR-FAULT,96,804,000120000015
WO-2120079,ASSET-00016,Corrective,SPINDLE-SEIZURE,117,1539,000120000015
WO-2120080,ASSET-00016,Emergency,BEARING-FAILURE,387,1357,000120000015
WO-2120081,ASSET-00016,Corrective,BEARING-FAILURE,240,1588,000120000015
WO-2120082,ASSET-00016,Corrective,SPINDLE-SEIZURE,93,1973,000120000015
WO-2120083,ASSET-00016,Preventive,,0,,000120000015
WO-2120084,ASSET-00016,Preventive,,0,,000120000015
WO-2120085,ASSET-00017,Corrective,DIE-WEAR,119,1088,000120000016
WO-2120086,ASSET-00017,Corrective,CALIBRATION-DRIFT,140,509,000120000016
WO-2120087,ASSET-00017,Preventive,,0,,000120000016
WO-2120088,ASSET-00017,Preventive,,0,,000120000016
WO-2120089,ASSET-00017,Corrective,BELT-FAILURE,196,1783,000120000016
WO-2120090,ASSET-00018,Preventive,,0,,000120000017
WO-2120091,ASSET-00018,Corrective,SENSOR-FAULT,49,674,000120000017
WO-2120092,ASSET-00018,Preventive,,0,,000120000017
WO-2120093,ASSET-00018,Corrective,BEARING-FAILURE,34,1374,000120000017
WO-2120094,ASSET-00019,Corrective,PNEUMATIC-LEAK,72,1840,000120000018
WO-2120095,ASSET-00019,Preventive,,0,,000120000018
WO-2120096,ASSET-00019,Emergency,SPINDLE-SEIZURE,468,1241,000120000018
WO-2120097,ASSET-00020,Corrective,BELT-FAILURE,63,1980,000120000019
WO-2120098,ASSET-00020,Preventive,,0,,000120000019
WO-2120099,ASSET-00020,Preventive,,0,,000120000019
WO-2120100,ASSET-00020,Preventive,,0,,000120000019
WO-2120101,ASSET-00021,Preventive,,0,,000120000020
WO-2120102,ASSET-00021,Preventive,,0,,000120000020
WO-2120103,ASSET-00022,Emergency,CALIBRATION-DRIFT,232,1016,000120000021
WO-2120104,ASSET-00022,Preventive,,0,,000120000021
WO-2120105,ASSET-00022,Preventive,,0,,000120000021
WO-2120106,ASSET-00022,Preventive,,0,,000120000021
WO-2120107,ASSET-00022,Emergency,DIE-WEAR,359,1129,000120000021
WO-2120108,ASSET-00022,Corrective,DIE-WEAR,124,1410,000120000021
WO-2120109,ASSET-00022,Preventive,,0,,000120000021
WO-2120110,ASSET-00022,Corrective,CONTROLLER-FAULT,54,271,000120000021
WO-2120111,ASSET-00022,Corrective,CALIBRATION-DRIFT,154,1712,000120000021
WO-2120112,ASSET-00023,Corrective,BELT-FAILURE,234,288,
WO-2120113,ASSET-00023,Corrective,BEARING-FAILURE,34,1059,
WO-2120114,ASSET-00023,Preventive,,0,,
WO-2120115,ASSET-00023,Preventive,,0,,
WO-2120116,ASSET-00023,Corrective,SPINDLE-SEIZURE,220,1076,
WO-2120117,ASSET-00024,Preventive,,0,,000120000022
WO-2120118,ASSET-00024,Preventive,,0,,000120000022
WO-2120119,ASSET-00024,Emergency,HYDRAULIC-LEAK,268,597,000120000022
WO-2120120,ASSET-00024,Preventive,,0,,000120000022
WO-2120121,ASSET-00024,Preventive,,0,,000120000022
WO-2120122,ASSET-00025,Preventive,,0,,
WO-2120123,ASSET-00025,Preventive,,0,,
WO-2120124,ASSET-00025,Corrective,MOTOR-BURNOUT,97,1324,
WO-2120125,ASSET-00026,Preventive,,0,,000120000023
WO-2120126,ASSET-00026,Preventive,,0,,000120000023
WO-2120127,ASSET-00026,Preventive,,0,,000120000023
WO-2120128,ASSET-00026,Preventive,,0,,000120000023
WO-2120129,ASSET-00026,Preventive,,0,,000120000023
WO-2120130,ASSET-00026,Preventive,,0,,000120000023
WO-2120131,ASSET-00026,Preventive,,0,,000120000023
WO-2120132,ASSET-00027,Corrective,BELT-FAILURE,125,550,000120000024
WO-2120133,ASSET-00027,Corrective,BEARING-FAILURE,76,832,000120000024
WO-2120134,ASSET-00027,Corrective,DIE-WEAR,53,976,000120000024
WO-2120135,ASSET-00027,Corrective,DIE-WEAR,182,1736,000120000024
WO-2120136,ASSET-00027,Preventive,,0,,000120000024
WO-2120137,ASSET-00028,Preventive,,0,,000120000025
WO-2120138,ASSET-00028,Corrective,SPINDLE-SEIZURE,109,856,000120000025
WO-2120139,ASSET-00028,Preventive,,0,,000120000025
WO-2120140,ASSET-00028,Emergency,CALIBRATION-DRIFT,110,1870,000120000025
WO-2120141,ASSET-00028,Preventive,,0,,000120000025
WO-2120142,ASSET-00028,Corrective,PNEUMATIC-LEAK,213,1571,000120000025
WO-2120143,ASSET-00028,Preventive,,0,,000120000025
WO-2120144,ASSET-00029,Preventive,,0,,000120000026
WO-2120145,ASSET-00029,Preventive,,0,,000120000026
WO-2120146,ASSET-00029,Preventive,,0,,000120000026
WO-2120147,ASSET-00029,Corrective,BEARING-FAILURE,216,1185,000120000026
WO-2120148,ASSET-00029,Preventive,,0,,000120000026
WO-2120149,ASSET-00030,Corrective,SENSOR-FAULT,157,406,
WO-2120150,ASSET-00030,Corrective,MOTOR-BURNOUT,32,328,
WO-2120151,ASSET-00030,Preventive,,0,,
WO-2120152,ASSET-00030,Preventive,,0,,
WO-2120153,ASSET-00030,Preventive,,0,,
WO-2120154,ASSET-00030,Preventive,,0,,
WO-2120155,ASSET-00030,Corrective,CALIBRATION-DRIFT,147,281,
WO-2120156,ASSET-00030,Corrective,DIE-WEAR,237,751,
WO-2120157,ASSET-00031,Corrective,CALIBRATION-DRIFT,125,1650,000120000027
WO-2120158,ASSET-00031,Corrective,BEARING-FAILURE,164,412,000120000027
WO-2120159,ASSET-00031,Preventive,,0,,000120000027
WO-2120160,ASSET-00031,Preventive,,0,,000120000027
WO-2120161,ASSET-00031,Preventive,,0,,000120000027
WO-2120162,ASSET-00031,Corrective,BELT-FAILURE,75,1576,000120000027
WO-2120163,ASSET-00032,Corrective,CALIBRATION-DRIFT,41,1381,000120000028
WO-2120164,ASSET-00032,Corrective,SPINDLE-SEIZURE,190,774,000120000028
WO-2120165,ASSET-00032,Preventive,,0,,000120000028
WO-2120166,ASSET-00032,Corrective,MOTOR-BURNOUT,92,491,000120000028
WO-2120167,ASSET-00032,Corrective,BEARING-FAILURE,40,975,000120000028
WO-2120168,ASSET-00032,Preventive,,0,,000120000028
WO-2120169,ASSET-00033,Corrective,SENSOR-FAULT,218,274,000120000029
WO-2120170,ASSET-00033,Preventive,,0,,000120000029
WO-2120171,ASSET-00033,Corrective,CALIBRATION-DRIFT,82,246,000120000029
WO-2120172,ASSET-00033,Corrective,BELT-FAILURE,35,693,000120000029
WO-2120173,ASSET-00034,Preventive,,0,,000120000030
WO-2120174,ASSET-00034,Preventive,,0,,000120000030
WO-2120175,ASSET-00034,Emergency,BEARING-FAILURE,110,1830,000120000030
WO-2120176,ASSET-00034,Corrective,SENSOR-FAULT,158,1465,000120000030
WO-2120177,ASSET-00034,Preventive,,0,,000120000030
WO-2120178,ASSET-00035,Corrective,HYDRAULIC-LEAK,220,748,000120000031
WO-2120179,ASSET-00035,Corrective,CALIBRATION-DRIFT,176,376,000120000031
WO-2120180,ASSET-00035,Emergency,SPINDLE-SEIZURE,204,1163,000120000031
WO-2120181,ASSET-00035,Preventive,,0,,000120000031
WO-2120182,ASSET-00035,Emergency,CALIBRATION-DRIFT,205,1390,000120000031
WO-2120183,ASSET-00035,Preventive,,0,,000120000031
WO-2120184,ASSET-00035,Preventive,,0,,000120000031
WO-2120185,ASSET-00036,Corrective,PNEUMATIC-LEAK,55,868,000120000032
WO-2120186,ASSET-00036,Corrective,CONTROLLER-FAULT,46,1059,000120000032
WO-2120187,ASSET-00036,Corrective,CALIBRATION-DRIFT,31,346,000120000032
WO-2120188,ASSET-00036,Corrective,BEARING-FAILURE,238,750,000120000032
WO-2120189,ASSET-00037,Corrective,HYDRAULIC-LEAK,182,1056,000120000033
WO-2120190,ASSET-00037,Corrective,MOTOR-BURNOUT,238,477,000120000033
WO-2120191,ASSET-00037,Preventive,,0,,000120000033
WO-2120192,ASSET-00037,Corrective,MOTOR-BURNOUT,89,715,000120000033
WO-2120193,ASSET-00037,Corrective,HYDRAULIC-LEAK,221,843,000120000033
WO-2120194,ASSET-00038,Preventive,,0,,000120000034
WO-2120195,ASSET-00038,Emergency,BEARING-FAILURE,476,1025,000120000034
WO-2120196,ASSET-00038,Preventive,,0,,000120000034
WO-2120197,ASSET-00039,Preventive,,0,,000120000035
WO-2120198,ASSET-00039,Emergency,PNEUMATIC-LEAK,359,429,000120000035
WO-2120199,ASSET-00039,Preventive,,0,,000120000035
WO-2120200,ASSET-00039,Preventive,,0,,000120000035
WO-2120201,ASSET-00039,Corrective,CALIBRATION-DRIFT,172,1774,000120000035
WO-2120202,ASSET-00039,Preventive,,0,,000120000035
WO-2120203,ASSET-00039,Preventive,,0,,000120000035
WO-2120204,ASSET-00040,Corrective,BEARING-FAILURE,185,1923,000120000036
WO-2120205,ASSET-00040,Preventive,,0,,000120000036
WO-2120206,ASSET-00040,Emergency,SENSOR-FAULT,516,369,000120000036
WO-2120207,ASSET-00040,Emergency,BELT-FAILURE,77,1694,000120000036
WO-2120208,ASSET-00041,Corrective,SENSOR-FAULT,123,933,
WO-2120209,ASSET-00041,Preventive,,0,,
WO-2120210,ASSET-00041,Corrective,CALIBRATION-DRIFT,224,630,
WO-2120211,ASSET-00041,Emergency,SPINDLE-SEIZURE,396,980,
WO-2120212,ASSET-00041,Preventive,,0,,
WO-2120213,ASSET-00042,Preventive,,0,,000120000037
WO-2120214,ASSET-00042,Preventive,,0,,000120000037
WO-2120215,ASSET-00043,Preventive,,0,,000120000038
WO-2120216,ASSET-00043,Corrective,BEARING-FAILURE,196,1871,000120000038
WO-2120217,ASSET-00043,Preventive,,0,,000120000038
WO-2120218,ASSET-00043,Preventive,,0,,000120000038
WO-2120219,ASSET-00043,Preventive,,0,,000120000038
WO-2120220,ASSET-00043,Preventive,,0,,000120000038
WO-2120221,ASSET-00043,Preventive,,0,,000120000038
WO-2120222,ASSET-00043,Preventive,,0,,000120000038
WO-2120223,ASSET-00044,Preventive,,0,,000120000039
WO-2120224,ASSET-00044,Preventive,,0,,000120000039
WO-2120225,ASSET-00044,Emergency,CONTROLLER-FAULT,458,1633,000120000039
WO-2120226,ASSET-00044,Preventive,,0,,000120000039
WO-2120227,ASSET-00044,Preventive,,0,,000120000039
WO-2120228,ASSET-00044,Corrective,CALIBRATION-DRIFT,84,1971,000120000039
WO-2120229,ASSET-00044,Corrective,SPINDLE-SEIZURE,66,691,000120000039
WO-2120230,ASSET-00044,Corrective,PNEUMATIC-LEAK,126,892,000120000039
WO-2120231,ASSET-00045,Corrective,CONTROLLER-FAULT,34,1506,000120000040
WO-2120232,ASSET-00045,Corrective,CALIBRATION-DRIFT,220,913,000120000040
WO-2120233,ASSET-00045,Preventive,,0,,000120000040
WO-2120234,ASSET-00045,Preventive,,0,,000120000040
WO-2120235,ASSET-00045,Preventive,,0,,000120000040
WO-2120236,ASSET-00046,Preventive,,0,,000120000041
WO-2120237,ASSET-00046,Preventive,,0,,000120000041
WO-2120238,ASSET-00046,Preventive,,0,,000120000041
WO-2120239,ASSET-00047,Emergency,PNEUMATIC-LEAK,277,1655,
WO-2120240,ASSET-00047,Preventive,,0,,
WO-2120241,ASSET-00047,Preventive,,0,,
WO-2120242,ASSET-00047,Preventive,,0,,
WO-2120243,ASSET-00047,Corrective,SPINDLE-SEIZURE,54,1437,
WO-2120244,ASSET-00047,Preventive,,0,,
WO-2120245,ASSET-00047,Preventive,,0,,
WO-2120246,ASSET-00048,Preventive,,0,,000120000042
WO-2120247,ASSET-00048,Corrective,SENSOR-FAULT,187,1851,000120000042
WO-2120248,ASSET-00048,Corrective,BEARING-FAILURE,98,593,000120000042
WO-2120249,ASSET-00048,Preventive,,0,,000120000042
WO-2120250,ASSET-00048,Preventive,,0,,000120000042
WO-2120251,ASSET-00048,Corrective,CALIBRATION-DRIFT,168,1105,000120000042
WO-2120252,ASSET-00049,Corrective,SPINDLE-SEIZURE,50,1492,000120000043
WO-2120253,ASSET-00049,Emergency,MOTOR-BURNOUT,290,416,000120000043
WO-2120254,ASSET-00049,Emergency,BEARING-FAILURE,235,741,000120000043
WO-2120255,ASSET-00049,Preventive,,0,,000120000043
WO-2120256,ASSET-00049,Preventive,,0,,000120000043
WO-2120257,ASSET-00050,Preventive,,0,,000120000044
WO-2120258,ASSET-00050,Preventive,,0,,000120000044
WO-2120259,ASSET-00050,Corrective,PNEUMATIC-LEAK,133,527,000120000044
WO-2120260,ASSET-00050,Corrective,BEARING-FAILURE,237,1038,000120000044
WO-2120261,ASSET-00050,Preventive,,0,,000120000044
WO-2120262,ASSET-00051,Preventive,,0,,000120000045
WO-2120263,ASSET-00051,Preventive,,0,,000120000045
WO-2120264,ASSET-00051,Preventive,,0,,000120000045
WO-2120265,ASSET-00051,Preventive,,0,,000120000045
WO-2120266,ASSET-00051,Preventive,,0,,000120000045
WO-2120267,ASSET-00052,Preventive,,0,,000120000046
WO-2120268,ASSET-00052,Corrective,SENSOR-FAULT,127,950,000120000046
WO-2120269,ASSET-00052,Preventive,,0,,000120000046
WO-2120270,ASSET-00052,Corrective,BELT-FAILURE,71,1547,000120000046
WO-2120271,ASSET-00052,Corrective,DIE-WEAR,136,1176,000120000046
WO-2120272,ASSET-00053,Preventive,,0,,000120000047
WO-2120273,ASSET-00053,Preventive,,0,,000120000047
WO-2120274,ASSET-00053,Preventive,,0,,000120000047
WO-2120275,ASSET-00053,Preventive,,0,,000120000047
WO-2120276,ASSET-00053,Preventive,,0,,000120000047
WO-2120277,ASSET-00054,Preventive,,0,,000120000048
WO-2120278,ASSET-00054,Preventive,,0,,000120000048
WO-2120279,ASSET-00054,Preventive,,0,,000120000048
WO-2120280,ASSET-00054,Corrective,CALIBRATION-DRIFT,152,1499,000120000048
WO-2120281,ASSET-00054,Corrective,HYDRAULIC-LEAK,61,888,000120000048
WO-2120282,ASSET-00055,Preventive,,0,,000120000049
WO-2120283,ASSET-00055,Preventive,,0,,000120000049
WO-2120284,ASSET-00055,Preventive,,0,,000120000049
WO-2120285,ASSET-00055,Corrective,SPINDLE-SEIZURE,160,1784,000120000049
WO-2120286,ASSET-00055,Corrective,BEARING-FAILURE,89,782,000120000049
WO-2120287,ASSET-00056,Preventive,,0,,000120000050
WO-2120288,ASSET-00056,Corrective,BELT-FAILURE,181,830,000120000050
WO-2120289,ASSET-00056,Preventive,,0,,000120000050
WO-2120290,ASSET-00057,Preventive,,0,,000120000051
WO-2120291,ASSET-00057,Preventive,,0,,000120000051
WO-2120292,ASSET-00057,Emergency,SPINDLE-SEIZURE,315,839,000120000051
WO-2120293,ASSET-00057,Corrective,HYDRAULIC-LEAK,98,1332,000120000051
WO-2120294,ASSET-00057,Preventive,,0,,000120000051
WO-2120295,ASSET-00057,Preventive,,0,,000120000051
WO-2120296,ASSET-00057,Corrective,SENSOR-FAULT,150,1912,000120000051
WO-2120297,ASSET-00058,Preventive,,0,,000120000052
WO-2120298,ASSET-00058,Corrective,PNEUMATIC-LEAK,108,1494,000120000052
WO-2120299,ASSET-00058,Preventive,,0,,000120000052
WO-2120300,ASSET-00058,Preventive,,0,,000120000052
WO-2120301,ASSET-00058,Preventive,,0,,000120000052
WO-2120302,ASSET-00058,Preventive,,0,,000120000052
WO-2120303,ASSET-00059,Corrective,SPINDLE-SEIZURE,111,1311,000120000053
WO-2120304,ASSET-00059,Corrective,MOTOR-BURNOUT,180,401,000120000053
WO-2120305,ASSET-00059,Preventive,,0,,000120000053
WO-2120306,ASSET-00059,Corrective,MOTOR-BURNOUT,186,1724,000120000053
WO-2120307,ASSET-00059,Preventive,,0,,000120000053
WO-2120308,ASSET-00059,Preventive,,0,,000120000053
WO-2120309,ASSET-00059,Preventive,,0,,000120000053
WO-2120310,ASSET-00059,Corrective,CONTROLLER-FAULT,201,953,000120000053
WO-2120311,ASSET-00059,Emergency,PNEUMATIC-LEAK,523,1554,000120000053
WO-2120312,ASSET-00060,Corrective,BEARING-FAILURE,150,1743,000120000054
WO-2120313,ASSET-00060,Preventive,,0,,000120000054
WO-2120314,ASSET-00060,Corrective,HYDRAULIC-LEAK,153,1046,000120000054
WO-2120315,ASSET-00060,Corrective,SENSOR-FAULT,69,1796,000120000054
WO-2120316,ASSET-00060,Preventive,,0,,000120000054
WO-2120317,ASSET-00061,Preventive,,0,,000120000055
WO-2120318,ASSET-00061,Preventive,,0,,000120000055
WO-2120319,ASSET-00061,Emergency,PNEUMATIC-LEAK,380,1904,000120000055
WO-2120320,ASSET-00061,Preventive,,0,,000120000055
WO-2120321,ASSET-00062,Corrective,MOTOR-BURNOUT,55,988,000120000056
WO-2120322,ASSET-00062,Corrective,PNEUMATIC-LEAK,240,1759,000120000056
WO-2120323,ASSET-00062,Preventive,,0,,000120000056
WO-2120324,ASSET-00062,Preventive,,0,,000120000056
WO-2120325,ASSET-00062,Preventive,,0,,000120000056
WO-2120326,ASSET-00062,Preventive,,0,,000120000056
WO-2120327,ASSET-00062,Preventive,,0,,000120000056
WO-2120328,ASSET-00062,Preventive,,0,,000120000056
WO-2120329,ASSET-00063,Corrective,BEARING-FAILURE,33,440,000120000057
WO-2120330,ASSET-00063,Preventive,,0,,000120000057
WO-2120331,ASSET-00064,Preventive,,0,,000120000058
WO-2120332,ASSET-00064,Emergency,SENSOR-FAULT,86,1989,000120000058
WO-2120333,ASSET-00064,Preventive,,0,,000120000058
WO-2120334,ASSET-00065,Corrective,MOTOR-BURNOUT,116,1135,000120000059
WO-2120335,ASSET-00065,Preventive,,0,,000120000059
WO-2120336,ASSET-00066,Corrective,CALIBRATION-DRIFT,208,1491,000120000060
WO-2120337,ASSET-00066,Emergency,PNEUMATIC-LEAK,365,1293,000120000060
WO-2120338,ASSET-00066,Preventive,,0,,000120000060
WO-2120339,ASSET-00066,Corrective,SPINDLE-SEIZURE,177,1239,000120000060
WO-2120340,ASSET-00067,Preventive,,0,,000120000061
WO-2120341,ASSET-00067,Preventive,,0,,000120000061
WO-2120342,ASSET-00067,Preventive,,0,,000120000061
WO-2120343,ASSET-00067,Corrective,DIE-WEAR,177,547,000120000061
WO-2120344,ASSET-00067,Corrective,SENSOR-FAULT,144,954,000120000061
WO-2120345,ASSET-00067,Corrective,CALIBRATION-DRIFT,163,1580,000120000061
WO-2120346,ASSET-00067,Preventive,,0,,000120000061
WO-2120347,ASSET-00068,Corrective,SPINDLE-SEIZURE,219,597,000120000062
WO-2120348,ASSET-00068,Preventive,,0,,000120000062
WO-2120349,ASSET-00068,Preventive,,0,,000120000062
WO-2120350,ASSET-00068,Preventive,,0,,000120000062
WO-2120351,ASSET-00068,Preventive,,0,,000120000062
WO-2120352,ASSET-00068,Emergency,CALIBRATION-DRIFT,453,1279,000120000062
WO-2120353,ASSET-00069,Corrective,PNEUMATIC-LEAK,93,1036,000120000063
WO-2120354,ASSET-00069,Corrective,SPINDLE-SEIZURE,217,485,000120000063
WO-2120355,ASSET-00069,Emergency,BELT-FAILURE,190,1954,000120000063
WO-2120356,ASSET-00070,Corrective,CONTROLLER-FAULT,93,1329,000120000064
WO-2120357,ASSET-00070,Corrective,DIE-WEAR,65,1061,000120000064
WO-2120358,ASSET-00070,Corrective,BEARING-FAILURE,128,1426,000120000064
WO-2120359,ASSET-00070,Corrective,SPINDLE-SEIZURE,238,1329,000120000064
WO-2120360,ASSET-00071,Preventive,,0,,000120000065
WO-2120361,ASSET-00071,Preventive,,0,,000120000065
WO-2120362,ASSET-00071,Preventive,,0,,000120000065
WO-2120363,ASSET-00072,Corrective,HYDRAULIC-LEAK,126,899,000120000066
WO-2120364,ASSET-00072,Preventive,,0,,000120000066
WO-2120365,ASSET-00072,Emergency,HYDRAULIC-LEAK,456,1894,000120000066
WO-2120366,ASSET-00072,Preventive,,0,,000120000066
WO-2120367,ASSET-00072,Corrective,SPINDLE-SEIZURE,76,1063,000120000066
WO-2120368,ASSET-00073,Emergency,CONTROLLER-FAULT,226,847,000120000067
WO-2120369,ASSET-00073,Preventive,,0,,000120000067
WO-2120370,ASSET-00073,Preventive,,0,,000120000067
WO-2120371,ASSET-00073,Preventive,,0,,000120000067
WO-2120372,ASSET-00073,Preventive,,0,,000120000067
WO-2120373,ASSET-00073,Emergency,BELT-FAILURE,172,682,000120000067
WO-2120374,ASSET-00073,Preventive,,0,,000120000067
WO-2120375,ASSET-00074,Corrective,BELT-FAILURE,46,1621,000120000068
WO-2120376,ASSET-00074,Preventive,,0,,000120000068
WO-2120377,ASSET-00075,Preventive,,0,,000120000069
WO-2120378,ASSET-00075,Preventive,,0,,000120000069
WO-2120379,ASSET-00075,Preventive,,0,,000120000069
WO-2120380,ASSET-00075,Corrective,CALIBRATION-DRIFT,128,311,000120000069
WO-2120381,ASSET-00076,Emergency,HYDRAULIC-LEAK,175,617,000120000070
WO-2120382,ASSET-00076,Corrective,SENSOR-FAULT,81,1823,000120000070
WO-2120383,ASSET-00076,Preventive,,0,,000120000070
WO-2120384,ASSET-00076,Corrective,BEARING-FAILURE,42,1335,000120000070
WO-2120385,ASSET-00076,Corrective,PNEUMATIC-LEAK,144,1576,000120000070
WO-2120386,ASSET-00077,Corrective,DIE-WEAR,148,456,000120000071
WO-2120387,ASSET-00077,Preventive,,0,,000120000071
WO-2120388,ASSET-00077,Preventive,,0,,000120000071
WO-2120389,ASSET-00077,Preventive,,0,,000120000071
WO-2120390,ASSET-00078,Corrective,BELT-FAILURE,35,268,000120000072
WO-2120391,ASSET-00078,Preventive,,0,,000120000072
WO-2120392,ASSET-00078,Corrective,HYDRAULIC-LEAK,37,477,000120000072
WO-2120393,ASSET-00079,Emergency,CONTROLLER-FAULT,231,1660,000120000073
WO-2120394,ASSET-00079,Preventive,,0,,000120000073
WO-2120395,ASSET-00079,Corrective,CALIBRATION-DRIFT,187,725,000120000073
WO-2120396,ASSET-00079,Corrective,PNEUMATIC-LEAK,164,1195,000120000073
WO-2120397,ASSET-00079,Corrective,CALIBRATION-DRIFT,239,782,000120000073
WO-2120398,ASSET-00080,Preventive,,0,,000120000074
WO-2120399,ASSET-00080,Corrective,SPINDLE-SEIZURE,217,671,000120000074
WO-2120400,ASSET-00081,Preventive,,0,,000120000075
WO-2120401,ASSET-00081,Preventive,,0,,000120000075
WO-2120402,ASSET-00081,Emergency,HYDRAULIC-LEAK,127,551,000120000075
WO-2120403,ASSET-00081,Corrective,DIE-WEAR,124,1730,000120000075
