NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-VN-00036,MER-CYLINDER-BLOCK-0027,WELD-UNDERCUT,FER-S03,Rework,82
NCR-VN-00037,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,FER-S02,Scrap,436
NCR-VN-00038,MER-BUMPER-FRONT-0006,ASSY-MISSING-FASTENER,FER-S02,Rework,48
NCR-VN-00039,MER-CHARGE-PORT-0039,ASSY-MISSING-FASTENER,FER-S02,Rework,137
NCR-VN-00040,MER-CRANKSHAFT-0029,ELEC-SHORT-CIRCUIT,FER-S02,Rework,401
NCR-VN-00041,MER-LIGHTING-SYSTEM-0024,DIM-OUT-OF-TOLERANCE,FER-S02,Use-As-Is,83
NCR-VN-00042,MER-REAR-SUSPENSION-0011,WELD-UNDERCUT,FER-S03,Use-As-Is,74
NCR-VN-00043,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,FER-S02,Rework,94
NCR-VN-00044,MER-FENDERS-0008,PAINT-BLISTER,FER-S02,Rework,483
NCR-VN-00045,MER-DOORS-0004,DIM-OUT-OF-TOLERANCE,FER-S02,Rework,220
NCR-VN-00046,MER-VEH-COMPACT-0001,PAINT-RUNS,FER-S04,Rework,416
NCR-VN-00047,MER-CYLINDER-HEAD-0028,DIM-OUT-OF-TOLERANCE,FER-S01,Use-As-Is,472
NCR-VN-00048,MER-CENTER-CONSOLE-0018,DIM-OUT-OF-TOLERANCE,FER-S04,Rework,331
NCR-VN-00049,MER-MUFFLER-0041,DIM-OUT-OF-TOLERANCE,FER-S02,Scrap,485
NCR-VN-00050,MER-HOOD-0005,DIM-OUT-OF-TOLERANCE,FER-S04,Rework,129
NCR-VN-00051,MER-HOOD-0005,ELEC-SHORT-CIRCUIT,FER-S01,Scrap,101
NCR-VN-00052,MER-WIRING-HARNESS-0022,WELD-UNDERCUT,FER-S01,Rework,305
NCR-VN-00053,MER-GEARBOX-HOUSING-0032,DIM-OUT-OF-TOLERANCE,FER-S01,Scrap,178
NCR-VN-00054,MER-LOW-VOLTAGE-BATT-0023,WELD-UNDERCUT,FER-S01,Use-As-Is,109
NCR-VN-00055,MER-CYLINDER-HEAD-0028,ELEC-OPEN-CIRCUIT,FER-S03,Rework,22
NCR-VN-00056,MER-BRAKE-SYSTEM-0012,PAINT-RUNS,FER-S02,Rework,284
NCR-VN-00057,MER-CYLINDER-BLOCK-0027,WELD-MISALIGN,FER-S01,Scrap,297
NCR-VN-00058,MER-SEATS-0016,ELEC-OPEN-CIRCUIT,FER-S01,Scrap,274
NCR-VN-00059,MER-CLUTCH-ASSEMBLY-0033,SURFACE-SCRATCH,FER-S02,Rework,36
NCR-VN-00060,MER-CLUTCH-ASSEMBLY-0033,WELD-POROSITY,FER-S01,Rework,285
NCR-VN-00061,MER-LIGHTING-SYSTEM-0024,DIM-OUT-OF-TOLERANCE,FER-S04,Rework,99
NCR-VN-00062,MER-DOORS-0004,WELD-MISALIGN,FER-S01,Scrap,221
NCR-VN-00063,MER-WIRING-HARNESS-0022,DIM-OUT-OF-TOLERANCE,FER-S01,Scrap,66
NCR-VN-00064,MER-VEH-COMPACT-0001,SURFACE-SCRATCH,FER-S04,Scrap,269
NCR-VN-00065,MER-GEARBOX-HOUSING-0032,ELEC-SHORT-CIRCUIT,FER-S04,Rework,192
NCR-VN-00066,MER-WIRING-HARNESS-0022,WELD-MISALIGN,FER-S02,Rework,380
NCR-VN-00067,MER-BODY-SHELL-0003,ASSY-WRONG-PART,FER-S03,Rework,454
NCR-VN-00068,MER-CLUTCH-ASSEMBLY-0033,DIM-GAP-FLUSH,FER-S01,Rework,219
NCR-VN-00069,MER-FENDERS-0008,PAINT-BLISTER,FER-S02,Use-As-Is,420
NCR-VN-00070,MER-BUMPER-FRONT-0006,MATERIAL-CONTAMINATION,FER-S01,Rework,63
NCR-VN-00071,MER-DOOR-PANELS-0019,ASSY-WRONG-PART,FER-S01,Rework,189
NCR-VN-00072,MER-LIGHTING-SYSTEM-0024,SURFACE-SCRATCH,FER-S02,Use-As-Is,52
NCR-VN-00073,MER-CLUTCH-ASSEMBLY-0033,ASSY-CROSS-THREAD,FER-S02,Rework,123
NCR-VN-00074,MER-DOOR-PANELS-0019,SEAL-LEAK,FER-S01,Rework,73
NCR-VN-00075,MER-FUEL-PUMP-0037,ASSY-MISSING-FASTENER,FER-S02,Rework,202
NCR-VN-00076,MER-SEATS-0016,SEAL-LEAK,FER-S01,Rework,113
NCR-VN-00077,MER-PISTONS-0030,DIM-GAP-FLUSH,FER-S01,Rework,106
NCR-VN-00078,MER-HOOD-0005,SURFACE-SCRATCH,FER-S02,Scrap,130
NCR-VN-00079,MER-GEARBOX-HOUSING-0032,PAINT-ORANGE-PEEL,FER-S02,Scrap,41
NCR-VN-00080,MER-MUFFLER-0041,WELD-MISALIGN,FER-S02,Rework,52
NCR-VN-00081,MER-SEATS-0016,PAINT-BLISTER,FER-S02,Rework,92
NCR-VN-00082,MER-INVERTER-0035,SEAL-LEAK,FER-S01,Scrap,115
NCR-VN-00083,MER-HEADLINER-0020,ELEC-SHORT-CIRCUIT,FER-S02,Scrap,101
NCR-VN-00084,MER-FENDERS-0008,ASSY-WRONG-PART,FER-S02,Scrap,95
NCR-VN-00085,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,FER-S01,Rework,33
NCR-VN-00086,MER-CYLINDER-HEAD-0028,SEAL-LEAK,FER-S04,Rework,286
NCR-VN-00087,MER-STEERING-SYSTEM-0013,ELEC-SHORT-CIRCUIT,FER-S02,Use-As-Is,496
NCR-VN-00088,MER-CYLINDER-HEAD-0028,MATERIAL-CONTAMINATION,FER-S03,Scrap,332
NCR-VN-00089,MER-HEADLINER-0020,ASSY-WRONG-PART,FER-S03,Use-As-Is,340
NCR-VN-00090,MER-CLUTCH-ASSEMBLY-0033,SURFACE-SCRATCH,FER-S01,Scrap,80
NCR-VN-00091,MER-ONBOARD-CHARGER-0037,PAINT-RUNS,FER-S01,Scrap,86
NCR-VN-00092,MER-HOOD-0005,PAINT-ORANGE-PEEL,FER-S03,Scrap,74
NCR-VN-00093,MER-BUMPER-FRONT-0006,ELEC-SHORT-CIRCUIT,FER-S03,Scrap,205
NCR-VN-00094,MER-CENTER-CONSOLE-0018,ASSY-MISSING-FASTENER,FER-S01,Scrap,452
NCR-VN-00095,MER-MUFFLER-0041,WELD-MISALIGN,FER-S02,Rework,326
NCR-VN-00096,MER-BATTERY-MANAGEME-0028,PAINT-BLISTER,FER-S01,Rework,288
NCR-VN-00097,MER-MUFFLER-0041,ASSY-MISSING-FASTENER,FER-S02,Rework,412
NCR-VN-00098,MER-CATALYTIC-CONVER-0040,PAINT-BLISTER,FER-S01,Rework,206
NCR-VN-00099,MER-EXHAUST-PIPE-0042,DIM-GAP-FLUSH,FER-S01,Scrap,473
NCR-VN-00100,MER-REAR-SUSPENSION-0011,SURFACE-SCRATCH,FER-S01,Scrap,158
NCR-VN-00101,MER-VEH-EV-0001,PAINT-BLISTER,FER-S02,Use-As-Is,295
NCR-VN-00102,MER-GEAR-SET-0034,ELEC-OPEN-CIRCUIT,FER-S01,Scrap,283
NCR-VN-00103,MER-GEAR-SET-0034,SURFACE-SCRATCH,FER-S03,Rework,202
NCR-VN-00104,MER-INFOTAINMENT-UNI-0025,ELEC-OPEN-CIRCUIT,FER-S02,Rework,168
NCR-VN-00105,MER-CYLINDER-HEAD-0028,DIM-GAP-FLUSH,FER-S01,Rework,344
NCR-VN-00106,MER-FUEL-INJECTOR-0038,ELEC-SHORT-CIRCUIT,FER-S01,Rework,316
NCR-VN-00107,MER-VEH-EV-0001,ELEC-OPEN-CIRCUIT,FER-S01,Rework,483
NCR-VN-00108,MER-HEADLINER-0020,PAINT-RUNS,FER-S01,Use-As-Is,236
NCR-VN-00109,MER-CYLINDER-BLOCK-0027,ELEC-CONNECTOR-MISMATE,FER-S04,Use-As-Is,170
NCR-VN-00110,MER-BUMPER-REAR-0007,DIM-OUT-OF-TOLERANCE,FER-S01,Rework,354
NCR-VN-00111,MER-CATALYTIC-CONVER-0040,DIM-OUT-OF-TOLERANCE,FER-S03,Rework,274
NCR-VN-00112,MER-LOW-VOLTAGE-BATT-0023,PAINT-RUNS,FER-S03,Rework,206
NCR-VN-00113,MER-SEATS-0016,SURFACE-SCRATCH,FER-S02,Scrap,262
NCR-VN-00114,MER-DOOR-PANELS-0019,ELEC-SHORT-CIRCUIT,FER-S04,Rework,178
NCR-VN-00115,MER-DASHBOARD-0017,ELEC-SHORT-CIRCUIT,FER-S04,Scrap,192
