MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-369881,E-19-4,1467,KANBAN-00030,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-462367,F-12-1,2264,KANBAN-00031,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-128374,F-21-4,4716,KANBAN-00032,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-521358,B-28-2,3841,KANBAN-00033,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-693207,F-21-5,460,KANBAN-00034,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-824329,C-08-5,3751,KANBAN-00035,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-243217,E-06-5,1943,KANBAN-00036,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-627029,F-13-2,4566,KANBAN-00037,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-966766,E-02-1,1572,KANBAN-00038,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-698380,A-28-5,2462,KANBAN-00039,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-885623,A-07-3,3427,KANBAN-00040,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-651182,D-26-2,2024,KANBAN-00041,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-632958,C-13-1,3056,KANBAN-00042,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-624483,B-01-4,1498,KANBAN-00043,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-129453,D-22-4,3552,KANBAN-00044,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-539186,G-01-4,203,KANBAN-00045,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-983749,A-07-1,1476,KANBAN-00046,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-822474,F-07-5,3384,KANBAN-00047,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-300549,H-19-4,3136,KANBAN-00048,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-935480,C-18-5,817,KANBAN-00049,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-358562,C-05-1,4818,KANBAN-00050,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-659618,D-05-4,4658,KANBAN-00051,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-598003,D-28-2,1946,KANBAN-00052,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-689960,H-15-5,453,KANBAN-00053,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-821429,B-18-2,1047,KANBAN-00054,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-717667,G-22-2,4568,KANBAN-00055,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-100454,B-05-2,86,KANBAN-00056,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-867186,B-05-2,2222,KANBAN-00057,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-881532,A-13-3,1305,KANBAN-00058,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-806848,B-15-3,124,KANBAN-00059,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-298924,C-11-2,4042,KANBAN-00060,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-505574,C-28-2,4041,KANBAN-00061,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-364608,B-28-1,4186,KANBAN-00062,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-634180,C-04-5,1310,KANBAN-00063,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-567551,G-18-4,1279,KANBAN-00064,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-520270,A-17-1,3061,KANBAN-00065,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-444279,B-13-4,4508,KANBAN-00066,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-506037,C-13-3,2914,KANBAN-00067,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-435884,A-06-2,2922,KANBAN-00068,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-116929,H-29-3,4042,KANBAN-00069,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-994191,B-27-2,1946,KANBAN-00070,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-228805,F-27-4,3084,KANBAN-00071,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-540807,A-24-5,3961,KANBAN-00072,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-167648,H-26-3,2874,KANBAN-00073,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-535543,C-19-1,4676,KANBAN-00074,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-449632,D-04-2,3317,KANBAN-00075,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-237854,G-23-4,2496,KANBAN-00076,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-713803,C-20-1,3637,KANBAN-00077,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-181151,A-29-3,2835,KANBAN-00078,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-907520,E-24-4,4838,KANBAN-00079,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-532898,A-13-5,2957,KANBAN-00080,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-870174,A-27-2,4510,KANBAN-00081,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-799190,A-14-2,3291,KANBAN-00082,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-576542,C-01-1,711,KANBAN-00083,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-580793,F-26-4,4931,KANBAN-00084,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-251811,G-12-3,4097,KANBAN-00085,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-673907,E-01-1,582,KANBAN-00086,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-197842,F-14-4,2562,KANBAN-00087,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-954406,C-29-1,1592,KANBAN-00088,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-293932,A-24-2,3400,KANBAN-00089,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-501550,A-19-2,1754,KANBAN-00090,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-398764,B-29-3,3404,KANBAN-00091,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-904195,E-06-5,4157,KANBAN-00092,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-172355,D-12-2,2102,KANBAN-00093,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-335770,H-27-4,3571,KANBAN-00094,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-867515,G-29-5,896,KANBAN-00095,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-121821,E-22-1,3468,KANBAN-00096,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-772260,H-22-5,1831,KANBAN-00097,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-580275,B-08-5,4380,KANBAN-00098,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-173171,B-26-5,2714,KANBAN-00099,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-560717,B-27-2,1643,KANBAN-00100,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-783751,E-19-3,3939,KANBAN-00101,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-739221,E-06-1,867,KANBAN-00102,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-801481,G-20-2,4594,KANBAN-00103,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-192014,H-13-5,523,KANBAN-00104,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-376282,D-03-2,2121,KANBAN-00105,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-790232,C-16-1,292,KANBAN-00106,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-268291,G-16-3,1873,KANBAN-00107,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-802904,A-11-3,2997,KANBAN-00108,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-196955,F-27-3,4653,KANBAN-00109,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-191230,B-06-5,412,KANBAN-00110,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-185397,A-15-3,1737,KANBAN-00111,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-455398,F-15-4,3104,KANBAN-00112,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-778575,G-02-2,4125,KANBAN-00113,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-648233,D-17-2,886,KANBAN-00114,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-293397,H-08-4,4329,KANBAN-00115,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-540044,H-06-5,4946,KANBAN-00116,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-976060,A-25-3,1259,KANBAN-00117,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-681918,G-13-2,1180,KANBAN-00118,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-991270,A-03-4,452,KANBAN-00119,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-182759,B-22-1,4524,KANBAN-00120,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-361232,G-20-3,3761,KANBAN-00121,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-583883,D-21-2,682,KANBAN-00122,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-445487,H-17-4,4437,KANBAN-00123,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-305743,G-13-4,4801,KANBAN-00124,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-556456,F-11-3,4674,KANBAN-00125,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-151044,C-23-1,287,KANBAN-00126,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-527642,D-19-2,4740,KANBAN-00127,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-747290,B-06-4,2157,KANBAN-00128,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-352543,E-01-3,2165,KANBAN-00129,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-446134,G-11-5,569,KANBAN-00130,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-282723,E-04-5,4056,KANBAN-00131,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-286832,H-12-4,1379,KANBAN-00132,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-115968,D-23-3,2858,KANBAN-00133,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-837955,F-12-5,627,KANBAN-00134,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-130617,A-23-1,177,KANBAN-00135,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-812057,G-02-2,3248,KANBAN-00136,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-920697,A-25-1,2093,KANBAN-00137,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-471208,C-07-4,4506,KANBAN-00138,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-677246,C-07-2,2720,KANBAN-00139,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-172339,A-10-5,2210,KANBAN-00140,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-785526,E-29-4,2302,KANBAN-00141,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-238031,G-28-3,4010,KANBAN-00142,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-823237,C-23-3,3906,KANBAN-00143,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-665003,B-11-2,1489,KANBAN-00144,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-800948,G-12-1,2502,KANBAN-00145,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-857352,F-07-3,4481,KANBAN-00146,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-974911,E-14-2,3639,KANBAN-00147,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-765866,E-14-4,3741,KANBAN-00148,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-670599,D-05-4,3762,KANBAN-00149,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-261353,H-27-3,3212,KANBAN-00150,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-210989,A-29-2,520,KANBAN-00151,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-817951,F-26-4,2318,KANBAN-00152,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-500658,B-22-1,2574,KANBAN-00153,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-290093,C-23-5,2193,KANBAN-00154,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-999484,H-26-4,450,KANBAN-00155,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-402698,D-03-4,1327,KANBAN-00156,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-205640,B-04-2,3015,KANBAN-00157,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-402242,B-15-1,2031,KANBAN-00158,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-206363,A-24-3,2937,KANBAN-00159,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-823857,F-19-5,2116,KANBAN-00160,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-159758,F-05-4,4025,KANBAN-00161,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-209083,D-16-3,2839,KANBAN-00162,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-498281,F-29-3,4711,KANBAN-00163,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-319413,A-27-2,3625,KANBAN-00164,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-165648,D-16-5,736,KANBAN-00165,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-643909,H-03-1,279,KANBAN-00166,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-696384,E-13-1,381,KANBAN-00167,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-246647,E-24-3,481,KANBAN-00168,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-996822,E-21-5,918,KANBAN-00169,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-274086,C-08-5,2161,KANBAN-00170,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-454130,A-20-1,3145,KANBAN-00171,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-779676,G-25-4,4720,KANBAN-00172,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-450046,F-19-2,2702,KANBAN-00173,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-767288,H-07-1,1249,KANBAN-00174,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-800803,E-21-4,4206,KANBAN-00175,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-847868,H-02-1,648,KANBAN-00176,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-143692,F-06-2,3165,KANBAN-00177,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-528274,D-02-4,2867,KANBAN-00178,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-904940,D-12-5,3243,KANBAN-00179,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-698433,D-18-5,441,KANBAN-00180,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-607752,D-11-2,2403,KANBAN-00181,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-831341,H-11-4,2409,KANBAN-00182,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-293029,C-23-4,1765,KANBAN-00183,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-259295,B-23-5,952,KANBAN-00184,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-531555,E-12-4,1482,KANBAN-00185,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-237694,C-13-2,3190,KANBAN-00186,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-928883,H-15-1,4346,KANBAN-00187,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-886818,B-07-2,4184,KANBAN-00188,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-851802,C-10-3,2814,KANBAN-00189,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-105360,G-18-1,4378,KANBAN-00190,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-236434,D-09-3,4400,KANBAN-00191,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-538816,D-02-5,4878,KANBAN-00192,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-109863,A-16-2,271,KANBAN-00193,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-280812,D-05-2,1074,KANBAN-00194,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
