Material_No,Bin_Location,Quantity,Kanban_ID,Ship_From,Ship_To
MAT-672429,F-19-1,1198,KANBAN-00070,Engine Plant US,Assembly Plant IN
MAT-573078,G-18-2,3378,KANBAN-00071,Engine Plant US,Assembly Plant IN
MAT-985121,A-10-4,2066,KANBAN-00072,Engine Plant US,Assembly Plant IN
MAT-956603,B-04-1,3185,KANBAN-00073,Engine Plant US,Assembly Plant IN
MAT-461985,D-28-2,3549,KANBAN-00074,Engine Plant US,Assembly Plant IN
MAT-734907,E-25-2,2394,KANBAN-00075,Engine Plant US,Assembly Plant IN
MAT-735099,F-13-1,4679,KANBAN-00076,Engine Plant US,Assembly Plant IN
MAT-749838,F-26-1,4080,KANBAN-00077,Engine Plant US,Assembly Plant IN
MAT-217291,H-11-5,3598,KANBAN-00078,Engine Plant US,Assembly Plant IN
MAT-761331,G-14-2,421,KANBAN-00079,Engine Plant US,Assembly Plant IN
MAT-256992,A-01-3,2238,KANBAN-00080,Engine Plant US,Assembly Plant IN
MAT-654654,F-29-2,3524,KANBAN-00081,Engine Plant US,Assembly Plant IN
MAT-968541,E-17-4,548,KANBAN-00082,Engine Plant US,Assembly Plant IN
MAT-742846,B-13-5,1279,KANBAN-00083,Engine Plant US,Assembly Plant IN
MAT-981564,C-27-3,362,KANBAN-00084,Engine Plant US,Assembly Plant IN
MAT-874862,C-15-3,1846,KANBAN-00085,Engine Plant US,Assembly Plant IN
MAT-645400,B-20-5,689,KANBAN-00086,Engine Plant US,Assembly Plant IN
MAT-672821,C-03-5,1687,KANBAN-00087,Engine Plant US,Assembly Plant IN
MAT-869272,E-13-3,3993,KANBAN-00088,Engine Plant US,Assembly Plant IN
MAT-483848,E-10-2,3501,KANBAN-00089,Engine Plant US,Assembly Plant IN
MAT-778854,D-02-4,4954,KANBAN-00090,Engine Plant US,Assembly Plant IN
MAT-309144,B-21-2,2502,KANBAN-00091,Engine Plant US,Assembly Plant IN
MAT-281271,A-04-4,4377,KANBAN-00092,Engine Plant US,Assembly Plant IN
MAT-460018,B-04-4,493,KANBAN-00093,Engine Plant US,Assembly Plant IN
MAT-452264,G-29-3,3572,KANBAN-00094,Engine Plant US,Assembly Plant IN
MAT-347749,C-25-1,4559,KANBAN-00095,Engine Plant US,Assembly Plant IN
MAT-856153,C-13-2,350,KANBAN-00096,Engine Plant US,Assembly Plant IN
MAT-123667,B-19-2,4234,KANBAN-00097,Engine Plant US,Assembly Plant IN
MAT-658625,C-28-2,1392,KANBAN-00098,Engine Plant US,Assembly Plant IN
MAT-507805,A-11-1,782,KANBAN-00099,Engine Plant US,Assembly Plant IN
MAT-929334,H-09-5,1791,KANBAN-00100,Engine Plant US,Assembly Plant IN
MAT-755308,A-18-5,1181,KANBAN-00101,Engine Plant US,Assembly Plant IN
MAT-827206,G-27-4,2864,KANBAN-00102,Engine Plant US,Assembly Plant IN
MAT-171252,C-13-3,3023,KANBAN-00103,Engine Plant US,Assembly Plant IN
MAT-555528,C-11-3,3911,KANBAN-00104,Engine Plant US,Assembly Plant IN
MAT-527708,F-11-1,432,KANBAN-00105,Engine Plant US,Assembly Plant IN
MAT-963667,A-01-4,2613,KANBAN-00106,Engine Plant US,Assembly Plant IN
MAT-209624,F-09-5,3094,KANBAN-00107,Engine Plant US,Assembly Plant IN
MAT-981679,B-24-4,3019,KANBAN-00108,Engine Plant US,Assembly Plant IN
MAT-205670,B-02-4,2204,KANBAN-00109,Engine Plant US,Assembly Plant IN
MAT-303750,H-11-1,4822,KANBAN-00110,Engine Plant US,Assembly Plant IN
MAT-934646,H-19-2,160,KANBAN-00111,Engine Plant US,Assembly Plant IN
MAT-703555,F-22-2,1335,KANBAN-00112,Engine Plant US,Assembly Plant IN
MAT-663666,C-15-5,2310,KANBAN-00113,Engine Plant US,Assembly Plant IN
MAT-770487,G-19-3,2472,KANBAN-00114,Engine Plant US,Assembly Plant IN
MAT-796856,D-12-2,4567,KANBAN-00115,Engine Plant US,Assembly Plant IN
MAT-810946,A-19-3,4348,KANBAN-00116,Engine Plant US,Assembly Plant IN
MAT-879499,G-08-1,61,KANBAN-00117,Engine Plant US,Assembly Plant IN
MAT-272718,G-10-1,1930,KANBAN-00118,Engine Plant US,Assembly Plant IN
MAT-621808,E-05-3,3097,KANBAN-00119,Engine Plant US,Assembly Plant IN
MAT-623828,B-14-5,3022,KANBAN-00120,Engine Plant US,Assembly Plant IN
MAT-399068,F-26-2,236,KANBAN-00121,Engine Plant US,Assembly Plant IN
MAT-638441,D-04-5,401,KANBAN-00122,Engine Plant US,Assembly Plant IN
MAT-641622,H-24-1,1540,KANBAN-00123,Engine Plant US,Assembly Plant IN
MAT-680790,D-21-3,2981,KANBAN-00124,Engine Plant US,Assembly Plant IN
MAT-435538,A-05-5,2858,KANBAN-00125,Engine Plant US,Assembly Plant IN
MAT-331381,B-18-4,3865,KANBAN-00126,Engine Plant US,Assembly Plant IN
MAT-655817,C-19-4,129,KANBAN-00127,Engine Plant US,Assembly Plant IN
MAT-272793,A-07-4,2586,KANBAN-00128,Engine Plant US,Assembly Plant IN
MAT-582012,E-07-3,1300,KANBAN-00129,Engine Plant US,Assembly Plant IN
MAT-591229,F-24-3,3990,KANBAN-00130,Engine Plant US,Assembly Plant IN
MAT-345137,A-07-5,933,KANBAN-00131,Engine Plant US,Assembly Plant IN
MAT-229639,D-10-3,3665,KANBAN-00132,Engine Plant US,Assembly Plant IN
MAT-258119,E-27-1,1367,KANBAN-00133,Engine Plant US,Assembly Plant IN
MAT-390958,C-17-5,183,KANBAN-00001,Engine Plant US,Assembly Plant MX
MAT-439730,F-12-5,4988,KANBAN-00002,Engine Plant US,Assembly Plant MX
MAT-167857,G-29-5,1573,KANBAN-00003,Engine Plant US,Assembly Plant MX
MAT-587680,D-23-3,3664,KANBAN-00004,Engine Plant US,Assembly Plant MX
MAT-525398,B-19-1,1961,KANBAN-00005,Engine Plant US,Assembly Plant MX
MAT-695854,A-29-5,3780,KANBAN-00006,Engine Plant US,Assembly Plant MX
MAT-650015,A-05-2,2087,KANBAN-00007,Engine Plant US,Assembly Plant MX
MAT-982736,D-11-3,3401,KANBAN-00008,Engine Plant US,Assembly Plant MX
MAT-824849,B-17-3,1506,KANBAN-00009,Engine Plant US,Assembly Plant MX
MAT-675986,H-19-1,527,KANBAN-00010,Engine Plant US,Assembly Plant MX
MAT-931209,D-20-1,704,KANBAN-00011,Engine Plant US,Assembly Plant MX
MAT-599637,C-02-3,4908,KANBAN-00012,Engine Plant US,Assembly Plant MX
MAT-908032,D-04-1,2498,KANBAN-00013,Engine Plant US,Assembly Plant MX
MAT-219779,F-21-5,3549,KANBAN-00014,Engine Plant US,Assembly Plant MX
MAT-911110,C-23-3,2733,KANBAN-00015,Engine Plant US,Assembly Plant MX
MAT-308503,B-22-5,1015,KANBAN-00016,Engine Plant US,Assembly Plant MX
MAT-466558,A-20-4,767,KANBAN-00017,Engine Plant US,Assembly Plant MX
MAT-416098,B-07-5,1290,KANBAN-00018,Engine Plant US,Assembly Plant MX
MAT-396421,A-19-3,2885,KANBAN-00019,Engine Plant US,Assembly Plant MX
MAT-731806,H-22-4,1704,KANBAN-00020,Engine Plant US,Assembly Plant MX
MAT-558082,E-06-2,3299,KANBAN-00021,Engine Plant US,Assembly Plant MX
MAT-398092,D-28-5,822,KANBAN-00022,Engine Plant US,Assembly Plant MX
MAT-653795,C-28-5,313,KANBAN-00023,Engine Plant US,Assembly Plant MX
MAT-487942,G-21-1,604,KANBAN-00024,Engine Plant US,Assembly Plant MX
MAT-316488,E-06-3,3136,KANBAN-00025,Engine Plant US,Assembly Plant MX
MAT-741162,H-24-3,4803,KANBAN-00026,Engine Plant US,Assembly Plant MX
MAT-984869,F-29-1,1507,KANBAN-00027,Engine Plant US,Assembly Plant MX
MAT-875784,D-27-3,3046,KANBAN-00028,Engine Plant US,Assembly Plant MX
MAT-905579,H-16-5,3930,KANBAN-00029,Engine Plant US,Assembly Plant MX
MAT-714454,E-01-1,4813,KANBAN-00030,Engine Plant US,Assembly Plant MX
MAT-328646,D-08-1,581,KANBAN-00031,Engine Plant US,Assembly Plant MX
MAT-431111,C-23-3,1428,KANBAN-00032,Engine Plant US,Assembly Plant MX
MAT-611556,G-25-3,303,KANBAN-00033,Engine Plant US,Assembly Plant MX
MAT-355008,B-11-4,4981,KANBAN-00034,Engine Plant US,Assembly Plant MX
MAT-892671,E-18-3,4302,KANBAN-00035,Engine Plant US,Assembly Plant MX
MAT-579709,B-03-5,2345,KANBAN-00036,Engine Plant US,Assembly Plant MX
MAT-586185,B-19-3,1066,KANBAN-00037,Engine Plant US,Assembly Plant MX
MAT-988128,B-19-2,147,KANBAN-00038,Engine Plant US,Assembly Plant MX
MAT-196128,D-24-4,1328,KANBAN-00039,Engine Plant US,Assembly Plant MX
MAT-882497,B-24-1,244,KANBAN-00040,Engine Plant US,Assembly Plant MX
MAT-788243,A-22-4,1115,KANBAN-00041,Engine Plant US,Assembly Plant MX
MAT-314749,D-13-3,2771,KANBAN-00042,Engine Plant US,Assembly Plant MX
MAT-855195,B-19-3,108,KANBAN-00043,Engine Plant US,Assembly Plant MX
MAT-793656,H-03-5,3371,KANBAN-00044,Engine Plant US,Assembly Plant MX
MAT-525093,G-07-1,484,KANBAN-00045,Engine Plant US,Assembly Plant MX
MAT-303039,H-17-1,3595,KANBAN-00046,Engine Plant US,Assembly Plant MX
MAT-462496,A-09-4,4330,KANBAN-00047,Engine Plant US,Assembly Plant MX
MAT-295117,G-10-3,4530,KANBAN-00048,Engine Plant US,Assembly Plant MX
MAT-579907,B-19-1,2950,KANBAN-00049,Engine Plant US,Assembly Plant MX
MAT-518604,F-12-4,3831,KANBAN-00050,Engine Plant US,Assembly Plant MX
MAT-278124,A-16-3,2309,KANBAN-00051,Engine Plant US,Assembly Plant MX
MAT-270536,A-17-2,3055,KANBAN-00052,Engine Plant US,Assembly Plant MX
MAT-284753,H-21-1,1416,KANBAN-00053,Engine Plant US,Assembly Plant MX
MAT-892971,F-22-1,2668,KANBAN-00054,Engine Plant US,Assembly Plant MX
MAT-457063,B-25-1,1344,KANBAN-00055,Engine Plant US,Assembly Plant MX
MAT-429279,D-10-4,2652,KANBAN-00056,Engine Plant US,Assembly Plant MX
MAT-475555,C-15-5,4354,KANBAN-00057,Engine Plant US,Assembly Plant MX
MAT-514949,A-28-4,3058,KANBAN-00058,Engine Plant US,Assembly Plant MX
MAT-171171,C-18-4,1149,KANBAN-00059,Engine Plant US,Assembly Plant MX
MAT-693976,C-04-2,3325,KANBAN-00060,Engine Plant US,Assembly Plant MX
MAT-852728,C-03-2,272,KANBAN-00061,Engine Plant US,Assembly Plant MX
MAT-186071,D-12-3,657,KANBAN-00062,Engine Plant US,Assembly Plant MX
MAT-694600,F-26-3,2142,KANBAN-00063,Engine Plant US,Assembly Plant MX
MAT-227976,D-21-4,3309,KANBAN-00064,Engine Plant US,Assembly Plant MX
MAT-676341,E-02-1,3871,KANBAN-00065,Engine Plant US,Assembly Plant MX
MAT-680721,B-07-5,2630,KANBAN-00066,Engine Plant US,Assembly Plant MX
MAT-896321,D-06-3,4378,KANBAN-00067,Engine Plant US,Assembly Plant MX
MAT-355082,F-17-5,4057,KANBAN-00068,Engine Plant US,Assembly Plant MX
MAT-622131,C-10-1,2167,KANBAN-00069,Engine Plant US,Assembly Plant MX
MAT-965875,G-01-2,4058,KANBAN-00070,Engine Plant US,Assembly Plant MX
MAT-672432,H-14-5,3984,KANBAN-00071,Engine Plant US,Assembly Plant MX
MAT-977091,C-29-3,2675,KANBAN-00072,Engine Plant US,Assembly Plant MX
MAT-122755,G-11-5,3615,KANBAN-00073,Engine Plant US,Assembly Plant MX
MAT-447143,C-19-1,4180,KANBAN-00074,Engine Plant US,Assembly Plant MX
MAT-724981,E-04-5,1028,KANBAN-00075,Engine Plant US,Assembly Plant MX
MAT-740198,F-28-4,2120,KANBAN-00076,Engine Plant US,Assembly Plant MX
MAT-939975,B-17-5,4110,KANBAN-00077,Engine Plant US,Assembly Plant MX
MAT-582622,B-23-2,4073,KANBAN-00078,Engine Plant US,Assembly Plant MX
MAT-635562,F-22-4,1053,KANBAN-00079,Engine Plant US,Assembly Plant MX
MAT-400725,A-29-5,2902,KANBAN-00080,Engine Plant US,Assembly Plant MX
MAT-907739,F-19-1,2442,KANBAN-00081,Engine Plant US,Assembly Plant MX
MAT-549542,G-21-2,384,KANBAN-00082,Engine Plant US,Assembly Plant MX
MAT-296663,D-10-5,2542,KANBAN-00083,Engine Plant US,Assembly Plant MX
MAT-485048,C-27-5,4124,KANBAN-00084,Engine Plant US,Assembly Plant MX
MAT-129276,C-09-2,4453,KANBAN-00085,Engine Plant US,Assembly Plant MX
MAT-805842,F-14-1,183,KANBAN-00086,Engine Plant US,Assembly Plant MX
MAT-767684,F-01-4,311,KANBAN-00087,Engine Plant US,Assembly Plant MX
MAT-813886,F-23-2,2285,KANBAN-00088,Engine Plant US,Assembly Plant MX
MAT-897249,G-28-5,839,KANBAN-00089,Engine Plant US,Assembly Plant MX
MAT-750738,A-08-5,3993,KANBAN-00090,Engine Plant US,Assembly Plant MX
MAT-238390,B-02-2,2891,KANBAN-00091,Engine Plant US,Assembly Plant MX
MAT-465881,F-19-3,3070,KANBAN-00092,Engine Plant US,Assembly Plant MX
MAT-518404,B-16-3,3879,KANBAN-00093,Engine Plant US,Assembly Plant MX
MAT-999246,B-22-1,4825,KANBAN-00094,Engine Plant US,Assembly Plant MX
MAT-692612,E-06-4,4973,KANBAN-00095,Engine Plant US,Assembly Plant MX
MAT-594105,B-26-3,253,KANBAN-00096,Engine Plant US,Assembly Plant MX
MAT-583706,G-29-1,481,KANBAN-00097,Engine Plant US,Assembly Plant MX
MAT-737616,H-11-5,2211,KANBAN-00098,Engine Plant US,Assembly Plant MX
MAT-603816,D-21-4,4066,KANBAN-00099,Engine Plant US,Assembly Plant MX
MAT-757439,A-01-3,2717,KANBAN-00100,Engine Plant US,Assembly Plant MX
MAT-481038,H-16-3,4913,KANBAN-00101,Engine Plant US,Assembly Plant MX
MAT-354754,E-21-3,4714,KANBAN-00102,Engine Plant US,Assembly Plant MX
MAT-483265,E-26-2,496,KANBAN-00103,Engine Plant US,Assembly Plant MX
MAT-825874,G-07-3,837,KANBAN-00104,Engine Plant US,Assembly Plant MX
MAT-576530,B-16-5,1058,KANBAN-00105,Engine Plant US,Assembly Plant MX
MAT-735589,A-11-4,1784,KANBAN-00106,Engine Plant US,Assembly Plant MX
MAT-883566,B-06-1,2476,KANBAN-00107,Engine Plant US,Assembly Plant MX
MAT-441040,F-22-4,546,KANBAN-00108,Engine Plant US,Assembly Plant MX
MAT-857150,C-21-1,2921,KANBAN-00109,Engine Plant US,Assembly Plant MX
MAT-439025,E-05-3,4828,KANBAN-00110,Engine Plant US,Assembly Plant MX
MAT-105162,F-01-4,4279,KANBAN-00111,Engine Plant US,Assembly Plant MX
MAT-281272,B-22-3,4589,KANBAN-00112,Engine Plant US,Assembly Plant MX
MAT-731707,B-28-5,2904,KANBAN-00113,Engine Plant US,Assembly Plant MX
MAT-935013,A-15-4,2244,KANBAN-00114,Engine Plant US,Assembly Plant MX
MAT-634444,E-22-5,1894,KANBAN-00115,Engine Plant US,Assembly Plant MX
MAT-712078,H-07-5,2157,KANBAN-00116,Engine Plant US,Assembly Plant MX
MAT-309690,B-01-1,230,KANBAN-00117,Engine Plant US,Assembly Plant MX
MAT-444935,D-24-2,4611,KANBAN-00118,Engine Plant US,Assembly Plant MX
MAT-220510,B-17-2,1568,KANBAN-00119,Engine Plant US,Assembly Plant MX
MAT-941161,E-17-5,4390,KANBAN-00120,Engine Plant US,Assembly Plant MX
MAT-123171,B-01-1,1587,KANBAN-00121,Engine Plant US,Assembly Plant MX
MAT-413157,E-14-3,563,KANBAN-00122,Engine Plant US,Assembly Plant MX
MAT-819286,C-25-1,4802,KANBAN-00123,Engine Plant US,Assembly Plant MX
MAT-574728,A-28-1,4499,KANBAN-00124,Engine Plant US,Assembly Plant MX
MAT-660920,C-21-3,3498,KANBAN-00125,Engine Plant US,Assembly Plant MX
MAT-688923,B-14-1,4572,KANBAN-00126,Engine Plant US,Assembly Plant MX
MAT-279435,D-08-1,1009,KANBAN-00127,Engine Plant US,Assembly Plant MX
MAT-153324,A-03-4,931,KANBAN-00001,Engine Plant US,Assembly Plant US
MAT-705366,E-27-3,2661,KANBAN-00002,Engine Plant US,Assembly Plant US
MAT-207915,F-07-4,258,KANBAN-00003,Engine Plant US,Assembly Plant US
MAT-106125,D-19-3,805,KANBAN-00004,Engine Plant US,Assembly Plant US
MAT-360540,G-20-4,217,KANBAN-00005,Engine Plant US,Assembly Plant US
MAT-259984,C-13-1,1665,KANBAN-00006,Engine Plant US,Assembly Plant US
MAT-779177,G-14-4,2362,KANBAN-00007,Engine Plant US,Assembly Plant US
MAT-647903,H-22-5,2992,KANBAN-00008,Engine Plant US,Assembly Plant US
MAT-189879,G-28-3,171,KANBAN-00009,Engine Plant US,Assembly Plant US
MAT-603601,C-23-4,1197,KANBAN-00010,Engine Plant US,Assembly Plant US
MAT-555423,H-23-1,2462,KANBAN-00011,Engine Plant US,Assembly Plant US
MAT-254185,E-15-5,828,KANBAN-00012,Engine Plant US,Assembly Plant US
MAT-814744,C-28-4,1700,KANBAN-00013,Engine Plant US,Assembly Plant US
MAT-298099,E-07-2,4954,KANBAN-00014,Engine Plant US,Assembly Plant US
MAT-576357,E-17-2,2238,KANBAN-00015,Engine Plant US,Assembly Plant US
MAT-364574,E-01-3,3222,KANBAN-00016,Engine Plant US,Assembly Plant US
MAT-563692,E-09-1,3680,KANBAN-00017,Engine Plant US,Assembly Plant US
MAT-327334,B-03-4,2979,KANBAN-00018,Engine Plant US,Assembly Plant US
MAT-284444,H-07-1,3240,KANBAN-00019,Engine Plant US,Assembly Plant US
MAT-575132,C-10-3,3303,KANBAN-00020,Engine Plant US,Assembly Plant US
MAT-698279,B-28-4,2936,KANBAN-00021,Engine Plant US,Assembly Plant US
MAT-907216,H-24-2,2765,KANBAN-00022,Engine Plant US,Assembly Plant US
MAT-725751,C-18-4,1798,KANBAN-00023,Engine Plant US,Assembly Plant US
MAT-179128,D-21-2,4528,KANBAN-00024,Engine Plant US,Assembly Plant US
MAT-119864,B-23-5,989,KANBAN-00025,Engine Plant US,Assembly Plant US
MAT-948651,D-11-4,4068,KANBAN-00026,Engine Plant US,Assembly Plant US
MAT-956939,C-29-5,928,KANBAN-00027,Engine Plant US,Assembly Plant US
MAT-797502,G-14-5,4212,KANBAN-00028,Engine Plant US,Assembly Plant US
MAT-893040,B-08-2,1038,KANBAN-00029,Engine Plant US,Assembly Plant US
MAT-411003,E-08-1,4625,KANBAN-00030,Engine Plant US,Assembly Plant US
MAT-817421,G-16-2,4623,KANBAN-00031,Engine Plant US,Assembly Plant US
MAT-746859,G-09-4,4772,KANBAN-00032,Engine Plant US,Assembly Plant US
MAT-627741,G-24-3,1023,KANBAN-00033,Engine Plant US,Assembly Plant US
MAT-458754,E-18-5,2670,KANBAN-00034,Engine Plant US,Assembly Plant US
MAT-132572,F-29-5,2323,KANBAN-00035,Engine Plant US,Assembly Plant US
MAT-996264,B-17-1,3483,KANBAN-00036,Engine Plant US,Assembly Plant US
MAT-484140,G-24-5,3983,KANBAN-00037,Engine Plant US,Assembly Plant US
MAT-339904,E-20-4,1012,KANBAN-00038,Engine Plant US,Assembly Plant US
MAT-114456,A-17-5,2000,KANBAN-00039,Engine Plant US,Assembly Plant US
MAT-948750,H-20-3,2279,KANBAN-00040,Engine Plant US,Assembly Plant US
MAT-670819,B-02-4,1447,KANBAN-00041,Engine Plant US,Assembly Plant US
MAT-632358,G-23-3,1302,KANBAN-00042,Engine Plant US,Assembly Plant US
MAT-250145,C-09-2,987,KANBAN-00043,Engine Plant US,Assembly Plant US
MAT-721305,A-05-3,539,KANBAN-00044,Engine Plant US,Assembly Plant US
MAT-641006,A-29-5,1986,KANBAN-00045,Engine Plant US,Assembly Plant US
MAT-988929,F-07-5,2623,KANBAN-00046,Engine Plant US,Assembly Plant US
MAT-787819,E-15-1,4302,KANBAN-00047,Engine Plant US,Assembly Plant US
MAT-727542,G-02-3,1602,KANBAN-00048,Engine Plant US,Assembly Plant US
MAT-273739,F-23-4,966,KANBAN-00049,Engine Plant US,Assembly Plant US
MAT-662806,D-02-3,229,KANBAN-00050,Engine Plant US,Assembly Plant US
MAT-667414,D-04-4,2243,KANBAN-00051,Engine Plant US,Assembly Plant US
MAT-144844,D-10-3,993,KANBAN-00052,Engine Plant US,Assembly Plant US
MAT-101261,B-16-5,2758,KANBAN-00053,Engine Plant US,Assembly Plant US
MAT-445705,E-08-4,2832,KANBAN-00054,Engine Plant US,Assembly Plant US
MAT-310006,A-11-1,3366,KANBAN-00055,Engine Plant US,Assembly Plant US
MAT-684912,G-15-3,2655,KANBAN-00056,Engine Plant US,Assembly Plant US
MAT-232086,C-10-1,835,KANBAN-00057,Engine Plant US,Assembly Plant US
MAT-644983,H-19-3,1919,KANBAN-00058,Engine Plant US,Assembly Plant US
MAT-165093,D-11-4,1629,KANBAN-00059,Engine Plant US,Assembly Plant US
MAT-989684,F-08-1,4863,KANBAN-00060,Engine Plant US,Assembly Plant US
MAT-244671,E-24-4,3318,KANBAN-00061,Engine Plant US,Assembly Plant US
MAT-409775,D-20-2,272,KANBAN-00062,Engine Plant US,Assembly Plant US
MAT-786389,A-11-1,4229,KANBAN-00063,Engine Plant US,Assembly Plant US
MAT-842169,F-02-2,2023,KANBAN-00064,Engine Plant US,Assembly Plant US
MAT-662721,C-20-5,76,KANBAN-00065,Engine Plant US,Assembly Plant US
MAT-707089,D-19-3,4037,KANBAN-00066,Engine Plant US,Assembly Plant US
MAT-182169,G-26-5,3997,KANBAN-00067,Engine Plant US,Assembly Plant US
