WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2170044,ASSET-00009,Emergency,HYDRAULIC-LEAK,332,1060,000170000009
WO-2170045,ASSET-00009,Preventive,,0,,000170000009
WO-2170046,ASSET-00010,Preventive,,0,,000170000010
WO-2170047,ASSET-00010,Preventive,,0,,000170000010
WO-2170048,ASSET-00010,Preventive,,0,,000170000010
WO-2170049,ASSET-00010,Preventive,,0,,000170000010
WO-2170050,ASSET-00010,Preventive,,0,,000170000010
WO-2170051,ASSET-00010,Preventive,,0,,000170000010
WO-2170052,ASSET-00010,Preventive,,0,,000170000010
WO-2170053,ASSET-00011,Preventive,,0,,000170000011
WO-2170054,ASSET-00011,Preventive,,0,,000170000011
WO-2170055,ASSET-00011,Corrective,BELT-FAILURE,128,939,000170000011
WO-2170056,ASSET-00011,Corrective,SENSOR-FAULT,199,1588,000170000011
WO-2170057,ASSET-00011,Preventive,,0,,000170000011
WO-2170058,ASSET-00012,Preventive,,0,,000170000012
WO-2170059,ASSET-00012,Corrective,BEARING-FAILURE,37,646,000170000012
WO-2170060,ASSET-00012,Corrective,BEARING-FAILURE,147,1816,000170000012
WO-2170061,ASSET-00012,Corrective,SENSOR-FAULT,174,1715,000170000012
WO-2170062,ASSET-00013,Preventive,,0,,000170000013
WO-2170063,ASSET-00013,Emergency,SPINDLE-SEIZURE,103,526,000170000013
WO-2170064,ASSET-00013,Corrective,HYDRAULIC-LEAK,221,550,000170000013
WO-2170065,ASSET-00013,Preventive,,0,,000170000013
WO-2170066,ASSET-00013,Corrective,CALIBRATION-DRIFT,108,901,000170000013
WO-2170067,ASSET-00013,Corrective,DIE-WEAR,133,999,000170000013
WO-2170068,ASSET-00013,Preventive,,0,,000170000013
WO-2170069,ASSET-00014,Preventive,,0,,000170000014
WO-2170070,ASSET-00014,Preventive,,0,,000170000014
WO-2170071,ASSET-00014,Preventive,,0,,000170000014
WO-2170072,ASSET-00014,Preventive,,0,,000170000014
WO-2170073,ASSET-00014,Preventive,,0,,000170000014
WO-2170074,ASSET-00014,Corrective,CONTROLLER-FAULT,94,1341,000170000014
WO-2170075,ASSET-00015,Preventive,,0,,000170000015
WO-2170076,ASSET-00015,Preventive,,0,,000170000015
WO-2170077,ASSET-00015,Emergency,PNEUMATIC-LEAK,95,1354,000170000015
WO-2170078,ASSET-00016,Preventive,,0,,000170000016
WO-2170079,ASSET-00016,Corrective,SPINDLE-SEIZURE,64,938,000170000016
WO-2170080,ASSET-00016,Preventive,,0,,000170000016
WO-2170081,ASSET-00016,Preventive,,0,,000170000016
WO-2170082,ASSET-00016,Corrective,HYDRAULIC-LEAK,181,549,000170000016
WO-2170083,ASSET-00017,Preventive,,0,,000170000017
WO-2170084,ASSET-00017,Corrective,HYDRAULIC-LEAK,81,297,000170000017
WO-2170085,ASSET-00017,Corrective,BEARING-FAILURE,137,399,000170000017
WO-2170086,ASSET-00017,Corrective,DIE-WEAR,126,1910,000170000017
WO-2170087,ASSET-00017,Preventive,,0,,000170000017
WO-2170088,ASSET-00018,Corrective,BELT-FAILURE,108,1234,000170000018
WO-2170089,ASSET-00018,Preventive,,0,,000170000018
WO-2170090,ASSET-00018,Preventive,,0,,000170000018
WO-2170091,ASSET-00018,Preventive,,0,,000170000018
WO-2170092,ASSET-00018,Preventive,,0,,000170000018
WO-2170093,ASSET-00019,Corrective,DIE-WEAR,153,1581,000170000020
WO-2170094,ASSET-00019,Preventive,,0,,000170000020
WO-2170095,ASSET-00020,Preventive,,0,,000170000021
WO-2170096,ASSET-00020,Corrective,MOTOR-BURNOUT,84,1438,000170000021
WO-2170097,ASSET-00020,Corrective,SENSOR-FAULT,122,990,000170000021
WO-2170098,ASSET-00021,Preventive,,0,,
WO-2170099,ASSET-00021,Preventive,,0,,
WO-2170100,ASSET-00021,Corrective,CONTROLLER-FAULT,188,314,
WO-2170101,ASSET-00021,Preventive,,0,,
WO-2170102,ASSET-00021,Preventive,,0,,
WO-2170103,ASSET-00021,Emergency,BELT-FAILURE,95,351,
WO-2170104,ASSET-00021,Emergency,MOTOR-BURNOUT,512,785,
WO-2170105,ASSET-00021,Corrective,SPINDLE-SEIZURE,91,1460,
WO-2170106,ASSET-00021,Corrective,SPINDLE-SEIZURE,42,534,
WO-2170107,ASSET-00021,Preventive,,0,,
WO-2170108,ASSET-00022,Preventive,,0,,000170000022
WO-2170109,ASSET-00022,Preventive,,0,,000170000022
WO-2170110,ASSET-00022,Preventive,,0,,000170000022
WO-2170111,ASSET-00022,Corrective,CALIBRATION-DRIFT,31,384,000170000022
WO-2170112,ASSET-00023,Corrective,CALIBRATION-DRIFT,75,1288,000170000023
WO-2170113,ASSET-00023,Preventive,,0,,000170000023
WO-2170114,ASSET-00023,Preventive,,0,,000170000023
WO-2170115,ASSET-00024,Preventive,,0,,000170000024
WO-2170116,ASSET-00024,Preventive,,0,,000170000024
WO-2170117,ASSET-00024,Corrective,BELT-FAILURE,166,1586,000170000024
WO-2170118,ASSET-00024,Preventive,,0,,000170000024
WO-2170119,ASSET-00024,Preventive,,0,,000170000024
WO-2170120,ASSET-00025,Corrective,SPINDLE-SEIZURE,153,291,000170000025
WO-2170121,ASSET-00025,Preventive,,0,,000170000025
WO-2170122,ASSET-00025,Preventive,,0,,000170000025
WO-2170123,ASSET-00025,Preventive,,0,,000170000025
WO-2170124,ASSET-00026,Preventive,,0,,000170000026
WO-2170125,ASSET-00026,Corrective,CONTROLLER-FAULT,202,1456,000170000026
WO-2170126,ASSET-00026,Preventive,,0,,000170000026
WO-2170127,ASSET-00026,Emergency,BELT-FAILURE,241,1138,000170000026
WO-2170128,ASSET-00026,Corrective,BELT-FAILURE,37,282,000170000026
WO-2170129,ASSET-00026,Corrective,MOTOR-BURNOUT,55,1272,000170000026
WO-2170130,ASSET-00026,Corrective,MOTOR-BURNOUT,156,1465,000170000026
WO-2170131,ASSET-00027,Preventive,,0,,000170000027
WO-2170132,ASSET-00027,Preventive,,0,,000170000027
WO-2170133,ASSET-00027,Preventive,,0,,000170000027
WO-2170134,ASSET-00028,Preventive,,0,,000170000028
WO-2170135,ASSET-00028,Corrective,DIE-WEAR,135,301,000170000028
WO-2170136,ASSET-00028,Corrective,CALIBRATION-DRIFT,167,1968,000170000028
WO-2170137,ASSET-00028,Preventive,,0,,000170000028
WO-2170138,ASSET-00029,Preventive,,0,,000170000029
WO-2170139,ASSET-00030,Preventive,,0,,000170000030
WO-2170140,ASSET-00030,Corrective,PNEUMATIC-LEAK,181,1132,000170000030
WO-2170141,ASSET-00030,Preventive,,0,,000170000030
WO-2170142,ASSET-00030,Corrective,DIE-WEAR,94,1186,000170000030
WO-2170143,ASSET-00031,Preventive,,0,,000170000031
WO-2170144,ASSET-00031,Corrective,CONTROLLER-FAULT,125,954,000170000031
WO-2170145,ASSET-00031,Preventive,,0,,000170000031
WO-2170146,ASSET-00032,Preventive,,0,,000170000032
WO-2170147,ASSET-00032,Emergency,PNEUMATIC-LEAK,120,243,000170000032
WO-2170148,ASSET-00032,Preventive,,0,,000170000032
WO-2170149,ASSET-00033,Corrective,DIE-WEAR,84,1371,000170000033
WO-2170150,ASSET-00033,Preventive,,0,,000170000033
WO-2170151,ASSET-00033,Corrective,SENSOR-FAULT,50,993,000170000033
WO-2170152,ASSET-00033,Preventive,,0,,000170000033
WO-2170153,ASSET-00033,Corrective,CALIBRATION-DRIFT,158,950,000170000033
WO-2170154,ASSET-00033,Preventive,,0,,000170000033
WO-2170155,ASSET-00033,Preventive,,0,,000170000033
WO-2170156,ASSET-00033,Preventive,,0,,000170000033
WO-2170157,ASSET-00033,Preventive,,0,,000170000033
WO-2170158,ASSET-00034,Preventive,,0,,000170000034
WO-2170159,ASSET-00034,Corrective,BEARING-FAILURE,132,267,000170000034
WO-2170160,ASSET-00034,Preventive,,0,,000170000034
WO-2170161,ASSET-00034,Preventive,,0,,000170000034
WO-2170162,ASSET-00034,Emergency,DIE-WEAR,298,1679,000170000034
WO-2170163,ASSET-00035,Corrective,DIE-WEAR,44,680,000170000035
WO-2170164,ASSET-00035,Corrective,CONTROLLER-FAULT,96,1639,000170000035
WO-2170165,ASSET-00035,Emergency,BEARING-FAILURE,70,467,000170000035
WO-2170166,ASSET-00035,Corrective,SPINDLE-SEIZURE,50,219,000170000035
WO-2170167,ASSET-00035,Corrective,MOTOR-BURNOUT,162,735,000170000035
WO-2170168,ASSET-00036,Preventive,,0,,000170000036
WO-2170169,ASSET-00036,Corrective,BEARING-FAILURE,88,1643,000170000036
WO-2170170,ASSET-00036,Preventive,,0,,000170000036
WO-2170171,ASSET-00036,Corrective,CONTROLLER-FAULT,204,1269,000170000036
WO-2170172,ASSET-00036,Preventive,,0,,000170000036
WO-2170173,ASSET-00037,Corrective,MOTOR-BURNOUT,133,577,
WO-2170174,ASSET-00037,Preventive,,0,,
WO-2170175,ASSET-00037,Preventive,,0,,
WO-2170176,ASSET-00037,Preventive,,0,,
WO-2170177,ASSET-00037,Corrective,HYDRAULIC-LEAK,32,1050,
WO-2170178,ASSET-00037,Preventive,,0,,
WO-2170179,ASSET-00038,Preventive,,0,,000170000037
WO-2170180,ASSET-00038,Corrective,BEARING-FAILURE,91,1070,000170000037
WO-2170181,ASSET-00038,Preventive,,0,,000170000037
WO-2170182,ASSET-00038,Preventive,,0,,000170000037
WO-2170183,ASSET-00038,Corrective,DIE-WEAR,199,1241,000170000037
WO-2170184,ASSET-00038,Preventive,,0,,000170000037
WO-2170185,ASSET-00039,Preventive,,0,,000170000038
WO-2170186,ASSET-00039,Corrective,HYDRAULIC-LEAK,103,466,000170000038
WO-2170187,ASSET-00039,Preventive,,0,,000170000038
WO-2170188,ASSET-00040,Corrective,PNEUMATIC-LEAK,189,736,000170000039
WO-2170189,ASSET-00040,Preventive,,0,,000170000039
WO-2170190,ASSET-00040,Corrective,BELT-FAILURE,237,1508,000170000039
WO-2170191,ASSET-00041,Emergency,DIE-WEAR,455,384,000170000040
WO-2170192,ASSET-00041,Corrective,SPINDLE-SEIZURE,111,1064,000170000040
WO-2170193,ASSET-00041,Corrective,CONTROLLER-FAULT,81,1962,000170000040
WO-2170194,ASSET-00041,Corrective,PNEUMATIC-LEAK,213,1594,000170000040
WO-2170195,ASSET-00041,Preventive,,0,,000170000040
WO-2170196,ASSET-00041,Corrective,MOTOR-BURNOUT,36,1989,000170000040
WO-2170197,ASSET-00041,Emergency,SPINDLE-SEIZURE,538,1620,000170000040
WO-2170198,ASSET-00041,Preventive,,0,,000170000040
WO-2170199,ASSET-00042,Preventive,,0,,000170000041
WO-2170200,ASSET-00042,Emergency,DIE-WEAR,298,889,000170000041
WO-2170201,ASSET-00042,Preventive,,0,,000170000041
WO-2170202,ASSET-00042,Emergency,BEARING-FAILURE,87,483,000170000041
WO-2170203,ASSET-00042,Emergency,PNEUMATIC-LEAK,115,1623,000170000041
WO-2170204,ASSET-00042,Preventive,,0,,000170000041
WO-2170205,ASSET-00043,Preventive,,0,,000170000042
WO-2170206,ASSET-00043,Preventive,,0,,000170000042
WO-2170207,ASSET-00043,Preventive,,0,,000170000042
WO-2170208,ASSET-00044,Corrective,CONTROLLER-FAULT,92,1367,000170000043
WO-2170209,ASSET-00044,Preventive,,0,,000170000043
WO-2170210,ASSET-00044,Preventive,,0,,000170000043
WO-2170211,ASSET-00044,Preventive,,0,,000170000043
WO-2170212,ASSET-00044,Preventive,,0,,000170000043
WO-2170213,ASSET-00045,Emergency,BELT-FAILURE,73,1228,000170000044
WO-2170214,ASSET-00046,Preventive,,0,,
WO-2170215,ASSET-00046,Corrective,BEARING-FAILURE,148,1663,
WO-2170216,ASSET-00046,Preventive,,0,,
WO-2170217,ASSET-00046,Preventive,,0,,
WO-2170218,ASSET-00046,Emergency,SPINDLE-SEIZURE,122,975,
WO-2170219,ASSET-00046,Preventive,,0,,
WO-2170220,ASSET-00047,Corrective,CONTROLLER-FAULT,35,452,000170000045
WO-2170221,ASSET-00047,Preventive,,0,,000170000045
WO-2170222,ASSET-00047,Preventive,,0,,000170000045
WO-2170223,ASSET-00047,Preventive,,0,,000170000045
WO-2170224,ASSET-00047,Emergency,DIE-WEAR,281,600,000170000045
WO-2170225,ASSET-00048,Corrective,CALIBRATION-DRIFT,150,1916,000170000046
WO-2170226,ASSET-00048,Preventive,,0,,000170000046
WO-2170227,ASSET-00048,Corrective,SENSOR-FAULT,207,1992,000170000046
WO-2170228,ASSET-00048,Corrective,CONTROLLER-FAULT,61,387,000170000046
WO-2170229,ASSET-00049,Corrective,BEARING-FAILURE,198,1354,000170000047
WO-2170230,ASSET-00049,Preventive,,0,,000170000047
WO-2170231,ASSET-00049,Preventive,,0,,000170000047
WO-2170232,ASSET-00049,Preventive,,0,,000170000047
WO-2170233,ASSET-00049,Preventive,,0,,000170000047
WO-2170234,ASSET-00050,Emergency,BEARING-FAILURE,381,1453,000170000048
WO-2170235,ASSET-00050,Preventive,,0,,000170000048
WO-2170236,ASSET-00050,Preventive,,0,,000170000048
WO-2170237,ASSET-00050,Preventive,,0,,000170000048
WO-2170238,ASSET-00050,Preventive,,0,,000170000048
WO-2170239,ASSET-00051,Emergency,SPINDLE-SEIZURE,63,451,000170000049
WO-2170240,ASSET-00051,Corrective,PNEUMATIC-LEAK,67,872,000170000049
WO-2170241,ASSET-00051,Preventive,,0,,000170000049
WO-2170242,ASSET-00051,Corrective,PNEUMATIC-LEAK,115,1776,000170000049
WO-2170243,ASSET-00051,Preventive,,0,,000170000049
WO-2170244,ASSET-00052,Preventive,,0,,000170000050
WO-2170245,ASSET-00052,Preventive,,0,,000170000050
WO-2170246,ASSET-00052,Preventive,,0,,000170000050
WO-2170247,ASSET-00052,Corrective,CONTROLLER-FAULT,56,604,000170000050
WO-2170248,ASSET-00053,Preventive,,0,,000170000051
WO-2170249,ASSET-00053,Preventive,,0,,000170000051
WO-2170250,ASSET-00053,Corrective,CONTROLLER-FAULT,95,703,000170000051
WO-2170251,ASSET-00054,Preventive,,0,,000170000052
WO-2170252,ASSET-00054,Corrective,PNEUMATIC-LEAK,217,1957,000170000052
WO-2170253,ASSET-00055,Preventive,,0,,000170000053
WO-2170254,ASSET-00055,Corrective,PNEUMATIC-LEAK,174,517,000170000053
WO-2170255,ASSET-00055,Corrective,BEARING-FAILURE,153,1859,000170000053
WO-2170256,ASSET-00055,Preventive,,0,,000170000053
WO-2170257,ASSET-00055,Preventive,,0,,000170000053
WO-2170258,ASSET-00056,Preventive,,0,,000170000054
WO-2170259,ASSET-00056,Emergency,PNEUMATIC-LEAK,98,1120,000170000054
WO-2170260,ASSET-00056,Preventive,,0,,000170000054
WO-2170261,ASSET-00057,Preventive,,0,,000170000055
WO-2170262,ASSET-00057,Preventive,,0,,000170000055
WO-2170263,ASSET-00057,Preventive,,0,,000170000055
WO-2170264,ASSET-00057,Preventive,,0,,000170000055
WO-2170265,ASSET-00057,Preventive,,0,,000170000055
WO-2170266,ASSET-00058,Preventive,,0,,000170000056
WO-2170267,ASSET-00058,Corrective,MOTOR-BURNOUT,124,1701,000170000056
WO-2170268,ASSET-00059,Preventive,,0,,000170000057
WO-2170269,ASSET-00059,Preventive,,0,,000170000057
WO-2170270,ASSET-00059,Corrective,BELT-FAILURE,60,944,000170000057
WO-2170271,ASSET-00059,Corrective,HYDRAULIC-LEAK,55,1803,000170000057
WO-2170272,ASSET-00059,Emergency,CONTROLLER-FAULT,277,887,000170000057
WO-2170273,ASSET-00059,Preventive,,0,,000170000057
WO-2170274,ASSET-00059,Preventive,,0,,000170000057
WO-2170275,ASSET-00059,Preventive,,0,,000170000057
WO-2170276,ASSET-00060,Preventive,,0,,000170000058
WO-2170277,ASSET-00060,Corrective,MOTOR-BURNOUT,74,1403,000170000058
WO-2170278,ASSET-00060,Emergency,BEARING-FAILURE,482,846,000170000058
WO-2170279,ASSET-00060,Preventive,,0,,000170000058
WO-2170280,ASSET-00060,Preventive,,0,,000170000058
WO-2170281,ASSET-00060,Preventive,,0,,000170000058
WO-2170282,ASSET-00061,Preventive,,0,,000170000059
WO-2170283,ASSET-00061,Corrective,BEARING-FAILURE,201,531,000170000059
WO-2170284,ASSET-00061,Preventive,,0,,000170000059
WO-2170285,ASSET-00061,Emergency,BEARING-FAILURE,420,1957,000170000059
WO-2170286,ASSET-00061,Preventive,,0,,000170000059
WO-2170287,ASSET-00061,Preventive,,0,,000170000059
WO-2170288,ASSET-00061,Preventive,,0,,000170000059
WO-2170289,ASSET-00061,Emergency,PNEUMATIC-LEAK,457,1676,000170000059
WO-2170290,ASSET-00062,Corrective,PNEUMATIC-LEAK,104,1123,000170000060
WO-2170291,ASSET-00062,Corrective,MOTOR-BURNOUT,67,1862,000170000060
WO-2170292,ASSET-00062,Preventive,,0,,000170000060
WO-2170293,ASSET-00063,Emergency,CALIBRATION-DRIFT,585,1717,000170000061
WO-2170294,ASSET-00063,Corrective,SPINDLE-SEIZURE,117,1245,000170000061
WO-2170295,ASSET-00063,Corrective,PNEUMATIC-LEAK,233,543,000170000061
WO-2170296,ASSET-00063,Preventive,,0,,000170000061
WO-2170297,ASSET-00064,Preventive,,0,,000170000062
WO-2170298,ASSET-00064,Emergency,SENSOR-FAULT,559,1815,000170000062
WO-2170299,ASSET-00064,Preventive,,0,,000170000062
WO-2170300,ASSET-00064,Corrective,BELT-FAILURE,163,1947,000170000062
WO-2170301,ASSET-00064,Preventive,,0,,000170000062
WO-2170302,ASSET-00065,Corrective,MOTOR-BURNOUT,93,545,000170000063
WO-2170303,ASSET-00065,Preventive,,0,,000170000063
WO-2170304,ASSET-00065,Preventive,,0,,000170000063
WO-2170305,ASSET-00065,Corrective,BELT-FAILURE,43,1528,000170000063
WO-2170306,ASSET-00065,Preventive,,0,,000170000063
WO-2170307,ASSET-00066,Preventive,,0,,000170000064
WO-2170308,ASSET-00066,Preventive,,0,,000170000064
WO-2170309,ASSET-00066,Corrective,MOTOR-BURNOUT,78,1704,000170000064
WO-2170310,ASSET-00066,Preventive,,0,,000170000064
WO-2170311,ASSET-00066,Preventive,,0,,000170000064
WO-2170312,ASSET-00066,Corrective,CALIBRATION-DRIFT,54,211,000170000064
WO-2170313,ASSET-00066,Preventive,,0,,000170000064
WO-2170314,ASSET-00066,Preventive,,0,,000170000064
WO-2170315,ASSET-00067,Corrective,DIE-WEAR,139,1961,000170000065
WO-2170316,ASSET-00067,Preventive,,0,,000170000065
WO-2170317,ASSET-00067,Preventive,,0,,000170000065
WO-2170318,ASSET-00067,Corrective,DIE-WEAR,126,1936,000170000065
WO-2170319,ASSET-00067,Preventive,,0,,000170000065
WO-2170320,ASSET-00067,Corrective,BEARING-FAILURE,188,1790,000170000065
WO-2170321,ASSET-00067,Corrective,HYDRAULIC-LEAK,234,227,000170000065
WO-2170322,ASSET-00068,Emergency,BEARING-FAILURE,123,530,000170000067
WO-2170323,ASSET-00068,Corrective,MOTOR-BURNOUT,239,1089,000170000067
WO-2170324,ASSET-00068,Preventive,,0,,000170000067
WO-2170325,ASSET-00068,Preventive,,0,,000170000067
WO-2170326,ASSET-00068,Corrective,BELT-FAILURE,151,1632,000170000067
WO-2170327,ASSET-00068,Emergency,SPINDLE-SEIZURE,539,1992,000170000067
WO-2170328,ASSET-00069,Corrective,SENSOR-FAULT,83,620,000170000068
WO-2170329,ASSET-00069,Corrective,HYDRAULIC-LEAK,30,1147,000170000068
WO-2170330,ASSET-00069,Corrective,DIE-WEAR,179,710,000170000068
WO-2170331,ASSET-00070,Corrective,SENSOR-FAULT,93,1638,000170000069
WO-2170332,ASSET-00070,Preventive,,0,,000170000069
WO-2170333,ASSET-00071,Corrective,DIE-WEAR,94,618,000170000070
WO-2170334,ASSET-00071,Preventive,,0,,000170000070
WO-2170335,ASSET-00071,Corrective,SENSOR-FAULT,90,1806,000170000070
WO-2170336,ASSET-00071,Preventive,,0,,000170000070
WO-2170337,ASSET-00071,Preventive,,0,,000170000070
WO-2170338,ASSET-00071,Preventive,,0,,000170000070
WO-2170339,ASSET-00071,Preventive,,0,,000170000070
WO-2170340,ASSET-00072,Corrective,CALIBRATION-DRIFT,99,779,000170000071
WO-2170341,ASSET-00072,Corrective,CALIBRATION-DRIFT,227,780,000170000071
WO-2170342,ASSET-00072,Emergency,CONTROLLER-FAULT,421,902,000170000071
WO-2170343,ASSET-00072,Preventive,,0,,000170000071
WO-2170344,ASSET-00072,Emergency,SENSOR-FAULT,448,1796,000170000071
WO-2170345,ASSET-00072,Corrective,HYDRAULIC-LEAK,150,1803,000170000071
WO-2170346,ASSET-00072,Preventive,,0,,000170000071
WO-2170347,ASSET-00072,Preventive,,0,,000170000071
WO-2170348,ASSET-00073,Emergency,BEARING-FAILURE,341,1304,000170000072
WO-2170349,ASSET-00073,Corrective,SPINDLE-SEIZURE,49,309,000170000072
WO-2170350,ASSET-00074,Preventive,,0,,000170000073
WO-2170351,ASSET-00074,Preventive,,0,,000170000073
WO-2170352,ASSET-00074,Corrective,BEARING-FAILURE,150,1384,000170000073
WO-2170353,ASSET-00075,Preventive,,0,,000170000074
WO-2170354,ASSET-00075,Corrective,MOTOR-BURNOUT,172,925,000170000074
WO-2170355,ASSET-00076,Preventive,,0,,000170000075
WO-2170356,ASSET-00076,Preventive,,0,,000170000075
WO-2170357,ASSET-00076,Corrective,BEARING-FAILURE,178,1391,000170000075
WO-2170358,ASSET-00076,Preventive,,0,,000170000075
WO-2170359,ASSET-00076,Emergency,HYDRAULIC-LEAK,201,1942,000170000075
WO-2170360,ASSET-00076,Corrective,SENSOR-FAULT,212,1000,000170000075
WO-2170361,ASSET-00076,Corrective,PNEUMATIC-LEAK,148,1049,000170000075
WO-2170362,ASSET-00077,Emergency,BEARING-FAILURE,308,661,000170000076
WO-2170363,ASSET-00077,Preventive,,0,,000170000076
WO-2170364,ASSET-00077,Preventive,,0,,000170000076
WO-2170365,ASSET-00077,Preventive,,0,,000170000076
WO-2170366,ASSET-00078,Emergency,BEARING-FAILURE,567,1113,000170000077
WO-2170367,ASSET-00078,Corrective,MOTOR-BURNOUT,69,367,000170000077
WO-2170368,ASSET-00078,Emergency,SENSOR-FAULT,335,476,000170000077
WO-2170369,ASSET-00078,Preventive,,0,,000170000077
WO-2170370,ASSET-00079,Corrective,BEARING-FAILURE,88,1939,000170000078
WO-2170371,ASSET-00079,Preventive,,0,,000170000078
WO-2170372,ASSET-00079,Preventive,,0,,000170000078
WO-2170373,ASSET-00080,Preventive,,0,,000170000079
WO-2170374,ASSET-00080,Preventive,,0,,000170000079
WO-2170375,ASSET-00080,Corrective,DIE-WEAR,65,1703,000170000079
WO-2170376,ASSET-00080,Preventive,,0,,000170000079
WO-2170377,ASSET-00080,Emergency,HYDRAULIC-LEAK,565,352,000170000079
WO-2170378,ASSET-00080,Preventive,,0,,000170000079
WO-2170379,ASSET-00080,Corrective,DIE-WEAR,80,1983,000170000079
WO-2170380,ASSET-00081,Corrective,SPINDLE-SEIZURE,33,1258,000170000080
WO-2170381,ASSET-00081,Corrective,CALIBRATION-DRIFT,130,1732,000170000080
WO-2170382,ASSET-00081,Preventive,,0,,000170000080
WO-2170383,ASSET-00081,Emergency,BEARING-FAILURE,600,316,000170000080
WO-2170384,ASSET-00081,Corrective,MOTOR-BURNOUT,136,1309,000170000080
WO-2170385,ASSET-00081,Corrective,CALIBRATION-DRIFT,100,1883,000170000080
WO-2170386,ASSET-00081,Corrective,DIE-WEAR,184,567,000170000080
WO-2170387,ASSET-00082,Corrective,CALIBRATION-DRIFT,240,1040,000170000081
WO-2170388,ASSET-00082,Preventive,,0,,000170000081
WO-2170389,ASSET-00082,Corrective,BEARING-FAILURE,179,1831,000170000081
WO-2170390,ASSET-00082,Corrective,SENSOR-FAULT,79,907,000170000081
WO-2170391,ASSET-00083,Corrective,BEARING-FAILURE,231,262,
WO-2170392,ASSET-00083,Corrective,HYDRAULIC-LEAK,202,492,
WO-2170393,ASSET-00083,Preventive,,0,,
WO-2170394,ASSET-00083,Preventive,,0,,
WO-2170395,ASSET-00084,Corrective,PNEUMATIC-LEAK,138,1783,000170000082
WO-2170396,ASSET-00084,Preventive,,0,,000170000082
WO-2170397,ASSET-00084,Corrective,CONTROLLER-FAULT,177,313,000170000082
WO-2170398,ASSET-00084,Corrective,DIE-WEAR,30,1195,000170000082
WO-2170399,ASSET-00084,Corrective,CONTROLLER-FAULT,96,1663,000170000082
WO-2170400,ASSET-00084,Preventive,,0,,000170000082
WO-2170401,ASSET-00085,Corrective,CALIBRATION-DRIFT,97,1625,
WO-2170402,ASSET-00085,Emergency,BEARING-FAILURE,248,539,
WO-2170403,ASSET-00085,Emergency,SENSOR-FAULT,342,1585,
