Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1018,S04,40.587,42.309,39.143,1.5
K1018,S04,41.053,42.309,39.143,1.5
K1019,S04,19.965,26.43,17.356,1.1
K1019,S04,21.331,26.43,17.356,1.1
K1019,S04,21.885,26.43,17.356,1.1
K1020,S04,80.614,82.447,79.697,1.69
K1020,S04,81.07,82.447,79.697,1.69
K1020,S04,81.533,82.447,79.697,1.69
K1020,S04,80.549,82.447,79.697,1.69
K1021,S01,188.831,191.78,186.343,1.97
K1021,S01,189.786,191.78,186.343,1.97
K1021,S01,188.251,191.78,186.343,1.97
K1021,S01,188.827,191.78,186.343,1.97
K1022,S01,17.791,21.357,15.964,1.09
K1022,S01,20.218,21.357,15.964,1.09
K1022,S01,18.809,21.357,15.964,1.09
K1022,S01,20.109,21.357,15.964,1.09
K1023,S01,99.786,101.814,94.816,0.63
K1023,S01,100.738,101.814,94.816,0.63
K1023,S01,98.229,101.814,94.816,0.63
K1024,S02,113.6,116.856,112.246,1.24
K1024,S02,114.479,116.856,112.246,1.24
K1025,S02,171.801,171.82,170.672,0.74
K1025,S02,171.247,171.82,170.672,0.74
K1025,S02,171.681,171.82,170.672,0.74
K1026,S02,50.466,54.201,46.194,1.69
K1026,S02,50.542,54.201,46.194,1.69
K1027,S03,42.562,48.174,40.004,1.47
K1027,S03,44.366,48.174,40.004,1.47
K1027,S03,43.904,48.174,40.004,1.47
K1027,S03,42.382,48.174,40.004,1.47
K1027,S03,42.705,48.174,40.004,1.47
K1028,S03,143.602,148.401,139.713,1.88
K1028,S03,143.616,148.401,139.713,1.88
K1028,S03,143.514,148.401,139.713,1.88
K1028,S03,144.461,148.401,139.713,1.88
K1028,S03,143.183,148.401,139.713,1.88
K1029,S03,11.492,13.309,7.033,2.09
K1029,S03,10.263,13.309,7.033,2.09
K1030,S01,77.479,79.681,75.208,1.99
K1030,S01,77.316,79.681,75.208,1.99
K1030,S01,77.781,79.681,75.208,1.99
K1030,S01,77.911,79.681,75.208,1.99
K1030,S01,77.365,79.681,75.208,1.99
K1031,S02,76.912,78.715,75.716,1.99
K1031,S02,77.318,78.715,75.716,1.99
K1032,S02,142.032,144.055,140.941,2.05
K1032,S02,142.835,144.055,140.941,2.05
K1033,S03,31.92,36.295,27.553,1.87
K1033,S03,31.535,36.295,27.553,1.87
K1033,S03,32.366,36.295,27.553,1.87
K1034,S01,167.597,171.062,163.908,1.13
K1034,S01,165.494,171.062,163.908,1.13
K1034,S01,166.291,171.062,163.908,1.13
K1034,S01,167.564,171.062,163.908,1.13
K1034,S01,166.851,171.062,163.908,1.13
K1035,S01,10.974,12.24,9.299,0.61
K1035,S01,11.438,12.24,9.299,0.61
K1035,S01,10.403,12.24,9.299,0.61
K1035,S01,12.039,12.24,9.299,0.61
K1036,S02,96.806,100.156,92.16,1.03
K1036,S02,95.945,100.156,92.16,1.03
K1036,S02,96.348,100.156,92.16,1.03
K1036,S02,95.302,100.156,92.16,1.03
K1036,S02,93.304,100.156,92.16,1.03
K1037,S03,28.698,33.614,24.458,1.16
K1037,S03,29.913,33.614,24.458,1.16
K1037,S03,28.464,33.614,24.458,1.16
K1037,S03,28.821,33.614,24.458,1.16
K1037,S03,31.249,33.614,24.458,1.16
K1038,S03,26.757,31.346,22.634,1.8
K1038,S03,26.41,31.346,22.634,1.8
K1038,S03,25.808,31.346,22.634,1.8
K1038,S03,27.778,31.346,22.634,1.8
K1038,S03,27.589,31.346,22.634,1.8
K1039,S04,185.235,190.103,181.59,1.9
K1039,S04,186.68,190.103,181.59,1.9
K1039,S04,185.786,190.103,181.59,1.9
K1040,S01,79.032,80.974,77.104,1.37
K1040,S01,79.283,80.974,77.104,1.37
K1040,S01,78.608,80.974,77.104,1.37
K1040,S01,78.305,80.974,77.104,1.37
K1040,S01,78.964,80.974,77.104,1.37
K1041,S01,20.932,27.148,17.963,0.93
K1041,S01,21.762,27.148,17.963,0.93
K1041,S01,22.445,27.148,17.963,0.93
K1041,S01,23.859,27.148,17.963,0.93
K1042,S02,181.562,184.186,179.102,2.09
K1042,S02,181.161,184.186,179.102,2.09
K1042,S02,181.592,184.186,179.102,2.09
K1042,S02,181.418,184.186,179.102,2.09
K1042,S02,181.517,184.186,179.102,2.09
K1043,S01,73.565,75.802,70.674,1.64
K1043,S01,72.799,75.802,70.674,1.64
K1043,S01,73.057,75.802,70.674,1.64
K1043,S01,73.499,75.802,70.674,1.64
K1043,S01,73.992,75.802,70.674,1.64
K1044,S02,20.591,22.96,18.17,1.09
K1044,S02,19.691,22.96,18.17,1.09
K1044,S02,20.697,22.96,18.17,1.09
K1045,S03,150.925,154.075,145.155,0.96
K1045,S03,145.84,154.075,145.155,0.96
K1045,S03,149.472,154.075,145.155,0.96
K1045,S03,150.737,154.075,145.155,0.96
K1045,S03,151.852,154.075,145.155,0.96
K1046,S03,109.057,112.894,104.538,1.78
K1046,S03,108.153,112.894,104.538,1.78
K1046,S03,108.713,112.894,104.538,1.78
K1046,S03,109.836,112.894,104.538,1.78
K1047,S04,163.595,167.412,161.425,0.81
K1047,S04,164.774,167.412,161.425,0.81
K1047,S04,164.857,167.412,161.425,0.81
K1048,S04,75.044,77.597,71.736,1.89
K1048,S04,75.367,77.597,71.736,1.89
K1048,S04,75.468,77.597,71.736,1.89
K1048,S04,74.995,77.597,71.736,1.89
K1049,S01,84.611,89.584,79.803,0.81
K1049,S01,86.201,89.584,79.803,0.81
K1050,S01,95.19,96.964,92.115,1.33
K1050,S01,94.084,96.964,92.115,1.33
K1050,S01,95.112,96.964,92.115,1.33
K1051,S01,72.209,76.615,67.842,1.24
K1051,S01,73.127,76.615,67.842,1.24
K1051,S01,72.419,76.615,67.842,1.24
K1052,S02,9.86,12.358,8.873,1.39
K1052,S02,10.685,12.358,8.873,1.39
K1053,S02,161.139,163.87,159.154,0.97
K1053,S02,162.092,163.87,159.154,0.97
K1053,S02,161.436,163.87,159.154,0.97
K1053,S02,162.147,163.87,159.154,0.97
K1054,S02,43.307,48.856,39.127,2.1
K1054,S02,44.267,48.856,39.127,2.1
K1054,S02,43.414,48.856,39.127,2.1
K1054,S02,44.102,48.856,39.127,2.1
K1055,S01,13.326,16.652,10.553,1.9
K1055,S01,14.015,16.652,10.553,1.9
K1056,S01,199.306,201.735,197.039,1.12
K1056,S01,200.146,201.735,197.039,1.12
K1056,S01,200.405,201.735,197.039,1.12
K1056,S01,199.108,201.735,197.039,1.12
K1056,S01,198.466,201.735,197.039,1.12
K1057,S02,95.925,97.639,92.916,1.93
K1057,S02,95.011,97.639,92.916,1.93
K1057,S02,94.818,97.639,92.916,1.93
K1058,S02,77.415,79.745,73.05,1.14
K1058,S02,77.078,79.745,73.05,1.14
K1058,S02,76.768,79.745,73.05,1.14
K1059,S01,193.368,195.661,189.65,1.0
K1059,S01,193.415,195.661,189.65,1.0
K1060,S01,190.745,194.001,186.021,1.81
K1060,S01,189.531,194.001,186.021,1.81
K1061,S02,154.574,157.85,152.89,1.41
K1061,S02,154.235,157.85,152.89,1.41
K1061,S02,155.485,157.85,152.89,1.41
K1061,S02,155.548,157.85,152.89,1.41
K1061,S02,155.453,157.85,152.89,1.41
K1062,S03,52.492,56.295,49.362,1.49
K1062,S03,52.158,56.295,49.362,1.49
K1063,S04,172.177,172.783,171.637,0.66
K1063,S04,171.992,172.783,171.637,0.66
K1063,S04,171.982,172.783,171.637,0.66
K1064,S04,83.501,91.281,81.714,1.59
K1064,S04,84.088,91.281,81.714,1.59
K1064,S04,87.171,91.281,81.714,1.59
K1064,S04,85.48,91.281,81.714,1.59
K1065,S01,139.574,139.793,138.555,0.69
K1065,S01,138.959,139.793,138.555,0.69
K1065,S01,138.589,139.793,138.555,0.69
K1065,S01,139.769,139.793,138.555,0.69
K1066,S01,13.85,14.396,12.469,1.06
K1066,S01,13.449,14.396,12.469,1.06
K1067,S01,142.518,145.143,140.183,1.93
K1067,S01,142.425,145.143,140.183,1.93
K1067,S01,141.356,145.143,140.183,1.93
K1067,S01,142.921,145.143,140.183,1.93
K1068,S02,50.504,51.626,45.507,1.14
K1068,S02,48.333,51.626,45.507,1.14
K1069,S02,95.4,99.016,90.701,1.36
K1069,S02,95.206,99.016,90.701,1.36
K1070,S02,54.113,57.259,51.184,0.64
K1070,S02,52.874,57.259,51.184,0.64
K1070,S02,55.818,57.259,51.184,0.64
K1071,S03,83.58,86.951,83.164,0.78
K1071,S03,84.827,86.951,83.164,0.78
K1071,S03,84.584,86.951,83.164,0.78
K1071,S03,85.331,86.951,83.164,0.78
K1072,S03,160.654,166.585,156.846,1.82
K1072,S03,161.915,166.585,156.846,1.82
K1072,S03,160.979,166.585,156.846,1.82
K1073,S04,50.897,52.082,49.011,0.86
K1073,S04,50.732,52.082,49.011,0.86
K1073,S04,50.126,52.082,49.011,0.86
K1073,S04,49.725,52.082,49.011,0.86
K1074,S04,78.604,82.705,75.777,1.74
K1074,S04,80.404,82.705,75.777,1.74
K1074,S04,79.485,82.705,75.777,1.74
K1075,S04,158.898,159.781,154.755,0.64
K1075,S04,157.266,159.781,154.755,0.64
K1075,S04,157.843,159.781,154.755,0.64
K1076,S01,36.904,38.215,35.315,1.55
K1076,S01,37.042,38.215,35.315,1.55
K1076,S01,36.533,38.215,35.315,1.55
K1076,S01,36.706,38.215,35.315,1.55
K1076,S01,37.054,38.215,35.315,1.55
K1077,S01,77.685,81.473,74.87,1.45
K1077,S01,78.189,81.473,74.87,1.45
K1077,S01,78.251,81.473,74.87,1.45
K1077,S01,78.228,81.473,74.87,1.45
K1077,S01,77.685,81.473,74.87,1.45
K1078,S02,53.799,55.804,49.539,0.96
K1078,S02,54.777,55.804,49.539,0.96
K1078,S02,52.901,55.804,49.539,0.96
K1078,S02,54.148,55.804,49.539,0.96
K1079,S03,104.872,106.048,103.71,1.65
K1079,S03,105.065,106.048,103.71,1.65
K1079,S03,104.701,106.048,103.71,1.65
K1080,S03,147.021,150.941,143.75,0.79
K1080,S03,145.917,150.941,143.75,0.79
K1080,S03,148.232,150.941,143.75,0.79
K1080,S03,147.658,150.941,143.75,0.79
K1081,S01,162.863,167.302,159.681,0.8
K1081,S01,165.129,167.302,159.681,0.8
K1081,S01,163.449,167.302,159.681,0.8
K1081,S01,164.472,167.302,159.681,0.8
K1081,S01,161.676,167.302,159.681,0.8
K1082,S02,66.052,66.648,65.258,0.93
K1082,S02,65.489,66.648,65.258,0.93
K1082,S02,66.393,66.648,65.258,0.93
K1083,S02,16.723,21.201,12.876,0.86
K1083,S02,19.406,21.201,12.876,0.86
K1083,S02,15.685,21.201,12.876,0.86
K1084,S01,91.987,96.415,86.702,2.05
K1084,S01,91.952,96.415,86.702,2.05
K1084,S01,91.211,96.415,86.702,2.05
K1085,S02,152.261,154.56,150.471,2.08
K1085,S02,152.864,154.56,150.471,2.08
K1086,S02,77.106,80.706,71.419,0.6
K1086,S02,81.879,80.706,71.419,0.6
K1087,S02,193.408,196.607,191.047,2.02
K1087,S02,193.404,196.607,191.047,2.02
K1087,S02,193.925,196.607,191.047,2.02
K1088,S01,29.595,33.739,25.54,0.85
K1088,S01,32.52,33.739,25.54,0.85
K1088,S01,30.189,33.739,25.54,0.85
K1089,S02,51.711,54.108,49.876,1.79
K1089,S02,52.043,54.108,49.876,1.79
K1089,S02,51.203,54.108,49.876,1.79
K1089,S02,51.729,54.108,49.876,1.79
K1090,S02,37.813,38.535,37.039,1.25
K1090,S02,38.077,38.535,37.039,1.25
K1090,S02,37.804,38.535,37.039,1.25
K1090,S02,37.93,38.535,37.039,1.25
K1091,S03,60.653,61.315,60.129,1.98
K1091,S03,60.798,61.315,60.129,1.98
K1091,S03,60.694,61.315,60.129,1.98
K1092,S04,80.827,81.966,79.937,2.08
K1092,S04,80.518,81.966,79.937,2.08
K1092,S04,80.957,81.966,79.937,2.08
K1093,S04,126.35,130.99,122.048,1.08
K1093,S04,124.095,130.99,122.048,1.08
K1093,S04,129.308,130.99,122.048,1.08
K1093,S04,127.719,130.99,122.048,1.08
K1094,S04,137.66,141.412,132.097,1.37
K1094,S04,136.076,141.412,132.097,1.37
K1094,S04,136.053,141.412,132.097,1.37
K1094,S04,135.341,141.412,132.097,1.37
K1095,S01,16.21,21.365,12.115,0.7
K1095,S01,14.573,21.365,12.115,0.7
K1096,S01,159.41,161.02,157.425,2.01
K1096,S01,159.117,161.02,157.425,2.01
K1096,S01,158.868,161.02,157.425,2.01
K1096,S01,159.611,161.02,157.425,2.01
K1097,S02,58.533,60.383,56.342,2.08
K1097,S02,58.403,60.383,56.342,2.08
K1097,S02,58.461,60.383,56.342,2.08
K1097,S02,58.141,60.383,56.342,2.08
K1097,S02,58.027,60.383,56.342,2.08
K1098,S02,145.455,149.918,140.785,1.52
K1098,S02,145.293,149.918,140.785,1.52
K1099,S03,154.776,158.844,149.29,1.7
K1099,S03,155.116,158.844,149.29,1.7
K1100,S03,119.522,122.357,117.897,0.74
K1100,S03,119.027,122.357,117.897,0.74
K1101,S04,102.118,105.522,99.755,2.2
K1101,S04,102.436,105.522,99.755,2.2
K1102,S04,68.608,71.485,62.818,1.65
K1102,S04,66.952,71.485,62.818,1.65
K1103,S01,68.012,69.148,65.719,1.27
K1103,S01,67.575,69.148,65.719,1.27
K1103,S01,67.38,69.148,65.719,1.27
K1104,S01,20.862,25.735,17.486,1.78
K1104,S01,21.831,25.735,17.486,1.78
K1105,S02,145.667,149.972,140.374,1.26
K1105,S02,146.439,149.972,140.374,1.26
K1105,S02,143.863,149.972,140.374,1.26
K1106,S02,52.54,52.956,51.681,1.47
K1106,S02,52.301,52.956,51.681,1.47
K1106,S02,52.45,52.956,51.681,1.47
K1106,S02,52.38,52.956,51.681,1.47
K1107,S02,133.616,136.936,129.977,1.67
K1107,S02,134.164,136.936,129.977,1.67
K1107,S02,133.598,136.936,129.977,1.67
K1108,S01,157.526,162.323,152.62,1.71
K1108,S01,159.092,162.323,152.62,1.71
K1108,S01,157.932,162.323,152.62,1.71
K1108,S01,157.436,162.323,152.62,1.71
K1108,S01,157.02,162.323,152.62,1.71
K1109,S02,187.316,188.769,187.206,0.96
K1109,S02,187.778,188.769,187.206,0.96
K1110,S02,76.264,79.854,73.771,1.02
K1110,S02,75.886,79.854,73.771,1.02
K1111,S01,168.092,168.731,166.593,1.84
K1111,S01,167.704,168.731,166.593,1.84
K1111,S01,167.629,168.731,166.593,1.84
K1111,S01,167.904,168.731,166.593,1.84
K1111,S01,167.953,168.731,166.593,1.84
K1112,S01,63.597,66.282,62.442,0.95
K1112,S01,65.015,66.282,62.442,0.95
K1112,S01,64.852,66.282,62.442,0.95
K1113,S01,183.12,184.838,182.154,1.16
K1113,S01,183.208,184.838,182.154,1.16
K1114,S02,37.7,39.693,36.135,1.23
K1114,S02,38.38,39.693,36.135,1.23
K1115,S02,52.294,56.637,48.165,1.72
K1115,S02,52.82,56.637,48.165,1.72
K1115,S02,52.075,56.637,48.165,1.72
K1115,S02,52.391,56.637,48.165,1.72
K1116,S02,14.33,16.955,13.477,0.71
K1116,S02,14.464,16.955,13.477,0.71
K1116,S02,15.728,16.955,13.477,0.71
K1117,S03,74.574,76.3,71.66,0.75
K1117,S03,74.119,76.3,71.66,0.75
K1117,S03,74.213,76.3,71.66,0.75
K1118,S03,84.833,90.487,82.221,0.69
K1118,S03,88.089,90.487,82.221,0.69
K1118,S03,87.836,90.487,82.221,0.69
K1118,S03,86.153,90.487,82.221,0.69
K1119,S04,148.358,151.652,144.106,1.93
K1119,S04,147.738,151.652,144.106,1.93
K1119,S04,147.264,151.652,144.106,1.93
K1119,S04,147.481,151.652,144.106,1.93
K1119,S04,147.799,151.652,144.106,1.93
K1120,S04,175.602,176.617,172.983,1.6
K1120,S04,174.575,176.617,172.983,1.6
K1121,S01,168.217,168.423,167.265,0.75
K1121,S01,167.642,168.423,167.265,0.75
K1121,S01,168.092,168.423,167.265,0.75
K1121,S01,167.454,168.423,167.265,0.75
K1122,S01,178.224,179.924,175.62,1.74
K1122,S01,177.499,179.924,175.62,1.74
K1122,S01,178.338,179.924,175.62,1.74
K1123,S01,128.754,130.411,127.212,1.93
K1123,S01,128.655,130.411,127.212,1.93
K1123,S01,128.979,130.411,127.212,1.93
K1123,S01,128.989,130.411,127.212,1.93
K1123,S01,129.029,130.411,127.212,1.93
K1124,S02,27.453,30.005,24.434,2.14
K1124,S02,26.939,30.005,24.434,2.14
K1124,S02,27.581,30.005,24.434,2.14
K1125,S02,180.622,184.764,176.837,2.05
K1125,S02,182.124,184.764,176.837,2.05
K1125,S02,181.656,184.764,176.837,2.05
K1125,S02,181.39,184.764,176.837,2.05
K1125,S02,180.796,184.764,176.837,2.05
K1126,S02,73.287,75.611,71.26,2.01
K1126,S02,73.407,75.611,71.26,2.01
K1126,S02,73.666,75.611,71.26,2.01
K1126,S02,73.691,75.611,71.26,2.01
K1126,S02,74.011,75.611,71.26,2.01
K1127,S03,54.526,57.644,52.775,0.97
K1127,S03,55.503,57.644,52.775,0.97
K1127,S03,55.397,57.644,52.775,0.97
K1128,S03,191.407,193.974,188.29,1.79
K1128,S03,191.324,193.974,188.29,1.79
K1128,S03,191.456,193.974,188.29,1.79
K1128,S03,191.171,193.974,188.29,1.79
K1128,S03,191.069,193.974,188.29,1.79
K1129,S03,189.846,192.062,186.458,1.12
K1129,S03,188.683,192.062,186.458,1.12
K1130,S04,104.12,107.049,99.93,1.47
K1130,S04,103.432,107.049,99.93,1.47
K1130,S04,103.626,107.049,99.93,1.47
K1131,S01,98.153,101.795,93.825,2.06
K1131,S01,97.225,101.795,93.825,2.06
K1132,S02,163.464,166.966,158.241,1.12
K1132,S02,162.356,166.966,158.241,1.12
K1132,S02,159.022,166.966,158.241,1.12
K1133,S02,57.558,60.977,52.997,1.85
K1133,S02,57.544,60.977,52.997,1.85
K1133,S02,57.984,60.977,52.997,1.85
K1133,S02,57.361,60.977,52.997,1.85
K1133,S02,57.415,60.977,52.997,1.85
K1134,S02,36.978,37.932,35.63,1.83
K1134,S02,36.461,37.932,35.63,1.83
K1134,S02,36.559,37.932,35.63,1.83
K1134,S02,37.066,37.932,35.63,1.83
K1135,S03,42.784,46.099,40.287,1.0
K1135,S03,42.152,46.099,40.287,1.0
K1136,S03,88.788,94.017,84.754,1.06
K1136,S03,90.462,94.017,84.754,1.06
K1136,S03,87.854,94.017,84.754,1.06
K1136,S03,89.337,94.017,84.754,1.06
K1136,S03,88.49,94.017,84.754,1.06
K1137,S01,16.818,17.284,16.03,1.4
K1137,S01,16.559,17.284,16.03,1.4
K1138,S02,160.357,162.831,156.935,1.48
K1138,S02,159.88,162.831,156.935,1.48
K1138,S02,160.718,162.831,156.935,1.48
K1138,S02,158.919,162.831,156.935,1.48
K1138,S02,159.544,162.831,156.935,1.48
K1139,S02,81.839,83.093,79.465,1.23
K1139,S02,82.56,83.093,79.465,1.23
K1139,S02,81.474,83.093,79.465,1.23
K1139,S02,81.884,83.093,79.465,1.23
K1139,S02,81.827,83.093,79.465,1.23
K1140,S02,196.822,199.695,193.038,1.72
K1140,S02,197.116,199.695,193.038,1.72
K1141,S01,66.567,68.448,64.944,0.74
K1141,S01,67.606,68.448,64.944,0.74
K1142,S01,66.067,68.661,62.135,0.94
K1142,S01,65.474,68.661,62.135,0.94
K1142,S01,66.8,68.661,62.135,0.94
K1143,S02,43.096,47.184,38.021,1.45
K1143,S02,42.327,47.184,38.021,1.45
K1143,S02,45.234,47.184,38.021,1.45
K1143,S02,41.913,47.184,38.021,1.45
K1143,S02,42.327,47.184,38.021,1.45
K1144,S02,75.398,78.037,71.952,1.07
K1144,S02,74.308,78.037,71.952,1.07
K1144,S02,75.155,78.037,71.952,1.07
K1144,S02,73.704,78.037,71.952,1.07
K1145,S02,168.843,169.943,168.055,1.92
K1145,S02,169.062,169.943,168.055,1.92
K1145,S02,168.902,169.943,168.055,1.92
K1145,S02,169.119,169.943,168.055,1.92
K1145,S02,168.809,169.943,168.055,1.92
K1146,S03,97.387,99.847,96.293,1.49
K1146,S03,98.357,99.847,96.293,1.49
K1146,S03,97.165,99.847,96.293,1.49
K1146,S03,98.263,99.847,96.293,1.49
K1147,S03,63.609,70.362,61.486,0.86
K1147,S03,64.1,70.362,61.486,0.86
K1147,S03,63.082,70.362,61.486,0.86
K1147,S03,62.52,70.362,61.486,0.86
K1147,S03,63.886,70.362,61.486,0.86
K1148,S01,183.884,185.916,180.924,1.63
K1148,S01,183.186,185.916,180.924,1.63
K1148,S01,183.56,185.916,180.924,1.63
K1149,S01,125.29,127.152,123.396,1.87
K1149,S01,124.803,127.152,123.396,1.87
K1150,S01,90.703,94.848,86.967,2.02
K1150,S01,92.43,94.848,86.967,2.02
K1150,S01,89.862,94.848,86.967,2.02
K1150,S01,91.851,94.848,86.967,2.02
K1150,S01,90.881,94.848,86.967,2.02
K1151,S02,78.672,79.814,78.063,1.43
K1151,S02,78.908,79.814,78.063,1.43
K1151,S02,79.112,79.814,78.063,1.43
K1151,S02,79.239,79.814,78.063,1.43
K1152,S03,49.313,50.797,44.648,1.11
K1152,S03,48.538,50.797,44.648,1.11
K1152,S03,45.469,50.797,44.648,1.11
K1152,S03,48.052,50.797,44.648,1.11
K1152,S03,47.988,50.797,44.648,1.11
K1153,S03,10.583,15.93,5.946,1.32
K1153,S03,11.166,15.93,5.946,1.32
K1154,S03,95.632,96.907,94.147,1.08
K1154,S03,95.461,96.907,94.147,1.08
K1154,S03,95.919,96.907,94.147,1.08
K1155,S04,20.078,25.071,17.906,0.62
K1155,S04,20.106,25.071,17.906,0.62
K1155,S04,23.421,25.071,17.906,0.62
K1155,S04,25.55,25.071,17.906,0.62
K1155,S04,23.329,25.071,17.906,0.62
K1156,S04,79.93,84.594,74.662,1.77
K1156,S04,78.005,84.594,74.662,1.77
K1156,S04,79.879,84.594,74.662,1.77
K1156,S04,80.135,84.594,74.662,1.77
K1156,S04,80.018,84.594,74.662,1.77
K1157,S01,81.944,83.652,77.88,1.12
K1157,S01,79.878,83.652,77.88,1.12
K1157,S01,81.561,83.652,77.88,1.12
K1157,S01,80.061,83.652,77.88,1.12
K1157,S01,81.031,83.652,77.88,1.12
K1158,S02,73.74,78.879,69.621,1.7
K1158,S02,74.39,78.879,69.621,1.7
K1159,S03,197.393,200.531,196.772,0.73
K1159,S03,196.737,200.531,196.772,0.73
K1159,S03,198.216,200.531,196.772,0.73
K1159,S03,197.799,200.531,196.772,0.73
K1160,S03,41.625,43.591,36.348,0.86
K1160,S03,40.217,43.591,36.348,0.86
K1160,S03,40.761,43.591,36.348,0.86
K1160,S03,37.655,43.591,36.348,0.86
K1161,S04,159.087,165.037,156.073,0.67
K1161,S04,162.032,165.037,156.073,0.67
K1161,S04,161.461,165.037,156.073,0.67
K1161,S04,162.536,165.037,156.073,0.67
K1161,S04,160.373,165.037,156.073,0.67
K1162,S01,95.949,96.277,93.93,1.21
K1162,S01,95.224,96.277,93.93,1.21
K1162,S01,95.172,96.277,93.93,1.21
K1163,S01,89.814,90.253,89.086,1.67
K1163,S01,89.572,90.253,89.086,1.67
K1163,S01,89.734,90.253,89.086,1.67
K1164,S02,14.539,15.589,13.158,1.38
K1164,S02,14.177,15.589,13.158,1.38
K1164,S02,14.436,15.589,13.158,1.38
K1164,S02,14.276,15.589,13.158,1.38
K1165,S01,194.215,195.723,191.965,0.62
K1165,S01,193.436,195.723,191.965,0.62
K1165,S01,194.697,195.723,191.965,0.62
K1165,S01,193.21,195.723,191.965,0.62
K1165,S01,191.785,195.723,191.965,0.62
K1166,S02,45.524,46.244,43.904,1.2
K1166,S02,44.687,46.244,43.904,1.2
K1167,S02,16.471,20.836,13.251,1.29
K1167,S02,18.825,20.836,13.251,1.29
K1167,S02,16.881,20.836,13.251,1.29
K1168,S03,191.259,194.445,189.485,0.63
K1168,S03,191.631,194.445,189.485,0.63
K1168,S03,193.281,194.445,189.485,0.63
K1168,S03,190.775,194.445,189.485,0.63
K1168,S03,192.974,194.445,189.485,0.63
K1169,S01,47.287,48.815,41.547,0.73
K1169,S01,44.047,48.815,41.547,0.73
K1169,S01,46.086,48.815,41.547,0.73
K1169,S01,46.597,48.815,41.547,0.73
K1170,S01,104.697,106.892,103.581,0.67
K1170,S01,104.474,106.892,103.581,0.67
K1170,S01,106.252,106.892,103.581,0.67
K1170,S01,106.084,106.892,103.581,0.67
K1171,S01,159.126,160.724,157.195,2.05
K1171,S01,159.279,160.724,157.195,2.05
K1171,S01,158.752,160.724,157.195,2.05
K1171,S01,158.496,160.724,157.195,2.05
K1172,S02,121.421,125.193,115.718,2.02
