Line_No,Process_ID,Local_Process_Desc,WC_ID,Station_No,Linked_Asset_ID,Product_Ref,Material_Ref
L32,PR-0002,Resistance Welding,WU196,S03,000080000182,,
L32,PR-0010,Cable Routing,WU197,S04,000080000183,,
L32,PR-0106,Fastening - Brake Caliper,WU198,S04,000080000184,,
L33,PR-0032,Testing - Fuel Rail,WU199,S01,000080000185,,
L33,PR-0003,Bolt Torquing,WU200,S02,000080000186,,
L33,PR-0076,Cutting - Center Console,WU201,S02,000080000187,,
L33,PR-0016,Panel Stamping,WU202,S02,000080000188,,
L33,PR-0041,Body Panel Coating,WU203,S03,000080000189,,
L33,PR-0168,Weld - Trunk Lid,WU204,S03,000080000190,,
L33,PR-0198,Baking - Transmission Housing,WU205,S03,000080000191,,
L33,PR-0011,End-of-Line Test,WU206,S04,000080000192,,
L33,PR-0001,Bead Application,WU207,S04,000080000193,,
L33,PR-0021,Cushion Molding,WU208,S04,000080000194,,
L34,PR-0025,Formation Cycling,WU209,S01,000080000195,,
L34,PR-0016,Panel Stamping,WU210,S01,000080000196,,
L34,PR-0007,Colour Coat Application,WU211,S01,000080000197,,
L34,PR-0017,Blank Cutting,WU212,S02,000080000198,,
L34,PR-0013,Door Fitment,WU213,S02,000080000199,,
L34,PR-0145,Moulding - Wheel Hub,WU214,S03,000080000200,,
L35,PR-0077,Fastening - Exhaust Manifold,WU215,S01,000080000201,,
L35,PR-0006,Electrocoat Dip,WU216,S02,000080000202,,
L35,PR-0016,Panel Stamping,WU217,S03,000080000203,,
L35,PR-0016,Panel Stamping,WU218,S03,000080000204,,
L35,PR-0011,End-of-Line Test,WU219,S04,000080000205,,
L36,PR-0001,Bead Application,WU220,S01,000080000206,,
L36,PR-0037,Inspection - Glass Panel,WU221,S01,000080000207,,
L36,PR-0041,Body Panel Coating,WU222,S02,000080000208,,
L36,PR-0010,Cable Routing,WU223,S03,000080000209,,
L36,PR-0112,Molding - Glass Panel,WU224,S03,000080000210,,
L36,PR-0182,Securing - Roof Rail,WU225,S03,000080000211,,
L36,PR-0067,Shaping - Engine Block,WU226,S04,000080000212,,
L36,PR-0131,Build - Seat Frame,WU227,S04,000080000213,,
L37,PR-0010,Cable Routing,WU228,S01,000080000214,,
L37,PR-0121,Fastening - Fuel Rail,WU229,S01,000080000215,,
L37,PR-0137,Packaging - Chassis Frame,WU230,S01,000080000216,,
L37,PR-0022,Cover Stitching,WU231,S02,000080000217,,
L37,PR-0001,Bead Application,WU232,S02,000080000218,,
L38,PR-0001,Bead Application,WU233,S01,000080000219,,
L38,PR-0009,Cell Stack Assembly,WU234,S01,000080000220,,
L38,PR-0042,Assembly - Wire Harness,WU235,S01,000080000221,,
L38,PR-0011,End-of-Line Test,WU236,S02,000080000222,,
L38,PR-0062,Trimming - Wheel Hub,WU237,S02,,,
L39,PR-0052,Engine Block Assembly,WU238,S01,000080000223,,
L39,PR-0002,Resistance Welding,WU239,S01,000080000224,,
L39,PR-0001,Bead Application,WU240,S01,000080000225,,
L39,PR-0036,Molding - Hood Panel,WU241,S02,000080000226,,
L39,PR-0004,Visual Inspection,WU242,S02,000080000227,,
L39,PR-0134,Sealing - Steering Column,WU243,S03,000080000228,,
L39,PR-0093,Drilling - Chassis Frame,WU244,S03,000080000229,,
L39,PR-0008,Clearcoat Application,WU245,S03,000080000230,,
L39,PR-0017,Blank Cutting,WU246,S04,000080000231,,
